CHANNEL,PHASE,EPC,RSSI
910.75,4.525243324,3039 6062 C3AD 3FC0 001F 4997,-57.5
910.75,5.421088104,E200 0017 9408 0236 1560 799A,-57
910.75,0.650407854,E280 1160 6000 0209 5014 4A91,-75
910.75,1.398990479,3039 6062 C3AD 3FC0 001F 4997,-57.5
910.75,5.473243451,E200 0017 9408 0236 1560 799A,-57
910.75,0.601320469,E280 1160 6000 0209 5014 4A91,-75.5
910.75,5.497787144,E200 0017 9408 0236 1560 799A,-57
910.75,1.454213787,3039 6062 C3AD 3FC0 001F 4997,-57
910.75,0.852893318,E280 1160 6000 0209 5014 4A91,-75.5
910.75,1.411262325,3039 6062 C3AD 3FC0 001F 4997,-57
910.75,5.485515297,E200 0017 9408 0236 1560 799A,-56.5
910.75,0.859029241,E280 1160 6000 0209 5014 4A91,-75.5
912.75,4.841243367,E200 0017 9408 0236 1560 799A,-57
912.75,0.570640853,3039 6062 C3AD 3FC0 001F 4997,-58
912.75,4.822835597,E200 0017 9408 0236 1560 799A,-57
912.75,0.521553468,3039 6062 C3AD 3FC0 001F 4997,-57.5
912.75,4.822835597,E200 0017 9408 0236 1560 799A,-57
912.75,0.56450493,3039 6062 C3AD 3FC0 001F 4997,-58
912.75,6.264777538,E280 1160 6000 0209 5014 4A91,-76
912.75,0.601320469,3039 6062 C3AD 3FC0 001F 4997,-58.5
912.75,4.841243367,E200 0017 9408 0236 1560 799A,-57.5
912.75,6.062292074,E280 1160 6000 0209 5014 4A91,-76
912.75,4.878058905,E200 0017 9408 0236 1560 799A,-57
912.75,0.582912699,3039 6062 C3AD 3FC0 001F 4997,-58
912.75,5.939573611,E280 1160 6000 0209 5014 4A91,-76
923.25,2.4911848,3039 6062 C3AD 3FC0 001F 4997,-61.5
923.25,2.098485718,E200 0017 9408 0236 1560 799A,-55.5
923.25,2.534136262,3039 6062 C3AD 3FC0 001F 4997,-61.5
923.25,2.104621641,E200 0017 9408 0236 1560 799A,-56
923.25,2.14143718,E200 0017 9408 0236 1560 799A,-56
923.25,2.58935957,3039 6062 C3AD 3FC0 001F 4997,-61.5
923.25,2.466641107,3039 6062 C3AD 3FC0 001F 4997,-61.5
923.25,2.104621641,E200 0017 9408 0236 1560 799A,-56.5
923.25,2.423689645,3039 6062 C3AD 3FC0 001F 4997,-62
923.25,2.159844949,E200 0017 9408 0236 1560 799A,-56
910.25,1.264000169,E280 1160 6000 0209 5014 4A91,-76
910.25,5.589825991,E200 0017 9408 0236 1560 799A,-56.5
910.25,1.570796327,3039 6062 C3AD 3FC0 001F 4997,-57
910.25,5.595961914,E200 0017 9408 0236 1560 799A,-56.5
