CHANNEL,EPC,PHASE,RSSI
910.75,3039 6062 C3AD 3FC0 001F 4997,4.525243324,-57.5
910.75,E200 0017 9408 0236 1560 799A,5.421088104,-57
910.75,E280 1160 6000 0209 5014 4A91,0.650407854,-75
910.75,3039 6062 C3AD 3FC0 001F 4997,1.398990479,-57.5
910.75,E200 0017 9408 0236 1560 799A,5.473243451,-57
910.75,E280 1160 6000 0209 5014 4A91,0.601320469,-75.5
910.75,E200 0017 9408 0236 1560 799A,5.497787144,-57
910.75,3039 6062 C3AD 3FC0 001F 4997,1.454213787,-57
910.75,E280 1160 6000 0209 5014 4A91,0.852893318,-75.5
910.75,3039 6062 C3AD 3FC0 001F 4997,1.411262325,-57
910.75,E200 0017 9408 0236 1560 799A,5.485515297,-56.5
910.75,E280 1160 6000 0209 5014 4A91,0.859029241,-75.5
912.75,E200 0017 9408 0236 1560 799A,4.841243367,-57
912.75,3039 6062 C3AD 3FC0 001F 4997,0.570640853,-58
912.75,E200 0017 9408 0236 1560 799A,4.822835597,-57
912.75,3039 6062 C3AD 3FC0 001F 4997,0.521553468,-57.5
912.75,E200 0017 9408 0236 1560 799A,4.822835597,-57
912.75,3039 6062 C3AD 3FC0 001F 4997,0.56450493,-58
912.75,E280 1160 6000 0209 5014 4A91,6.264777538,-76
912.75,3039 6062 C3AD 3FC0 001F 4997,0.601320469,-58.5
912.75,E200 0017 9408 0236 1560 799A,4.841243367,-57.5
912.75,E280 1160 6000 0209 5014 4A91,6.062292074,-76
912.75,E200 0017 9408 0236 1560 799A,4.878058905,-57
912.75,3039 6062 C3AD 3FC0 001F 4997,0.582912699,-58
912.75,E280 1160 6000 0209 5014 4A91,5.939573611,-76
923.25,3039 6062 C3AD 3FC0 001F 4997,2.4911848,-61.5
923.25,E200 0017 9408 0236 1560 799A,2.098485718,-55.5
923.25,3039 6062 C3AD 3FC0 001F 4997,2.534136262,-61.5
923.25,E200 0017 9408 0236 1560 799A,2.104621641,-56
923.25,E200 0017 9408 0236 1560 799A,2.14143718,-56
923.25,3039 6062 C3AD 3FC0 001F 4997,2.58935957,-61.5
923.25,3039 6062 C3AD 3FC0 001F 4997,2.466641107,-61.5
923.25,E200 0017 9408 0236 1560 799A,2.104621641,-56.5
923.25,3039 6062 C3AD 3FC0 001F 4997,2.423689645,-62
923.25,E200 0017 9408 0236 1560 799A,2.159844949,-56
910.25,E280 1160 6000 0209 5014 4A91,1.264000169,-76
910.25,E200 0017 9408 0236 1560 799A,5.589825991,-56.5
910.25,3039 6062 C3AD 3FC0 001F 4997,1.570796327,-57
910.25,E200 0017 9408 0236 1560 799A,5.595961914,-56.5
910.25,3039 6062 C3AD 3FC0 001F 4997,1.613747789,-57.5
910.25,3039 6062 C3AD 3FC0 001F 4997,1.644427405,-57.5
910.25,E200 0017 9408 0236 1560 799A,5.663457069,-56.5
910.25,E280 1160 6000 0209 5014 4A91,1.159689476,-76
910.25,E200 0017 9408 0236 1560 799A,5.651185223,-56.5
910.25,3039 6062 C3AD 3FC0 001F 4997,1.601475943,-57
904.75,3039 6062 C3AD 3FC0 001F 4997,4.111068512,-56.5
904.75,E200 0017 9408 0236 1560 799A,1.36217494,-55
904.75,E200 0017 9408 0236 1560 799A,1.380582709,-55.5
904.75,3039 6062 C3AD 3FC0 001F 4997,4.04970928,-57
904.75,3039 6062 C3AD 3FC0 001F 4997,4.068117049,-56.5
904.75,E200 0017 9408 0236 1560 799A,1.374446786,-55.5
904.75,3039 6062 C3AD 3FC0 001F 4997,4.061981126,-56.5
904.75,E200 0017 9408 0236 1560 799A,1.349903093,-55.5
904.75,E200 0017 9408 0236 1560 799A,1.337631247,-55.5
904.75,3039 6062 C3AD 3FC0 001F 4997,4.080388896,-57
904.75,3039 6062 C3AD 3FC0 001F 4997,4.104932588,-57
904.75,E200 0017 9408 0236 1560 799A,1.374446786,-55
911.75,E280 1160 6000 0209 5014 4A91,0.128854386,-76
911.75,3039 6062 C3AD 3FC0 001F 4997,0.994019551,-58
911.75,E200 0017 9408 0236 1560 799A,5.166447294,-56.5
911.75,E200 0017 9408 0236 1560 799A,5.16031137,-56.5
911.75,3039 6062 C3AD 3FC0 001F 4997,0.963339935,-57.5
911.75,3039 6062 C3AD 3FC0 001F 4997,1.000155474,-57.5
911.75,E200 0017 9408 0236 1560 799A,5.123495832,-56.5
911.75,E280 1160 6000 0209 5014 4A91,0.23316508,-76
911.75,3039 6062 C3AD 3FC0 001F 4997,1.006291397,-57.5
911.75,E200 0017 9408 0236 1560 799A,5.129631755,-56.5
911.75,E280 1160 6000 0209 5014 4A91,0.239301003,-75.5
905.75,3039 6062 C3AD 3FC0 001F 4997,3.620194659,-56.5
905.75,E200 0017 9408 0236 1560 799A,1.01242732,-55
905.75,E200 0017 9408 0236 1560 799A,1.024699166,-55
905.75,3039 6062 C3AD 3FC0 001F 4997,3.60178689,-56.5
905.75,3039 6062 C3AD 3FC0 001F 4997,3.669282045,-56.5
905.75,E200 0017 9408 0236 1560 799A,0.987883627,-55
905.75,E280 1160 6000 0209 5014 4A91,0.619728238,-75
905.75,3039 6062 C3AD 3FC0 001F 4997,3.571107274,-56
905.75,E200 0017 9408 0236 1560 799A,1.000155474,-55.5
905.75,E280 1160 6000 0209 5014 4A91,3.663146121,-75
912.25,E200 0017 9408 0236 1560 799A,4.96396183,-57
912.25,3039 6062 C3AD 3FC0 001F 4997,0.748582624,-57.5
912.25,E280 1160 6000 0209 5014 4A91,6.099107613,-76
912.25,3039 6062 C3AD 3FC0 001F 4997,0.773126317,-58
912.25,E200 0017 9408 0236 1560 799A,4.914874444,-57
912.25,E280 1160 6000 0209 5014 4A91,6.086835766,-75.5
912.25,E200 0017 9408 0236 1560 799A,4.865787059,-56.5
912.25,3039 6062 C3AD 3FC0 001F 4997,0.748582624,-58
912.25,E280 1160 6000 0209 5014 4A91,6.178874614,-76
912.25,3039 6062 C3AD 3FC0 001F 4997,0.77926224,-57.5
912.25,E200 0017 9408 0236 1560 799A,4.871922982,-57
912.25,E200 0017 9408 0236 1560 799A,4.890330752,-56.5
912.25,3039 6062 C3AD 3FC0 001F 4997,0.717903009,-58
921.75,E200 0017 9408 0236 1560 799A,2.37460226,-57.5
921.75,3039 6062 C3AD 3FC0 001F 4997,3.344078118,-61.5
921.75,3039 6062 C3AD 3FC0 001F 4997,3.460660657,-61.5
921.75,E200 0017 9408 0236 1560 799A,2.325514874,-57
921.75,E200 0017 9408 0236 1560 799A,2.405281875,-57.5
921.75,3039 6062 C3AD 3FC0 001F 4997,3.48520435,-61
921.75,E200 0017 9408 0236 1560 799A,2.368466336,-57
906.75,3039 6062 C3AD 3FC0 001F 4997,3.258175193,-58.5
906.75,E200 0017 9408 0236 1560 799A,0.509281622,-55.5
906.75,3039 6062 C3AD 3FC0 001F 4997,3.313398502,-58
906.75,E280 1160 6000 0209 5014 4A91,6.129787228,-75
906.75,3039 6062 C3AD 3FC0 001F 4997,3.38702958,-59.5
906.75,E200 0017 9408 0236 1560 799A,0.503145698,-55
906.75,E280 1160 6000 0209 5014 4A91,6.166602767,-75
906.75,3039 6062 C3AD 3FC0 001F 4997,3.48520435,-59
906.75,E200 0017 9408 0236 1560 799A,0.497009775,-55.5
