"CHANNEL","EPC","PHASE","RSSI"
"906.25","E200 0000 0000 0000 0000 1A21","0.15339807878856412","-66.5"
"906.25","E200 0000 0000 0000 0000 1A11","5.767767762450011","-68.0"
"906.25","E280 1160 6000 0209 5014 ECA0","4.356505437595221","-68.5"
"906.25","E280 1160 6000 0207 A652 516D","3.9269908169872414","-31.0"
"906.25","E200 0000 0000 0000 0000 1A20","6.178874613603362","-63.5"
"906.25","E200 0000 0000 0000 0000 1A10","2.2212041808584084","-64.5"
"906.25","E200 0000 0000 0000 0000 1A21","0.1902136176978195","-69.0"
"906.25","E200 001D 700E 0093 2100 41FE","0.28225246497095796","-66.0"
"906.25","E280 1160 6000 0209 5014 ECA0","4.344233591292136","-68.5"
"906.25","E200 0000 0000 0000 0000 1A10","2.227340104009951","-64.0"
"906.25","E200 0000 0000 0000 0000 1A21","0.09203884727313846","-67.0"
"906.25","E200 0000 0000 0000 0000 1A20","6.074563920027139","-62.5"
"906.25","E280 1160 6000 0207 A652 516D","3.9392626632903265","-30.5"
"906.25","E200 0000 0000 0000 0000 1A11","5.737088146692298","-68.0"
"906.25","E200 001D 700E 0093 2100 41FE","0.42337869745643697","-66.0"
"906.25","E200 0000 0000 0000 0000 1A11","2.767301341345697","-64.0"
"906.25","E200 0000 0000 0000 0000 1A20","5.822991070813893","-63.0"
"906.25","E280 1160 6000 0207 A652 516D","3.933126740138784","-30.5"
"906.25","E200 0000 0000 0000 0000 1A10","2.325514874434632","-62.0"
"906.25","E200 001D 700E 0093 2100 41FE","3.9392626632903265","-65.0"
"906.25","E200 0000 0000 0000 0000 1A21","5.927301764390117","-65.0"
"906.25","E280 1160 6000 0209 5014 ECA0","1.2578642460662257","-66.0"
"909.75","E200 0000 0000 0000 0000 1A10","1.0615147052168636","-63.5"
"909.75","E280 1160 6000 0207 A652 516D","2.8777479580734626","-31.5"
"909.75","E280 1160 6000 0209 5014 ECA0","5.0253210611133605","-67.5"
"909.75","E200 0000 0000 0000 0000 1A20","4.031301510563465","-62.5"
"909.75","E200 001D 700E 0093 2100 41FE","0.7240389318820226","-63.0"
"909.75","E200 0000 0000 0000 0000 1A21","4.4976316700806995","-65.0"
"909.75","E200 0000 0000 0000 0000 1A11","1.4173982480063325","-68.0"
"909.75","E200 0000 0000 0000 0000 1A20","4.080388895775806","-63.0"
"909.75","E200 0000 0000 0000 0000 1A10","1.4848934026733007","-63.0"
"909.75","E280 1160 6000 0207 A652 516D","2.8777479580734626","-31.5"
"909.75","E200 001D 700E 0093 2100 41FE","0.9265243958829272","-63.0"
"909.75","E200 0000 0000 0000 0000 1A11","1.5401167110371838","-65.5"
"909.75","E280 1160 6000 0209 5014 ECA0","1.9880391010997909","-68.5"
"909.75","E200 001D 700E 0111 2100 52AB","4.963961829597935","-63.5"
"909.75","E200 0000 0000 0000 0000 1A21","4.2031073588066565","-68.5"
"909.75","E280 1160 6000 0207 A652 516D","2.8838838812250054","-31.5"
"909.75","E200 001D 700E 0093 2100 41FE","1.0492428589137786","-63.0"
"909.75","E200 0000 0000 0000 0000 1A10","1.2210487071569704","-63.5"
"909.75","E200 0000 0000 0000 0000 1A20","4.06811704947272","-63.5"
"909.75","E280 1160 6000 0209 5014 ECA0","5.154175447295755","-68.5"
"909.75","E200 0000 0000 0000 0000 1A11","1.6198837120072371","-68.0"
"909.75","E200 0000 0000 0000 0000 1A11","1.3989904785517047","-66.0"
"909.75","E280 1160 6000 0207 A652 516D","2.8838838812250054","-31.5"
"909.75","E280 1160 6000 0209 5014 ECA0","4.773748211900116","-65.5"
"909.75","E200 001D 700E 0093 2100 41FE","1.1290098598838318","-63.0"
"909.75","E200 0000 0000 0000 0000 1A20","3.902447124381071","-63.5"
"909.75","E200 0000 0000 0000 0000 1A10","1.086058397823034","-63.5"
"909.75","E200 0000 0000 0000 0000 1A21","4.338097668140593","-68.5"
"920.75","E200 0000 0000 0000 0000 1A10","4.331961744989051","-62.5"
"920.75","E280 1160 6000 0207 A652 516D","6.270913460876501","-34.0"
"920.75","E200 001D 700E 0093 2100 41FE","6.086835766330224","-63.5"
"920.75","E200 0000 0000 0000 0000 1A11","4.3933209765044765","-66.0"
"920.75","E200 0000 0000 0000 0000 1A20","4.448544284868359","-66.0"
"920.75","E200 001D 700E 0111 2100 52AB","0.4479223900626072","-64.0"
"920.75","E200 0000 0000 0000 0000 AAA1","1.1228739367322893","-76.0"
"920.75","E200 0000 0000 0000 0000 1A21","4.792155981354743","-73.0"
"920.75","E200 001D 700E 0093 2100 41FE","6.17273869045182","-64.5"
"920.75","E200 0000 0000 0000 0000 1A11","3.877903431774901","-66.0"
"920.75","E200 0000 0000 0000 0000 1A10","4.331961744989051","-62.0"
"920.75","E280 1160 6000 0207 A652 516D","6.252505691421874","-34.5"
"920.75","E200 0000 0000 0000 0000 1A20","4.399456899656019","-66.5"
"920.75","E200 001D 700E 0111 2100 52AB","0.4049709280018093","-63.5"
"920.75","E200 001D 700E 0093 2100 41FE","6.160466844148735","-63.5"
"920.75","E200 0000 0000 0000 0000 1A20","4.509903516383785","-67.0"
"920.75","E200 0000 0000 0000 0000 1A10","4.184699589352029","-62.0"
"920.75","E200 0000 0000 0000 0000 1A11","4.313553975534423","-66.5"
"920.75","E280 1160 6000 0207 A652 516D","6.2463697682703305","-34.5"
"920.75","E200 0000 0000 0000 0000 1A21","4.7307967498393175","-72.5"
"920.75","E280 1160 6000 0207 A652 5964","0.3620194659410113","-72.5"
"920.75","E200 0000 0000 0000 0000 1A10","4.221515128261284","-62.0"
"920.75","E200 0000 0000 0000 0000 1A11","4.4362724385652745","-66.0"
"920.75","E200 0000 0000 0000 0000 1A20","4.417864669110647","-66.5"
"920.75","E280 1160 6000 0207 A652 516D","6.264777537724958","-34.0"
"920.75","E200 001D 700E 0093 2100 41FE","5.9518454569962875","-63.0"
"918.75","E200 0000 0000 0000 0000 1A21","5.565282298449106","-71.0"
"918.75","E200 0000 0000 0000 0000 AAA1","5.872078456026235","-75.0"
"918.75","E280 1160 6000 0207 A652 5964","1.761009944492716","-73.0"
"918.75","E200 0000 0000 0000 0000 1A20","5.553010452146021","-65.5"
"918.75","E200 0000 0000 0000 0000 1A10","4.9823695990525625","-62.5"
"918.75","E280 1160 6000 0207 A652 516D","0.521553467881118","-33.5"
"918.75","E200 0000 0000 0000 0000 1A11","5.166447293598839","-66.5"
"918.75","E200 001D 700E 0093 2100 41FE","1.0615147052168636","-63.0"
"918.75","E200 001D 700E 0111 2100 52AB","1.7119225592803755","-62.0"
"918.75","E280 6894 0000 4004 5E83 9511","1.509437095279471","-74.5"
