"CHANNEL","EPC","PHASE","RSSI"
"905.75","E280 1160 6000 0209 5014 ECA0","0.7363107781851077","-64.0"
"905.75","E280 1160 6000 0207 A652 516D","3.9638063558964967","-30.0"
"905.75","E200 001D 700E 0093 2100 41FE","4.031301510563465","-63.5"
"905.75","E200 0000 0000 0000 0000 1A10","6.2034183062095325","-68.5"
"905.75","E200 0000 0000 0000 0000 1A20","5.7616318392984684","-65.0"
"905.75","E200 0000 0000 0000 0000 AAA2","4.743068596142402","-65.5"
"905.75","E280 1160 6000 0207 A652 516D","3.9453985864418692","-30.0"
"905.75","E280 1160 6000 0209 5014 ECA0","1.2087768608538851","-64.5"
"905.75","E200 0000 0000 0000 0000 1A20","5.8659425328746915","-62.0"
"905.75","E200 001D 700E 0093 2100 41FE","0.607456392002714","-65.5"
"905.75","E200 0000 0000 0000 0000 1A10","6.240233845118788","-68.0"
"905.75","E280 1160 6000 0207 A652 516D","3.9699422790480394","-30.0"
"905.75","E280 1160 6000 0209 5014 ECA0","0.7792622402459057","-64.5"
"905.75","E200 0000 0000 0000 0000 1A21","0.19634954084936207","-69.0"
"905.75","E200 0000 0000 0000 0000 1A20","5.737088146692298","-65.0"
"905.75","E200 001D 700E 0093 2100 41FE","0.5460971604872883","-65.5"
"905.75","E280 1160 6000 0207 A652 516D","3.9515345095934116","-30.0"
"905.75","E280 1160 6000 0209 5014 ECA0","1.227184630308513","-65.0"
"905.75","E200 0000 0000 0000 0000 1A20","5.816855147662351","-65.0"
"905.75","E200 0000 0000 0000 0000 1A21","0.36815538909255385","-68.5"
"914.25","E200 001D 700E 0111 2100 52AB","5.129631754689584","-62.0"
"914.25","E200 0000 0000 0000 0000 AAA1","4.172427743048944","-73.5"
"914.25","3039 6062 03C1 DF81 968A 3967","5.5714182216006485","-63.0"
"914.25","E200 001D 700E 0093 2100 41FE","4.252194744018997","-63.0"
"914.25","E200 001D 700E 0111 2100 52AB","4.945554060143307","-62.0"
"914.25","E280 1160 6000 0207 A652 516D","1.5155730184310134","-32.0"
"914.25","E200 0000 0000 0000 0000 1A10","0.3313398501832985","-62.0"
"914.25","E280 1160 6000 0209 5014 ECA0","1.564660403643354","-65.5"
"914.25","E200 0000 0000 0000 0000 1A20","1.3499030933393643","-65.0"
"914.25","E200 0000 0000 0000 0000 1A11","0.5645049299419159","-67.5"
"914.25","E200 0000 0000 0000 0000 AAA1","4.313553975534423","-73.5"
"914.25","E200 001D 700E 0093 2100 41FE","4.546719055293041","-62.5"
"914.25","E200 0000 0000 0000 0000 1A20","1.3928545554001621","-63.5"
"914.25","E200 0000 0000 0000 0000 1A10","0.4663301595172349","-62.0"
"914.25","3039 6062 03C1 DF81 968A 3967","5.4671075280244255","-64.0"
"914.25","E200 001D 700E 0111 2100 52AB","5.080544369477243","-62.0"
"914.25","E200 0000 0000 0000 0000 1A11","0.3190680038802134","-66.0"
"914.25","E280 1160 6000 0207 A652 516D","1.5278448647340985","-32.0"
"914.25","E280 1160 6000 0209 5014 ECA0","1.859184714917397","-65.5"
"914.25","E280 1160 6000 0207 A652 5964","6.270913460876501","-74.5"
"914.25","E200 0000 0000 0000 0000 1A10","0.48473792897186263","-62.0"
"914.25","E200 0000 0000 0000 0000 1A20","1.2762720155208536","-64.0"
"914.25","E280 1160 6000 0207 A652 516D","1.552388557340269","-32.0"
"914.25","3039 6062 03C1 DF81 968A 3967","5.47937937432751","-64.5"
"914.25","E280 1160 6000 0209 5014 ECA0","1.6935147898257479","-65.0"
"914.25","E200 001D 700E 0093 2100 41FE","4.215379205109742","-62.5"
"914.25","E200 001D 700E 0111 2100 52AB","4.970097752749477","-63.0"
"914.25","E200 0000 0000 0000 0000 1A11","0.4049709280018093","-67.5"
"922.75","3039 6062 C3AD 3FC0 001F 4997","1.748738098189631","-65.5"
"922.75","E200 0000 0000 0000 0000 1A21","0.3098641191528995","-70.5"
"922.75","E200 0000 0000 0000 0000 AAA1","1.368310862793992","-72.5"
"922.75","E280 1160 6000 0207 A652 5964","0.030679615757712823","-73.0"
"922.75","E200 0000 0000 0000 0000 1A11","3.5588354278946874","-65.0"
"922.75","E280 1160 6000 0207 A652 516D","5.45483568172134","-33.0"
"922.75","3039 6062 03C1 DF81 968A 3967","1.2210487071569704","-57.0"
"922.75","E200 0000 0000 0000 0000 1A10","3.2459033471660166","-60.0"
"922.75","E200 0000 0000 0000 0000 1A20","3.129320807286708","-64.5"
"922.75","E200 001D 700E 0093 2100 41FE","4.700117134081604","-65.5"
"922.75","E280 1160 6000 0209 5014 ECA0","5.356660911296659","-70.5"
"922.75","E200 0000 0000 0000 0000 AAA1","4.6448938257177215","-73.0"
"922.75","E280 1160 6000 0207 A652 5964","6.215690152512618","-73.5"
"922.75","E200 0000 0000 0000 0000 1A10","3.399301425954581","-60.0"
"922.75","3039 6062 03C1 DF81 968A 3967","1.2946797849754812","-57.5"
"922.75","E200 001D 700E 0093 2100 41FE","4.798291904506286","-65.5"
"922.75","E200 0000 0000 0000 0000 1A11","3.522019888985432","-64.5"
"922.75","E280 1160 6000 0207 A652 516D","5.4671075280244255","-33.0"
"922.75","E200 0000 0000 0000 0000 1A20","3.1784081924990484","-64.5"
"922.75","E280 1160 6000 0209 5014 ECA0","5.45483568172134","-70.5"
"922.75","E200 0000 0000 0000 0000 AAA1","4.509903516383785","-73.0"
"922.75","E200 0000 0000 0000 0000 1A20","3.0925052683774528","-64.5"
"922.75","3039 6062 03C1 DF81 968A 3967","1.2087768608538851","-57.0"
"922.75","E200 0000 0000 0000 0000 1A10","3.393165502803038","-60.0"
"922.75","E200 0000 0000 0000 0000 1A21","3.3440781175906977","-68.0"
"922.75","E280 1160 6000 0207 A652 516D","5.473243451175968","-33.0"
"922.75","E200 0000 0000 0000 0000 1A11","0.25157284921324513","-65.0"
"911.75","E280 1160 6000 0209 5014 ECA0","3.2213596545598464","-65.5"
"911.75","E200 001D 700E 0093 2100 41FE","5.810719224510809","-63.5"
"911.75","E200 001D 700E 0093 2100 41FE","5.8045833013592665","-62.5"
"911.75","E280 1160 6000 0207 A652 516D","2.2212041808584084","-31.0"
"911.75","E200 0000 0000 0000 0000 1A20","2.3623304133438876","-64.5"
"911.75","E200 0000 0000 0000 0000 1A11","1.4173982480063325","-68.0"
"911.75","E280 1160 6000 0209 5014 ECA0","0.04295146206079795","-66.0"
"911.75","E200 0000 0000 0000 0000 AAA2","1.4971652489763858","-69.5"
"911.75","E200 0000 0000 0000 0000 1A10","1.4419419406125027","-63.5"
"911.75","E280 1160 6000 0207 A652 516D","2.2212041808584084","-31.0"
"911.75","E200 001D 700E 0093 2100 41FE","5.589825991055276","-62.0"
"911.75","E200 0000 0000 0000 0000 1A20","2.3439226438892597","-64.0"
"911.75","E200 001D 700E 0111 2100 52AB","0.380427235395639","-63.5"
"911.75","E200 0000 0000 0000 0000 1A11","1.5401167110371838","-68.0"
"911.75","E280 1160 6000 0209 5014 ECA0","0.05522330836388308","-65.5"
"911.75","E280 1160 6000 0207 A652 516D","2.2089323345553233","-31.0"
"911.75","E200 001D 700E 0093 2100 41FE","5.822991070813893","-63.0"
"911.75","E200 0000 0000 0000 0000 1A10","1.2087768608538851","-62.5"
"911.75","E200 0000 0000 0000 0000 1A20","2.386874105950058","-64.5"
"911.75","E200 001D 700E 0111 2100 52AB","0.3865631585471816","-63.5"
"903.75","E200 0000 0000 0000 0000 1A21","1.564660403643354","-70.5"
"903.75","E280 1160 6000 0207 A652 516D","4.601942363656923","-29.0"
"903.75","E280 1160 6000 0209 5014 ECA0","5.2768939103266055","-66.5"
"903.75","E200 0000 0000 0000 0000 1A20","0.5951845456996288","-66.5"
"903.75","E200 0000 0000 0000 0000 1A21","1.3621749396424494","-70.0"
"903.75","E280 1160 6000 0207 A652 516D","4.608078286808466","-29.0"
"903.75","E280 1160 6000 0209 5014 ECA0","2.116893487282185","-64.5"
"903.75","E200 0000 0000 0000 0000 1A20","0.7853981633974483","-66.5"
"903.75","E200 0000 0000 0000 0000 1A20","0.6504078540635119","-65.5"
"903.75","E280 1160 6000 0209 5014 ECA0","2.2580197197676637","-66.0"
"903.75","E280 1160 6000 0207 A652 516D","4.583534594202296","-29.0"
"903.75","E200 0000 0000 0000 0000 1A21","1.4848934026733007","-70.0"
"903.75","E200 0000 0000 0000 0000 AAA2","5.8659425328746915","-65.5"
"903.75","E200 0000 0000 0000 0000 1A10","0.16566992509164924","-68.5"
"920.25","E280 1160 6000 0209 5014 ECA0","4.0558452031696355","-66.0"
"920.25","E280 1160 6000 0207 A652 516D","6.209554229361076","-33.0"
"920.25","3039 6062 03C1 DF81 968A 3967","2.509592568980909","-59.5"
"920.25","E200 0000 0000 0000 0000 1A11","1.3560390164909069","-65.5"
"920.25","E200 0000 0000 0000 0000 1A20","4.460816131171445","-65.0"
"920.25","E200 0000 0000 0000 0000 1A21","4.773748211900116","-69.5"
"920.25","E280 1160 6000 0207 A652 516D","6.2034183062095325","-33.0"
"920.25","E200 0000 0000 0000 0000 1A20","4.479223900626073","-64.0"
"920.25","E200 0000 0000 0000 0000 1A11","1.2578642460662257","-65.5"
"920.25","3039 6062 03C1 DF81 968A 3967","2.497320722677824","-59.5"
"920.25","3039 6062 C3AD 3FC0 001F 4997","0.380427235395639","-66.0"
"920.25","E280 1160 6000 0207 A652 516D","6.19728238305799","-33.0"
"920.25","E200 0000 0000 0000 0000 1A20","4.4976316700806995","-64.0"
"920.25","3039 6062 03C1 DF81 968A 3967","2.4850488763747385","-59.0"
"920.25","E200 0000 0000 0000 0000 1A11","1.3499030933393643","-65.5"
"920.25","E200 0000 0000 0000 0000 1A21","4.749204519293945","-69.5"
"920.25","3039 6062 03C1 DF81 968A 3967","2.429825568010856","-59.5"
"920.25","E200 0000 0000 0000 0000 1A20","4.3503695144436785","-64.5"
"920.25","E200 0000 0000 0000 0000 1A11","4.516039439535327","-64.5"
"920.25","E280 1160 6000 0209 5014 ECA0","3.9944859716542096","-66.5"
"920.25","E200 001D 700E 0093 2100 41FE","0.1902136176978195","-65.0"
"920.25","E280 1160 6000 0207 A652 516D","6.209554229361076","-33.0"
"920.25","E200 0000 0000 0000 0000 1A10","4.503767593232243","-60.5"
"920.25","E200 0000 0000 0000 0000 1A21","4.853515212870168","-68.5"
"920.25","E280 1160 6000 0207 A652 5964","1.7732817907958012","-73.0"
"920.25","E200 0000 0000 0000 0000 AAA1","0.2699806186678728","-72.5"
"913.25","E200 001D 700E 0111 2100 52AB","5.608233760509904","-62.5"
"913.25","E200 0000 0000 0000 0000 1A10","0.8222137023067037","-62.0"
"913.25","E280 1160 6000 0209 5014 ECA0","2.356194490192345","-65.5"
"913.25","E280 1160 6000 0207 A652 516D","1.8162332528565992","-31.5"
"913.25","E200 0000 0000 0000 0000 1A20","1.7916895602504288","-64.5"
"913.25","E200 001D 700E 0111 2100 52AB","5.602097837358362","-62.0"
"913.25","E200 0000 0000 0000 0000 1A11","1.0676506283684062","-66.0"
"913.25","E200 001D 700E 0093 2100 41FE","4.7860200582032","-62.0"
"913.25","E200 0000 0000 0000 0000 1A21","2.448233337465483","-69.5"
"913.25","E200 0000 0000 0000 0000 1A10","0.7976700097005334","-62.0"
"913.25","E200 0000 0000 0000 0000 1A20","1.6935147898257479","-64.0"
"913.25","E200 0000 0000 0000 0000 1A11","0.8774370106705868","-66.5"
"913.25","E280 1160 6000 0209 5014 ECA0","2.2948352586769194","-65.0"
"913.25","E200 001D 700E 0093 2100 41FE","4.914874444385594","-62.5"
"913.25","E280 1160 6000 0207 A652 516D","1.8162332528565992","-31.5"
"913.25","E200 001D 700E 0111 2100 52AB","5.485515297479052","-62.0"
"913.25","E200 0000 0000 0000 0000 1A21","2.172116795646068","-68.0"
"913.25","E200 0000 0000 0000 0000 1A20","1.6566992509164924","-64.5"
"913.25","E200 0000 0000 0000 0000 1A21","2.3193789512830896","-67.5"
"913.25","E280 1160 6000 0207 A652 516D","1.8100973297050567","-31.0"
"913.25","E200 0000 0000 0000 0000 1A11","0.9694758579437253","-67.0"
"913.25","E200 0000 0000 0000 0000 1A10","0.8283496254582462","-62.0"
"913.25","E280 1160 6000 0209 5014 ECA0","5.424156065963627","-66.0"
"913.25","E200 001D 700E 0111 2100 52AB","5.577554144752192","-63.0"
"913.25","E200 001D 700E 0093 2100 41FE","1.6689710972195777","-63.5"
"913.25","E200 0000 0000 0000 0000 1A10","0.8467573949128739","-62.5"
"913.25","E200 0000 0000 0000 0000 1A11","0.7363107781851077","-66.0"
"912.75","E280 1160 6000 0207 A652 516D","1.9512235621905356","-31.0"
"912.75","E280 1160 6000 0209 5014 ECA0","2.270291566070749","-66.0"
"912.75","E200 001D 700E 0111 2100 52AB","5.939573610693203","-62.5"
"912.75","E200 0000 0000 0000 0000 1A20","1.6382914814618648","-65.0"
"912.75","E200 0000 0000 0000 0000 1A21","2.5832236467994196","-70.0"
"912.75","E200 0000 0000 0000 0000 1A11","1.030835089459151","-66.0"
"912.75","E280 1160 6000 0207 A652 516D","1.9389517158874505","-31.0"
"912.75","E280 1160 6000 0209 5014 ECA0","2.5586799541932495","-65.5"
"912.75","E200 001D 700E 0093 2100 41FE","5.141903600992669","-62.5"
"912.75","E200 0000 0000 0000 0000 1A10","1.1044661672776617","-63.0"
"912.75","E200 0000 0000 0000 0000 1A20","1.7855536370988863","-65.0"
"912.75","E200 001D 700E 0111 2100 52AB","5.8659425328746915","-63.0"
"912.75","E200 0000 0000 0000 0000 1A21","2.650718801466388","-69.5"
"912.75","E280 1160 6000 0209 5014 ECA0","2.478912953223196","-65.5"
"912.75","E200 001D 700E 0111 2100 52AB","5.810719224510809","-62.0"
"912.75","E200 001D 700E 0093 2100 41FE","5.031456984264903","-63.0"
"912.75","E280 1160 6000 0207 A652 516D","1.932815792735908","-31.0"
"912.75","E200 0000 0000 0000 0000 1A10","1.0676506283684062","-62.5"
"912.75","E200 0000 0000 0000 0000 1A20","2.030990563160589","-64.5"
"912.75","E200 0000 0000 0000 0000 1A11","1.0246991663076084","-67.5"
"912.75","E200 0000 0000 0000 0000 1A21","2.5893595699509624","-70.0"
"912.75","E280 1160 6000 0207 A652 516D","1.9634954084936207","-31.0"
"912.75","E200 0000 0000 0000 0000 1A10","0.9572040116406401","-61.5"
"912.75","E200 001D 700E 0093 2100 41FE","5.086680292628786","-61.5"
"912.75","E200 0000 0000 0000 0000 1A20","2.0064468705544187","-63.5"
"912.75","E200 0000 0000 0000 0000 1A21","2.5464081078901644","-68.5"
