"CHANNEL","EPC","PHASE","RSSI"
"911.75","E280 1160 6000 0207 A652 516D","0.9633399347921826","-31.5"
"911.75","E200 0000 0000 0000 0000 AAA1","1.043106935762236","-72.5"
"911.75","E280 1160 6000 0209 5014 ECA0","0.15339807878856412","-68.5"
"911.75","E280 1160 6000 0207 A652 5964","0.5338253141842031","-74.0"
"911.75","E200 0000 0000 0000 0000 1A20","2.5770877236478773","-64.0"
"911.75","E280 1160 6000 0207 A652 516D","0.9756117810952678","-31.5"
"911.75","E280 1160 6000 0209 5014 ECA0","3.2888548092268146","-66.0"
"911.75","E200 001D 700E 0093 2100 41FE","6.062292073724054","-63.0"
"911.75","E200 0000 0000 0000 0000 1A11","0.7669903939428205","-65.0"
"911.75","E200 0000 0000 0000 0000 1A21","0.07363107781851078","-68.0"
"911.75","E200 0000 0000 0000 0000 AAA1","1.086058397823034","-72.0"
"911.75","E200 0000 0000 0000 0000 1A10","0.4908738521234052","-63.5"
"911.75","E200 0000 0000 0000 0000 1A20","2.5893595699509624","-62.5"
"911.75","E280 1160 6000 0207 A652 516D","0.9694758579437253","-31.5"
"911.75","E200 001D 700E 0093 2100 41FE","5.896622148632405","-64.0"
"911.75","E200 0000 0000 0000 0000 1A21","6.277049384028044","-67.5"
"911.75","E280 1160 6000 0209 5014 ECA0","0.22089323345553233","-67.0"
"911.75","E200 0000 0000 0000 0000 AAA1","4.221515128261284","-71.5"
"911.75","E280 1160 6000 0207 A652 516D","0.9633399347921826","-31.5"
"911.75","E200 0000 0000 0000 0000 1A11","0.5706408530934585","-66.0"
"911.75","E200 001D 700E 0093 2100 41FE","5.927301764390117","-64.5"
"911.75","E200 0000 0000 0000 0000 1A10","0.4724660826687775","-62.5"
"911.75","E200 0000 0000 0000 0000 1A20","2.7550294950426117","-63.5"
"911.75","E280 1160 6000 0209 5014 ECA0","3.227495577711389","-64.5"
"911.75","E200 0000 0000 0000 0000 1A21","6.19728238305799","-67.5"
"903.75","E280 1160 6000 0207 A652 516D","3.356349963893783","-29.5"
"903.75","E200 0000 0000 0000 0000 1A10","5.602097837358362","-63.5"
"903.75","E200 0000 0000 0000 0000 1A11","5.994796919057086","-67.0"
"903.75","E280 1160 6000 0209 5014 ECA0","5.5284667595398505","-68.0"
"903.75","E280 1160 6000 0207 A652 516D","3.368621810196868","-29.5"
"903.75","E200 0000 0000 0000 0000 1A10","5.64504929941916","-64.0"
"903.75","E200 0000 0000 0000 0000 1A11","6.000932842208628","-67.0"
"903.75","E200 0000 0000 0000 0000 1A10","2.742757648739526","-62.0"
"903.75","E280 1160 6000 0207 A652 516D","3.3747577333484107","-29.5"
"903.75","E200 0000 0000 0000 0000 1A11","5.994796919057086","-67.5"
"903.75","E200 0000 0000 0000 0000 1A20","0.9265243958829272","-64.5"
"903.75","E280 1160 6000 0207 A652 516D","3.368621810196868","-29.5"
"903.75","E200 0000 0000 0000 0000 1A10","5.663457068873787","-64.0"
"903.75","E200 0000 0000 0000 0000 1A20","0.9081166264282996","-65.0"
"920.25","E200 0000 0000 0000 0000 1A11","4.0558452031696355","-64.0"
"920.25","E200 0000 0000 0000 0000 1A10","3.9147189706841563","-60.5"
"920.25","E200 001D 700E 0093 2100 41FE","0.1595340019401067","-66.0"
"920.25","E280 1160 6000 0209 5014 ECA0","3.877903431774901","-71.0"
