"CHANNEL","EPC","PHASE","RSSI"
"916.25","E280 1160 6000 0207 A652 5964","0.3865631585471816","-65.5"
"916.25","E200 0000 0000 0000 0000 1A20","4.399456899656019","-63.0"
"916.25","E280 1160 6000 0207 A652 516D","1.0676506283684062","-36.5"
"916.25","E200 0000 0000 0000 0000 1A21","4.485359823777615","-66.5"
"916.25","E200 001D 700E 0093 2100 41FE","2.3623304133438876","-65.5"
"916.25","E280 1160 6000 0207 A652 5963","3.6324665057131984","-65.5"
"916.25","E280 6894 0000 4004 5E83 9511","5.706408530934585","-72.5"
"916.25","E200 0000 0000 0000 0000 1A21","4.405592822807561","-68.5"
"916.25","E280 1160 6000 0207 A652 5964","0.380427235395639","-64.0"
"916.25","E200 0000 0000 0000 0000 1A20","4.411728745959104","-63.5"
"916.25","E200 001D 700E 0093 2100 41FE","2.405281875404685","-65.5"
"916.25","E280 1160 6000 0207 A652 5963","3.718369429834794","-67.0"
"916.25","E280 1160 6000 0207 A652 516D","1.0737865515199487","-36.5"
"916.25","E200 0000 0000 0000 0000 AAA1","4.9394181369917645","-74.0"
"916.25","E280 1160 6000 0207 A652 516D","1.0615147052168636","-36.5"
"916.25","E280 1160 6000 0207 A652 5963","3.479068426924634","-66.5"
"916.25","E280 1160 6000 0207 A652 5964","0.607456392002714","-65.0"
"916.25","E200 0000 0000 0000 0000 1A21","4.76147636559703","-68.0"
"916.25","E200 0000 0000 0000 0000 1A20","4.313553975534423","-63.5"
"916.25","E200 001D 700E 0093 2100 41FE","2.552544031041707","-64.5"
"916.25","E200 0000 0000 0000 0000 1A21","4.442408361716817","-67.0"
"916.25","E200 001D 700E 0093 2100 41FE","2.564815877344792","-65.5"
"916.25","E280 1160 6000 0207 A652 5964","0.2270291566070749","-64.0"
"916.25","E280 1160 6000 0207 A652 516D","1.0799224746714913","-36.5"
"916.25","E280 1160 6000 0207 A652 5963","3.8840393549264434","-67.0"
"916.25","E200 0000 0000 0000 0000 1A20","4.430136515413731","-64.0"
"916.25","E280 1160 6000 0207 A652 5964","0.25157284921324513","-65.0"
"916.25","E280 1160 6000 0207 A652 5963","3.785864584501762","-66.5"
"916.25","E280 1160 6000 0207 A652 516D","1.086058397823034","-36.5"
"916.25","E200 001D 700E 0093 2100 41FE","2.350058567040802","-64.5"
"916.25","E200 0000 0000 0000 0000 1A20","4.522175362686871","-63.5"
"910.75","E200 0000 0000 0000 0000 1A21","1.662835174068035","-69.0"
"910.75","E200 0000 0000 0000 0000 1A20","1.4419419406125027","-64.0"
"910.75","E280 1160 6000 0207 A652 5964","3.067961575771282","-67.5"
"910.75","E280 1160 6000 0207 A652 516D","2.791845033951867","-36.0"
"910.75","E200 0000 0000 0000 0000 1A21","1.6812429435226628","-69.0"
"910.75","E280 1160 6000 0207 A652 516D","2.779573187648782","-36.0"
"910.75","E200 0000 0000 0000 0000 1A20","1.521708941582556","-63.5"
"910.75","E200 0000 0000 0000 0000 1A21","1.7241944055834606","-69.0"
"910.75","E280 1160 6000 0207 A652 5964","0.1349903093339364","-69.5"
"910.75","E200 0000 0000 0000 0000 1A20","1.5707963267948966","-63.5"
"910.75","E280 1160 6000 0207 A652 516D","2.7857091108003242","-36.0"
"910.75","E280 1160 6000 0207 A652 5964","3.2643111166206444","-66.0"
"910.75","E280 1160 6000 0207 A652 5963","2.030990563160589","-68.5"
"910.75","E200 0000 0000 0000 0000 1A21","1.7671458676442586","-69.0"
"913.75","E200 0000 0000 0000 0000 1A21","6.209554229361076","-69.0"
"913.75","E280 1160 6000 0207 A652 5963","5.798447378207723","-66.5"
"913.75","E200 0000 0000 0000 0000 1A20","5.957981380147831","-63.5"
"913.75","E280 1160 6000 0207 A652 516D","1.846912868614312","-36.0"
"913.75","E280 1160 6000 0207 A652 5964","1.761009944492716","-65.5"
"913.75","E200 0000 0000 0000 0000 1A20","5.822991070813893","-63.5"
"913.75","E280 1160 6000 0207 A652 5963","5.565282298449106","-67.5"
"913.75","E280 1160 6000 0207 A652 516D","1.846912868614312","-36.0"
"913.75","E200 0000 0000 0000 0000 1A21","6.1420590746941075","-69.0"
