"CHANNEL","EPC","PHASE","RSSI"
"924.75","E200 0000 0000 0000 0000 AAA2","1.8131652912808278","-68.0"
"924.75","E280 1160 6000 0207 A652 516D","6.17273869045182","-52.0"
"924.75","E280 1160 6000 0207 A652 5964","4.196971435655114","-68.0"
"924.75","3039 6062 03C1 DF81 968A 3967","0.18100973297050565","-65.5"
"924.75","E280 1160 6000 0207 A652 516D","3.0802334220743677","-52.0"
"924.75","E200 0000 0000 0000 0000 1A10","5.387340527054372","-61.0"
"924.75","E200 0000 0000 0000 0000 1A11","5.3627968344482015","-63.5"
"924.75","E200 001D 700E 0093 2100 41FE","6.209554229361076","-68.0"
"924.75","E280 1160 6000 0207 A652 5964","1.030835089459151","-68.5"
"924.75","E200 0000 0000 0000 0000 AAA2","2.1230294104337273","-68.0"
"924.75","E200 0000 0000 0000 0000 1A11","5.436427912266712","-64.0"
"924.75","E200 0000 0000 0000 0000 1A10","5.3198453723874035","-60.5"
"924.75","E280 1160 6000 0207 A652 516D","3.0802334220743677","-52.0"
"924.75","E280 1160 6000 0207 A652 5964","1.1290098598838318","-67.0"
"924.75","E200 001D 700E 0093 2100 41FE","6.22182607566416","-68.0"
"924.75","E200 0000 0000 0000 0000 1A11","5.540738605842936","-64.5"
"924.75","E280 1160 6000 0207 A652 516D","3.098641191528995","-52.0"
"924.75","E200 0000 0000 0000 0000 1A10","5.583690067903734","-61.0"
"924.75","E200 001D 700E 0093 2100 41FE","6.166602767300278","-68.0"
"924.75","E280 1160 6000 0207 A652 5964","1.0615147052168636","-68.0"
"924.75","E200 0000 0000 0000 0000 AAA2","2.024854640009046","-68.0"
"926.75","E280 1160 6000 0207 A652 516D","2.423689644859313","-51.0"
"926.75","E200 0000 0000 0000 0000 1A10","4.718524903536232","-62.0"
"926.75","E280 1160 6000 0207 A652 5964","6.013204688511713","-69.5"
"926.75","E200 0000 0000 0000 0000 1A11","1.7671458676442586","-66.5"
"926.75","E280 1160 6000 0207 A652 516D","2.4911847995262812","-51.0"
"926.75","E200 0000 0000 0000 0000 1A11","4.914874444385594","-63.5"
"926.75","E200 0000 0000 0000 0000 1A10","4.743068596142402","-62.0"
"926.75","E200 0000 0000 0000 0000 AAA2","0.9633399347921826","-67.5"
"926.75","E280 1160 6000 0207 A652 5964","6.0991076126333095","-69.0"
"926.75","E200 0000 0000 0000 0000 1A20","0.9081166264282996","-69.0"
"926.75","E280 1160 6000 0207 A652 516D","2.405281875404685","-51.5"
"926.75","E200 0000 0000 0000 0000 AAA2","0.7179030087304801","-66.0"
"926.75","E200 0000 0000 0000 0000 1A10","4.902602598082509","-61.5"
"926.75","E200 0000 0000 0000 0000 1A11","4.7307967498393175","-64.5"
"926.75","E280 1160 6000 0207 A652 5964","6.000932842208628","-69.0"
"926.75","E200 0000 0000 0000 0000 1A10","4.871922982324796","-62.5"
"926.75","E280 1160 6000 0207 A652 516D","2.429825568010856","-51.0"
"926.75","E200 0000 0000 0000 0000 1A11","5.0682725231741586","-65.5"
"926.75","E200 0000 0000 0000 0000 AAA2","0.6994952392758523","-66.5"
"926.75","E280 1160 6000 0207 A652 5964","5.964117303299373","-69.0"
"919.75","3039 6062 03C1 DF81 968A 3967","5.688000761479957","-62.5"
"919.75","E200 0000 0000 0000 0000 1A20","0.3620194659410113","-69.5"
"919.75","E200 0000 0000 0000 0000 1A11","1.5033011721279284","-63.0"
"919.75","E200 001D 700E 0093 2100 41FE","0.12885438618239387","-65.5"
"919.75","E280 1160 6000 0207 A652 516D","4.8351074434155406","-51.0"
"919.75","3039 6062 03C1 DF81 968A 3967","5.534602682691394","-62.5"
"919.75","E200 0000 0000 0000 0000 1A10","1.3744467859455345","-60.0"
"919.75","E280 1160 6000 0207 A652 5964","4.325825821837508","-66.5"
"919.75","E200 0000 0000 0000 0000 AAA2","4.503767593232243","-69.0"
"919.75","E200 0000 0000 0000 0000 1A11","1.368310862793992","-63.5"
"919.75","E200 001D 700E 0093 2100 41FE","6.215690152512618","-65.0"
"919.75","E200 0000 0000 0000 0000 1A10","1.1290098598838318","-60.5"
"919.75","E280 1160 6000 0207 A652 5964","4.025165587411922","-67.0"
"919.75","E280 1160 6000 0207 A652 516D","4.822835597112456","-51.0"
"919.75","3039 6062 03C1 DF81 968A 3967","5.602097837358362","-62.0"
"919.75","E200 0000 0000 0000 0000 AAA2","4.516039439535327","-69.0"
"919.75","3039 6062 03C1 DF81 968A 3967","5.810719224510809","-62.5"
"919.75","E200 0000 0000 0000 0000 1A11","1.6812429435226628","-64.5"
"919.75","E200 001D 700E 0093 2100 41FE","0.05522330836388308","-64.5"
"919.75","E280 1160 6000 0207 A652 516D","4.841243366567084","-51.5"
"919.75","E280 1160 6000 0207 A652 5964","3.9269908169872414","-66.5"
"919.75","E200 0000 0000 0000 0000 1A10","1.282407938672396","-60.0"
"919.75","E200 0000 0000 0000 0000 1A20","0.17794177139473438","-70.0"
"925.25","E200 0000 0000 0000 0000 1A11","5.3627968344482015","-64.5"
"925.25","E280 1160 6000 0207 A652 516D","2.9697868053466014","-52.0"
"925.25","E200 0000 0000 0000 0000 1A10","5.399612373357457","-61.0"
"925.25","E200 0000 0000 0000 0000 1A20","1.4542137869155878","-69.0"
"925.25","E280 1160 6000 0207 A652 5964","0.607456392002714","-68.5"
"925.25","E200 001D 700E 0093 2100 41FE","5.798447378207723","-68.0"
"925.25","E280 1160 6000 0207 A652 516D","2.9145634969827183","-51.5"
"925.25","E200 0000 0000 0000 0000 1A10","5.442563835418255","-61.0"
"925.25","E200 0000 0000 0000 0000 1A11","5.602097837358362","-64.5"
"925.25","E280 1160 6000 0207 A652 5964","0.6504078540635119","-68.5"
"925.25","E200 0000 0000 0000 0000 AAA2","1.6382914814618648","-68.0"
"925.25","E280 1160 6000 0207 A652 516D","2.9575149590435164","-51.5"
"925.25","E200 0000 0000 0000 0000 1A10","5.491651220630596","-61.5"
"925.25","E200 0000 0000 0000 0000 1A11","5.485515297479052","-63.5"
