"CHANNEL","EPC","PHASE","RSSI","TIME"
"906.25","E200 0000 0000 0000 0000 1A10","2.478912953223196","-50.5","Tue Feb 16 17:20:49 CST 2021"
"906.25","3008 33B2 DDD9 0140 0000 0000","3.497476196379262","-48.0","Tue Feb 16 17:20:49 CST 2021"
"906.25","E200 0000 0000 0000 0000 1A11","2.5034566458293663","-56.0","Tue Feb 16 17:20:49 CST 2021"
"906.25","E200 0000 0000 0000 0000 AAA1","1.859184714917397","-68.0","Tue Feb 16 17:20:49 CST 2021"
"906.25","3039 6062 C3AD 3FC0 001F 4997","5.595961914206819","-59.5","Tue Feb 16 17:20:49 CST 2021"
"906.25","E200 0000 0000 0000 0000 AAA2","3.9147189706841563","-64.5","Tue Feb 16 17:20:49 CST 2021"
"906.25","E280 1160 6000 0207 A652 5963","5.184855063053467","-68.0","Tue Feb 16 17:20:49 CST 2021"
"906.25","3035 15B8 9802 DE90 4000 11E7","0.1349903093339364","-71.5","Tue Feb 16 17:20:49 CST 2021"
"906.25","E280 1160 6000 0207 A652 5964","0.5829126993965437","-73.0","Tue Feb 16 17:20:49 CST 2021"
"911.25","E200 0000 0000 0000 0000 AAA2","1.576932249946439","-63.5","Tue Feb 16 17:20:49 CST 2021"
"911.25","3039 6062 C3AD 3FC0 001F 4997","2.337786720737717","-61.0","Tue Feb 16 17:20:49 CST 2021"
"911.25","E200 0000 0000 0000 0000 1A10","0.5767767762450011","-50.5","Tue Feb 16 17:20:49 CST 2021"
"911.25","3008 33B2 DDD9 0140 0000 0000","1.9819031779482483","-48.5","Tue Feb 16 17:20:49 CST 2021"
"911.25","E200 0000 0000 0000 0000 1A11","0.5706408530934585","-55.5","Tue Feb 16 17:20:49 CST 2021"
"911.25","E280 1160 6000 0207 A652 5963","4.09266074207889","-69.5","Tue Feb 16 17:20:49 CST 2021"
"911.25","E200 0000 0000 0000 0000 AAA2","1.4787574795217582","-63.5","Tue Feb 16 17:20:49 CST 2021"
"911.25","3008 33B2 DDD9 0140 0000 0000","1.9941750242513334","-48.5","Tue Feb 16 17:20:49 CST 2021"
"911.25","E200 0000 0000 0000 0000 1A10","0.5645049299419159","-50.5","Tue Feb 16 17:20:49 CST 2021"
"911.25","E200 0000 0000 0000 0000 1A11","0.47860200582032003","-55.5","Tue Feb 16 17:20:49 CST 2021"
"911.25","3039 6062 C3AD 3FC0 001F 4997","2.2457478734645786","-61.5","Tue Feb 16 17:20:49 CST 2021"
"911.25","E280 1160 6000 0207 A652 5963","0.8958447801252144","-69.5","Tue Feb 16 17:20:49 CST 2021"
