"CHANNEL","EPC","PHASE","RSSI","TIME"
"917.75","3008 33B2 DDD9 0140 0000 0000","3.5833791205008576","-54.0","Tue Feb 16 17:36:11 CST 2021"
"917.75","E280 1160 6000 0207 A652 5964","0.4663301595172349","-61.5","Tue Feb 16 17:36:11 CST 2021"
"917.75","E200 0000 0000 0000 0000 1A10","5.792311455056181","-57.5","Tue Feb 16 17:36:11 CST 2021"
"917.75","E200 0000 0000 0000 0000 1A11","5.915029918087033","-62.0","Tue Feb 16 17:36:11 CST 2021"
"917.75","E200 0000 0000 0000 0000 1A11","5.915029918087033","-62.0","Tue Feb 16 17:36:12 CST 2021"
"917.75","3008 33B2 DDD9 0140 0000 0000","3.5711072741977725","-54.0","Tue Feb 16 17:36:12 CST 2021"
"917.75","E280 1160 6000 0207 A652 5964","0.4295146206079795","-62.0","Tue Feb 16 17:36:12 CST 2021"
"917.75","E200 0000 0000 0000 0000 1A10","5.780039608753096","-57.0","Tue Feb 16 17:36:12 CST 2021"
"917.75","3008 33B2 DDD9 0140 0000 0000","3.6324665057131984","-54.5","Tue Feb 16 17:36:12 CST 2021"
"917.75","E200 0000 0000 0000 0000 1A11","5.786175531904639","-62.5","Tue Feb 16 17:36:12 CST 2021"
"917.75","E280 1160 6000 0207 A652 5964","0.5522330836388308","-62.0","Tue Feb 16 17:36:12 CST 2021"
"917.75","E200 0000 0000 0000 0000 1A10","5.9088939949354895","-57.0","Tue Feb 16 17:36:12 CST 2021"
"918.75","E200 0000 0000 0000 0000 1A10","5.396544411781686","-58.0","Tue Feb 16 17:36:12 CST 2021"
"918.75","3008 33B2 DDD9 0140 0000 0000","0.12885438618239387","-55.0","Tue Feb 16 17:36:12 CST 2021"
"918.75","E200 0000 0000 0000 0000 1A11","5.433359950690941","-63.5","Tue Feb 16 17:36:12 CST 2021"
"918.75","E280 1160 6000 0207 A652 5964","6.1942144214822195","-62.0","Tue Feb 16 17:36:12 CST 2021"
"918.75","3008 33B2 DDD9 0140 0000 0000","3.32567034813607","-54.5","Tue Feb 16 17:36:12 CST 2021"
"918.75","E200 0000 0000 0000 0000 1A11","5.497787143782138","-62.5","Tue Feb 16 17:36:12 CST 2021"
"918.75","E200 0000 0000 0000 0000 1A10","5.442563835418255","-57.5","Tue Feb 16 17:36:12 CST 2021"
