"CHANNEL","EPC","PHASE","RSSI","TIME"
"923.75","E200 0000 0000 0000 0000 1A11","2.7120780329818137","-62.5","Tue Feb 16 13:47:46 CST 2021"
"923.75","3008 33B2 DDD9 0140 0000 0000","1.2455923997631406","-53.0","Tue Feb 16 13:47:46 CST 2021"
"923.75","E280 1160 6000 0207 A652 5963","4.669437518323892","-69.0","Tue Feb 16 13:47:46 CST 2021"
"923.75","E280 1160 6000 0209 5014 ECA0","1.8100973297050567","-69.0","Tue Feb 16 13:47:46 CST 2021"
"923.75","E200 0000 0000 0000 0000 1A10","2.6016314162540475","-57.5","Tue Feb 16 13:47:46 CST 2021"
"923.75","E200 0000 0000 0000 0000 AAA2","5.141903600992669","-71.0","Tue Feb 16 13:47:46 CST 2021"
"923.75","E280 1160 6000 0207 A652 5964","5.816855147662351","-70.5","Tue Feb 16 13:47:46 CST 2021"
"915.25","3008 33B2 DDD9 0140 0000 0000","3.9576704327449543","-54.0","Tue Feb 16 13:47:46 CST 2021"
"915.25","E200 0000 0000 0000 0000 1A11","5.957981380147831","-63.0","Tue Feb 16 13:47:46 CST 2021"
"915.25","E200 0000 0000 0000 0000 1A10","5.915029918087033","-58.0","Tue Feb 16 13:47:46 CST 2021"
"915.25","E280 1160 6000 0207 A652 5964","0.9326603190344698","-70.0","Tue Feb 16 13:47:46 CST 2021"
"915.25","3035 15B8 9802 DE90 4000 11E7","5.632777453116074","-76.0","Tue Feb 16 13:47:46 CST 2021"
"915.25","E280 1160 6000 0209 5014 ECA0","3.8963112012295285","-74.0","Tue Feb 16 13:47:46 CST 2021"
"915.25","E280 1160 6000 0207 A652 516D","5.792311455056181","-75.5","Tue Feb 16 13:47:46 CST 2021"
"915.25","E200 0000 0000 0000 0000 1A11","5.915029918087033","-62.5","Tue Feb 16 13:47:46 CST 2021"
"915.25","3008 33B2 DDD9 0140 0000 0000","3.9085830475326135","-54.5","Tue Feb 16 13:47:46 CST 2021"
"915.25","E200 0000 0000 0000 0000 1A10","5.8659425328746915","-58.0","Tue Feb 16 13:47:46 CST 2021"
"915.25","E280 1160 6000 0207 A652 5964","0.8283496254582462","-71.0","Tue Feb 16 13:47:46 CST 2021"
"915.25","E280 1160 6000 0209 5014 ECA0","0.7731263170943632","-74.0","Tue Feb 16 13:47:46 CST 2021"
"915.25","E280 1160 6000 0207 A652 5964","0.7915340865489908","-70.0","Tue Feb 16 13:47:46 CST 2021"
"915.25","E200 0000 0000 0000 0000 1A10","5.884350302329319","-58.0","Tue Feb 16 13:47:46 CST 2021"
"915.25","E200 0000 0000 0000 0000 1A11","5.994796919057086","-63.0","Tue Feb 16 13:47:46 CST 2021"
"915.25","3008 33B2 DDD9 0140 0000 0000","3.9147189706841563","-54.0","Tue Feb 16 13:47:46 CST 2021"
"915.25","E280 1160 6000 0207 A652 516D","5.884350302329319","-76.5","Tue Feb 16 13:47:46 CST 2021"
"915.25","E280 1160 6000 0209 5014 ECA0","3.792000507653305","-73.5","Tue Feb 16 13:47:46 CST 2021"
"906.25","3039 6062 C3AD 3FC0 001F 4997","4.95168998329485","-61.5","Tue Feb 16 13:47:46 CST 2021"
"906.25","E200 0000 0000 0000 0000 1A20","4.994641445355648","-65.0","Tue Feb 16 13:47:46 CST 2021"
"906.25","E200 0000 0000 0000 0000 1A11","2.804116880254952","-62.0","Tue Feb 16 13:47:46 CST 2021"
"906.25","3008 33B2 DDD9 0140 0000 0000","0.09203884727313846","-54.0","Tue Feb 16 13:47:46 CST 2021"
"906.25","3039 6062 C3AD 3FC0 001F 4997","4.963961829597935","-61.5","Tue Feb 16 13:47:46 CST 2021"
"906.25","E200 0000 0000 0000 0000 1A10","2.724349879284899","-57.5","Tue Feb 16 13:47:46 CST 2021"
"906.25","E280 1160 6000 0207 A652 5964","0.5154175447295755","-74.5","Tue Feb 16 13:47:46 CST 2021"
"906.25","3008 33B2 DDD9 0140 0000 0000","0.09203884727313846","-54.0","Tue Feb 16 13:47:46 CST 2021"
"906.25","E200 0000 0000 0000 0000 1A11","2.816388726558037","-62.0","Tue Feb 16 13:47:46 CST 2021"
"906.25","E200 0000 0000 0000 0000 1A10","2.7120780329818137","-57.5","Tue Feb 16 13:47:46 CST 2021"
"906.25","3039 6062 C3AD 3FC0 001F 4997","4.865787059173254","-61.0","Tue Feb 16 13:47:46 CST 2021"
"906.25","E200 0000 0000 0000 0000 1A20","5.013049214810275","-65.0","Tue Feb 16 13:47:46 CST 2021"
"906.25","E280 1160 6000 0207 A652 5964","0.44178646691106466","-75.0","Tue Feb 16 13:47:46 CST 2021"
"906.25","E200 0000 0000 0000 0000 1A20","5.037592907416445","-65.0","Tue Feb 16 13:47:46 CST 2021"
"906.25","E200 0000 0000 0000 0000 1A11","2.748893571891069","-62.5","Tue Feb 16 13:47:46 CST 2021"
"906.25","3039 6062 C3AD 3FC0 001F 4997","4.970097752749477","-60.5","Tue Feb 16 13:47:46 CST 2021"
"906.25","3008 33B2 DDD9 0140 0000 0000","0.1043106935762236","-54.0","Tue Feb 16 13:47:46 CST 2021"
"906.25","E200 0000 0000 0000 0000 1A10","2.6261751088602177","-57.5","Tue Feb 16 13:47:46 CST 2021"
"906.25","E280 1160 6000 0207 A652 5964","0.5583690067903734","-74.5","Tue Feb 16 13:47:46 CST 2021"
"906.25","E200 0000 0000 0000 0000 1A20","4.97623367590102","-65.0","Tue Feb 16 13:47:46 CST 2021"
"911.25","3008 33B2 DDD9 0140 0000 0000","5.0253210611133605","-53.5","Tue Feb 16 13:47:46 CST 2021"
