"CHANNEL","EPC","PHASE","RSSI","TIME"
"904.25","E200 0000 0000 0000 0000 1A10","3.9576704327449543","-54.0","Tue Feb 16 16:55:46 CST 2021"
"904.25","3008 33B2 DDD9 0140 0000 0000","0.9817477042468103","-55.5","Tue Feb 16 16:55:46 CST 2021"
"904.25","3039 6062 C3AD 3FC0 001F 4997","0.36815538909255385","-59.0","Tue Feb 16 16:55:46 CST 2021"
"904.25","E200 0000 0000 0000 0000 1A11","4.154019973594316","-59.0","Tue Feb 16 16:55:46 CST 2021"
"904.25","E200 0000 0000 0000 0000 AAA2","3.663146121470911","-64.5","Tue Feb 16 16:55:46 CST 2021"
"904.25","3039 6062 C3AD 3FC0 001F 4997","0.3620194659410113","-58.5","Tue Feb 16 16:55:46 CST 2021"
"904.25","3035 15B8 9802 DE90 4000 11E7","4.325825821837508","-66.5","Tue Feb 16 16:55:46 CST 2021"
"904.25","3008 33B2 DDD9 0140 0000 0000","1.055378782065321","-55.5","Tue Feb 16 16:55:46 CST 2021"
"904.25","E200 0000 0000 0000 0000 1A11","3.9576704327449543","-58.5","Tue Feb 16 16:55:46 CST 2021"
"904.25","E200 0000 0000 0000 0000 1A10","4.031301510563465","-54.0","Tue Feb 16 16:55:46 CST 2021"
"904.25","E280 1160 6000 0207 A652 5964","4.933282213840222","-66.5","Tue Feb 16 16:55:46 CST 2021"
"904.25","E200 0000 0000 0000 0000 AAA1","6.209554229361076","-72.5","Tue Feb 16 16:55:46 CST 2021"
"904.25","E200 0000 0000 0000 0000 AAA2","3.5588354278946874","-64.5","Tue Feb 16 16:55:46 CST 2021"
"904.25","E200 0000 0000 0000 0000 1A11","4.049709280018092","-59.0","Tue Feb 16 16:55:46 CST 2021"
"904.25","3039 6062 C3AD 3FC0 001F 4997","0.3374757733348411","-58.5","Tue Feb 16 16:55:46 CST 2021"
"904.25","3008 33B2 DDD9 0140 0000 0000","0.9817477042468103","-55.5","Tue Feb 16 16:55:46 CST 2021"
"904.25","E200 0000 0000 0000 0000 1A10","4.04357335686655","-53.5","Tue Feb 16 16:55:46 CST 2021"
"904.25","3035 15B8 9802 DE90 4000 11E7","4.626486056263094","-65.0","Tue Feb 16 16:55:46 CST 2021"
"904.25","E280 1160 6000 0207 A652 5964","4.7307967498393175","-67.0","Tue Feb 16 16:55:46 CST 2021"
"904.25","E280 1160 6000 0207 A652 5963","0.18407769454627693","-70.0","Tue Feb 16 16:55:46 CST 2021"
"904.25","E200 0000 0000 0000 0000 AAA1","6.080699843178682","-72.5","Tue Feb 16 16:55:46 CST 2021"
"904.25","3039 6062 C3AD 3FC0 001F 4997","0.4049709280018093","-58.5","Tue Feb 16 16:55:46 CST 2021"
"904.25","E200 0000 0000 0000 0000 1A10","4.06811704947272","-54.0","Tue Feb 16 16:55:46 CST 2021"
"904.25","E200 0000 0000 0000 0000 1A11","4.111068511533518","-58.5","Tue Feb 16 16:55:46 CST 2021"
"904.25","3035 15B8 9802 DE90 4000 11E7","4.448544284868359","-66.5","Tue Feb 16 16:55:46 CST 2021"
"904.25","3008 33B2 DDD9 0140 0000 0000","1.0615147052168636","-55.0","Tue Feb 16 16:55:46 CST 2021"
"904.25","E280 1160 6000 0207 A652 5964","5.295301679781233","-68.0","Tue Feb 16 16:55:46 CST 2021"
"904.25","E200 0000 0000 0000 0000 AAA2","3.6815538909255388","-65.0","Tue Feb 16 16:55:46 CST 2021"
"904.25","E200 0000 0000 0000 0000 AAA1","6.080699843178682","-72.5","Tue Feb 16 16:55:46 CST 2021"
"904.25","E280 1160 6000 0207 A652 5963","0.16566992509164924","-70.0","Tue Feb 16 16:55:46 CST 2021"
"909.25","E200 0000 0000 0000 0000 1A11","2.2886993355253766","-58.5","Tue Feb 16 16:55:46 CST 2021"
"909.25","E200 0000 0000 0000 0000 1A10","2.1598449493429825","-53.5","Tue Feb 16 16:55:46 CST 2021"
"909.25","3008 33B2 DDD9 0140 0000 0000","6.056156150572511","-56.5","Tue Feb 16 16:55:46 CST 2021"
"909.25","3039 6062 C3AD 3FC0 001F 4997","3.4606606574700063","-60.0","Tue Feb 16 16:55:46 CST 2021"
"909.25","E200 0000 0000 0000 0000 AAA2","1.3314953238847365","-64.5","Tue Feb 16 16:55:46 CST 2021"
"909.25","3035 15B8 9802 DE90 4000 11E7","1.1106020904292042","-70.0","Tue Feb 16 16:55:46 CST 2021"
"909.25","E280 1160 6000 0207 A652 5964","5.780039608753096","-73.5","Tue Feb 16 16:55:46 CST 2021"
"909.25","E200 0000 0000 0000 0000 AAA1","5.792311455056181","-74.0","Tue Feb 16 16:55:46 CST 2021"
"909.25","E200 0000 0000 0000 0000 AAA2","1.3192234775816514","-64.0","Tue Feb 16 16:55:47 CST 2021"
"909.25","E200 0000 0000 0000 0000 1A10","2.227340104009951","-53.5","Tue Feb 16 16:55:47 CST 2021"
"909.25","3039 6062 C3AD 3FC0 001F 4997","3.356349963893783","-60.0","Tue Feb 16 16:55:47 CST 2021"
"909.25","E200 0000 0000 0000 0000 1A11","2.3071071049800045","-58.5","Tue Feb 16 16:55:47 CST 2021"
"909.25","3008 33B2 DDD9 0140 0000 0000","6.000932842208628","-56.5","Tue Feb 16 16:55:47 CST 2021"
"909.25","3035 15B8 9802 DE90 4000 11E7","1.1351457830353744","-70.0","Tue Feb 16 16:55:47 CST 2021"
"909.25","E280 1160 6000 0207 A652 5964","6.129787228391022","-74.0","Tue Feb 16 16:55:47 CST 2021"
"909.25","E200 0000 0000 0000 0000 1A11","2.2948352586769194","-58.5","Tue Feb 16 16:55:47 CST 2021"
"909.25","3008 33B2 DDD9 0140 0000 0000","6.013204688511713","-56.5","Tue Feb 16 16:55:47 CST 2021"
"909.25","E200 0000 0000 0000 0000 1A10","2.184388641949153","-53.5","Tue Feb 16 16:55:47 CST 2021"
"909.25","3039 6062 C3AD 3FC0 001F 4997","3.380893656499953","-59.5","Tue Feb 16 16:55:47 CST 2021"
"909.25","E200 0000 0000 0000 0000 AAA2","1.2026409377023426","-64.5","Tue Feb 16 16:55:47 CST 2021"
"909.25","3035 15B8 9802 DE90 4000 11E7","4.313553975534423","-70.0","Tue Feb 16 16:55:47 CST 2021"
"909.25","E280 1160 6000 0207 A652 5963","5.50392306693368","-69.5","Tue Feb 16 16:55:47 CST 2021"
"909.25","E200 0000 0000 0000 0000 AAA1","5.896622148632405","-74.0","Tue Feb 16 16:55:47 CST 2021"
