"CHANNEL","EPC","PHASE","RSSI","TIME"
"919.75","E200 0000 0000 0000 0000 1A10","3.9638063558964967","-52.5","Tue Feb 16 13:39:53 CST 2021"
"919.75","E200 0000 0000 0000 0000 1A11","3.8963112012295285","-57.5","Tue Feb 16 13:39:53 CST 2021"
"919.75","3008 33B2 DDD9 0140 0000 0000","1.6260196351587797","-44.5","Tue Feb 16 13:39:53 CST 2021"
"919.75","E200 0000 0000 0000 0000 AAA2","0.3988350048502667","-66.0","Tue Feb 16 13:39:53 CST 2021"
"919.75","3039 6062 C3AD 3FC0 001F 4997","2.6016314162540475","-61.5","Tue Feb 16 13:39:53 CST 2021"
"919.75","E200 0000 0000 0000 0000 1A10","3.9515345095934116","-52.5","Tue Feb 16 13:39:53 CST 2021"
"919.75","E200 0000 0000 0000 0000 AAA2","0.4908738521234052","-66.0","Tue Feb 16 13:39:53 CST 2021"
"919.75","3039 6062 C3AD 3FC0 001F 4997","2.6875343403756435","-62.0","Tue Feb 16 13:39:53 CST 2021"
"919.75","3008 33B2 DDD9 0140 0000 0000","1.6382914814618648","-45.0","Tue Feb 16 13:39:53 CST 2021"
"919.75","E200 0000 0000 0000 0000 1A11","3.902447124381071","-57.5","Tue Feb 16 13:39:53 CST 2021"
"919.75","E200 0000 0000 0000 0000 1A11","3.9638063558964967","-58.0","Tue Feb 16 13:39:53 CST 2021"
"919.75","3008 33B2 DDD9 0140 0000 0000","1.6321555583103222","-45.0","Tue Feb 16 13:39:53 CST 2021"
"919.75","E200 0000 0000 0000 0000 1A10","3.9515345095934116","-52.5","Tue Feb 16 13:39:53 CST 2021"
"919.75","E200 0000 0000 0000 0000 AAA2","0.39269908169872414","-66.0","Tue Feb 16 13:39:53 CST 2021"
"919.75","3039 6062 C3AD 3FC0 001F 4997","2.6200391857086753","-62.0","Tue Feb 16 13:39:53 CST 2021"
"903.75","E280 1160 6000 0207 A652 5964","2.736621725587984","-67.5","Tue Feb 16 13:39:53 CST 2021"
"903.75","E200 0000 0000 0000 0000 1A11","3.4177091954092087","-57.0","Tue Feb 16 13:39:53 CST 2021"
"903.75","E200 0000 0000 0000 0000 1A10","3.429981041712294","-52.0","Tue Feb 16 13:39:53 CST 2021"
"903.75","3008 33B2 DDD9 0140 0000 0000","6.19728238305799","-46.0","Tue Feb 16 13:39:53 CST 2021"
"903.75","3039 6062 C3AD 3FC0 001F 4997","0.07363107781851078","-59.0","Tue Feb 16 13:39:53 CST 2021"
"903.75","E280 1160 6000 0207 A652 5964","2.8838838812250054","-67.5","Tue Feb 16 13:39:53 CST 2021"
"903.75","E200 0000 0000 0000 0000 1A20","5.632777453116074","-70.0","Tue Feb 16 13:39:53 CST 2021"
"903.75","E200 0000 0000 0000 0000 1A20","5.773903685601553","-68.0","Tue Feb 16 13:39:53 CST 2021"
"903.75","3008 33B2 DDD9 0140 0000 0000","6.215690152512618","-46.5","Tue Feb 16 13:39:53 CST 2021"
