"CHANNEL","EPC","PHASE","RSSI","TIME"
"916.75","E280 1160 6000 0207 A652 5964","0.5767767762450011","-64.5","Tue Feb 16 16:59:40 CST 2021"
"916.75","3008 33B2 DDD9 0140 0000 0000","2.9329712664373457","-52.0","Tue Feb 16 16:59:40 CST 2021"
"916.75","E200 0000 0000 0000 0000 1A10","5.019185137961818","-50.5","Tue Feb 16 16:59:40 CST 2021"
"916.75","E200 0000 0000 0000 0000 1A11","5.056000676871073","-56.0","Tue Feb 16 16:59:40 CST 2021"
"916.75","E200 0000 0000 0000 0000 1A20","5.424156065963627","-70.5","Tue Feb 16 16:59:40 CST 2021"
"916.25","E280 1160 6000 0207 A652 5964","0.5706408530934585","-64.5","Tue Feb 16 16:59:40 CST 2021"
"916.25","E200 0000 0000 0000 0000 1A10","5.160311370447297","-51.0","Tue Feb 16 16:59:40 CST 2021"
"916.25","3008 33B2 DDD9 0140 0000 0000","3.141592653589793","-52.0","Tue Feb 16 16:59:40 CST 2021"
"916.25","E200 0000 0000 0000 0000 1A11","5.203262832508095","-56.0","Tue Feb 16 16:59:40 CST 2021"
"916.25","E200 0000 0000 0000 0000 1A20","2.478912953223196","-70.5","Tue Feb 16 16:59:40 CST 2021"
"916.25","E200 0000 0000 0000 0000 1A10","5.111223985234957","-50.5","Tue Feb 16 16:59:40 CST 2021"
"916.25","E280 1160 6000 0207 A652 5964","0.6749515466696822","-64.5","Tue Feb 16 16:59:40 CST 2021"
"916.25","3008 33B2 DDD9 0140 0000 0000","3.1784081924990484","-52.0","Tue Feb 16 16:59:40 CST 2021"
"916.25","E200 0000 0000 0000 0000 1A11","5.258486140871978","-56.0","Tue Feb 16 16:59:40 CST 2021"
"916.25","E200 0000 0000 0000 0000 1A11","5.221670601962723","-56.0","Tue Feb 16 16:59:40 CST 2021"
"916.25","3008 33B2 DDD9 0140 0000 0000","3.147728576741336","-52.0","Tue Feb 16 16:59:40 CST 2021"
"916.25","E280 1160 6000 0207 A652 5964","0.9142525495798421","-65.0","Tue Feb 16 16:59:40 CST 2021"
"916.25","E200 0000 0000 0000 0000 1A10","5.227806525114265","-51.0","Tue Feb 16 16:59:40 CST 2021"
"916.25","E200 0000 0000 0000 0000 1A10","5.240078371417351","-50.5","Tue Feb 16 16:59:40 CST 2021"
