"CHANNEL","EPC","PHASE","RSSI","TIME"
"910.25","E200 0000 0000 0000 0000 AAA2","1.423534171157875","-66.0","Tue Feb 16 17:09:36 CST 2021"
"910.25","E200 0000 0000 0000 0000 1A10","1.423534171157875","-52.0","Tue Feb 16 17:09:36 CST 2021"
"910.25","3039 6062 C3AD 3FC0 001F 4997","3.3747577333484107","-59.0","Tue Feb 16 17:09:36 CST 2021"
"910.25","3008 33B2 DDD9 0140 0000 0000","3.0372819600135696","-54.0","Tue Feb 16 17:09:36 CST 2021"
"910.25","E200 0000 0000 0000 0000 1A11","1.368310862793992","-57.0","Tue Feb 16 17:09:36 CST 2021"
"910.25","E280 1160 6000 0207 A652 5963","5.0682725231741586","-70.0","Tue Feb 16 17:09:36 CST 2021"
"910.25","E200 0000 0000 0000 0000 1A20","6.000932842208628","-67.5","Tue Feb 16 17:09:36 CST 2021"
"910.25","E200 0000 0000 0000 0000 AAA1","5.663457068873787","-74.5","Tue Feb 16 17:09:36 CST 2021"
"927.25","E280 1160 6000 0207 A652 5963","2.356194490192345","-68.0","Tue Feb 16 17:09:36 CST 2021"
"927.25","E200 0000 0000 0000 0000 AAA2","0.662679700366597","-63.5","Tue Feb 16 17:09:36 CST 2021"
"927.25","3008 33B2 DDD9 0140 0000 0000","4.2031073588066565","-57.0","Tue Feb 16 17:09:36 CST 2021"
"927.25","E200 0000 0000 0000 0000 1A10","1.4603497100671303","-52.5","Tue Feb 16 17:09:36 CST 2021"
"927.25","E200 0000 0000 0000 0000 1A11","1.380582709097077","-57.5","Tue Feb 16 17:09:36 CST 2021"
"927.25","3008 33B2 DDD9 0140 0000 0000","4.172427743048944","-56.5","Tue Feb 16 17:09:36 CST 2021"
"927.25","E200 0000 0000 0000 0000 1A11","1.3989904785517047","-57.5","Tue Feb 16 17:09:36 CST 2021"
"927.25","E200 0000 0000 0000 0000 AAA2","0.8099418560036186","-62.5","Tue Feb 16 17:09:36 CST 2021"
"927.25","E200 0000 0000 0000 0000 1A10","1.4971652489763858","-52.5","Tue Feb 16 17:09:36 CST 2021"
"927.25","E280 1160 6000 0207 A652 5964","1.4051264017032472","-68.0","Tue Feb 16 17:09:36 CST 2021"
"927.25","E280 1160 6000 0207 A652 5963","5.246214294568893","-70.0","Tue Feb 16 17:09:36 CST 2021"
"927.25","E200 0000 0000 0000 0000 AAA1","1.6014759425526093","-74.0","Tue Feb 16 17:09:36 CST 2021"
"927.25","E200 0000 0000 0000 0000 1A10","1.5033011721279284","-52.5","Tue Feb 16 17:09:36 CST 2021"
"927.25","3008 33B2 DDD9 0140 0000 0000","4.135612204139688","-56.5","Tue Feb 16 17:09:36 CST 2021"
"927.25","E200 0000 0000 0000 0000 1A11","1.5155730184310134","-57.5","Tue Feb 16 17:09:36 CST 2021"
"927.25","E200 0000 0000 0000 0000 AAA2","0.5706408530934585","-62.5","Tue Feb 16 17:09:36 CST 2021"
"927.25","E280 1160 6000 0207 A652 5964","1.662835174068035","-68.0","Tue Feb 16 17:09:36 CST 2021"
"927.25","E200 0000 0000 0000 0000 AAA1","1.9144080232812801","-74.5","Tue Feb 16 17:09:36 CST 2021"
"927.25","E280 1160 6000 0207 A652 5963","5.356660911296659","-70.0","Tue Feb 16 17:09:36 CST 2021"
"927.25","E280 1160 6000 0207 A652 5964","1.2578642460662257","-69.0","Tue Feb 16 17:09:36 CST 2021"
