"CHANNEL","EPC","PHASE","RSSI","TIME"
"907.75","3039 6062 C3AD 3FC0 001F 4997","4.601942363656923","-60.5","Tue Feb 16 17:11:31 CST 2021"
"907.75","E200 0000 0000 0000 0000 1A11","1.736466251886546","-58.0","Tue Feb 16 17:11:31 CST 2021"
"907.75","3008 33B2 DDD9 0140 0000 0000","4.0987966652304335","-50.0","Tue Feb 16 17:11:31 CST 2021"
"907.75","E280 1160 6000 0207 A652 5964","4.638757902566179","-61.5","Tue Feb 16 17:11:31 CST 2021"
"907.75","E200 0000 0000 0000 0000 1A10","1.7426021750380885","-53.0","Tue Feb 16 17:11:31 CST 2021"
"907.75","3035 15B8 9802 DE90 4000 11E7","0.6504078540635119","-70.5","Tue Feb 16 17:11:31 CST 2021"
"907.75","E200 0000 0000 0000 0000 AAA1","1.3437671701878218","-73.0","Tue Feb 16 17:11:31 CST 2021"
"907.75","3039 6062 C3AD 3FC0 001F 4997","4.890330751779424","-60.0","Tue Feb 16 17:11:31 CST 2021"
"907.75","E200 0000 0000 0000 0000 1A11","1.748738098189631","-58.5","Tue Feb 16 17:11:31 CST 2021"
"907.75","E280 1160 6000 0207 A652 5964","4.399456899656019","-61.5","Tue Feb 16 17:11:31 CST 2021"
"907.75","E200 0000 0000 0000 0000 1A10","1.7241944055834606","-53.5","Tue Feb 16 17:11:31 CST 2021"
"907.75","3008 33B2 DDD9 0140 0000 0000","4.080388895775806","-50.0","Tue Feb 16 17:11:31 CST 2021"
"907.75","3035 15B8 9802 DE90 4000 11E7","0.7179030087304801","-69.0","Tue Feb 16 17:11:31 CST 2021"
"907.75","E200 0000 0000 0000 0000 AAA1","4.344233591292136","-73.0","Tue Feb 16 17:11:31 CST 2021"
"907.75","3008 33B2 DDD9 0140 0000 0000","4.104932588381976","-50.0","Tue Feb 16 17:11:31 CST 2021"
"907.75","E200 0000 0000 0000 0000 1A10","1.718058482431918","-53.0","Tue Feb 16 17:11:31 CST 2021"
"907.75","3039 6062 C3AD 3FC0 001F 4997","4.71238898038469","-59.5","Tue Feb 16 17:11:31 CST 2021"
"907.75","E200 0000 0000 0000 0000 1A11","1.6996507129772904","-58.0","Tue Feb 16 17:11:31 CST 2021"
"907.75","E280 1160 6000 0207 A652 5964","4.381049130201391","-62.5","Tue Feb 16 17:11:31 CST 2021"
"907.75","E280 1160 6000 0207 A652 5963","0.9326603190344698","-69.5","Tue Feb 16 17:11:31 CST 2021"
"907.75","E200 0000 0000 0000 0000 AAA1","4.319689898685965","-73.0","Tue Feb 16 17:11:31 CST 2021"
"907.75","3035 15B8 9802 DE90 4000 11E7","0.8774370106705868","-70.0","Tue Feb 16 17:11:31 CST 2021"
"926.25","E200 0000 0000 0000 0000 1A10","1.1903690913992575","-53.0","Tue Feb 16 17:11:31 CST 2021"
"926.25","3008 33B2 DDD9 0140 0000 0000","4.485359823777615","-51.5","Tue Feb 16 17:11:31 CST 2021"
"926.25","E200 0000 0000 0000 0000 1A11","1.086058397823034","-58.0","Tue Feb 16 17:11:31 CST 2021"
"926.25","E280 1160 6000 0207 A652 5964","2.110757564130642","-62.5","Tue Feb 16 17:11:31 CST 2021"
"926.25","E280 1160 6000 0207 A652 5963","0.030679615757712823","-71.5","Tue Feb 16 17:11:31 CST 2021"
