"CHANNEL","EPC","PHASE","RSSI","TIME"
"910.25","E200 0000 0000 0000 0000 AAA2","1.8407769454627694","-65.0","Tue Feb 16 17:40:30 CST 2021"
"910.25","3008 33B2 DDD9 0140 0000 0000","3.785864584501762","-55.5","Tue Feb 16 17:40:30 CST 2021"
"910.25","E200 0000 0000 0000 0000 1A20","2.1353012567368124","-65.5","Tue Feb 16 17:40:30 CST 2021"
"910.25","E200 0000 0000 0000 0000 1A11","1.1228739367322893","-59.0","Tue Feb 16 17:40:30 CST 2021"
"910.25","E200 0000 0000 0000 0000 1A10","1.1290098598838318","-54.0","Tue Feb 16 17:40:30 CST 2021"
"910.25","3035 15B8 9802 DE90 4000 11E7","5.71868037723767","-66.0","Tue Feb 16 17:40:30 CST 2021"
"910.25","E280 1160 6000 0207 A652 5964","3.54042765844006","-66.5","Tue Feb 16 17:40:30 CST 2021"
"910.25","E200 0000 0000 0000 0000 AAA1","5.399612373357457","-70.5","Tue Feb 16 17:40:30 CST 2021"
"910.25","E200 0000 0000 0000 0000 1A11","1.2578642460662257","-59.0","Tue Feb 16 17:40:30 CST 2021"
"910.25","3008 33B2 DDD9 0140 0000 0000","3.8963112012295285","-56.0","Tue Feb 16 17:40:30 CST 2021"
"910.25","E200 0000 0000 0000 0000 1A10","1.2087768608538851","-54.5","Tue Feb 16 17:40:30 CST 2021"
"910.25","E200 0000 0000 0000 0000 1A20","2.2027964114037806","-66.0","Tue Feb 16 17:40:30 CST 2021"
"910.25","E200 0000 0000 0000 0000 AAA2","1.6873788666742053","-65.0","Tue Feb 16 17:40:30 CST 2021"
"910.25","3035 15B8 9802 DE90 4000 11E7","5.810719224510809","-66.5","Tue Feb 16 17:40:30 CST 2021"
"910.25","E280 1160 6000 0207 A652 5964","3.509748042682347","-66.0","Tue Feb 16 17:40:30 CST 2021"
"910.25","E200 0000 0000 0000 0000 AAA1","5.546874528994478","-70.5","Tue Feb 16 17:40:30 CST 2021"
"910.25","E200 0000 0000 0000 0000 1A10","1.1535535524900022","-54.5","Tue Feb 16 17:40:30 CST 2021"
"927.25","E200 0000 0000 0000 0000 AAA2","0.30066023442558565","-69.5","Tue Feb 16 17:40:30 CST 2021"
"927.25","E200 0000 0000 0000 0000 1A11","4.166291819897402","-62.0","Tue Feb 16 17:40:30 CST 2021"
"927.25","E200 0000 0000 0000 0000 AAA1","0.944932165337555","-71.5","Tue Feb 16 17:40:30 CST 2021"
"927.25","E280 1160 6000 0207 A652 5964","1.1136700520049756","-69.5","Tue Feb 16 17:40:30 CST 2021"
"927.25","E280 1160 6000 0207 A652 5963","5.393476450205914","-71.0","Tue Feb 16 17:40:30 CST 2021"
"927.25","3008 33B2 DDD9 0140 0000 0000","2.3101750665557756","-52.0","Tue Feb 16 17:40:30 CST 2021"
"927.25","E200 0000 0000 0000 0000 1A10","0.9387962421860124","-56.0","Tue Feb 16 17:40:30 CST 2021"
"927.25","3008 33B2 DDD9 0140 0000 0000","5.516194913236766","-51.5","Tue Feb 16 17:40:30 CST 2021"
"927.25","E200 0000 0000 0000 0000 1A11","0.9817477042468103","-61.0","Tue Feb 16 17:40:30 CST 2021"
