"CHANNEL","EPC","PHASE","RSSI","TIME"
"917.25","E200 0000 0000 0000 0000 1A21","0.2454369260617026","-65.5","Tue Feb 16 18:12:43 CST 2021"
"917.25","E200 0000 0000 0000 0000 1A11","5.240078371417351","-58.0","Tue Feb 16 18:12:43 CST 2021"
"917.25","3008 33B2 DDD9 0140 0000 0000","1.2517283229146832","-56.5","Tue Feb 16 18:12:43 CST 2021"
"917.25","E280 1160 6000 0207 A652 5964","5.878214379177777","-65.5","Tue Feb 16 18:12:43 CST 2021"
"917.25","E200 0000 0000 0000 0000 1A20","0.37429131224409645","-60.0","Tue Feb 16 18:12:43 CST 2021"
"917.25","E200 0000 0000 0000 0000 1A10","5.160311370447297","-53.0","Tue Feb 16 18:12:43 CST 2021"
"917.25","E200 0000 0000 0000 0000 AAA1","1.4664856332186729","-73.5","Tue Feb 16 18:12:43 CST 2021"
"917.25","E200 0000 0000 0000 0000 1A21","0.3190680038802134","-66.0","Tue Feb 16 18:12:43 CST 2021"
"917.25","E280 1160 6000 0207 A652 5964","5.835262917116979","-65.5","Tue Feb 16 18:12:43 CST 2021"
"917.25","E200 0000 0000 0000 0000 1A10","5.178719139901925","-53.0","Tue Feb 16 18:12:43 CST 2021"
"917.25","E200 0000 0000 0000 0000 1A11","5.178719139901925","-58.0","Tue Feb 16 18:12:43 CST 2021"
"917.25","E200 0000 0000 0000 0000 1A20","0.3190680038802134","-60.0","Tue Feb 16 18:12:43 CST 2021"
"917.25","3008 33B2 DDD9 0140 0000 0000","1.2333205534600555","-56.5","Tue Feb 16 18:12:43 CST 2021"
"917.25","E200 0000 0000 0000 0000 AAA1","1.5953400194010667","-74.0","Tue Feb 16 18:12:43 CST 2021"
"917.25","3039 6062 C3AD 3FC0 001F 4997","5.970253226450915","-65.0","Tue Feb 16 18:12:43 CST 2021"
"904.75","E200 0000 0000 0000 0000 1A10","3.1906800388021335","-54.5","Tue Feb 16 18:12:43 CST 2021"
"904.75","E200 0000 0000 0000 0000 1A21","5.66959299202533","-64.5","Tue Feb 16 18:12:43 CST 2021"
"904.75","E280 1160 6000 0207 A652 5964","4.908738521234052","-63.0","Tue Feb 16 18:12:43 CST 2021"
"904.75","E200 0000 0000 0000 0000 1A20","5.700272607783043","-59.0","Tue Feb 16 18:12:43 CST 2021"
"904.75","E200 0000 0000 0000 0000 1A11","3.399301425954581","-60.0","Tue Feb 16 18:12:43 CST 2021"
"904.75","3008 33B2 DDD9 0140 0000 0000","5.111223985234957","-57.0","Tue Feb 16 18:12:43 CST 2021"
"904.75","3039 6062 C3AD 3FC0 001F 4997","0.8958447801252144","-62.5","Tue Feb 16 18:12:43 CST 2021"
"904.75","E200 0000 0000 0000 0000 1A21","5.620505606812989","-64.5","Tue Feb 16 18:12:43 CST 2021"
"904.75","E200 0000 0000 0000 0000 1A10","3.141592653589793","-55.0","Tue Feb 16 18:12:43 CST 2021"
"904.75","3008 33B2 DDD9 0140 0000 0000","5.135767677841127","-56.5","Tue Feb 16 18:12:43 CST 2021"
"904.75","E200 0000 0000 0000 0000 1A20","5.608233760509904","-59.0","Tue Feb 16 18:12:43 CST 2021"
"904.75","3035 15B8 9802 DE90 4000 11E7","5.056000676871073","-64.0","Tue Feb 16 18:12:43 CST 2021"
"904.75","E200 0000 0000 0000 0000 1A11","3.2029518851052186","-60.0","Tue Feb 16 18:12:43 CST 2021"
"904.75","E280 1160 6000 0207 A652 5964","4.95168998329485","-62.5","Tue Feb 16 18:12:43 CST 2021"
"904.75","3039 6062 C3AD 3FC0 001F 4997","0.8835729338221293","-63.0","Tue Feb 16 18:12:43 CST 2021"
"904.75","3035 15B8 9802 DE90 4000 11E7","5.0253210611133605","-64.0","Tue Feb 16 18:12:43 CST 2021"
"904.75","E200 0000 0000 0000 0000 1A10","3.1968159619536762","-55.0","Tue Feb 16 18:12:43 CST 2021"
"904.75","E200 0000 0000 0000 0000 1A11","3.2397674240144743","-60.0","Tue Feb 16 18:12:43 CST 2021"
"904.75","E200 0000 0000 0000 0000 1A21","5.626641529964532","-63.5","Tue Feb 16 18:12:43 CST 2021"
"904.75","E280 1160 6000 0207 A652 5964","4.847379289718626","-62.5","Tue Feb 16 18:12:43 CST 2021"
"904.75","3008 33B2 DDD9 0140 0000 0000","5.074408446325701","-56.5","Tue Feb 16 18:12:43 CST 2021"
"904.75","E200 0000 0000 0000 0000 1A20","5.553010452146021","-59.0","Tue Feb 16 18:12:43 CST 2021"
"904.75","3039 6062 C3AD 3FC0 001F 4997","0.8774370106705868","-63.0","Tue Feb 16 18:12:43 CST 2021"
"904.75","E200 0000 0000 0000 0000 1A11","3.117048960983623","-60.0","Tue Feb 16 18:12:43 CST 2021"
"904.75","3008 33B2 DDD9 0140 0000 0000","5.111223985234957","-57.0","Tue Feb 16 18:12:43 CST 2021"
"904.75","E280 1160 6000 0207 A652 5964","4.92714629068868","-62.5","Tue Feb 16 18:12:43 CST 2021"
