"CHANNEL","EPC","PHASE","RSSI","TIME"
"926.75","E200 0000 0000 0000 0000 1A10","1.8837284075235674","-62.0","Thu Feb 18 20:04:03 CST 2021"
"926.75","3008 33B2 DDD9 0140 0000 0000","1.7855536370988863","-21.5","Thu Feb 18 20:04:03 CST 2021"
"926.75","E200 0000 0000 0000 0000 1A11","2.086213871524472","-67.5","Thu Feb 18 20:04:03 CST 2021"
"926.75","E200 0000 0000 0000 0000 1A11","2.043262409463674","-66.5","Thu Feb 18 20:04:03 CST 2021"
"926.75","E200 0000 0000 0000 0000 1A10","1.8223691760081417","-62.5","Thu Feb 18 20:04:03 CST 2021"
"926.75","3008 33B2 DDD9 0140 0000 0000","1.7916895602504288","-22.0","Thu Feb 18 20:04:03 CST 2021"
"926.75","E200 0000 0000 0000 0000 1A11","1.8346410223112268","-65.0","Thu Feb 18 20:04:03 CST 2021"
"926.75","3008 33B2 DDD9 0140 0000 0000","1.7855536370988863","-21.5","Thu Feb 18 20:04:03 CST 2021"
"926.75","E200 0000 0000 0000 0000 1A10","1.9205439464328227","-63.0","Thu Feb 18 20:04:03 CST 2021"
"926.75","E200 0000 0000 0000 0000 1A11","2.2518837966161214","-65.5","Thu Feb 18 20:04:03 CST 2021"
"926.75","3008 33B2 DDD9 0140 0000 0000","1.7855536370988863","-21.5","Thu Feb 18 20:04:03 CST 2021"
"926.75","E200 0000 0000 0000 0000 1A10","1.9082721001297376","-62.0","Thu Feb 18 20:04:03 CST 2021"
"926.75","E200 0000 0000 0000 0000 1A11","2.282563412373834","-65.5","Thu Feb 18 20:04:03 CST 2021"
"926.75","3008 33B2 DDD9 0140 0000 0000","1.7855536370988863","-21.5","Thu Feb 18 20:04:03 CST 2021"
"926.75","E200 0000 0000 0000 0000 1A10","2.000310947402876","-62.0","Thu Feb 18 20:04:03 CST 2021"
"904.75","3008 33B2 DDD9 0140 0000 0000","1.705786636128833","-20.0","Thu Feb 18 20:04:03 CST 2021"
"904.75","E200 0000 0000 0000 0000 1A10","3.834951969714103","-64.0","Thu Feb 18 20:04:03 CST 2021"
"904.75","E200 0000 0000 0000 0000 1A11","0.8713010875190442","-70.0","Thu Feb 18 20:04:03 CST 2021"
"904.75","3008 33B2 DDD9 0140 0000 0000","1.6996507129772904","-20.0","Thu Feb 18 20:04:03 CST 2021"
"904.75","E200 0000 0000 0000 0000 1A10","3.810408277107933","-65.0","Thu Feb 18 20:04:03 CST 2021"
"904.75","E200 0000 0000 0000 0000 1A11","4.111068511533518","-67.0","Thu Feb 18 20:04:03 CST 2021"
"904.75","3008 33B2 DDD9 0140 0000 0000","1.705786636128833","-20.0","Thu Feb 18 20:04:03 CST 2021"
"904.75","E200 0000 0000 0000 0000 1A10","3.2336315008629315","-64.0","Thu Feb 18 20:04:03 CST 2021"
