"CHANNEL","EPC","PHASE","RSSI","TIME"
"925.75","E280 1160 6000 0207 A652 5963","5.988660995905543","-73.0","Thu Feb 18 19:39:34 CST 2021"
"925.75","E200 0000 0000 0000 0000 1A20","5.5714182216006485","-65.5","Thu Feb 18 19:39:34 CST 2021"
"925.75","E200 0000 0000 0000 0000 1A11","1.1965050145508","-57.5","Thu Feb 18 19:39:34 CST 2021"
"925.75","E200 0000 0000 0000 0000 1A10","1.141281706186917","-52.0","Thu Feb 18 19:39:34 CST 2021"
"925.75","3008 33B2 DDD9 0140 0000 0000","5.5284667595398505","-45.0","Thu Feb 18 19:39:34 CST 2021"
"925.75","E280 1160 6000 0207 A652 5964","2.043262409463674","-67.5","Thu Feb 18 19:39:34 CST 2021"
"925.75","E200 0017 9408 0236 1560 799A","0.4908738521234052","-62.0","Thu Feb 18 19:39:34 CST 2021"
"925.75","3008 33B2 DDD9 0140 0000 0000","5.485515297479052","-45.0","Thu Feb 18 19:39:34 CST 2021"
"925.75","E200 0000 0000 0000 0000 1A11","1.1351457830353744","-57.5","Thu Feb 18 19:39:34 CST 2021"
"925.75","E280 1160 6000 0207 A652 5964","1.9266798695843652","-67.0","Thu Feb 18 19:39:34 CST 2021"
"925.75","E200 0000 0000 0000 0000 1A10","1.1474176293384597","-51.5","Thu Feb 18 19:39:34 CST 2021"
"925.75","E200 0000 0000 0000 0000 1A20","5.577554144752192","-67.5","Thu Feb 18 19:39:34 CST 2021"
"925.75","E200 0000 0000 0000 0000 AAA1","0.07976700097005335","-74.0","Thu Feb 18 19:39:34 CST 2021"
"908.75","3008 33B2 DDD9 0140 0000 0000","3.77972866135022","-45.5","Thu Feb 18 19:39:34 CST 2021"
"908.75","E200 0000 0000 0000 0000 1A10","1.4971652489763858","-52.5","Thu Feb 18 19:39:34 CST 2021"
"908.75","E280 1160 6000 0207 A652 5964","3.074097498922825","-64.5","Thu Feb 18 19:39:34 CST 2021"
"908.75","E200 0000 0000 0000 0000 1A11","1.5953400194010667","-57.5","Thu Feb 18 19:39:34 CST 2021"
"908.75","E200 0000 0000 0000 0000 AAA2","0.4908738521234052","-64.5","Thu Feb 18 19:39:34 CST 2021"
"908.75","E280 1160 6000 0207 A652 5963","5.9088939949354895","-69.5","Thu Feb 18 19:39:34 CST 2021"
"908.75","E200 0000 0000 0000 0000 1A10","1.552388557340269","-52.5","Thu Feb 18 19:39:34 CST 2021"
"908.75","E280 1160 6000 0207 A652 5964","3.11091303783208","-63.5","Thu Feb 18 19:39:34 CST 2021"
"908.75","E200 0000 0000 0000 0000 1A11","1.5707963267948966","-57.5","Thu Feb 18 19:39:34 CST 2021"
"908.75","3008 33B2 DDD9 0140 0000 0000","3.810408277107933","-46.0","Thu Feb 18 19:39:34 CST 2021"
"908.75","E200 0000 0000 0000 0000 AAA2","0.4970097752749477","-64.0","Thu Feb 18 19:39:34 CST 2021"
"908.75","E200 0000 0000 0000 0000 1A11","1.5462526341887264","-57.5","Thu Feb 18 19:39:34 CST 2021"
"908.75","E280 1160 6000 0207 A652 5964","3.2090878082567613","-64.0","Thu Feb 18 19:39:34 CST 2021"
"908.75","3008 33B2 DDD9 0140 0000 0000","3.785864584501762","-46.0","Thu Feb 18 19:39:34 CST 2021"
"908.75","E200 0000 0000 0000 0000 1A10","1.564660403643354","-52.5","Thu Feb 18 19:39:34 CST 2021"
"908.75","E200 0000 0000 0000 0000 AAA2","0.4049709280018093","-64.0","Thu Feb 18 19:39:34 CST 2021"
"908.75","3008 33B2 DDD9 0140 0000 0000","3.810408277107933","-46.0","Thu Feb 18 19:39:35 CST 2021"
"908.75","E200 0000 0000 0000 0000 1A10","1.552388557340269","-52.5","Thu Feb 18 19:39:35 CST 2021"
"908.75","E200 0000 0000 0000 0000 AAA2","0.6013204688511713","-64.5","Thu Feb 18 19:39:35 CST 2021"
"908.75","E280 1160 6000 0207 A652 5964","3.2336315008629315","-64.0","Thu Feb 18 19:39:35 CST 2021"
"908.75","E200 0000 0000 0000 0000 1A11","1.5585244804918115","-57.0","Thu Feb 18 19:39:35 CST 2021"
"908.75","E280 1160 6000 0207 A652 5963","6.000932842208628","-69.5","Thu Feb 18 19:39:35 CST 2021"
"908.75","E200 0000 0000 0000 0000 1A11","1.5278448647340985","-57.0","Thu Feb 18 19:39:35 CST 2021"
"908.75","3008 33B2 DDD9 0140 0000 0000","3.816544200259475","-46.0","Thu Feb 18 19:39:35 CST 2021"
"908.75","E200 0000 0000 0000 0000 1A10","1.4910293258248433","-52.5","Thu Feb 18 19:39:35 CST 2021"
"908.75","E280 1160 6000 0207 A652 5964","3.184544115650591","-64.0","Thu Feb 18 19:39:35 CST 2021"
"908.75","E200 0000 0000 0000 0000 AAA2","0.4049709280018093","-64.5","Thu Feb 18 19:39:35 CST 2021"
"923.75","E200 0000 0000 0000 0000 1A20","6.105243535784852","-69.5","Thu Feb 18 19:39:35 CST 2021"
"923.75","E200 0017 9408 0236 1560 799A","1.6689710972195777","-62.0","Thu Feb 18 19:39:35 CST 2021"
"923.75","E280 1160 6000 0207 A652 5963","1.239456476611598","-72.5","Thu Feb 18 19:39:35 CST 2021"
"923.75","E200 0000 0000 0000 0000 1A11","2.000310947402876","-56.5","Thu Feb 18 19:39:35 CST 2021"
"923.75","E200 0017 9408 0236 1560 799A","1.6873788666742053","-62.0","Thu Feb 18 19:39:35 CST 2021"
"923.75","E200 0000 0000 0000 0000 1A10","1.9634954084936207","-51.5","Thu Feb 18 19:39:35 CST 2021"
"923.75","3008 33B2 DDD9 0140 0000 0000","6.050020227420969","-45.0","Thu Feb 18 19:39:35 CST 2021"
"923.75","E280 1160 6000 0207 A652 5964","2.9145634969827183","-65.5","Thu Feb 18 19:39:35 CST 2021"
"923.75","E200 0000 0000 0000 0000 1A20","6.086835766330224","-69.5","Thu Feb 18 19:39:35 CST 2021"
"923.75","E200 0000 0000 0000 0000 1A11","1.9757672547967058","-56.0","Thu Feb 18 19:39:35 CST 2021"
"923.75","E200 0000 0000 0000 0000 1A10","1.9634954084936207","-51.5","Thu Feb 18 19:39:35 CST 2021"
"923.75","3008 33B2 DDD9 0140 0000 0000","6.025476534814799","-45.0","Thu Feb 18 19:39:35 CST 2021"
"923.75","E200 0017 9408 0236 1560 799A","1.4603497100671303","-61.5","Thu Feb 18 19:39:35 CST 2021"
"923.75","3035 15B8 9802 DE90 4000 11E7","0.3374757733348411","-72.0","Thu Feb 18 19:39:35 CST 2021"
"923.75","E280 1160 6000 0207 A652 5964","6.074563920027139","-66.5","Thu Feb 18 19:39:35 CST 2021"
"906.75","3008 33B2 DDD9 0140 0000 0000","4.325825821837508","-45.5","Thu Feb 18 19:39:35 CST 2021"
"906.75","E200 0000 0000 0000 0000 AAA2","1.521708941582556","-64.5","Thu Feb 18 19:39:35 CST 2021"
"906.75","E200 0000 0000 0000 0000 1A10","2.141437179888355","-52.5","Thu Feb 18 19:39:35 CST 2021"
"906.75","E280 1160 6000 0207 A652 5964","3.9576704327449543","-62.5","Thu Feb 18 19:39:35 CST 2021"
"906.75","E200 0000 0000 0000 0000 1A11","2.1537090261914402","-57.5","Thu Feb 18 19:39:35 CST 2021"
"906.75","E280 1160 6000 0207 A652 5963","1.2026409377023426","-69.5","Thu Feb 18 19:39:35 CST 2021"
"906.75","E200 0000 0000 0000 0000 AAA2","1.552388557340269","-64.0","Thu Feb 18 19:39:35 CST 2021"
"906.75","3008 33B2 DDD9 0140 0000 0000","4.338097668140593","-45.5","Thu Feb 18 19:39:35 CST 2021"
"906.75","E280 1160 6000 0207 A652 5964","4.006757817957295","-62.0","Thu Feb 18 19:39:35 CST 2021"
"906.75","E200 0000 0000 0000 0000 1A10","2.1353012567368124","-52.5","Thu Feb 18 19:39:35 CST 2021"
"906.75","E200 0000 0000 0000 0000 1A11","2.043262409463674","-57.5","Thu Feb 18 19:39:35 CST 2021"
"906.75","E280 1160 6000 0207 A652 5963","4.473087977474529","-69.0","Thu Feb 18 19:39:35 CST 2021"
"906.75","3008 33B2 DDD9 0140 0000 0000","4.331961744989051","-45.5","Thu Feb 18 19:39:35 CST 2021"
"906.75","E200 0000 0000 0000 0000 AAA2","1.5953400194010667","-65.0","Thu Feb 18 19:39:35 CST 2021"
"906.75","E280 1160 6000 0207 A652 5964","4.037437433715008","-62.5","Thu Feb 18 19:39:35 CST 2021"
"906.75","E200 0000 0000 0000 0000 1A10","2.1598449493429825","-52.5","Thu Feb 18 19:39:35 CST 2021"
"906.75","E200 0000 0000 0000 0000 1A11","2.1905245651006955","-57.5","Thu Feb 18 19:39:35 CST 2021"
"906.75","E280 1160 6000 0207 A652 5963","4.424000592262189","-69.5","Thu Feb 18 19:39:35 CST 2021"
"912.75","E200 0000 0000 0000 0000 1A10","0.02761165418194154","-52.5","Thu Feb 18 19:39:35 CST 2021"
"912.75","E200 0000 0000 0000 0000 1A11","0.08897088569736719","-58.0","Thu Feb 18 19:39:35 CST 2021"
"912.75","E280 1160 6000 0207 A652 5963","5.9518454569962875","-70.0","Thu Feb 18 19:39:35 CST 2021"
"912.75","3008 33B2 DDD9 0140 0000 0000","2.641514916739074","-45.5","Thu Feb 18 19:39:35 CST 2021"
"912.75","E280 1160 6000 0207 A652 5964","4.850447251294398","-65.5","Thu Feb 18 19:39:35 CST 2021"
"912.75","E200 0000 0000 0000 0000 AAA2","4.23378697456437","-64.5","Thu Feb 18 19:39:35 CST 2021"
