"CHANNEL","EPC","PHASE","RSSI","TIME"
"921.75","E280 1160 6000 0207 A652 5964","5.209398755659637","-66.5","Thu Feb 18 21:15:12 CST 2021"
"921.75","E200 0000 0000 0000 0000 1A11","2.012582793705961","-59.5","Thu Feb 18 21:15:12 CST 2021"
"921.75","3008 33B2 DDD9 0140 0000 0000","3.865631585471816","-62.0","Thu Feb 18 21:15:12 CST 2021"
"921.75","E200 0000 0000 0000 0000 1A10","1.9082721001297376","-54.5","Thu Feb 18 21:15:12 CST 2021"
"921.75","E280 1160 6000 0207 A652 5964","4.994641445355648","-67.5","Thu Feb 18 21:15:12 CST 2021"
"921.75","3008 33B2 DDD9 0140 0000 0000","3.9453985864418692","-61.5","Thu Feb 18 21:15:12 CST 2021"
"921.75","E200 0000 0000 0000 0000 1A10","1.945087639038993","-54.5","Thu Feb 18 21:15:12 CST 2021"
"921.75","E200 0000 0000 0000 0000 1A11","1.945087639038993","-60.0","Thu Feb 18 21:15:12 CST 2021"
"921.75","3008 33B2 DDD9 0140 0000 0000","3.9453985864418692","-61.5","Thu Feb 18 21:15:12 CST 2021"
"921.75","E280 1160 6000 0207 A652 5964","5.2339424482658075","-67.5","Thu Feb 18 21:15:12 CST 2021"
"921.75","E200 0000 0000 0000 0000 1A11","2.018718716857504","-59.5","Thu Feb 18 21:15:12 CST 2021"
"921.75","E200 0000 0000 0000 0000 1A10","1.8714565612204823","-54.5","Thu Feb 18 21:15:12 CST 2021"
"921.75","E200 0000 0000 0000 0000 1A11","1.9880391010997909","-59.5","Thu Feb 18 21:15:12 CST 2021"
"921.75","3008 33B2 DDD9 0140 0000 0000","3.9699422790480394","-62.0","Thu Feb 18 21:15:12 CST 2021"
"921.75","E200 0000 0000 0000 0000 1A10","1.8837284075235674","-54.5","Thu Feb 18 21:15:12 CST 2021"
"921.75","E280 1160 6000 0207 A652 5964","5.209398755659637","-67.5","Thu Feb 18 21:15:12 CST 2021"
"921.75","E200 0000 0000 0000 0000 AAA2","6.14819499784565","-69.0","Thu Feb 18 21:15:12 CST 2021"
"910.25","E200 0000 0000 0000 0000 1A10","0.0","-54.5","Thu Feb 18 21:15:12 CST 2021"
"910.25","E200 0000 0000 0000 0000 AAA2","0.3620194659410113","-64.5","Thu Feb 18 21:15:12 CST 2021"
"910.25","3008 33B2 DDD9 0140 0000 0000","1.2517283229146832","-56.5","Thu Feb 18 21:15:12 CST 2021"
"910.25","E200 0000 0000 0000 0000 1A11","0.11044661672776616","-59.5","Thu Feb 18 21:15:12 CST 2021"
"910.25","E280 1160 6000 0207 A652 5964","3.6447383520162835","-67.5","Thu Feb 18 21:15:12 CST 2021"
"910.25","3008 33B2 DDD9 0140 0000 0000","1.3437671701878218","-57.0","Thu Feb 18 21:15:13 CST 2021"
"910.25","E200 0000 0000 0000 0000 1A10","6.270913460876501","-54.5","Thu Feb 18 21:15:13 CST 2021"
"910.25","E200 0000 0000 0000 0000 AAA2","0.4479223900626072","-65.0","Thu Feb 18 21:15:13 CST 2021"
"910.25","E280 1160 6000 0207 A652 5964","3.6263305825616556","-66.5","Thu Feb 18 21:15:13 CST 2021"
"910.25","E200 0000 0000 0000 0000 1A11","0.0674951546669682","-59.5","Thu Feb 18 21:15:13 CST 2021"
"910.25","E200 0000 0000 0000 0000 AAA2","0.34974761963792617","-64.5","Thu Feb 18 21:15:13 CST 2021"
"910.25","3008 33B2 DDD9 0140 0000 0000","1.3192234775816514","-57.0","Thu Feb 18 21:15:13 CST 2021"
"910.25","E200 0000 0000 0000 0000 1A10","6.270913460876501","-54.0","Thu Feb 18 21:15:13 CST 2021"
"910.25","E200 0000 0000 0000 0000 1A11","0.0859029241215959","-58.5","Thu Feb 18 21:15:13 CST 2021"
"910.25","E280 1160 6000 0207 A652 5964","0.803805932852076","-69.5","Thu Feb 18 21:15:13 CST 2021"
"910.25","3008 33B2 DDD9 0140 0000 0000","1.3560390164909069","-57.0","Thu Feb 18 21:15:13 CST 2021"
"910.25","E200 0000 0000 0000 0000 1A11","0.09203884727313846","-59.5","Thu Feb 18 21:15:13 CST 2021"
"910.25","E200 0000 0000 0000 0000 1A10","6.258641614573416","-54.5","Thu Feb 18 21:15:13 CST 2021"
"910.25","E200 0000 0000 0000 0000 AAA2","0.6013204688511713","-64.5","Thu Feb 18 21:15:13 CST 2021"
"910.25","E280 1160 6000 0207 A652 5964","3.9453985864418692","-69.5","Thu Feb 18 21:15:13 CST 2021"
"904.25","E280 1160 6000 0207 A652 5964","5.608233760509904","-65.0","Thu Feb 18 21:15:13 CST 2021"
"904.25","3008 33B2 DDD9 0140 0000 0000","3.2765829629237295","-59.5","Thu Feb 18 21:15:13 CST 2021"
"904.25","E200 0000 0000 0000 0000 1A10","2.1782527187976104","-53.5","Thu Feb 18 21:15:13 CST 2021"
"904.25","E200 0000 0000 0000 0000 1A11","2.172116795646068","-58.5","Thu Feb 18 21:15:13 CST 2021"
"904.25","E280 1160 6000 0207 A652 5963","6.234097921967246","-69.5","Thu Feb 18 21:15:13 CST 2021"
"904.25","E280 1160 6000 0207 A652 5964","5.540738605842936","-64.5","Thu Feb 18 21:15:13 CST 2021"
"904.25","E200 0000 0000 0000 0000 1A10","2.110757564130642","-53.0","Thu Feb 18 21:15:13 CST 2021"
"904.25","3008 33B2 DDD9 0140 0000 0000","3.3624858870453256","-59.0","Thu Feb 18 21:15:13 CST 2021"
"904.25","E200 0000 0000 0000 0000 1A11","2.2089323345553233","-58.5","Thu Feb 18 21:15:13 CST 2021"
"904.25","E280 1160 6000 0207 A652 5963","6.277049384028044","-69.5","Thu Feb 18 21:15:13 CST 2021"
"904.25","E200 0000 0000 0000 0000 1A10","2.1230294104337273","-53.0","Thu Feb 18 21:15:13 CST 2021"
"904.25","3008 33B2 DDD9 0140 0000 0000","3.2827188860752723","-59.5","Thu Feb 18 21:15:13 CST 2021"
"904.25","E280 1160 6000 0207 A652 5964","5.6143696836614465","-66.0","Thu Feb 18 21:15:13 CST 2021"
"904.25","E200 0000 0000 0000 0000 1A11","2.172116795646068","-58.5","Thu Feb 18 21:15:13 CST 2021"
"904.25","E200 0000 0000 0000 0000 AAA2","3.399301425954581","-69.5","Thu Feb 18 21:15:13 CST 2021"
"904.25","E200 0000 0000 0000 0000 1A20","4.04357335686655","-70.0","Thu Feb 18 21:15:13 CST 2021"
"904.25","E280 1160 6000 0207 A652 5963","0.0859029241215959","-69.5","Thu Feb 18 21:15:13 CST 2021"
"912.25","E200 0000 0000 0000 0000 AAA2","5.583690067903734","-64.0","Thu Feb 18 21:15:13 CST 2021"
"912.25","E200 0000 0000 0000 0000 1A11","5.595961914206819","-59.0","Thu Feb 18 21:15:13 CST 2021"
"912.25","E200 0000 0000 0000 0000 1A10","5.485515297479052","-54.0","Thu Feb 18 21:15:13 CST 2021"
"912.25","3008 33B2 DDD9 0140 0000 0000","0.6135923151542565","-57.5","Thu Feb 18 21:15:13 CST 2021"
"912.25","E280 1160 6000 0207 A652 5964","3.552699504743145","-68.5","Thu Feb 18 21:15:13 CST 2021"
"912.25","3008 33B2 DDD9 0140 0000 0000","0.5338253141842031","-57.0","Thu Feb 18 21:15:13 CST 2021"
"912.25","E200 0000 0000 0000 0000 1A10","5.448699758569798","-54.5","Thu Feb 18 21:15:13 CST 2021"
"912.25","E200 0000 0000 0000 0000 AAA2","5.497787143782138","-64.5","Thu Feb 18 21:15:13 CST 2021"
"912.25","E200 0000 0000 0000 0000 1A11","5.651185222570702","-59.0","Thu Feb 18 21:15:13 CST 2021"
"912.25","E280 1160 6000 0207 A652 5964","0.07363107781851078","-69.0","Thu Feb 18 21:15:13 CST 2021"
"912.25","E280 1160 6000 0207 A652 5964","2.9145634969827183","-67.0","Thu Feb 18 21:15:13 CST 2021"
"912.25","E200 0000 0000 0000 0000 1A11","5.473243451175968","-59.5","Thu Feb 18 21:15:13 CST 2021"
"912.25","E200 0000 0000 0000 0000 1A10","5.460971604872882","-54.5","Thu Feb 18 21:15:13 CST 2021"
"912.25","E200 0000 0000 0000 0000 AAA2","5.608233760509904","-64.0","Thu Feb 18 21:15:13 CST 2021"
"912.25","3008 33B2 DDD9 0140 0000 0000","0.5583690067903734","-58.0","Thu Feb 18 21:15:13 CST 2021"
"912.25","E200 0000 0000 0000 0000 AAA2","5.712544454086128","-64.5","Thu Feb 18 21:15:13 CST 2021"
"912.25","3008 33B2 DDD9 0140 0000 0000","0.47860200582032003","-57.5","Thu Feb 18 21:15:13 CST 2021"
"912.25","E200 0000 0000 0000 0000 1A10","5.485515297479052","-54.5","Thu Feb 18 21:15:13 CST 2021"
"912.25","E280 1160 6000 0207 A652 5964","3.3747577333484107","-68.0","Thu Feb 18 21:15:13 CST 2021"
"912.25","E200 0000 0000 0000 0000 1A11","5.6143696836614465","-59.0","Thu Feb 18 21:15:13 CST 2021"
"912.25","3008 33B2 DDD9 0140 0000 0000","0.5154175447295755","-57.5","Thu Feb 18 21:15:13 CST 2021"
"912.25","E200 0000 0000 0000 0000 AAA2","5.47937937432751","-64.0","Thu Feb 18 21:15:13 CST 2021"
"912.25","E200 0000 0000 0000 0000 1A11","5.688000761479957","-59.5","Thu Feb 18 21:15:13 CST 2021"
"912.25","E200 0000 0000 0000 0000 1A10","5.516194913236766","-54.5","Thu Feb 18 21:15:13 CST 2021"
"912.25","E280 1160 6000 0207 A652 5964","3.067961575771282","-66.5","Thu Feb 18 21:15:13 CST 2021"
"925.25","E200 0000 0000 0000 0000 1A10","0.4295146206079795","-55.0","Thu Feb 18 21:15:13 CST 2021"
"925.25","E200 0000 0000 0000 0000 1A11","0.4049709280018093","-60.0","Thu Feb 18 21:15:13 CST 2021"
"925.25","E280 1160 6000 0207 A652 5964","3.859495662320273","-70.0","Thu Feb 18 21:15:13 CST 2021"
"925.25","3008 33B2 DDD9 0140 0000 0000","0.018407769454627694","-62.5","Thu Feb 18 21:15:13 CST 2021"
"925.25","E280 1160 6000 0207 A652 5964","3.80427235395639","-68.5","Thu Feb 18 21:15:13 CST 2021"
"925.25","E200 0000 0000 0000 0000 1A10","0.4172427743048944","-55.0","Thu Feb 18 21:15:13 CST 2021"
