"CHANNEL","EPC","PHASE","RSSI","TIME"
"914.25","E200 0000 0000 0000 0000 1A20","0.9878836273983529","-59.0","Fri Feb 19 21:43:34 CST 2021"
"914.25","E280 1160 6000 0207 A652 5964","4.718524903536232","-61.5","Fri Feb 19 21:43:34 CST 2021"
"914.25","3008 33B2 DDD9 0140 0000 0000","1.2210487071569704","-52.0","Fri Feb 19 21:43:34 CST 2021"
"914.25","E200 0000 0000 0000 0000 1A10","2.380738182798515","-56.0","Fri Feb 19 21:43:34 CST 2021"
"914.25","E200 0000 0000 0000 0000 AAA1","1.0921943209745766","-74.5","Fri Feb 19 21:43:34 CST 2021"
"914.25","E200 0000 0000 0000 0000 1A20","4.1417481272912315","-58.5","Fri Feb 19 21:43:34 CST 2021"
"914.25","E200 0000 0000 0000 0000 AAA2","6.227961998815704","-58.0","Fri Feb 19 21:43:34 CST 2021"
"914.25","E280 1160 6000 0209 5014 ECA0","5.50392306693368","-64.0","Fri Feb 19 21:43:34 CST 2021"
"914.25","E200 0000 0000 0000 0000 1A21","1.1228739367322893","-65.5","Fri Feb 19 21:43:34 CST 2021"
"914.25","E200 0000 0000 0000 0000 1A10","2.3623304133438876","-56.0","Fri Feb 19 21:43:34 CST 2021"
"914.25","E280 1160 6000 0207 A652 5964","1.5892040962495242","-61.5","Fri Feb 19 21:43:34 CST 2021"
"914.25","3008 33B2 DDD9 0140 0000 0000","4.3503695144436785","-52.0","Fri Feb 19 21:43:34 CST 2021"
"914.25","E200 0000 0000 0000 0000 1A11","5.64504929941916","-61.5","Fri Feb 19 21:43:34 CST 2021"
"914.25","E200 0000 0000 0000 0000 AAA1","1.41126232485479","-73.5","Fri Feb 19 21:43:34 CST 2021"
"914.25","E200 0000 0000 0000 0000 1A11","5.706408530934585","-61.0","Fri Feb 19 21:43:34 CST 2021"
"914.25","E200 0000 0000 0000 0000 1A21","1.1351457830353744","-65.5","Fri Feb 19 21:43:34 CST 2021"
"914.25","E200 0000 0000 0000 0000 AAA2","0.0859029241215959","-57.5","Fri Feb 19 21:43:34 CST 2021"
"914.25","3008 33B2 DDD9 0140 0000 0000","1.227184630308513","-52.0","Fri Feb 19 21:43:34 CST 2021"
"914.25","E200 0000 0000 0000 0000 1A20","0.9817477042468103","-59.0","Fri Feb 19 21:43:34 CST 2021"
"914.25","E200 0000 0000 0000 0000 1A10","2.3746022596469727","-56.0","Fri Feb 19 21:43:34 CST 2021"
"914.25","E280 1160 6000 0207 A652 5964","1.5401167110371838","-61.5","Fri Feb 19 21:43:34 CST 2021"
