"CHANNEL","EPC","PHASE","RSSI","TIME"
"921.75","E200 0000 0000 0000 0000 1A11","5.829126993965437","-61.5","Fri Feb 19 21:39:50 CST 2021"
"921.75","E280 1160 6000 0209 5015 02C1","1.1106020904292042","-68.0","Fri Feb 19 21:39:50 CST 2021"
"921.75","E200 0000 0000 0000 0000 AAA2","2.1905245651006955","-58.0","Fri Feb 19 21:39:50 CST 2021"
"921.75","3008 33B2 DDD9 0140 0000 0000","5.3198453723874035","-53.0","Fri Feb 19 21:39:50 CST 2021"
"921.75","E280 1160 6000 0209 5014 ECA0","5.700272607783043","-69.5","Fri Feb 19 21:39:50 CST 2021"
"921.75","E200 0000 0000 0000 0000 1A20","0.39269908169872414","-58.5","Fri Feb 19 21:39:50 CST 2021"
"921.75","E200 0000 0000 0000 0000 1A21","0.4908738521234052","-65.5","Fri Feb 19 21:39:50 CST 2021"
"921.75","E280 1160 6000 0207 A652 5964","4.074252972624263","-62.0","Fri Feb 19 21:39:50 CST 2021"
"921.75","E200 0000 0000 0000 0000 1A10","5.688000761479957","-56.5","Fri Feb 19 21:39:50 CST 2021"
"921.75","E200 0000 0000 0000 0000 1A11","5.816855147662351","-62.0","Fri Feb 19 21:39:50 CST 2021"
"921.75","E200 0000 0000 0000 0000 1A20","0.35588354278946877","-58.5","Fri Feb 19 21:39:50 CST 2021"
"921.75","E200 0000 0000 0000 0000 1A10","5.688000761479957","-56.5","Fri Feb 19 21:39:50 CST 2021"
"921.75","E280 1160 6000 0207 A652 5964","0.9326603190344698","-62.0","Fri Feb 19 21:39:50 CST 2021"
"921.75","3008 33B2 DDD9 0140 0000 0000","5.301437602932776","-53.0","Fri Feb 19 21:39:50 CST 2021"
"921.75","E200 0000 0000 0000 0000 1A21","0.4908738521234052","-65.5","Fri Feb 19 21:39:50 CST 2021"
"921.75","E200 0000 0000 0000 0000 AAA2","5.350524988145116","-58.0","Fri Feb 19 21:39:50 CST 2021"
"921.75","E280 1160 6000 0209 5015 02C1","4.289010282928253","-68.0","Fri Feb 19 21:39:50 CST 2021"
"921.75","E280 1160 6000 0209 5014 ECA0","5.608233760509904","-69.0","Fri Feb 19 21:39:50 CST 2021"
"921.75","3008 33B2 DDD9 0140 0000 0000","2.1905245651006955","-53.0","Fri Feb 19 21:39:50 CST 2021"
"921.75","E200 0000 0000 0000 0000 1A21","0.5399612373357456","-65.5","Fri Feb 19 21:39:50 CST 2021"
"921.75","E200 0000 0000 0000 0000 AAA2","5.227806525114265","-58.0","Fri Feb 19 21:39:50 CST 2021"
"921.75","E200 0000 0000 0000 0000 1A20","0.3865631585471816","-58.5","Fri Feb 19 21:39:50 CST 2021"
"921.75","E200 0000 0000 0000 0000 1A10","5.6573211457222445","-56.5","Fri Feb 19 21:39:50 CST 2021"
"921.75","E200 0000 0000 0000 0000 1A11","5.810719224510809","-61.5","Fri Feb 19 21:39:50 CST 2021"
"921.75","E280 1160 6000 0209 5014 ECA0","5.663457068873787","-69.0","Fri Feb 19 21:39:50 CST 2021"
"921.75","E280 1160 6000 0207 A652 5964","4.061981126321178","-62.0","Fri Feb 19 21:39:50 CST 2021"
"921.75","E280 1160 6000 0209 5015 02C1","1.141281706186917","-68.0","Fri Feb 19 21:39:50 CST 2021"
"921.75","E200 0000 0000 0000 0000 AAA2","5.2768939103266055","-58.0","Fri Feb 19 21:39:50 CST 2021"
"921.75","E200 0000 0000 0000 0000 1A20","0.3620194659410113","-58.5","Fri Feb 19 21:39:50 CST 2021"
"921.75","E200 0000 0000 0000 0000 1A10","5.681864838328415","-56.5","Fri Feb 19 21:39:50 CST 2021"
"921.75","E280 1160 6000 0207 A652 5964","4.086524818927348","-62.0","Fri Feb 19 21:39:50 CST 2021"
"921.75","E280 1160 6000 0209 5015 02C1","4.319689898685965","-68.0","Fri Feb 19 21:39:50 CST 2021"
"921.75","E200 0000 0000 0000 0000 1A21","0.5092816215780329","-65.5","Fri Feb 19 21:39:50 CST 2021"
"921.75","E280 1160 6000 0209 5014 ECA0","5.64504929941916","-69.5","Fri Feb 19 21:39:50 CST 2021"
"921.75","3008 33B2 DDD9 0140 0000 0000","5.3198453723874035","-53.0","Fri Feb 19 21:39:50 CST 2021"
"921.75","E200 0000 0000 0000 0000 1A11","5.8045833013592665","-61.5","Fri Feb 19 21:39:50 CST 2021"
"921.75","E200 0000 0000 0000 0000 1A20","0.3620194659410113","-58.5","Fri Feb 19 21:39:50 CST 2021"
"921.75","E280 1160 6000 0207 A652 5964","0.9510680884890975","-62.0","Fri Feb 19 21:39:50 CST 2021"
"921.75","3008 33B2 DDD9 0140 0000 0000","5.3198453723874035","-53.0","Fri Feb 19 21:39:50 CST 2021"
"921.75","E200 0000 0000 0000 0000 1A10","5.700272607783043","-56.5","Fri Feb 19 21:39:50 CST 2021"
"921.75","E200 0000 0000 0000 0000 AAA2","5.332117218690489","-58.0","Fri Feb 19 21:39:50 CST 2021"
"921.75","E280 1160 6000 0209 5014 ECA0","5.663457068873787","-69.5","Fri Feb 19 21:39:50 CST 2021"
"921.75","E200 0000 0000 0000 0000 1A21","0.5460971604872883","-65.5","Fri Feb 19 21:39:50 CST 2021"
"921.75","E280 1160 6000 0209 5015 02C1","4.295146206079795","-67.5","Fri Feb 19 21:39:50 CST 2021"
"921.75","E200 0000 0000 0000 0000 1A11","2.650718801466388","-61.5","Fri Feb 19 21:39:50 CST 2021"
"921.75","E280 1160 6000 0209 5015 02C1","4.28287435977671","-68.0","Fri Feb 19 21:39:50 CST 2021"
"921.75","E200 0000 0000 0000 0000 1A10","5.663457068873787","-56.5","Fri Feb 19 21:39:50 CST 2021"
"921.75","E200 0000 0000 0000 0000 AAA2","5.301437602932776","-58.0","Fri Feb 19 21:39:50 CST 2021"
"921.75","3008 33B2 DDD9 0140 0000 0000","2.1966604882522383","-53.0","Fri Feb 19 21:39:50 CST 2021"
"921.75","E200 0000 0000 0000 0000 1A20","0.380427235395639","-58.5","Fri Feb 19 21:39:50 CST 2021"
"921.75","E200 0000 0000 0000 0000 1A11","2.662990647769473","-61.5","Fri Feb 19 21:39:50 CST 2021"
"904.25","E200 0000 0000 0000 0000 1A21","5.9088939949354895","-67.0","Fri Feb 19 21:39:50 CST 2021"
"904.25","E280 1160 6000 0209 5014 ECA0","4.037437433715008","-60.0","Fri Feb 19 21:39:50 CST 2021"
"904.25","E280 1160 6000 0207 A652 5964","5.534602682691394","-61.0","Fri Feb 19 21:39:50 CST 2021"
"904.25","E200 0000 0000 0000 0000 AAA1","3.773592738198677","-72.0","Fri Feb 19 21:39:50 CST 2021"
"904.25","E280 1160 6000 0209 5014 ECA0","0.6504078540635119","-60.5","Fri Feb 19 21:39:50 CST 2021"
"904.25","E200 0000 0000 0000 0000 1A10","5.835262917116979","-56.5","Fri Feb 19 21:39:50 CST 2021"
"904.25","E200 0000 0000 0000 0000 1A20","5.810719224510809","-60.0","Fri Feb 19 21:39:50 CST 2021"
"904.25","E200 0000 0000 0000 0000 1A21","5.957981380147831","-67.0","Fri Feb 19 21:39:50 CST 2021"
"904.25","E280 1160 6000 0209 5014 D8C1","5.086680292628786","-68.0","Fri Feb 19 21:39:50 CST 2021"
"904.25","E200 0000 0000 0000 0000 1A11","2.9084275738311756","-62.0","Fri Feb 19 21:39:50 CST 2021"
"904.25","E280 1160 6000 0207 A652 5964","2.411417798556228","-61.0","Fri Feb 19 21:39:50 CST 2021"
"904.25","3008 33B2 DDD9 0140 0000 0000","1.282407938672396","-52.0","Fri Feb 19 21:39:50 CST 2021"
"904.25","E200 0000 0000 0000 0000 AAA1","0.6135923151542565","-72.5","Fri Feb 19 21:39:50 CST 2021"
"904.25","E280 1160 6000 0209 5014 ECA0","0.6135923151542565","-60.5","Fri Feb 19 21:39:50 CST 2021"
"904.25","E200 0000 0000 0000 0000 AAA1","0.6565437772150544","-72.5","Fri Feb 19 21:39:50 CST 2021"
"904.25","E280 1160 6000 0209 5014 D8C1","1.932815792735908","-68.5","Fri Feb 19 21:39:50 CST 2021"
"904.25","E200 0000 0000 0000 0000 1A21","5.945709533844745","-67.0","Fri Feb 19 21:39:50 CST 2021"
"904.25","3008 33B2 DDD9 0140 0000 0000","1.2885438618239387","-52.0","Fri Feb 19 21:39:50 CST 2021"
"904.25","E200 0000 0000 0000 0000 1A10","5.8659425328746915","-56.5","Fri Feb 19 21:39:50 CST 2021"
"904.25","E280 1160 6000 0207 A652 5964","2.423689644859313","-61.0","Fri Feb 19 21:39:50 CST 2021"
"904.25","E200 0000 0000 0000 0000 1A11","2.9145634969827183","-62.0","Fri Feb 19 21:39:50 CST 2021"
"904.25","E200 0000 0000 0000 0000 1A20","5.829126993965437","-60.5","Fri Feb 19 21:39:50 CST 2021"
"904.25","E200 0000 0000 0000 0000 1A10","5.835262917116979","-57.0","Fri Feb 19 21:39:50 CST 2021"
"904.25","3008 33B2 DDD9 0140 0000 0000","1.2701360923693108","-51.5","Fri Feb 19 21:39:50 CST 2021"
"904.25","E200 0000 0000 0000 0000 1A11","2.945243112740431","-62.0","Fri Feb 19 21:39:50 CST 2021"
"904.25","E200 0000 0000 0000 0000 1A21","2.767301341345697","-66.5","Fri Feb 19 21:39:50 CST 2021"
"904.25","E200 0000 0000 0000 0000 1A20","2.6691265709210157","-60.0","Fri Feb 19 21:39:50 CST 2021"
"904.25","E280 1160 6000 0209 5014 ECA0","0.6258641614573416","-60.5","Fri Feb 19 21:39:50 CST 2021"
"904.25","E280 1160 6000 0207 A652 5964","5.5714182216006485","-61.0","Fri Feb 19 21:39:50 CST 2021"
"904.25","E200 0000 0000 0000 0000 AAA1","0.607456392002714","-72.0","Fri Feb 19 21:39:50 CST 2021"
"904.25","E280 1160 6000 0209 5014 D8C1","1.8653206380689396","-68.5","Fri Feb 19 21:39:50 CST 2021"
"904.25","E200 0000 0000 0000 0000 1A10","5.853670686571607","-56.5","Fri Feb 19 21:39:50 CST 2021"
"904.25","E200 0000 0000 0000 0000 1A21","5.970253226450915","-67.0","Fri Feb 19 21:39:50 CST 2021"
"904.25","E280 1160 6000 0207 A652 5964","5.553010452146021","-61.0","Fri Feb 19 21:39:50 CST 2021"
"904.25","E200 0000 0000 0000 0000 1A20","5.816855147662351","-60.0","Fri Feb 19 21:39:50 CST 2021"
"904.25","E200 0000 0000 0000 0000 AAA1","3.749049045592507","-72.5","Fri Feb 19 21:39:50 CST 2021"
"904.25","E280 1160 6000 0209 5014 D8C1","1.9205439464328227","-68.0","Fri Feb 19 21:39:50 CST 2021"
"904.25","E200 0000 0000 0000 0000 1A11","6.062292073724054","-62.0","Fri Feb 19 21:39:50 CST 2021"
"904.25","3008 33B2 DDD9 0140 0000 0000","1.2946797849754812","-52.0","Fri Feb 19 21:39:50 CST 2021"
