"CHANNEL","EPC","PHASE","RSSI","TIME"
"925.75","E200 0000 0000 0000 0000 1A21","1.3192234775816514","-65.5","Fri Feb 19 21:32:12 CST 2021"
"925.75","E200 0000 0000 0000 0000 1A20","1.4296700943094176","-59.0","Fri Feb 19 21:32:12 CST 2021"
"925.75","E200 0000 0000 0000 0000 AAA2","6.240233845118788","-58.0","Fri Feb 19 21:32:12 CST 2021"
"925.75","E280 1160 6000 0207 A652 5964","1.7426021750380885","-63.0","Fri Feb 19 21:32:12 CST 2021"
"925.75","3008 33B2 DDD9 0140 0000 0000","1.0615147052168636","-52.0","Fri Feb 19 21:32:12 CST 2021"
"925.75","E200 0000 0000 0000 0000 1A11","0.9817477042468103","-62.0","Fri Feb 19 21:32:12 CST 2021"
"925.75","E200 0000 0000 0000 0000 1A10","1.000155473701438","-57.0","Fri Feb 19 21:32:12 CST 2021"
"925.75","E280 1160 6000 0209 5014 ECA0","3.9699422790480394","-68.0","Fri Feb 19 21:32:12 CST 2021"
"925.75","E200 0000 0000 0000 0000 1A10","0.8958447801252144","-56.5","Fri Feb 19 21:32:12 CST 2021"
"925.75","E200 0000 0000 0000 0000 1A11","0.8774370106705868","-61.5","Fri Feb 19 21:32:12 CST 2021"
"925.75","3008 33B2 DDD9 0140 0000 0000","1.0799224746714913","-51.5","Fri Feb 19 21:32:12 CST 2021"
"925.75","E200 0000 0000 0000 0000 1A21","1.5830681730979816","-64.5","Fri Feb 19 21:32:12 CST 2021"
"925.75","E280 1160 6000 0207 A652 5964","2.110757564130642","-63.0","Fri Feb 19 21:32:12 CST 2021"
"925.75","E200 0000 0000 0000 0000 AAA2","6.264777537724958","-57.5","Fri Feb 19 21:32:12 CST 2021"
"925.75","E200 0000 0000 0000 0000 1A20","1.337631247036279","-59.0","Fri Feb 19 21:32:12 CST 2021"
"925.75","E280 1160 6000 0209 5014 ECA0","3.9944859716542096","-67.0","Fri Feb 19 21:32:12 CST 2021"
"925.75","E280 1160 6000 0209 5014 ECA0","4.086524818927348","-67.0","Fri Feb 19 21:32:12 CST 2021"
"925.75","3008 33B2 DDD9 0140 0000 0000","1.0983302441261191","-52.0","Fri Feb 19 21:32:12 CST 2021"
"925.75","E200 0000 0000 0000 0000 1A21","1.6382914814618648","-65.0","Fri Feb 19 21:32:12 CST 2021"
"925.75","E200 0000 0000 0000 0000 1A20","1.239456476611598","-59.0","Fri Feb 19 21:32:12 CST 2021"
