"CHANNEL","EPC","PHASE","RSSI","TIME"
"922.75","E280 1160 6000 0207 A652 5964","0.4111068511533518","-62.0","Fri Feb 19 21:41:42 CST 2021"
"922.75","3008 33B2 DDD9 0140 0000 0000","5.056000676871073","-52.5","Fri Feb 19 21:41:42 CST 2021"
"922.75","E200 0000 0000 0000 0000 AAA2","4.798291904506286","-57.5","Fri Feb 19 21:41:42 CST 2021"
"922.75","E280 1160 6000 0209 5015 02C1","0.5092816215780329","-67.5","Fri Feb 19 21:41:42 CST 2021"
"922.75","E200 0000 0000 0000 0000 1A11","2.2580197197676637","-61.5","Fri Feb 19 21:41:42 CST 2021"
"922.75","E280 1160 6000 0209 5014 ECA0","5.252350217720435","-68.5","Fri Feb 19 21:41:42 CST 2021"
"922.75","E200 0000 0000 0000 0000 1A21","0.006135923151542565","-65.0","Fri Feb 19 21:41:42 CST 2021"
"922.75","E200 0000 0000 0000 0000 1A10","2.12916533358527","-56.5","Fri Feb 19 21:41:42 CST 2021"
"922.75","E200 0000 0000 0000 0000 1A20","6.166602767300278","-58.5","Fri Feb 19 21:41:42 CST 2021"
"918.25","E280 1160 6000 0209 5014 ECA0","0.5307573526084318","-67.0","Fri Feb 19 21:41:42 CST 2021"
"918.25","E200 0000 0000 0000 0000 1A21","5.341321103417803","-64.5","Fri Feb 19 21:41:42 CST 2021"
"918.25","E280 1160 6000 0207 A652 5964","5.776971647177325","-61.0","Fri Feb 19 21:41:42 CST 2021"
"918.25","E200 0000 0000 0000 0000 AAA2","0.8068738944278473","-58.0","Fri Feb 19 21:41:42 CST 2021"
"918.25","3008 33B2 DDD9 0140 0000 0000","0.006135923151542565","-52.5","Fri Feb 19 21:41:42 CST 2021"
"918.25","E200 0000 0000 0000 0000 1A10","0.7976700097005334","-56.0","Fri Feb 19 21:41:42 CST 2021"
"918.25","E200 0000 0000 0000 0000 1A11","4.049709280018092","-61.0","Fri Feb 19 21:41:42 CST 2021"
"918.25","E200 0000 0000 0000 0000 1A20","5.252350217720435","-58.0","Fri Feb 19 21:41:42 CST 2021"
"918.25","E280 1160 6000 0209 5015 02C1","0.09817477042468103","-67.0","Fri Feb 19 21:41:42 CST 2021"
"918.25","E280 1160 6000 0209 5015 02C1","0.16566992509164924","-66.5","Fri Feb 19 21:41:42 CST 2021"
"918.25","E200 0000 0000 0000 0000 1A20","5.252350217720435","-58.0","Fri Feb 19 21:41:42 CST 2021"
"918.25","E200 0000 0000 0000 0000 AAA2","0.8007379712763046","-58.0","Fri Feb 19 21:41:42 CST 2021"
"918.25","E280 1160 6000 0209 5014 ECA0","0.521553467881118","-66.5","Fri Feb 19 21:41:42 CST 2021"
"918.25","E200 0000 0000 0000 0000 1A21","5.387340527054372","-65.0","Fri Feb 19 21:41:42 CST 2021"
"918.25","3008 33B2 DDD9 0140 0000 0000","6.273981422452272","-52.5","Fri Feb 19 21:41:42 CST 2021"
"918.25","E280 1160 6000 0207 A652 5964","5.776971647177325","-61.0","Fri Feb 19 21:41:42 CST 2021"
"918.25","E200 0000 0000 0000 0000 1A11","4.058913164745406","-61.0","Fri Feb 19 21:41:42 CST 2021"
"918.25","E200 0000 0000 0000 0000 1A10","0.8130098175793898","-56.0","Fri Feb 19 21:41:42 CST 2021"
"918.25","E200 0000 0000 0000 0000 1A21","5.307573526084319","-65.0","Fri Feb 19 21:41:42 CST 2021"
"918.25","3008 33B2 DDD9 0140 0000 0000","0.01227184630308513","-52.5","Fri Feb 19 21:41:42 CST 2021"
"918.25","E200 0000 0000 0000 0000 1A20","2.089281833100243","-58.0","Fri Feb 19 21:41:42 CST 2021"
"918.25","E280 1160 6000 0209 5015 02C1","0.11965050145508001","-67.0","Fri Feb 19 21:41:42 CST 2021"
"918.25","E200 0000 0000 0000 0000 1A10","0.8068738944278473","-56.5","Fri Feb 19 21:41:42 CST 2021"
"918.25","E280 1160 6000 0207 A652 5964","5.8045833013592665","-61.0","Fri Feb 19 21:41:42 CST 2021"
"918.25","E200 0000 0000 0000 0000 AAA2","1.0062913968529805","-58.0","Fri Feb 19 21:41:42 CST 2021"
"918.25","E200 0000 0000 0000 0000 1A11","4.028233548987694","-61.0","Fri Feb 19 21:41:42 CST 2021"
"918.25","E280 1160 6000 0209 5014 ECA0","0.4724660826687775","-66.5","Fri Feb 19 21:41:42 CST 2021"
"918.25","E280 1160 6000 0209 5015 02C1","0.11658253987930872","-67.0","Fri Feb 19 21:41:42 CST 2021"
"918.25","E200 0000 0000 0000 0000 AAA2","0.966407896367954","-58.0","Fri Feb 19 21:41:42 CST 2021"
"918.25","E200 0000 0000 0000 0000 1A11","0.9265243958829272","-61.0","Fri Feb 19 21:41:42 CST 2021"
"918.25","3008 33B2 DDD9 0140 0000 0000","0.015339807878856412","-52.5","Fri Feb 19 21:41:42 CST 2021"
"918.25","E200 0000 0000 0000 0000 1A20","5.261554102447749","-58.0","Fri Feb 19 21:41:42 CST 2021"
"918.25","E200 0000 0000 0000 0000 1A21","5.390408488630143","-65.0","Fri Feb 19 21:41:42 CST 2021"
"918.25","E280 1160 6000 0207 A652 5964","2.6169712241329037","-61.0","Fri Feb 19 21:41:42 CST 2021"
"918.25","E200 0000 0000 0000 0000 1A10","0.8068738944278473","-56.0","Fri Feb 19 21:41:42 CST 2021"
"918.25","E280 1160 6000 0209 5014 ECA0","0.5491651220630596","-66.5","Fri Feb 19 21:41:42 CST 2021"
"918.25","3008 33B2 DDD9 0140 0000 0000","0.01227184630308513","-52.5","Fri Feb 19 21:41:42 CST 2021"
"918.25","E200 0000 0000 0000 0000 1A21","5.396544411781686","-64.5","Fri Feb 19 21:41:42 CST 2021"
"918.25","E200 0000 0000 0000 0000 1A10","0.8160777791551611","-56.0","Fri Feb 19 21:41:42 CST 2021"
"918.25","E200 0000 0000 0000 0000 AAA2","0.8222137023067037","-58.0","Fri Feb 19 21:41:42 CST 2021"
"918.25","E280 1160 6000 0207 A652 5964","5.776971647177325","-61.0","Fri Feb 19 21:41:42 CST 2021"
"918.25","E200 0000 0000 0000 0000 1A20","5.258486140871978","-58.0","Fri Feb 19 21:41:42 CST 2021"
"918.25","E280 1160 6000 0209 5015 02C1","0.1380582709097077","-67.0","Fri Feb 19 21:41:42 CST 2021"
"918.25","E200 0000 0000 0000 0000 1A11","4.061981126321178","-61.0","Fri Feb 19 21:41:42 CST 2021"
"918.25","E280 1160 6000 0209 5014 ECA0","0.5706408530934585","-66.5","Fri Feb 19 21:41:42 CST 2021"
"918.25","E200 0000 0000 0000 0000 AAA2","0.7946020481247621","-58.0","Fri Feb 19 21:41:42 CST 2021"
"918.25","E200 0000 0000 0000 0000 1A10","0.7976700097005334","-56.0","Fri Feb 19 21:41:42 CST 2021"
"918.25","E200 0000 0000 0000 0000 1A11","4.065049087896949","-61.0","Fri Feb 19 21:41:42 CST 2021"
"918.25","E200 0000 0000 0000 0000 1A20","2.098485717827557","-58.0","Fri Feb 19 21:41:42 CST 2021"
"918.25","E200 0000 0000 0000 0000 1A21","5.341321103417803","-65.0","Fri Feb 19 21:41:42 CST 2021"
"918.25","3008 33B2 DDD9 0140 0000 0000","0.006135923151542565","-52.5","Fri Feb 19 21:41:42 CST 2021"
"918.25","E280 1160 6000 0207 A652 5964","5.758563877722697","-61.0","Fri Feb 19 21:41:42 CST 2021"
"918.25","E280 1160 6000 0209 5015 02C1","0.11658253987930872","-67.0","Fri Feb 19 21:41:42 CST 2021"
"918.25","E280 1160 6000 0209 5014 ECA0","0.4970097752749477","-66.5","Fri Feb 19 21:41:42 CST 2021"
"918.25","3008 33B2 DDD9 0140 0000 0000","0.009203884727313847","-52.5","Fri Feb 19 21:41:42 CST 2021"
"918.25","E280 1160 6000 0209 5014 ECA0","0.47860200582032003","-66.5","Fri Feb 19 21:41:42 CST 2021"
"918.25","E200 0000 0000 0000 0000 1A21","5.378136642327058","-65.0","Fri Feb 19 21:41:42 CST 2021"
"918.25","E200 0000 0000 0000 0000 1A10","3.9392626632903265","-56.5","Fri Feb 19 21:41:42 CST 2021"
