"CHANNEL","EPC","PHASE","RSSI","TIME"
"914.75","E200 0000 0000 0000 0000 AAA1","4.006757817957295","-77.0","Sat Feb 20 16:16:53 CST 2021"
"914.75","E280 1160 6000 0207 A652 5964","0.8344855486097889","-60.5","Sat Feb 20 16:16:53 CST 2021"
"914.75","E200 0000 0000 0000 0000 1A21","0.20248546400090464","-66.0","Sat Feb 20 16:16:53 CST 2021"
"914.75","E200 0000 0000 0000 0000 1A10","4.491495746929157","-52.5","Sat Feb 20 16:16:53 CST 2021"
"914.75","E200 0000 0000 0000 0000 AAA2","0.4356505437595221","-57.0","Sat Feb 20 16:16:53 CST 2021"
"914.75","3008 33B2 DDD9 0140 0000 0000","1.5462526341887264","-30.0","Sat Feb 20 16:16:53 CST 2021"
"914.75","E200 0000 0000 0000 0000 1A11","4.503767593232243","-57.5","Sat Feb 20 16:16:53 CST 2021"
"914.75","E280 1160 6000 0209 5014 ECA0","1.932815792735908","-63.0","Sat Feb 20 16:16:53 CST 2021"
"914.75","E200 0000 0000 0000 0000 1A20","0.2699806186678728","-60.5","Sat Feb 20 16:16:53 CST 2021"
"914.75","E200 0000 0000 0000 0000 AAA1","3.933126740138784","-77.0","Sat Feb 20 16:16:53 CST 2021"
"914.75","E200 0000 0000 0000 0000 AAA2","0.3436116964863836","-57.0","Sat Feb 20 16:16:53 CST 2021"
"914.75","E200 0000 0000 0000 0000 1A20","0.15339807878856412","-60.5","Sat Feb 20 16:16:53 CST 2021"
"914.75","E200 0000 0000 0000 0000 1A10","4.473087977474529","-52.5","Sat Feb 20 16:16:53 CST 2021"
"914.75","E200 0000 0000 0000 0000 1A11","4.589670517353839","-57.5","Sat Feb 20 16:16:53 CST 2021"
"914.75","E200 0000 0000 0000 0000 1A21","0.25770877236478773","-66.5","Sat Feb 20 16:16:53 CST 2021"
"914.75","E280 1160 6000 0209 5014 ECA0","1.945087639038993","-63.0","Sat Feb 20 16:16:53 CST 2021"
"914.75","E280 1160 6000 0207 A652 5964","0.7792622402459057","-60.5","Sat Feb 20 16:16:53 CST 2021"
"914.75","3008 33B2 DDD9 0140 0000 0000","1.552388557340269","-30.0","Sat Feb 20 16:16:53 CST 2021"
