"CHANNEL","EPC","PHASE","RSSI","TIME"
"919.25","E280 6890 0000 5006 F494 B19E","0.4908738521234052","-69.5","Sat Feb 20 21:21:24 CST 2021"
"919.25","E200 0000 0000 0000 0000 AAA2","4.485359823777615","-53.5","Sat Feb 20 21:21:24 CST 2021"
"919.25","E200 0000 0000 0000 0000 1A20","5.21553467881118","-59.5","Sat Feb 20 21:21:24 CST 2021"
"919.25","E280 1160 6000 0207 A652 5964","5.47937937432751","-59.5","Sat Feb 20 21:21:24 CST 2021"
"919.25","E200 0000 0000 0000 0000 1A11","2.6691265709210157","-57.5","Sat Feb 20 21:21:24 CST 2021"
"919.25","3008 33B2 DDD9 0140 0000 0000","0.5951845456996288","-53.0","Sat Feb 20 21:21:24 CST 2021"
"919.25","E200 0000 0000 0000 0000 1A21","5.473243451175968","-64.0","Sat Feb 20 21:21:24 CST 2021"
"919.25","E200 0000 0000 0000 0000 1A10","2.6691265709210157","-53.5","Sat Feb 20 21:21:24 CST 2021"
"919.25","E280 1160 6000 0209 5015 02C1","5.730952223540755","-66.0","Sat Feb 20 21:21:24 CST 2021"
"919.25","E200 0017 9408 0236 1560 799A","3.5956509668039427","-63.5","Sat Feb 20 21:21:24 CST 2021"
"919.25","E280 6890 0000 5006 F494 B19E","0.4479223900626072","-65.0","Sat Feb 20 21:21:24 CST 2021"
"921.25","3008 33B2 DDD9 0140 0000 0000","6.2463697682703305","-53.5","Sat Feb 20 21:21:24 CST 2021"
"921.25","E200 0000 0000 0000 0000 AAA2","3.2029518851052186","-53.5","Sat Feb 20 21:21:24 CST 2021"
"921.25","E200 0000 0000 0000 0000 1A11","2.0371264863121317","-58.5","Sat Feb 20 21:21:24 CST 2021"
"921.25","E200 0000 0000 0000 0000 1A10","1.9082721001297376","-53.5","Sat Feb 20 21:21:24 CST 2021"
"921.25","E200 0000 0000 0000 0000 1A21","4.552854978444583","-65.0","Sat Feb 20 21:21:24 CST 2021"
"921.25","E200 0000 0000 0000 0000 1A20","4.424000592262189","-59.0","Sat Feb 20 21:21:24 CST 2021"
"921.25","E280 1160 6000 0207 A652 5964","4.331961744989051","-59.5","Sat Feb 20 21:21:24 CST 2021"
"921.25","E280 1160 6000 0209 5015 02C1","4.632621979414636","-65.0","Sat Feb 20 21:21:24 CST 2021"
"921.25","E200 0017 9408 0236 1560 799A","5.826059032389665","-60.5","Sat Feb 20 21:21:24 CST 2021"
"921.25","E280 6890 0000 5006 F494 B19E","5.476311412751739","-65.0","Sat Feb 20 21:21:24 CST 2021"
"921.25","E200 0017 9408 0236 1560 799A","5.798447378207723","-63.5","Sat Feb 20 21:21:24 CST 2021"
"907.75","E200 0000 0000 0000 0000 AAA1","0.30066023442558565","-73.5","Sat Feb 20 21:21:24 CST 2021"
"907.75","E280 1160 6000 0209 5014 D8C1","5.485515297479052","-66.5","Sat Feb 20 21:21:24 CST 2021"
"907.75","E200 0000 0000 0000 0000 1A11","0.8897088569736719","-58.0","Sat Feb 20 21:21:25 CST 2021"
"907.75","E200 0000 0000 0000 0000 1A21","4.724660826687775","-67.0","Sat Feb 20 21:21:25 CST 2021"
"907.75","E280 1160 6000 0207 A652 5964","4.638757902566179","-62.0","Sat Feb 20 21:21:25 CST 2021"
"907.75","E200 0000 0000 0000 0000 1A10","0.8835729338221293","-53.0","Sat Feb 20 21:21:25 CST 2021"
"907.75","E200 0000 0000 0000 0000 AAA2","5.387340527054372","-63.5","Sat Feb 20 21:21:25 CST 2021"
"907.75","E280 1160 6000 0209 5014 ECA0","4.865787059173254","-60.0","Sat Feb 20 21:21:25 CST 2021"
