"CHANNEL","EPC","PHASE","RSSI","TIME"
"924.75","E200 0000 0000 0000 0000 1A10","0.5154175447295755","-54.0","Sat Feb 20 21:12:03 CST 2021"
"924.75","E280 1160 6000 0207 A652 5964","2.6323110320117604","-61.5","Sat Feb 20 21:12:03 CST 2021"
"924.75","E200 0000 0000 0000 0000 1A11","0.5522330836388308","-59.5","Sat Feb 20 21:12:03 CST 2021"
"924.75","E200 0000 0000 0000 0000 AAA2","1.0369710126106935","-52.0","Sat Feb 20 21:12:03 CST 2021"
"924.75","3008 33B2 DDD9 0140 0000 0000","5.411884219660542","-53.0","Sat Feb 20 21:12:03 CST 2021"
"924.75","E200 0000 0000 0000 0000 1A21","5.780039608753096","-66.0","Sat Feb 20 21:12:03 CST 2021"
"924.75","E200 0000 0000 0000 0000 1A20","2.5157284921324514","-60.0","Sat Feb 20 21:12:03 CST 2021"
"924.75","E280 1160 6000 0209 5015 02C1","5.700272607783043","-66.0","Sat Feb 20 21:12:03 CST 2021"
"919.75","E200 0000 0000 0000 0000 1A11","2.4850488763747385","-58.0","Sat Feb 20 21:12:03 CST 2021"
"919.75","E200 0000 0000 0000 0000 1A10","2.466641106920111","-53.5","Sat Feb 20 21:12:03 CST 2021"
"919.75","E200 0000 0000 0000 0000 1A21","5.405748296509","-65.0","Sat Feb 20 21:12:03 CST 2021"
"919.75","E200 0000 0000 0000 0000 AAA2","4.215379205109742","-53.0","Sat Feb 20 21:12:03 CST 2021"
"919.75","E280 1160 6000 0207 A652 5964","5.141903600992669","-59.5","Sat Feb 20 21:12:03 CST 2021"
"919.75","3008 33B2 DDD9 0140 0000 0000","0.3988350048502667","-53.5","Sat Feb 20 21:12:03 CST 2021"
"919.75","E200 0000 0000 0000 0000 1A20","5.074408446325701","-59.5","Sat Feb 20 21:12:03 CST 2021"
"919.75","E200 0017 9408 0236 1560 799A","0.1349903093339364","-64.5","Sat Feb 20 21:12:03 CST 2021"
"919.75","3035 15B8 9802 DE90 4000 11E7","0.04908738521234052","-71.0","Sat Feb 20 21:12:03 CST 2021"
"919.75","E200 0017 9408 0236 1560 799A","0.11044661672776616","-64.5","Sat Feb 20 21:12:03 CST 2021"
"919.75","E200 0000 0000 0000 0000 1A20","5.129631754689584","-59.5","Sat Feb 20 21:12:03 CST 2021"
"919.75","3008 33B2 DDD9 0140 0000 0000","0.37429131224409645","-53.5","Sat Feb 20 21:12:03 CST 2021"
"919.75","E200 0000 0000 0000 0000 AAA2","4.184699589352029","-53.0","Sat Feb 20 21:12:03 CST 2021"
"919.75","E200 0000 0000 0000 0000 1A11","2.5402721847386216","-58.5","Sat Feb 20 21:12:03 CST 2021"
"919.75","E280 1160 6000 0207 A652 5964","5.123495831538041","-59.0","Sat Feb 20 21:12:03 CST 2021"
"919.75","E200 0000 0000 0000 0000 1A10","2.5034566458293663","-54.0","Sat Feb 20 21:12:03 CST 2021"
"919.75","E280 1160 6000 0209 5015 02C1","5.368932757599744","-67.0","Sat Feb 20 21:12:03 CST 2021"
"919.75","E200 0017 9408 0236 1560 799A","0.1043106935762236","-64.5","Sat Feb 20 21:12:03 CST 2021"
"919.75","E280 6890 0000 5006 F494 B19E","0.30679615757712825","-68.5","Sat Feb 20 21:12:03 CST 2021"
"919.75","E280 1160 6000 0207 A652 5964","5.21553467881118","-60.0","Sat Feb 20 21:12:04 CST 2021"
"919.75","3008 33B2 DDD9 0140 0000 0000","0.4049709280018093","-53.0","Sat Feb 20 21:12:04 CST 2021"
"919.75","E200 0000 0000 0000 0000 AAA2","4.23378697456437","-53.0","Sat Feb 20 21:12:04 CST 2021"
"919.75","E200 0000 0000 0000 0000 1A10","2.5341362615870793","-54.0","Sat Feb 20 21:12:04 CST 2021"
"919.75","E200 0000 0000 0000 0000 1A20","5.111223985234957","-59.0","Sat Feb 20 21:12:04 CST 2021"
"919.75","E200 0000 0000 0000 0000 1A11","2.5034566458293663","-58.0","Sat Feb 20 21:12:04 CST 2021"
"919.75","E280 1160 6000 0209 5015 02C1","5.307573526084319","-67.0","Sat Feb 20 21:12:04 CST 2021"
"919.75","E200 0000 0000 0000 0000 1A11","2.435961491162398","-59.0","Sat Feb 20 21:12:04 CST 2021"
"919.75","E200 0000 0000 0000 0000 AAA2","4.154019973594316","-53.0","Sat Feb 20 21:12:04 CST 2021"
"919.75","E200 0000 0000 0000 0000 1A20","5.160311370447297","-59.5","Sat Feb 20 21:12:04 CST 2021"
"919.75","E280 1160 6000 0209 5015 02C1","5.516194913236766","-66.0","Sat Feb 20 21:12:04 CST 2021"
"919.75","3008 33B2 DDD9 0140 0000 0000","0.39269908169872414","-53.5","Sat Feb 20 21:12:04 CST 2021"
"919.75","E280 1160 6000 0207 A652 5964","5.166447293598839","-59.5","Sat Feb 20 21:12:04 CST 2021"
"919.75","E200 0000 0000 0000 0000 1A10","2.448233337465483","-53.5","Sat Feb 20 21:12:04 CST 2021"
"919.75","3035 15B8 9802 DE90 4000 11E7","0.0","-70.5","Sat Feb 20 21:12:04 CST 2021"
"903.25","E200 0017 9408 0236 1560 799A","4.516039439535327","-61.5","Sat Feb 20 21:12:04 CST 2021"
"903.25","E280 6890 0000 5006 F494 B19E","0.8958447801252144","-72.5","Sat Feb 20 21:12:04 CST 2021"
"903.25","E200 0000 0000 0000 0000 1A21","6.2463697682703305","-69.0","Sat Feb 20 21:12:04 CST 2021"
"903.25","E200 0000 0000 0000 0000 1A10","2.4727770300716534","-52.5","Sat Feb 20 21:12:04 CST 2021"
"903.25","E200 0017 9408 0236 1560 799A","4.430136515413731","-61.5","Sat Feb 20 21:12:04 CST 2021"
"903.25","E280 1160 6000 0209 5014 ECA0","0.8897088569736719","-58.5","Sat Feb 20 21:12:04 CST 2021"
"903.25","E200 0000 0000 0000 0000 1A20","6.19728238305799","-62.0","Sat Feb 20 21:12:04 CST 2021"
"903.25","3008 33B2 DDD9 0140 0000 0000","5.160311370447297","-54.0","Sat Feb 20 21:12:04 CST 2021"
"903.25","E200 0000 0000 0000 0000 1A11","5.595961914206819","-57.5","Sat Feb 20 21:12:04 CST 2021"
"903.25","E280 1160 6000 0209 5014 D8C1","2.098485717827557","-64.0","Sat Feb 20 21:12:04 CST 2021"
