"CHANNEL","EPC","PHASE","RSSI","TIME"
"903.25","E280 1160 6000 0209 5014 D8C1","1.4358060174609601","-60.5","Sat Feb 20 20:16:30 CST 2021"
"903.25","E280 1160 6000 0209 5014 ECA0","1.1719613219446299","-55.5","Sat Feb 20 20:16:30 CST 2021"
"903.25","E200 0000 0000 0000 0000 AAA1","4.92714629068868","-74.0","Sat Feb 20 20:16:30 CST 2021"
"903.25","E200 0000 0000 0000 0000 1A21","5.994796919057086","-66.0","Sat Feb 20 20:16:30 CST 2021"
"903.25","3008 33B2 DDD9 0140 0000 0000","4.289010282928253","-50.0","Sat Feb 20 20:16:30 CST 2021"
"903.25","E200 0000 0000 0000 0000 1A20","5.638913376267617","-60.5","Sat Feb 20 20:16:30 CST 2021"
"903.25","E200 0000 0000 0000 0000 1A11","2.9513790358919736","-58.0","Sat Feb 20 20:16:30 CST 2021"
"903.25","E280 1160 6000 0209 5014 D8C1","1.662835174068035","-60.5","Sat Feb 20 20:16:30 CST 2021"
"903.25","E200 0000 0000 0000 0000 1A10","2.791845033951867","-53.0","Sat Feb 20 20:16:30 CST 2021"
"903.25","E280 1160 6000 0209 5014 ECA0","0.9326603190344698","-56.0","Sat Feb 20 20:16:30 CST 2021"
"903.25","E280 1160 6000 0207 A652 5964","6.160466844148735","-62.5","Sat Feb 20 20:16:30 CST 2021"
"903.25","E280 6890 0000 5006 F494 B19E","4.430136515413731","-71.0","Sat Feb 20 20:16:30 CST 2021"
"903.25","E280 1160 6000 0209 5015 02C1","4.743068596142402","-62.5","Sat Feb 20 20:16:30 CST 2021"
"903.25","E200 0000 0000 0000 0000 1A11","2.8532042654672924","-58.0","Sat Feb 20 20:16:30 CST 2021"
"903.25","E280 1160 6000 0207 A652 5964","6.1420590746941075","-62.5","Sat Feb 20 20:16:30 CST 2021"
"903.25","E200 0000 0000 0000 0000 1A21","5.939573610693203","-65.5","Sat Feb 20 20:16:30 CST 2021"
"903.25","E200 0000 0000 0000 0000 1A10","2.8286605728611223","-53.0","Sat Feb 20 20:16:30 CST 2021"
"903.25","E280 1160 6000 0209 5014 ECA0","0.9572040116406401","-56.5","Sat Feb 20 20:16:30 CST 2021"
"903.25","E200 0000 0000 0000 0000 1A20","5.6573211457222445","-60.0","Sat Feb 20 20:16:30 CST 2021"
"903.25","3008 33B2 DDD9 0140 0000 0000","4.295146206079795","-50.0","Sat Feb 20 20:16:30 CST 2021"
"903.25","E280 1160 6000 0209 5014 D8C1","1.552388557340269","-61.0","Sat Feb 20 20:16:30 CST 2021"
"903.25","E200 0017 9408 0236 1560 799A","4.816699673960914","-60.5","Sat Feb 20 20:16:30 CST 2021"
"903.25","E280 6890 0000 5006 F494 B19E","1.214912784005428","-71.0","Sat Feb 20 20:16:30 CST 2021"
"903.25","E200 0000 0000 0000 0000 AAA1","4.76147636559703","-74.5","Sat Feb 20 20:16:30 CST 2021"
"903.25","E280 1160 6000 0209 5015 02C1","1.8714565612204823","-62.5","Sat Feb 20 20:16:30 CST 2021"
"903.25","E280 1160 6000 0207 A652 5964","6.12365130523948","-62.0","Sat Feb 20 20:16:31 CST 2021"
"903.25","E200 0000 0000 0000 0000 1A11","3.0127382674073995","-58.5","Sat Feb 20 20:16:31 CST 2021"
"903.25","E200 0000 0000 0000 0000 1A20","5.706408530934585","-59.5","Sat Feb 20 20:16:31 CST 2021"
"903.25","E200 0000 0000 0000 0000 1A10","2.8286605728611223","-53.0","Sat Feb 20 20:16:31 CST 2021"
"903.25","3008 33B2 DDD9 0140 0000 0000","4.270602513473625","-50.0","Sat Feb 20 20:16:31 CST 2021"
"903.25","E200 0000 0000 0000 0000 1A21","6.025476534814799","-65.0","Sat Feb 20 20:16:31 CST 2021"
"903.25","E200 0017 9408 0236 1560 799A","5.019185137961818","-60.0","Sat Feb 20 20:16:31 CST 2021"
"903.25","E280 1160 6000 0209 5014 ECA0","1.1658253987930873","-55.5","Sat Feb 20 20:16:31 CST 2021"
"917.25","E200 001D 700E 0069 2100 2A9E","2.313243028131547","-67.0","Sat Feb 20 20:16:31 CST 2021"
"917.25","E200 0000 0000 0000 0000 AAA2","5.252350217720435","-57.0","Sat Feb 20 20:16:31 CST 2021"
"917.25","E280 6890 0000 5006 F494 B19E","1.748738098189631","-67.0","Sat Feb 20 20:16:31 CST 2021"
"917.25","E280 1160 6000 0209 5015 02A1","5.810719224510809","-72.0","Sat Feb 20 20:16:31 CST 2021"
"917.25","E200 0000 0000 0000 0000 AAA2","5.301437602932776","-56.0","Sat Feb 20 20:16:31 CST 2021"
"917.25","E200 0000 0000 0000 0000 1A10","3.9944859716542096","-53.0","Sat Feb 20 20:16:31 CST 2021"
"917.25","E280 1160 6000 0209 5015 02C1","0.5583690067903734","-65.5","Sat Feb 20 20:16:31 CST 2021"
"917.25","E280 1160 6000 0207 A652 5964","0.32520392703175593","-61.0","Sat Feb 20 20:16:31 CST 2021"
"917.25","3008 33B2 DDD9 0140 0000 0000","0.3129320807286708","-47.0","Sat Feb 20 20:16:31 CST 2021"
"917.25","E200 0000 0000 0000 0000 1A20","5.927301764390117","-57.5","Sat Feb 20 20:16:31 CST 2021"
"917.25","E280 1160 6000 0209 5014 ECA0","0.3620194659410113","-65.5","Sat Feb 20 20:16:31 CST 2021"
"917.25","E200 0000 0000 0000 0000 1A11","4.080388895775806","-58.0","Sat Feb 20 20:16:31 CST 2021"
"917.25","E280 6890 0000 5006 F494 B19E","1.9082721001297376","-66.0","Sat Feb 20 20:16:31 CST 2021"
"917.25","E200 0000 0000 0000 0000 1A21","6.154330920997192","-64.0","Sat Feb 20 20:16:31 CST 2021"
"917.25","E200 0017 9408 0236 1560 799A","1.4542137869155878","-64.5","Sat Feb 20 20:16:31 CST 2021"
"917.25","E200 001D 700E 0069 2100 2A9E","5.663457068873787","-68.0","Sat Feb 20 20:16:31 CST 2021"
"917.25","E280 1160 6000 0209 5015 02C1","0.8774370106705868","-66.0","Sat Feb 20 20:16:31 CST 2021"
"917.25","E280 6890 0000 5006 F494 B19E","1.9696313316451632","-66.5","Sat Feb 20 20:16:31 CST 2021"
"917.25","E200 0000 0000 0000 0000 1A21","6.105243535784852","-64.0","Sat Feb 20 20:16:31 CST 2021"
"917.25","E280 1160 6000 0209 5014 ECA0","0.6135923151542565","-65.5","Sat Feb 20 20:16:31 CST 2021"
"917.25","E200 0000 0000 0000 0000 1A20","5.884350302329319","-57.5","Sat Feb 20 20:16:31 CST 2021"
"917.25","3008 33B2 DDD9 0140 0000 0000","0.3313398501832985","-47.0","Sat Feb 20 20:16:31 CST 2021"
"917.25","E200 0017 9408 0236 1560 799A","4.270602513473625","-64.0","Sat Feb 20 20:16:31 CST 2021"
"917.25","E200 0000 0000 0000 0000 1A10","3.988350048502667","-52.5","Sat Feb 20 20:16:31 CST 2021"
"917.25","E280 1160 6000 0207 A652 5964","0.30066023442558565","-61.0","Sat Feb 20 20:16:31 CST 2021"
"917.25","E200 0000 0000 0000 0000 1A11","3.9699422790480394","-57.5","Sat Feb 20 20:16:31 CST 2021"
"917.25","E200 0000 0000 0000 0000 AAA2","5.338253141842031","-56.5","Sat Feb 20 20:16:31 CST 2021"
"917.25","E200 0000 0000 0000 0000 1A11","4.0128937411088375","-57.5","Sat Feb 20 20:16:31 CST 2021"
"917.25","3008 33B2 DDD9 0140 0000 0000","0.32520392703175593","-47.5","Sat Feb 20 20:16:31 CST 2021"
"917.25","E200 0017 9408 0236 1560 799A","4.571262747899211","-64.5","Sat Feb 20 20:16:31 CST 2021"
"917.25","E200 0000 0000 0000 0000 1A10","3.933126740138784","-53.0","Sat Feb 20 20:16:31 CST 2021"
"917.25","E280 1160 6000 0209 5015 02C1","0.9326603190344698","-65.0","Sat Feb 20 20:16:31 CST 2021"
"917.25","E200 0000 0000 0000 0000 AAA2","5.399612373357457","-56.0","Sat Feb 20 20:16:31 CST 2021"
"917.25","E280 1160 6000 0209 5014 ECA0","0.7363107781851077","-65.0","Sat Feb 20 20:16:31 CST 2021"
"917.25","E280 6890 0000 5006 F494 B19E","1.8653206380689396","-66.0","Sat Feb 20 20:16:31 CST 2021"
"917.25","E280 1160 6000 0207 A652 5964","0.3374757733348411","-61.0","Sat Feb 20 20:16:31 CST 2021"
"917.25","E200 001D 700E 0069 2100 2A9E","2.2764274892222915","-67.5","Sat Feb 20 20:16:31 CST 2021"
"917.25","E200 0000 0000 0000 0000 1A20","6.007068765360171","-58.0","Sat Feb 20 20:16:31 CST 2021"
"917.25","E200 0000 0000 0000 0000 1A21","0.0","-64.0","Sat Feb 20 20:16:31 CST 2021"
"917.25","E200 001D 700E 0075 2100 3221","5.47937937432751","-71.0","Sat Feb 20 20:16:31 CST 2021"
"917.25","E280 1160 6000 0209 5015 02A1","5.6143696836614465","-71.0","Sat Feb 20 20:16:31 CST 2021"
"925.25","E200 0000 0000 0000 0000 AAA2","0.3374757733348411","-54.5","Sat Feb 20 20:16:31 CST 2021"
"925.25","E200 0000 0000 0000 0000 1A20","2.018718716857504","-57.0","Sat Feb 20 20:16:31 CST 2021"
"925.25","E200 0000 0000 0000 0000 1A21","2.2027964114037806","-63.5","Sat Feb 20 20:16:31 CST 2021"
"925.25","E280 1160 6000 0207 A652 5964","2.4850488763747385","-61.5","Sat Feb 20 20:16:31 CST 2021"
"925.25","E200 0000 0000 0000 0000 1A11","0.7731263170943632","-58.0","Sat Feb 20 20:16:31 CST 2021"
"925.25","3008 33B2 DDD9 0140 0000 0000","4.3933209765044765","-46.0","Sat Feb 20 20:16:31 CST 2021"
"925.25","E280 6890 0000 5006 F494 B19E","3.2888548092268146","-66.5","Sat Feb 20 20:16:31 CST 2021"
"925.25","E200 0000 0000 0000 0000 1A10","0.7240389318820226","-53.5","Sat Feb 20 20:16:31 CST 2021"
"925.25","E280 1160 6000 0209 5015 02C1","2.4850488763747385","-67.0","Sat Feb 20 20:16:31 CST 2021"
"925.25","E280 1160 6000 0209 5014 ECA0","0.7547185476397354","-70.0","Sat Feb 20 20:16:31 CST 2021"
"925.25","E200 0000 0000 0000 0000 1A10","0.7669903939428205","-53.5","Sat Feb 20 20:16:31 CST 2021"
"925.25","E200 0000 0000 0000 0000 1A11","0.8528933180644165","-58.5","Sat Feb 20 20:16:31 CST 2021"
"925.25","E280 6890 0000 5006 F494 B19E","3.153864499892878","-67.0","Sat Feb 20 20:16:31 CST 2021"
"925.25","3008 33B2 DDD9 0140 0000 0000","4.387185053352934","-46.0","Sat Feb 20 20:16:31 CST 2021"
"925.25","E200 0000 0000 0000 0000 1A20","2.110757564130642","-57.0","Sat Feb 20 20:16:31 CST 2021"
"925.25","E200 0000 0000 0000 0000 AAA2","0.4111068511533518","-54.5","Sat Feb 20 20:16:31 CST 2021"
"925.25","E200 0000 0000 0000 0000 1A21","2.1537090261914402","-63.5","Sat Feb 20 20:16:31 CST 2021"
"925.25","E280 1160 6000 0207 A652 5964","2.5341362615870793","-62.5","Sat Feb 20 20:16:31 CST 2021"
"925.25","E280 1160 6000 0209 5015 02C1","2.6200391857086753","-66.0","Sat Feb 20 20:16:31 CST 2021"
"925.25","E200 0000 0000 0000 0000 1A20","2.024854640009046","-57.5","Sat Feb 20 20:16:31 CST 2021"
"925.25","3008 33B2 DDD9 0140 0000 0000","4.374913207049849","-46.0","Sat Feb 20 20:16:31 CST 2021"
"925.25","E200 0000 0000 0000 0000 1A21","2.2212041808584084","-63.5","Sat Feb 20 20:16:31 CST 2021"
"925.25","E200 0000 0000 0000 0000 AAA2","0.3374757733348411","-54.5","Sat Feb 20 20:16:31 CST 2021"
"925.25","E280 1160 6000 0207 A652 5964","2.3071071049800045","-62.5","Sat Feb 20 20:16:31 CST 2021"
"925.25","E200 0000 0000 0000 0000 1A11","0.8160777791551611","-58.5","Sat Feb 20 20:16:31 CST 2021"
"925.25","E200 0000 0000 0000 0000 1A10","0.7669903939428205","-53.5","Sat Feb 20 20:16:31 CST 2021"
"925.25","E280 1160 6000 0209 5015 02C1","2.675262494072558","-65.0","Sat Feb 20 20:16:31 CST 2021"
"925.25","E280 6890 0000 5006 F494 B19E","2.9206994201342606","-67.0","Sat Feb 20 20:16:31 CST 2021"
"925.25","E200 0000 0000 0000 0000 1A10","0.803805932852076","-53.5","Sat Feb 20 20:16:31 CST 2021"
"925.25","E280 1160 6000 0209 5015 02C1","2.742757648739526","-66.0","Sat Feb 20 20:16:31 CST 2021"
"925.25","E200 0000 0000 0000 0000 1A21","2.1659808724945253","-63.5","Sat Feb 20 20:16:31 CST 2021"
"925.25","E200 0000 0000 0000 0000 AAA2","0.37429131224409645","-54.5","Sat Feb 20 20:16:31 CST 2021"
"925.25","3008 33B2 DDD9 0140 0000 0000","4.368777283898306","-46.0","Sat Feb 20 20:16:31 CST 2021"
"925.25","E200 0000 0000 0000 0000 1A11","0.7669903939428205","-58.0","Sat Feb 20 20:16:31 CST 2021"
"925.25","E200 0000 0000 0000 0000 1A20","2.043262409463674","-56.5","Sat Feb 20 20:16:31 CST 2021"
"925.25","E280 1160 6000 0207 A652 5964","2.7857091108003242","-61.0","Sat Feb 20 20:16:31 CST 2021"
"924.25","E280 6890 0000 5006 F494 B19E","0.6749515466696822","-67.5","Sat Feb 20 20:16:31 CST 2021"
"924.25","E280 1160 6000 0209 5014 ECA0","1.3222914391574228","-69.0","Sat Feb 20 20:16:31 CST 2021"
"924.25","E200 0000 0000 0000 0000 1A11","1.1903690913992575","-58.0","Sat Feb 20 20:16:31 CST 2021"
"924.25","E280 1160 6000 0209 5015 02C1","3.184544115650591","-67.0","Sat Feb 20 20:16:31 CST 2021"
