"CHANNEL","EPC","PHASE","RSSI","TIME"
"927.25","E200 0000 0000 0000 0000 AAA2","5.681864838328415","-51.0","Sat Feb 20 21:28:32 CST 2021"
"927.25","E200 0000 0000 0000 0000 1A20","1.0676506283684062","-60.5","Sat Feb 20 21:28:32 CST 2021"
"927.25","E280 1160 6000 0207 A652 5964","1.2946797849754812","-62.0","Sat Feb 20 21:28:32 CST 2021"
"922.25","3008 33B2 DDD9 0140 0000 0000","6.074563920027139","-52.5","Sat Feb 20 21:28:32 CST 2021"
"922.25","E200 0000 0000 0000 0000 1A11","1.6751070203711202","-59.0","Sat Feb 20 21:28:32 CST 2021"
"922.25","E200 0000 0000 0000 0000 1A21","3.54042765844006","-63.5","Sat Feb 20 21:28:32 CST 2021"
"922.25","E200 0000 0000 0000 0000 1A10","1.5830681730979816","-53.5","Sat Feb 20 21:28:32 CST 2021"
"922.25","E280 1160 6000 0209 5015 02C1","3.2397674240144743","-63.0","Sat Feb 20 21:28:32 CST 2021"
"922.25","E200 0017 9408 0236 1560 799A","5.387340527054372","-64.0","Sat Feb 20 21:28:32 CST 2021"
"922.25","E200 0000 0000 0000 0000 AAA1","5.681864838328415","-72.0","Sat Feb 20 21:28:32 CST 2021"
"922.25","E200 0000 0000 0000 0000 1A10","1.7548740213411735","-54.5","Sat Feb 20 21:28:32 CST 2021"
"922.25","E280 1160 6000 0207 A652 5964","4.037437433715008","-61.0","Sat Feb 20 21:28:32 CST 2021"
"922.25","3008 33B2 DDD9 0140 0000 0000","5.970253226450915","-52.5","Sat Feb 20 21:28:32 CST 2021"
"922.25","E200 0000 0000 0000 0000 1A21","4.405592822807561","-64.0","Sat Feb 20 21:28:32 CST 2021"
"922.25","E200 0000 0000 0000 0000 1A20","3.859495662320273","-59.0","Sat Feb 20 21:28:32 CST 2021"
"922.25","E200 0000 0000 0000 0000 1A11","1.6321555583103222","-57.0","Sat Feb 20 21:28:32 CST 2021"
"922.25","E200 0000 0000 0000 0000 AAA2","2.5709518004963345","-52.0","Sat Feb 20 21:28:32 CST 2021"
"922.25","E280 1160 6000 0209 5015 02C1","4.04357335686655","-63.5","Sat Feb 20 21:28:32 CST 2021"
"922.25","E200 0017 9408 0236 1560 799A","5.448699758569798","-64.0","Sat Feb 20 21:28:32 CST 2021"
"922.25","E280 6890 0000 5006 F494 B19E","4.994641445355648","-68.0","Sat Feb 20 21:28:32 CST 2021"
"906.25","E280 1160 6000 0209 5014 D8C1","6.1850105367549055","-64.0","Sat Feb 20 21:28:32 CST 2021"
"906.25","E280 1160 6000 0209 5014 ECA0","6.031612457966341","-60.0","Sat Feb 20 21:28:32 CST 2021"
"906.25","E200 0017 9408 0236 1560 799A","3.0495538063166547","-61.0","Sat Feb 20 21:28:32 CST 2021"
"906.25","3008 33B2 DDD9 0140 0000 0000","4.344233591292136","-53.5","Sat Feb 20 21:28:32 CST 2021"
"906.25","E200 0000 0000 0000 0000 1A11","1.325359400733194","-57.5","Sat Feb 20 21:28:32 CST 2021"
"906.25","E200 0000 0000 0000 0000 1A10","1.3867186322486196","-52.5","Sat Feb 20 21:28:32 CST 2021"
"906.25","E280 1160 6000 0209 5014 ECA0","6.062292073724054","-59.5","Sat Feb 20 21:28:32 CST 2021"
"906.25","E280 1160 6000 0207 A652 5964","5.21553467881118","-62.0","Sat Feb 20 21:28:32 CST 2021"
"906.25","E200 0000 0000 0000 0000 1A20","5.074408446325701","-61.5","Sat Feb 20 21:28:32 CST 2021"
"906.25","E280 1160 6000 0209 5014 D8C1","0.1595340019401067","-63.5","Sat Feb 20 21:28:32 CST 2021"
"906.25","E200 0000 0000 0000 0000 AAA2","0.0674951546669682","-67.5","Sat Feb 20 21:28:32 CST 2021"
"906.25","E200 0000 0000 0000 0000 1A21","4.95168998329485","-67.5","Sat Feb 20 21:28:32 CST 2021"
"906.25","E280 6890 0000 5006 F494 B19E","4.8351074434155406","-70.0","Sat Feb 20 21:28:32 CST 2021"
"906.25","E200 0000 0000 0000 0000 AAA1","0.9265243958829272","-72.0","Sat Feb 20 21:28:32 CST 2021"
"906.25","3039 6062 C3AD 3FC0 001F 4997","6.154330920997192","-64.5","Sat Feb 20 21:28:32 CST 2021"
"906.25","3035 15B8 9802 DE90 4000 11E7","5.853670686571607","-74.5","Sat Feb 20 21:28:32 CST 2021"
"912.75","E200 0000 0000 0000 0000 1A10","5.289165756629691","-52.5","Sat Feb 20 21:28:32 CST 2021"
"912.75","E200 0000 0000 0000 0000 AAA2","2.4605051837685683","-57.5","Sat Feb 20 21:28:32 CST 2021"
"912.75","E200 0000 0000 0000 0000 1A21","1.4664856332186729","-65.0","Sat Feb 20 21:28:32 CST 2021"
