"CHANNEL","EPC","PHASE","RSSI","TIME"
"903.25","E280 1160 6000 0207 A652 5964","6.264777537724958","-62.0","Sat Feb 20 21:17:54 CST 2021"
"903.25","E200 0000 0000 0000 0000 1A11","5.626641529964532","-58.0","Sat Feb 20 21:17:54 CST 2021"
"903.25","E200 0000 0000 0000 0000 1A10","5.583690067903734","-53.0","Sat Feb 20 21:17:54 CST 2021"
"903.25","E200 0000 0000 0000 0000 1A20","6.1420590746941075","-62.0","Sat Feb 20 21:17:54 CST 2021"
"903.25","E280 6890 0000 5006 F494 B19E","1.1474176293384597","-72.5","Sat Feb 20 21:17:54 CST 2021"
"903.25","E200 0000 0000 0000 0000 1A21","0.0859029241215959","-69.0","Sat Feb 20 21:17:54 CST 2021"
"903.25","E280 1160 6000 0209 5014 ECA0","4.405592822807561","-57.5","Sat Feb 20 21:17:54 CST 2021"
"903.25","3008 33B2 DDD9 0140 0000 0000","5.141903600992669","-54.5","Sat Feb 20 21:17:54 CST 2021"
"903.25","E200 0017 9408 0236 1560 799A","4.4976316700806995","-62.5","Sat Feb 20 21:17:54 CST 2021"
"903.25","E200 0000 0000 0000 0000 1A20","6.154330920997192","-63.5","Sat Feb 20 21:17:54 CST 2021"
"903.25","E200 0000 0000 0000 0000 1A21","6.160466844148735","-69.0","Sat Feb 20 21:17:54 CST 2021"
"903.25","E280 1160 6000 0209 5014 D8C1","1.6444274046134073","-61.5","Sat Feb 20 21:17:54 CST 2021"
"903.25","3008 33B2 DDD9 0140 0000 0000","1.9819031779482483","-54.5","Sat Feb 20 21:17:54 CST 2021"
"903.25","E200 0000 0000 0000 0000 AAA1","5.436427912266712","-73.5","Sat Feb 20 21:17:54 CST 2021"
"903.25","E280 1160 6000 0209 5014 ECA0","1.3069516312785663","-58.0","Sat Feb 20 21:17:54 CST 2021"
"903.25","E200 0000 0000 0000 0000 1A10","5.559146375297564","-52.5","Sat Feb 20 21:17:54 CST 2021"
"903.25","E200 0000 0000 0000 0000 1A11","5.608233760509904","-58.5","Sat Feb 20 21:17:54 CST 2021"
"903.25","E280 1160 6000 0207 A652 5964","6.2463697682703305","-62.0","Sat Feb 20 21:17:54 CST 2021"
"903.25","3039 6062 C3AD 3FC0 001F 4997","1.9880391010997909","-61.0","Sat Feb 20 21:17:54 CST 2021"
"903.25","E200 0017 9408 0236 1560 799A","4.522175362686871","-62.0","Sat Feb 20 21:17:54 CST 2021"
"903.25","3035 15B8 9802 DE90 4000 11E7","0.9265243958829272","-72.5","Sat Feb 20 21:17:54 CST 2021"
"903.25","E280 6890 0000 5006 F494 B19E","1.055378782065321","-72.5","Sat Feb 20 21:17:54 CST 2021"
"903.25","3008 33B2 DDD9 0140 0000 0000","1.9880391010997909","-54.5","Sat Feb 20 21:17:54 CST 2021"
"903.25","E200 0000 0000 0000 0000 1A11","5.608233760509904","-58.0","Sat Feb 20 21:17:54 CST 2021"
"903.25","E200 0017 9408 0236 1560 799A","4.528311285838413","-62.0","Sat Feb 20 21:17:54 CST 2021"
"903.25","E280 1160 6000 0209 5014 ECA0","1.2640001692177683","-57.5","Sat Feb 20 21:17:54 CST 2021"
"903.25","E280 1160 6000 0207 A652 5964","6.258641614573416","-62.0","Sat Feb 20 21:17:54 CST 2021"
"903.25","E280 6890 0000 5006 F494 B19E","1.1965050145508","-72.5","Sat Feb 20 21:17:54 CST 2021"
"903.25","E280 1160 6000 0209 5014 D8C1","4.841243366567084","-61.5","Sat Feb 20 21:17:54 CST 2021"
"917.25","E200 0000 0000 0000 0000 1A10","0.35588354278946877","-54.0","Sat Feb 20 21:17:54 CST 2021"
"917.25","E280 1160 6000 0209 5015 02C1","3.902447124381071","-68.0","Sat Feb 20 21:17:54 CST 2021"
"917.25","E200 0000 0000 0000 0000 AAA2","5.6573211457222445","-54.5","Sat Feb 20 21:17:54 CST 2021"
"917.25","E200 0000 0000 0000 0000 1A21","0.11044661672776616","-67.5","Sat Feb 20 21:17:54 CST 2021"
"917.25","E200 0000 0000 0000 0000 1A20","6.258641614573416","-60.0","Sat Feb 20 21:17:54 CST 2021"
"917.25","E200 0000 0000 0000 0000 1A10","0.35588354278946877","-54.0","Sat Feb 20 21:17:54 CST 2021"
"917.25","E200 0017 9408 0236 1560 799A","1.1474176293384597","-64.0","Sat Feb 20 21:17:54 CST 2021"
"917.25","3008 33B2 DDD9 0140 0000 0000","4.2092432819582","-53.5","Sat Feb 20 21:17:54 CST 2021"
"917.25","E200 0000 0000 0000 0000 1A20","6.2463697682703305","-61.0","Sat Feb 20 21:17:54 CST 2021"
"917.25","E280 1160 6000 0207 A652 5964","0.12885438618239387","-60.0","Sat Feb 20 21:17:54 CST 2021"
"917.25","E200 0000 0000 0000 0000 1A21","0.1595340019401067","-67.0","Sat Feb 20 21:17:54 CST 2021"
"917.25","E200 0000 0000 0000 0000 AAA2","5.675728915176872","-54.5","Sat Feb 20 21:17:54 CST 2021"
"917.25","E280 1160 6000 0209 5015 02C1","0.6933593161243098","-68.0","Sat Feb 20 21:17:54 CST 2021"
"917.25","E280 6890 0000 5006 F494 B19E","4.908738521234052","-68.0","Sat Feb 20 21:17:54 CST 2021"
"917.25","E200 0000 0000 0000 0000 1A11","0.37429131224409645","-59.5","Sat Feb 20 21:17:54 CST 2021"
"917.25","E280 1160 6000 0209 5014 ECA0","0.18407769454627693","-68.0","Sat Feb 20 21:17:54 CST 2021"
"917.25","E200 0017 9408 0236 1560 799A","1.1903690913992575","-64.0","Sat Feb 20 21:17:54 CST 2021"
"917.25","E200 0000 0000 0000 0000 1A20","6.258641614573416","-61.0","Sat Feb 20 21:17:54 CST 2021"
"917.25","E280 1160 6000 0209 5014 ECA0","0.09817477042468103","-69.5","Sat Feb 20 21:17:54 CST 2021"
"917.25","E200 0000 0000 0000 0000 1A21","0.11044661672776616","-67.0","Sat Feb 20 21:17:54 CST 2021"
"917.25","E200 0000 0000 0000 0000 AAA2","5.6573211457222445","-55.0","Sat Feb 20 21:17:54 CST 2021"
"917.25","E200 0000 0000 0000 0000 1A10","0.3620194659410113","-53.5","Sat Feb 20 21:17:54 CST 2021"
"917.25","E280 1160 6000 0207 A652 5964","0.17794177139473438","-60.5","Sat Feb 20 21:17:54 CST 2021"
"917.25","3008 33B2 DDD9 0140 0000 0000","1.0737865515199487","-53.5","Sat Feb 20 21:17:54 CST 2021"
"917.25","E280 6890 0000 5006 F494 B19E","4.95168998329485","-68.0","Sat Feb 20 21:17:54 CST 2021"
"917.25","E280 1160 6000 0209 5015 02C1","0.7669903939428205","-66.5","Sat Feb 20 21:17:54 CST 2021"
"925.25","E200 0000 0000 0000 0000 1A11","0.4172427743048944","-59.5","Sat Feb 20 21:17:54 CST 2021"
"925.25","E200 0000 0000 0000 0000 AAA1","1.030835089459151","-73.0","Sat Feb 20 21:17:54 CST 2021"
"925.25","E200 0000 0000 0000 0000 1A10","0.35588354278946877","-54.5","Sat Feb 20 21:17:54 CST 2021"
"925.25","E200 0000 0000 0000 0000 AAA2","0.705631162427395","-52.5","Sat Feb 20 21:17:54 CST 2021"
"925.25","E200 0000 0000 0000 0000 1A20","5.350524988145116","-60.5","Sat Feb 20 21:17:54 CST 2021"
"925.25","3008 33B2 DDD9 0140 0000 0000","2.1046216409791","-53.0","Sat Feb 20 21:17:54 CST 2021"
"925.25","E200 0000 0000 0000 0000 1A11","0.4049709280018093","-60.0","Sat Feb 20 21:17:54 CST 2021"
"925.25","E200 0017 9408 0236 1560 799A","4.466952054322987","-65.5","Sat Feb 20 21:17:54 CST 2021"
"925.25","E280 1160 6000 0207 A652 5964","5.522330836388308","-62.5","Sat Feb 20 21:17:54 CST 2021"
"925.25","E200 0000 0000 0000 0000 1A21","5.424156065963627","-66.5","Sat Feb 20 21:17:54 CST 2021"
"925.25","E280 1160 6000 0209 5015 02C1","5.313709449235861","-66.5","Sat Feb 20 21:17:54 CST 2021"
"925.25","E280 6890 0000 5006 F494 B19E","0.006135923151542565","-69.5","Sat Feb 20 21:17:54 CST 2021"
"925.25","E200 0000 0000 0000 0000 1A11","0.39269908169872414","-60.0","Sat Feb 20 21:17:54 CST 2021"
"925.25","E200 0000 0000 0000 0000 1A10","0.34974761963792617","-55.0","Sat Feb 20 21:17:54 CST 2021"
"925.25","E280 1160 6000 0209 5015 02C1","2.4175537217077703","-66.5","Sat Feb 20 21:17:54 CST 2021"
"925.25","3008 33B2 DDD9 0140 0000 0000","5.221670601962723","-53.0","Sat Feb 20 21:17:54 CST 2021"
"925.25","E280 1160 6000 0207 A652 5964","2.350058567040802","-62.5","Sat Feb 20 21:17:54 CST 2021"
"925.25","E200 0000 0000 0000 0000 AAA2","0.7301748550335652","-53.0","Sat Feb 20 21:17:54 CST 2021"
"925.25","E200 0000 0000 0000 0000 1A21","5.473243451175968","-66.5","Sat Feb 20 21:17:54 CST 2021"
"925.25","E200 0000 0000 0000 0000 1A20","5.356660911296659","-60.0","Sat Feb 20 21:17:54 CST 2021"
"925.25","E200 0017 9408 0236 1560 799A","1.2762720155208536","-66.0","Sat Feb 20 21:17:54 CST 2021"
"924.25","E280 6890 0000 5006 F494 B19E","0.5645049299419159","-68.5","Sat Feb 20 21:17:54 CST 2021"
"924.25","E200 0000 0000 0000 0000 AAA2","1.3621749396424494","-52.5","Sat Feb 20 21:17:54 CST 2021"
"924.25","E280 1160 6000 0209 5015 02C1","5.9518454569962875","-65.5","Sat Feb 20 21:17:54 CST 2021"
"924.25","E200 0017 9408 0236 1560 799A","4.841243366567084","-66.0","Sat Feb 20 21:17:54 CST 2021"
"924.25","E200 0000 0000 0000 0000 1A21","5.964117303299373","-66.5","Sat Feb 20 21:17:54 CST 2021"
"924.25","E200 0000 0000 0000 0000 1A11","0.8344855486097889","-59.5","Sat Feb 20 21:17:54 CST 2021"
"924.25","3008 33B2 DDD9 0140 0000 0000","5.5100589900852235","-53.5","Sat Feb 20 21:17:54 CST 2021"
"924.25","E200 0000 0000 0000 0000 1A10","0.8160777791551611","-54.5","Sat Feb 20 21:17:54 CST 2021"
"924.25","E200 0000 0000 0000 0000 1A20","5.872078456026235","-60.5","Sat Feb 20 21:17:54 CST 2021"
"924.25","E280 6890 0000 5006 F494 B19E","0.5829126993965437","-69.0","Sat Feb 20 21:17:54 CST 2021"
