"CHANNEL","EPC","PHASE","RSSI","TIME"
"903.75","E200 0000 0000 0000 0000 1A11","5.620505606812989","-59.5","Sat Feb 20 20:23:37 CST 2021"
"903.75","E200 0000 0000 0000 0000 1A20","5.632777453116074","-61.0","Sat Feb 20 20:23:37 CST 2021"
"903.75","E280 1160 6000 0209 5014 ECA0","0.5522330836388308","-57.5","Sat Feb 20 20:23:37 CST 2021"
"903.75","E280 1160 6000 0209 5015 02C1","4.528311285838413","-63.5","Sat Feb 20 20:23:37 CST 2021"
"903.75","E280 1160 6000 0209 5014 D8C1","4.424000592262189","-62.0","Sat Feb 20 20:23:37 CST 2021"
"903.75","E200 0017 9408 0236 1560 799A","1.5278448647340985","-61.5","Sat Feb 20 20:23:37 CST 2021"
"903.75","E280 1160 6000 0207 A652 5964","5.816855147662351","-62.5","Sat Feb 20 20:23:37 CST 2021"
"903.75","E200 0000 0000 0000 0000 1A10","2.36846633649543","-54.0","Sat Feb 20 20:23:37 CST 2021"
"903.75","E200 0000 0000 0000 0000 1A21","5.853670686571607","-66.5","Sat Feb 20 20:23:37 CST 2021"
"903.75","3008 33B2 DDD9 0140 0000 0000","1.043106935762236","-50.5","Sat Feb 20 20:23:37 CST 2021"
"903.75","E280 6890 0000 5006 F494 B19E","0.17794177139473438","-72.5","Sat Feb 20 20:23:37 CST 2021"
"903.75","E280 1160 6000 0209 5015 02C1","4.565126824747668","-63.5","Sat Feb 20 20:23:37 CST 2021"
"903.75","E200 0000 0000 0000 0000 1A20","5.6143696836614465","-60.5","Sat Feb 20 20:23:37 CST 2021"
"903.75","E200 0000 0000 0000 0000 1A10","2.423689644859313","-54.0","Sat Feb 20 20:23:37 CST 2021"
"903.75","3008 33B2 DDD9 0140 0000 0000","4.1417481272912315","-50.5","Sat Feb 20 20:23:37 CST 2021"
"903.75","E280 1160 6000 0209 5014 ECA0","0.5522330836388308","-57.5","Sat Feb 20 20:23:37 CST 2021"
"903.75","E200 0000 0000 0000 0000 1A21","5.835262917116979","-67.0","Sat Feb 20 20:23:37 CST 2021"
"903.75","E280 6890 0000 5006 F494 B19E","0.25770877236478773","-72.5","Sat Feb 20 20:23:37 CST 2021"
"903.75","E200 0000 0000 0000 0000 AAA1","0.9203884727313847","-73.5","Sat Feb 20 20:23:37 CST 2021"
"903.75","E200 0017 9408 0236 1560 799A","4.657165672020807","-61.5","Sat Feb 20 20:23:37 CST 2021"
"903.75","E200 0000 0000 0000 0000 1A11","5.602097837358362","-59.5","Sat Feb 20 20:23:37 CST 2021"
"903.75","E280 1160 6000 0207 A652 5964","5.810719224510809","-62.5","Sat Feb 20 20:23:37 CST 2021"
"903.75","E280 1160 6000 0209 5014 D8C1","4.448544284868359","-62.0","Sat Feb 20 20:23:37 CST 2021"
"903.75","E280 1160 6000 0209 5014 D8C1","1.239456476611598","-62.0","Sat Feb 20 20:23:37 CST 2021"
"903.75","E200 0000 0000 0000 0000 AAA1","1.2701360923693108","-74.5","Sat Feb 20 20:23:37 CST 2021"
"903.75","E200 0000 0000 0000 0000 1A10","2.405281875404685","-54.0","Sat Feb 20 20:23:37 CST 2021"
