"CHANNEL","EPC","PHASE","RSSI","TIME"
"926.25","E200 0000 0000 0000 0000 AAA2","0.0337475773334841","-52.5","Sat Feb 20 21:16:10 CST 2021"
"926.25","E200 0000 0000 0000 0000 1A11","6.206486267785304","-60.0","Sat Feb 20 21:16:10 CST 2021"
"926.25","E280 1160 6000 0209 5015 02C1","4.868855020749025","-66.5","Sat Feb 20 21:16:10 CST 2021"
"926.25","E200 0000 0000 0000 0000 1A21","1.8867963690993386","-66.5","Sat Feb 20 21:16:10 CST 2021"
"926.25","E200 0000 0000 0000 0000 1A10","6.17273869045182","-54.5","Sat Feb 20 21:16:10 CST 2021"
"926.25","E280 1160 6000 0207 A652 5964","1.9052041385539664","-63.0","Sat Feb 20 21:16:10 CST 2021"
"926.25","3008 33B2 DDD9 0140 0000 0000","4.997709406931419","-53.0","Sat Feb 20 21:16:10 CST 2021"
"926.25","E200 0000 0000 0000 0000 1A20","4.85658317444594","-60.5","Sat Feb 20 21:16:10 CST 2021"
"926.25","3008 33B2 DDD9 0140 0000 0000","5.009981253234504","-53.0","Sat Feb 20 21:16:10 CST 2021"
"926.25","E200 0000 0000 0000 0000 1A11","6.200350344633762","-60.0","Sat Feb 20 21:16:10 CST 2021"
"926.25","E280 1160 6000 0209 5015 02C1","1.573864288370668","-66.5","Sat Feb 20 21:16:10 CST 2021"
"926.25","E200 0000 0000 0000 0000 AAA2","0.04295146206079795","-52.5","Sat Feb 20 21:16:10 CST 2021"
"926.25","E200 0000 0000 0000 0000 1A10","6.154330920997192","-55.0","Sat Feb 20 21:16:10 CST 2021"
"926.25","E200 0000 0000 0000 0000 1A20","4.8351074434155406","-60.5","Sat Feb 20 21:16:10 CST 2021"
"904.75","E200 0000 0000 0000 0000 1A21","5.783107570328867","-68.0","Sat Feb 20 21:16:10 CST 2021"
"904.75","E280 1160 6000 0207 A652 5964","2.5893595699509624","-62.0","Sat Feb 20 21:16:10 CST 2021"
"904.75","E280 1160 6000 0209 5014 ECA0","0.01227184630308513","-59.5","Sat Feb 20 21:16:10 CST 2021"
"904.75","3008 33B2 DDD9 0140 0000 0000","1.586136134673753","-54.5","Sat Feb 20 21:16:10 CST 2021"
"904.75","E200 0017 9408 0236 1560 799A","0.6780195082454534","-62.0","Sat Feb 20 21:16:10 CST 2021"
"904.75","E200 0000 0000 0000 0000 1A10","5.043728830567988","-53.0","Sat Feb 20 21:16:10 CST 2021"
"904.75","E200 0000 0000 0000 0000 1A11","5.089748254204557","-58.0","Sat Feb 20 21:16:10 CST 2021"
"904.75","E280 1160 6000 0209 5014 ECA0","0.06135923151542565","-59.5","Sat Feb 20 21:16:10 CST 2021"
"904.75","E200 0000 0000 0000 0000 1A21","5.688000761479957","-68.0","Sat Feb 20 21:16:10 CST 2021"
"904.75","E200 0000 0000 0000 0000 1A20","5.577554144752192","-62.5","Sat Feb 20 21:16:10 CST 2021"
"904.75","E280 1160 6000 0209 5014 D8C1","4.4884277853533865","-66.0","Sat Feb 20 21:16:10 CST 2021"
"904.75","E280 1160 6000 0207 A652 5964","2.5709518004963345","-62.5","Sat Feb 20 21:16:10 CST 2021"
"904.75","E280 6890 0000 5006 F494 B19E","6.013204688511713","-72.0","Sat Feb 20 21:16:10 CST 2021"
"904.75","E200 0017 9408 0236 1560 799A","0.684155431396996","-62.0","Sat Feb 20 21:16:11 CST 2021"
"904.75","E200 0000 0000 0000 0000 1A20","5.543806567418708","-62.0","Sat Feb 20 21:16:11 CST 2021"
"904.75","E200 0000 0000 0000 0000 1A21","5.688000761479957","-68.0","Sat Feb 20 21:16:11 CST 2021"
"904.75","E200 0000 0000 0000 0000 1A10","5.040660868992217","-53.0","Sat Feb 20 21:16:11 CST 2021"
"904.75","E280 1160 6000 0209 5014 ECA0","3.6386024288647407","-58.5","Sat Feb 20 21:16:11 CST 2021"
"904.75","E200 0000 0000 0000 0000 1A11","1.9573594853420782","-58.0","Sat Feb 20 21:16:11 CST 2021"
"904.75","3008 33B2 DDD9 0140 0000 0000","1.6014759425526093","-54.5","Sat Feb 20 21:16:11 CST 2021"
"904.75","E280 1160 6000 0209 5014 D8C1","0.9019807032767571","-63.0","Sat Feb 20 21:16:11 CST 2021"
"904.75","E280 1160 6000 0207 A652 5964","5.697204646207271","-62.0","Sat Feb 20 21:16:11 CST 2021"
"904.75","E280 6890 0000 5006 F494 B19E","5.982525072754001","-71.0","Sat Feb 20 21:16:11 CST 2021"
"904.75","E280 1160 6000 0209 5014 ECA0","0.500077736850719","-58.5","Sat Feb 20 21:16:11 CST 2021"
"904.75","E200 0000 0000 0000 0000 1A10","5.065204561598387","-53.0","Sat Feb 20 21:16:11 CST 2021"
"904.75","E280 1160 6000 0207 A652 5964","5.712544454086128","-62.5","Sat Feb 20 21:16:11 CST 2021"
"904.75","3008 33B2 DDD9 0140 0000 0000","4.752272480869716","-54.5","Sat Feb 20 21:16:11 CST 2021"
"904.75","E280 1160 6000 0209 5014 D8C1","0.8958447801252144","-63.0","Sat Feb 20 21:16:11 CST 2021"
"904.75","E280 6890 0000 5006 F494 B19E","5.878214379177777","-71.0","Sat Feb 20 21:16:11 CST 2021"
"904.75","E200 0000 0000 0000 0000 1A11","1.9389517158874505","-58.0","Sat Feb 20 21:16:11 CST 2021"
"904.75","E200 0000 0000 0000 0000 1A21","5.764699800874239","-68.5","Sat Feb 20 21:16:11 CST 2021"
"904.75","E200 0000 0000 0000 0000 1A20","2.380738182798515","-62.0","Sat Feb 20 21:16:11 CST 2021"
"904.75","E200 0017 9408 0236 1560 799A","3.80427235395639","-61.5","Sat Feb 20 21:16:11 CST 2021"
"904.75","E200 0000 0000 0000 0000 1A10","5.043728830567988","-53.0","Sat Feb 20 21:16:11 CST 2021"
"904.75","E200 0017 9408 0236 1560 799A","3.795068469229076","-61.5","Sat Feb 20 21:16:11 CST 2021"
"904.75","E280 1160 6000 0209 5014 D8C1","1.2547962844904545","-65.5","Sat Feb 20 21:16:11 CST 2021"
"904.75","E280 6890 0000 5006 F494 B19E","2.9084275738311756","-72.0","Sat Feb 20 21:16:11 CST 2021"
"904.75","E200 0000 0000 0000 0000 1A11","5.138835639416898","-58.0","Sat Feb 20 21:16:11 CST 2021"
"904.75","E280 1160 6000 0209 5014 ECA0","0.09817477042468103","-59.0","Sat Feb 20 21:16:11 CST 2021"
"904.75","3008 33B2 DDD9 0140 0000 0000","1.607611865704152","-54.5","Sat Feb 20 21:16:11 CST 2021"
"904.75","E280 1160 6000 0207 A652 5964","5.712544454086128","-62.0","Sat Feb 20 21:16:11 CST 2021"
"904.75","E200 0000 0000 0000 0000 1A20","5.534602682691394","-62.0","Sat Feb 20 21:16:11 CST 2021"
"904.75","E200 0000 0000 0000 0000 1A21","5.740156108268069","-68.5","Sat Feb 20 21:16:11 CST 2021"
"904.75","E280 1160 6000 0209 5014 D8C1","1.227184630308513","-65.5","Sat Feb 20 21:16:11 CST 2021"
"904.75","E200 0000 0000 0000 0000 1A11","1.9542915237663068","-58.0","Sat Feb 20 21:16:11 CST 2021"
"904.75","3008 33B2 DDD9 0140 0000 0000","1.6106798272799232","-54.5","Sat Feb 20 21:16:11 CST 2021"
"904.75","E200 0017 9408 0236 1560 799A","0.6135923151542565","-61.5","Sat Feb 20 21:16:11 CST 2021"
"904.75","E200 0000 0000 0000 0000 1A21","5.721748338813441","-68.5","Sat Feb 20 21:16:11 CST 2021"
"904.75","E200 0000 0000 0000 0000 1A10","5.046796792143759","-53.0","Sat Feb 20 21:16:11 CST 2021"
"904.75","E280 6890 0000 5006 F494 B19E","6.074563920027139","-72.0","Sat Feb 20 21:16:11 CST 2021"
"904.75","E280 1160 6000 0209 5014 ECA0","0.11965050145508001","-59.5","Sat Feb 20 21:16:11 CST 2021"
"911.75","E200 0000 0000 0000 0000 1A21","5.819923109238123","-66.5","Sat Feb 20 21:16:11 CST 2021"
"911.75","E200 0017 9408 0236 1560 799A","0.23316507975861744","-62.5","Sat Feb 20 21:16:11 CST 2021"
"911.75","E280 1160 6000 0209 5014 ECA0","5.807651262935037","-64.0","Sat Feb 20 21:16:11 CST 2021"
"911.75","E280 6890 0000 5006 F494 B19E","4.605010325232695","-70.0","Sat Feb 20 21:16:11 CST 2021"
"911.75","E200 0000 0000 0000 0000 1A11","5.635845414691846","-58.0","Sat Feb 20 21:16:11 CST 2021"
"911.75","E200 0000 0000 0000 0000 1A10","5.5622143368733346","-53.0","Sat Feb 20 21:16:11 CST 2021"
"911.75","3008 33B2 DDD9 0140 0000 0000","5.71868037723767","-53.5","Sat Feb 20 21:16:11 CST 2021"
"911.75","E280 1160 6000 0207 A652 5964","6.0991076126333095","-61.0","Sat Feb 20 21:16:11 CST 2021"
"911.75","E200 0000 0000 0000 0000 1A10","5.580622106327962","-53.0","Sat Feb 20 21:16:11 CST 2021"
"911.75","E200 0000 0000 0000 0000 1A20","5.629709491540303","-60.5","Sat Feb 20 21:16:11 CST 2021"
"911.75","E200 0017 9408 0236 1560 799A","0.24850488763747386","-62.0","Sat Feb 20 21:16:11 CST 2021"
"911.75","E280 6890 0000 5006 F494 B19E","4.752272480869716","-70.0","Sat Feb 20 21:16:11 CST 2021"
"911.75","3008 33B2 DDD9 0140 0000 0000","2.5862916083751912","-53.5","Sat Feb 20 21:16:11 CST 2021"
"911.75","E280 1160 6000 0209 5014 ECA0","5.890486225480862","-63.5","Sat Feb 20 21:16:11 CST 2021"
"911.75","E200 0000 0000 0000 0000 1A21","5.9088939949354895","-66.5","Sat Feb 20 21:16:11 CST 2021"
"911.75","E200 0000 0000 0000 0000 1A11","5.620505606812989","-58.0","Sat Feb 20 21:16:11 CST 2021"
"911.75","E200 0000 0000 0000 0000 AAA2","6.188078498330676","-59.0","Sat Feb 20 21:16:11 CST 2021"
"911.75","E280 1160 6000 0207 A652 5964","6.10217557420908","-61.0","Sat Feb 20 21:16:11 CST 2021"
"911.75","3008 33B2 DDD9 0140 0000 0000","5.721748338813441","-53.5","Sat Feb 20 21:16:11 CST 2021"
"911.75","E200 0000 0000 0000 0000 AAA2","6.166602767300278","-59.0","Sat Feb 20 21:16:11 CST 2021"
"911.75","E200 0000 0000 0000 0000 1A11","5.620505606812989","-58.0","Sat Feb 20 21:16:11 CST 2021"
"911.75","E280 6890 0000 5006 F494 B19E","4.611146248384237","-69.5","Sat Feb 20 21:16:11 CST 2021"
"911.75","E200 0000 0000 0000 0000 1A10","5.589825991055276","-53.5","Sat Feb 20 21:16:11 CST 2021"
"911.75","E200 0000 0000 0000 0000 1A20","5.660389107298016","-60.5","Sat Feb 20 21:16:11 CST 2021"
"911.75","E280 1160 6000 0209 5014 ECA0","5.970253226450915","-63.5","Sat Feb 20 21:16:11 CST 2021"
"911.75","E200 0000 0000 0000 0000 1A21","5.8475347634200645","-66.5","Sat Feb 20 21:16:11 CST 2021"
"911.75","E200 0017 9408 0236 1560 799A","0.24850488763747386","-62.5","Sat Feb 20 21:16:11 CST 2021"
"911.75","3008 33B2 DDD9 0140 0000 0000","5.715612415661899","-53.5","Sat Feb 20 21:16:11 CST 2021"
"911.75","E200 0000 0000 0000 0000 AAA2","6.160466844148735","-59.0","Sat Feb 20 21:16:11 CST 2021"
"911.75","E280 1160 6000 0209 5014 ECA0","6.000932842208628","-64.0","Sat Feb 20 21:16:11 CST 2021"
"911.75","E200 0000 0000 0000 0000 AAA1","1.1167380135807468","-72.5","Sat Feb 20 21:16:11 CST 2021"
"911.75","E200 0017 9408 0236 1560 799A","0.26691265709210155","-62.0","Sat Feb 20 21:16:11 CST 2021"
"911.75","E280 6890 0000 5006 F494 B19E","4.522175362686871","-69.5","Sat Feb 20 21:16:11 CST 2021"
"911.75","E200 0000 0000 0000 0000 1A10","5.568350260024878","-53.5","Sat Feb 20 21:16:11 CST 2021"
"911.75","E200 0000 0000 0000 0000 1A20","5.64504929941916","-60.5","Sat Feb 20 21:16:11 CST 2021"
"911.75","E200 0000 0000 0000 0000 1A11","5.6143696836614465","-58.0","Sat Feb 20 21:16:11 CST 2021"
"911.75","E280 1160 6000 0207 A652 5964","6.10217557420908","-61.0","Sat Feb 20 21:16:11 CST 2021"
"911.75","E200 0000 0000 0000 0000 1A21","5.838330878692751","-66.5","Sat Feb 20 21:16:11 CST 2021"
"911.75","E200 0000 0000 0000 0000 1A11","5.620505606812989","-58.0","Sat Feb 20 21:16:11 CST 2021"
"911.75","E280 1160 6000 0207 A652 5964","6.0991076126333095","-61.0","Sat Feb 20 21:16:11 CST 2021"
"911.75","3008 33B2 DDD9 0140 0000 0000","5.721748338813441","-53.5","Sat Feb 20 21:16:11 CST 2021"
"911.75","E200 0000 0000 0000 0000 1A20","5.6665250304495585","-60.5","Sat Feb 20 21:16:11 CST 2021"
"911.75","E200 0000 0000 0000 0000 1A10","5.556078413721792","-53.0","Sat Feb 20 21:16:11 CST 2021"
"911.75","E200 0000 0000 0000 0000 AAA2","6.154330920997192","-59.0","Sat Feb 20 21:16:11 CST 2021"
"911.75","E280 6890 0000 5006 F494 B19E","4.660233633596578","-69.5","Sat Feb 20 21:16:11 CST 2021"
"911.75","E200 0000 0000 0000 0000 1A21","5.81378718608658","-67.0","Sat Feb 20 21:16:11 CST 2021"
"911.75","E280 1160 6000 0209 5014 ECA0","5.954913418572059","-63.5","Sat Feb 20 21:16:11 CST 2021"
"911.75","E200 0017 9408 0236 1560 799A","0.25770877236478773","-62.5","Sat Feb 20 21:16:11 CST 2021"
"911.75","E280 1160 6000 0209 5014 ECA0","5.970253226450915","-64.0","Sat Feb 20 21:16:11 CST 2021"
"911.75","E200 0000 0000 0000 0000 AAA2","6.114447420512166","-59.0","Sat Feb 20 21:16:11 CST 2021"
"911.75","3008 33B2 DDD9 0140 0000 0000","2.5556119926174783","-53.0","Sat Feb 20 21:16:11 CST 2021"
"911.75","E280 1160 6000 0207 A652 5964","6.086835766330224","-61.0","Sat Feb 20 21:16:11 CST 2021"
"911.75","E200 0000 0000 0000 0000 1A10","5.57448618317642","-53.5","Sat Feb 20 21:16:11 CST 2021"
"911.75","E200 0000 0000 0000 0000 1A21","5.899690110208176","-67.0","Sat Feb 20 21:16:11 CST 2021"
"911.75","E200 0000 0000 0000 0000 1A11","5.608233760509904","-58.0","Sat Feb 20 21:16:11 CST 2021"
"911.75","E280 6890 0000 5006 F494 B19E","4.632621979414636","-70.0","Sat Feb 20 21:16:11 CST 2021"
"911.75","E200 0017 9408 0236 1560 799A","3.42077715698498","-62.5","Sat Feb 20 21:16:11 CST 2021"
"911.75","E200 0000 0000 0000 0000 1A20","5.660389107298016","-60.5","Sat Feb 20 21:16:11 CST 2021"
"911.75","E200 0000 0000 0000 0000 1A11","5.632777453116074","-58.0","Sat Feb 20 21:16:11 CST 2021"
"911.75","E200 0000 0000 0000 0000 AAA2","6.160466844148735","-59.0","Sat Feb 20 21:16:11 CST 2021"
"922.75","3008 33B2 DDD9 0140 0000 0000","2.761165418194154","-53.5","Sat Feb 20 21:16:11 CST 2021"
"922.75","E280 1160 6000 0207 A652 5964","0.47553404424454876","-61.5","Sat Feb 20 21:16:11 CST 2021"
"922.75","E200 0000 0000 0000 0000 1A20","0.40803888957758055","-60.0","Sat Feb 20 21:16:11 CST 2021"
"922.75","E280 6890 0000 5006 F494 B19E","4.6878452877785195","-69.0","Sat Feb 20 21:16:11 CST 2021"
"922.75","E200 0000 0000 0000 0000 1A10","1.402058440127476","-54.5","Sat Feb 20 21:16:11 CST 2021"
"922.75","E200 0000 0000 0000 0000 1A21","0.5706408530934585","-66.0","Sat Feb 20 21:16:11 CST 2021"
"922.75","E200 0000 0000 0000 0000 AAA1","5.378136642327058","-73.5","Sat Feb 20 21:16:11 CST 2021"
"922.75","E200 0000 0000 0000 0000 1A20","0.42644665903220824","-60.0","Sat Feb 20 21:16:11 CST 2021"
