"CHANNEL","EPC","PHASE","RSSI","TIME"
"905.25","E200 0017 9408 0236 1560 799A","0.3988350048502667","-62.0","Sat Feb 20 21:14:51 CST 2021"
"905.25","3008 33B2 DDD9 0140 0000 0000","1.4664856332186729","-54.0","Sat Feb 20 21:14:51 CST 2021"
"905.25","E200 0000 0000 0000 0000 1A10","4.871922982324796","-52.5","Sat Feb 20 21:14:51 CST 2021"
"905.25","E200 0000 0000 0000 0000 AAA1","4.767612288748572","-75.0","Sat Feb 20 21:14:51 CST 2021"
"905.25","E200 0000 0000 0000 0000 1A20","2.1966604882522383","-62.5","Sat Feb 20 21:14:51 CST 2021"
"905.25","E280 6890 0000 5006 F494 B19E","2.4911847995262812","-73.0","Sat Feb 20 21:14:51 CST 2021"
"905.25","E200 0000 0000 0000 0000 1A21","5.497787143782138","-69.0","Sat Feb 20 21:14:51 CST 2021"
"905.25","E200 0000 0000 0000 0000 1A11","1.7671458676442586","-58.0","Sat Feb 20 21:14:51 CST 2021"
"905.25","E280 1160 6000 0207 A652 5964","5.577554144752192","-62.5","Sat Feb 20 21:14:51 CST 2021"
"905.25","E280 1160 6000 0209 5014 D8C1","4.227651051412827","-67.0","Sat Feb 20 21:14:51 CST 2021"
"905.25","E280 1160 6000 0209 5014 ECA0","6.007068765360171","-60.0","Sat Feb 20 21:14:51 CST 2021"
"905.25","E200 0000 0000 0000 0000 1A21","2.3930100291016","-69.5","Sat Feb 20 21:14:51 CST 2021"
"905.25","E280 1160 6000 0209 5014 ECA0","6.062292073724054","-60.0","Sat Feb 20 21:14:51 CST 2021"
"905.25","E200 0000 0000 0000 0000 1A20","5.344389064993574","-62.0","Sat Feb 20 21:14:51 CST 2021"
"905.25","E280 1160 6000 0207 A652 5964","5.540738605842936","-62.0","Sat Feb 20 21:14:51 CST 2021"
"905.25","3008 33B2 DDD9 0140 0000 0000","1.4664856332186729","-54.0","Sat Feb 20 21:14:51 CST 2021"
"905.25","E200 0000 0000 0000 0000 1A10","4.890330751779424","-52.5","Sat Feb 20 21:14:51 CST 2021"
"905.25","E200 0000 0000 0000 0000 1A11","1.7732817907958012","-58.0","Sat Feb 20 21:14:51 CST 2021"
"905.25","E200 0017 9408 0236 1560 799A","0.380427235395639","-62.0","Sat Feb 20 21:14:51 CST 2021"
"905.25","E200 0000 0000 0000 0000 AAA1","1.3560390164909069","-75.0","Sat Feb 20 21:14:51 CST 2021"
"905.25","E280 1160 6000 0209 5014 D8C1","1.0492428589137786","-67.0","Sat Feb 20 21:14:51 CST 2021"
"905.25","E200 0000 0000 0000 0000 AAA2","0.3313398501832985","-67.5","Sat Feb 20 21:14:51 CST 2021"
"905.25","E280 6890 0000 5006 F494 B19E","5.700272607783043","-72.5","Sat Feb 20 21:14:51 CST 2021"
