"CHANNEL","EPC","PHASE","RSSI","TIME"
"913.75","E200 0000 0000 0000 0000 1A20","1.3130875544301088","-58.5","Sat Feb 20 20:20:35 CST 2021"
"913.75","E200 0000 0000 0000 0000 1A11","5.148039524144211","-58.5","Sat Feb 20 20:20:35 CST 2021"
"913.75","E280 1160 6000 0207 A652 5964","5.031456984264903","-61.5","Sat Feb 20 20:20:35 CST 2021"
"913.75","E280 6890 0000 5006 F494 B19E","0.5338253141842031","-71.5","Sat Feb 20 20:20:35 CST 2021"
"913.75","E280 1160 6000 0209 5014 ECA0","4.896466674930966","-64.5","Sat Feb 20 20:20:35 CST 2021"
"913.75","E200 0000 0000 0000 0000 1A21","1.4971652489763858","-64.5","Sat Feb 20 20:20:35 CST 2021"
"913.75","E200 0000 0000 0000 0000 AAA2","4.528311285838413","-60.0","Sat Feb 20 20:20:35 CST 2021"
"913.75","E200 0000 0000 0000 0000 1A10","1.9573594853420782","-53.5","Sat Feb 20 20:20:35 CST 2021"
"913.75","3008 33B2 DDD9 0140 0000 0000","4.442408361716817","-48.0","Sat Feb 20 20:20:35 CST 2021"
"913.75","E200 0000 0000 0000 0000 AAA1","4.902602598082509","-76.0","Sat Feb 20 20:20:35 CST 2021"
"913.75","E200 001D 700E 0069 2100 2A9E","4.76147636559703","-69.0","Sat Feb 20 20:20:35 CST 2021"
"913.75","E200 0017 9408 0236 1560 799A","6.166602767300278","-63.0","Sat Feb 20 20:20:35 CST 2021"
"913.75","3008 33B2 DDD9 0140 0000 0000","4.448544284868359","-48.0","Sat Feb 20 20:20:35 CST 2021"
"913.75","E280 6890 0000 5006 F494 B19E","0.35588354278946877","-72.0","Sat Feb 20 20:20:35 CST 2021"
"913.75","E200 001D 700E 0069 2100 2A9E","4.755340442445488","-69.0","Sat Feb 20 20:20:35 CST 2021"
"913.75","E280 1160 6000 0207 A652 5964","1.8960002538266525","-61.5","Sat Feb 20 20:20:35 CST 2021"
"913.75","E200 0000 0000 0000 0000 1A10","1.9144080232812801","-53.0","Sat Feb 20 20:20:35 CST 2021"
"913.75","E200 0000 0000 0000 0000 AAA2","1.41126232485479","-60.0","Sat Feb 20 20:20:35 CST 2021"
"913.75","E200 0000 0000 0000 0000 1A20","1.2946797849754812","-58.5","Sat Feb 20 20:20:35 CST 2021"
"913.75","E200 0000 0000 0000 0000 1A11","5.111223985234957","-58.5","Sat Feb 20 20:20:35 CST 2021"
"913.75","E280 1160 6000 0209 5014 ECA0","4.908738521234052","-64.5","Sat Feb 20 20:20:35 CST 2021"
