"CHANNEL","EPC","PHASE","RSSI","TIME"
"921.75","E280 1160 6000 0207 A652 5964","4.239922897715912","-60.5","Sat Feb 20 21:13:49 CST 2021"
"921.75","E200 0000 0000 0000 0000 AAA2","2.9206994201342606","-52.0","Sat Feb 20 21:13:49 CST 2021"
"921.75","E200 0000 0000 0000 0000 1A11","1.8100973297050567","-58.5","Sat Feb 20 21:13:49 CST 2021"
"921.75","E200 0000 0000 0000 0000 1A10","1.761009944492716","-54.0","Sat Feb 20 21:13:49 CST 2021"
"921.75","E200 0000 0000 0000 0000 1A21","4.638757902566179","-64.5","Sat Feb 20 21:13:49 CST 2021"
"921.75","3008 33B2 DDD9 0140 0000 0000","6.154330920997192","-53.5","Sat Feb 20 21:13:49 CST 2021"
"921.75","E200 0000 0000 0000 0000 1A20","4.172427743048944","-59.5","Sat Feb 20 21:13:49 CST 2021"
"921.75","E280 1160 6000 0209 5015 02C1","4.135612204139688","-65.5","Sat Feb 20 21:13:49 CST 2021"
"921.75","3008 33B2 DDD9 0140 0000 0000","6.14819499784565","-54.0","Sat Feb 20 21:13:49 CST 2021"
"921.75","E200 0000 0000 0000 0000 1A20","3.9944859716542096","-59.5","Sat Feb 20 21:13:49 CST 2021"
"921.75","E200 0000 0000 0000 0000 AAA2","2.8716120349219203","-52.5","Sat Feb 20 21:13:49 CST 2021"
"921.75","E200 0000 0000 0000 0000 1A10","1.748738098189631","-53.5","Sat Feb 20 21:13:49 CST 2021"
"921.75","E200 0000 0000 0000 0000 1A11","1.761009944492716","-58.5","Sat Feb 20 21:13:49 CST 2021"
"921.75","E280 1160 6000 0207 A652 5964","4.25833066717054","-60.0","Sat Feb 20 21:13:49 CST 2021"
"921.75","E200 0000 0000 0000 0000 1A21","4.3503695144436785","-65.5","Sat Feb 20 21:13:49 CST 2021"
"921.75","E280 1160 6000 0209 5015 02C1","4.3933209765044765","-65.0","Sat Feb 20 21:13:49 CST 2021"
"921.75","E200 0000 0000 0000 0000 1A10","1.7303303287350031","-53.5","Sat Feb 20 21:13:49 CST 2021"
"921.75","3008 33B2 DDD9 0140 0000 0000","6.178874613603362","-54.0","Sat Feb 20 21:13:49 CST 2021"
"921.75","E280 1160 6000 0207 A652 5964","4.190835512503572","-60.5","Sat Feb 20 21:13:49 CST 2021"
"921.75","E200 0000 0000 0000 0000 AAA2","2.834796496012665","-52.5","Sat Feb 20 21:13:49 CST 2021"
"921.75","E200 0000 0000 0000 0000 1A11","1.7548740213411735","-58.5","Sat Feb 20 21:13:49 CST 2021"
"921.75","E200 0000 0000 0000 0000 1A20","4.147884050442774","-59.0","Sat Feb 20 21:13:49 CST 2021"
"921.75","E280 1160 6000 0209 5015 02C1","4.123340357836604","-65.5","Sat Feb 20 21:13:49 CST 2021"
"921.75","E200 0000 0000 0000 0000 1A21","4.479223900626073","-64.5","Sat Feb 20 21:13:49 CST 2021"
"921.75","E280 1160 6000 0207 A652 5964","4.221515128261284","-60.5","Sat Feb 20 21:13:49 CST 2021"
"921.75","E200 0000 0000 0000 0000 1A10","1.7548740213411735","-54.0","Sat Feb 20 21:13:49 CST 2021"
"921.75","E200 0000 0000 0000 0000 1A21","4.663301595172349","-64.5","Sat Feb 20 21:13:49 CST 2021"
"921.75","E200 0000 0000 0000 0000 1A20","4.190835512503572","-59.5","Sat Feb 20 21:13:49 CST 2021"
"921.75","3008 33B2 DDD9 0140 0000 0000","6.160466844148735","-53.5","Sat Feb 20 21:13:49 CST 2021"
"921.75","E200 0000 0000 0000 0000 AAA2","2.8777479580734626","-52.5","Sat Feb 20 21:13:49 CST 2021"
"921.75","E200 0000 0000 0000 0000 1A11","1.5707963267948966","-58.5","Sat Feb 20 21:13:49 CST 2021"
"921.75","E280 1160 6000 0209 5015 02C1","4.411728745959104","-66.0","Sat Feb 20 21:13:49 CST 2021"
"921.75","E200 0000 0000 0000 0000 1A11","1.7119225592803755","-59.0","Sat Feb 20 21:13:49 CST 2021"
"921.75","E200 0000 0000 0000 0000 AAA2","2.8777479580734626","-52.5","Sat Feb 20 21:13:49 CST 2021"
"921.75","3008 33B2 DDD9 0140 0000 0000","6.1420590746941075","-53.5","Sat Feb 20 21:13:49 CST 2021"
"921.75","E200 0000 0000 0000 0000 1A10","1.718058482431918","-53.5","Sat Feb 20 21:13:49 CST 2021"
"921.75","E200 0000 0000 0000 0000 1A21","4.289010282928253","-64.5","Sat Feb 20 21:13:49 CST 2021"
"921.75","E280 1160 6000 0207 A652 5964","4.184699589352029","-60.5","Sat Feb 20 21:13:49 CST 2021"
"921.75","E200 0000 0000 0000 0000 1A20","4.2092432819582","-58.5","Sat Feb 20 21:13:49 CST 2021"
"921.75","E280 1160 6000 0209 5015 02C1","4.2092432819582","-64.5","Sat Feb 20 21:13:49 CST 2021"
"917.75","3008 33B2 DDD9 0140 0000 0000","0.9265243958829272","-53.5","Sat Feb 20 21:13:49 CST 2021"
"917.75","E200 0000 0000 0000 0000 AAA2","5.368932757599744","-54.0","Sat Feb 20 21:13:49 CST 2021"
"917.75","E200 0000 0000 0000 0000 1A10","3.3011266555298997","-53.5","Sat Feb 20 21:13:49 CST 2021"
"917.75","E200 0000 0000 0000 0000 1A11","3.356349963893783","-58.5","Sat Feb 20 21:13:49 CST 2021"
"917.75","E200 0000 0000 0000 0000 1A20","6.092971689481767","-60.0","Sat Feb 20 21:13:49 CST 2021"
"917.75","E200 0000 0000 0000 0000 1A21","6.092971689481767","-66.5","Sat Feb 20 21:13:49 CST 2021"
"917.75","E280 1160 6000 0209 5015 02C1","0.5338253141842031","-66.5","Sat Feb 20 21:13:49 CST 2021"
"917.75","E280 1160 6000 0207 A652 5964","6.1850105367549055","-59.5","Sat Feb 20 21:13:49 CST 2021"
"917.75","E200 0017 9408 0236 1560 799A","4.2031073588066565","-64.0","Sat Feb 20 21:13:49 CST 2021"
"917.75","3008 33B2 DDD9 0140 0000 0000","0.8713010875190442","-53.0","Sat Feb 20 21:13:49 CST 2021"
"917.75","E200 0000 0000 0000 0000 1A20","5.859806609723149","-60.5","Sat Feb 20 21:13:49 CST 2021"
"917.75","E200 0000 0000 0000 0000 1A10","3.2765829629237295","-53.5","Sat Feb 20 21:13:49 CST 2021"
"917.75","E280 1160 6000 0207 A652 5964","6.166602767300278","-60.0","Sat Feb 20 21:13:49 CST 2021"
"917.75","E200 0000 0000 0000 0000 AAA2","5.307573526084319","-54.0","Sat Feb 20 21:13:49 CST 2021"
"917.75","E200 0000 0000 0000 0000 1A11","3.2827188860752723","-59.0","Sat Feb 20 21:13:49 CST 2021"
"917.75","3008 33B2 DDD9 0140 0000 0000","0.944932165337555","-53.0","Sat Feb 20 21:13:49 CST 2021"
"917.75","E200 0000 0000 0000 0000 AAA2","5.460971604872882","-53.5","Sat Feb 20 21:13:49 CST 2021"
"917.75","E200 0000 0000 0000 0000 1A10","3.3072625786814425","-54.0","Sat Feb 20 21:13:49 CST 2021"
"917.75","E200 0000 0000 0000 0000 1A11","3.2029518851052186","-58.5","Sat Feb 20 21:13:49 CST 2021"
"917.75","E280 1160 6000 0207 A652 5964","6.050020227420969","-60.5","Sat Feb 20 21:13:49 CST 2021"
"917.75","E200 0000 0000 0000 0000 1A20","6.043884304269426","-59.5","Sat Feb 20 21:13:49 CST 2021"
"917.75","E200 0000 0000 0000 0000 1A20","6.074563920027139","-60.0","Sat Feb 20 21:13:49 CST 2021"
"917.75","E280 1160 6000 0207 A652 5964","6.019340611663256","-60.5","Sat Feb 20 21:13:49 CST 2021"
"917.75","E200 0000 0000 0000 0000 1A10","3.2643111166206444","-53.5","Sat Feb 20 21:13:49 CST 2021"
"917.75","3008 33B2 DDD9 0140 0000 0000","1.000155473701438","-53.0","Sat Feb 20 21:13:49 CST 2021"
"917.75","E200 0000 0000 0000 0000 1A11","3.3870295796514958","-59.0","Sat Feb 20 21:13:49 CST 2021"
"917.75","E200 0000 0000 0000 0000 AAA2","5.375068680751287","-54.0","Sat Feb 20 21:13:49 CST 2021"
"917.75","E200 0000 0000 0000 0000 1A21","6.056156150572511","-65.5","Sat Feb 20 21:13:49 CST 2021"
"917.75","3008 33B2 DDD9 0140 0000 0000","0.9387962421860124","-53.0","Sat Feb 20 21:13:49 CST 2021"
