"CHANNEL","EPC","PHASE","RSSI","TIME"
"913.25","E200 0000 0000 0000 0000 1A21","1.6198837120072371","-64.0","Sat Feb 20 20:18:34 CST 2021"
"913.25","E280 1160 6000 0207 A652 5964","2.184388641949153","-61.0","Sat Feb 20 20:18:34 CST 2021"
"913.25","E200 0000 0000 0000 0000 1A11","5.424156065963627","-57.5","Sat Feb 20 20:18:34 CST 2021"
"913.25","E200 0017 9408 0236 1560 799A","0.07976700097005335","-62.5","Sat Feb 20 20:18:34 CST 2021"
"913.25","E280 6890 0000 5006 F494 B19E","3.8288160465625602","-67.5","Sat Feb 20 20:18:34 CST 2021"
"913.25","E200 0000 0000 0000 0000 AAA2","1.5830681730979816","-60.0","Sat Feb 20 20:18:34 CST 2021"
"913.25","E200 0000 0000 0000 0000 1A20","1.5953400194010667","-58.0","Sat Feb 20 20:18:34 CST 2021"
"913.25","3008 33B2 DDD9 0140 0000 0000","1.4419419406125027","-47.5","Sat Feb 20 20:18:34 CST 2021"
"913.25","E200 001D 700E 0069 2100 2A9E","5.227806525114265","-65.5","Sat Feb 20 20:18:34 CST 2021"
"913.25","E200 0000 0000 0000 0000 1A10","5.283029833478148","-52.5","Sat Feb 20 20:18:34 CST 2021"
"913.25","E280 1160 6000 0209 5014 ECA0","2.0064468705544187","-62.0","Sat Feb 20 20:18:34 CST 2021"
"913.25","E200 0000 0000 0000 0000 1A20","1.5707963267948966","-58.0","Sat Feb 20 20:18:34 CST 2021"
"913.25","E200 0017 9408 0236 1560 799A","6.050020227420969","-62.5","Sat Feb 20 20:18:34 CST 2021"
"913.25","E200 0000 0000 0000 0000 AAA2","1.5953400194010667","-60.5","Sat Feb 20 20:18:34 CST 2021"
"913.25","E200 0000 0000 0000 0000 1A21","1.6689710972195777","-63.0","Sat Feb 20 20:18:34 CST 2021"
"913.25","E200 0000 0000 0000 0000 1A11","5.313709449235861","-58.0","Sat Feb 20 20:18:34 CST 2021"
"913.25","E280 1160 6000 0207 A652 5964","2.116893487282185","-61.0","Sat Feb 20 20:18:34 CST 2021"
"913.25","E280 1160 6000 0209 5014 ECA0","1.9880391010997909","-62.5","Sat Feb 20 20:18:34 CST 2021"
"913.25","3008 33B2 DDD9 0140 0000 0000","1.4542137869155878","-47.5","Sat Feb 20 20:18:34 CST 2021"
"913.25","E200 001D 700E 0069 2100 2A9E","5.393476450205914","-66.0","Sat Feb 20 20:18:34 CST 2021"
"913.25","E200 0000 0000 0000 0000 1A10","5.258486140871978","-52.5","Sat Feb 20 20:18:34 CST 2021"
