"CHANNEL","EPC","PHASE","RSSI","TIME"
"922.75","E200 0000 0000 0000 0000 1A21","3.215223731408304","-64.5","Sat Feb 20 16:52:52 CST 2021"
"922.75","E200 0000 0000 0000 0000 1A10","1.380582709097077","-55.0","Sat Feb 20 16:52:52 CST 2021"
"922.75","E200 0000 0000 0000 0000 AAA2","2.0064468705544187","-59.5","Sat Feb 20 16:52:52 CST 2021"
"922.75","E200 0000 0000 0000 0000 1A20","3.018874190558942","-58.0","Sat Feb 20 16:52:52 CST 2021"
"922.75","E280 1160 6000 0209 5015 02C1","4.8351074434155406","-65.0","Sat Feb 20 16:52:52 CST 2021"
"922.75","E200 0000 0000 0000 0000 1A11","1.4848934026733007","-60.0","Sat Feb 20 16:52:52 CST 2021"
"922.75","3008 33B2 DDD9 0140 0000 0000","0.8344855486097889","-53.0","Sat Feb 20 16:52:52 CST 2021"
"922.75","E280 1160 6000 0209 5014 ECA0","4.264466590322082","-66.5","Sat Feb 20 16:52:52 CST 2021"
"922.75","E280 1160 6000 0207 A652 5964","3.6570101983193686","-62.5","Sat Feb 20 16:52:52 CST 2021"
"922.75","E280 6890 0000 5006 F494 B19E","1.6566992509164924","-69.0","Sat Feb 20 16:52:52 CST 2021"
"922.75","E200 0000 0000 0000 0000 1A20","3.000466421104314","-57.5","Sat Feb 20 16:52:52 CST 2021"
"922.75","E200 0000 0000 0000 0000 1A11","1.3989904785517047","-60.5","Sat Feb 20 16:52:52 CST 2021"
"922.75","3008 33B2 DDD9 0140 0000 0000","0.8344855486097889","-53.0","Sat Feb 20 16:52:52 CST 2021"
"922.75","E280 1160 6000 0207 A652 5964","3.6570101983193686","-62.5","Sat Feb 20 16:52:52 CST 2021"
"922.75","E200 0000 0000 0000 0000 AAA2","1.8162332528565992","-59.5","Sat Feb 20 16:52:52 CST 2021"
"922.75","E200 0000 0000 0000 0000 1A10","1.325359400733194","-55.0","Sat Feb 20 16:52:52 CST 2021"
"922.75","E200 0000 0000 0000 0000 AAA1","0.46019423636569234","-79.0","Sat Feb 20 16:52:52 CST 2021"
"922.75","E280 6890 0000 5006 F494 B19E","1.6751070203711202","-68.5","Sat Feb 20 16:52:52 CST 2021"
"922.75","E280 1160 6000 0207 A652 5963","6.031612457966341","-74.5","Sat Feb 20 16:52:52 CST 2021"
"908.75","3008 33B2 DDD9 0140 0000 0000","4.76147636559703","-51.5","Sat Feb 20 16:52:52 CST 2021"
"908.75","E280 6890 0000 5006 F494 B19E","0.25770877236478773","-65.0","Sat Feb 20 16:52:52 CST 2021"
"908.75","E280 1160 6000 0207 A652 5964","4.3933209765044765","-62.5","Sat Feb 20 16:52:52 CST 2021"
"908.75","E200 0000 0000 0000 0000 1A10","0.34974761963792617","-55.0","Sat Feb 20 16:52:52 CST 2021"
"908.75","E200 0000 0000 0000 0000 1A20","3.6079228131070282","-58.0","Sat Feb 20 16:52:52 CST 2021"
"908.75","E200 0000 0000 0000 0000 1A11","0.5092816215780329","-59.5","Sat Feb 20 16:52:52 CST 2021"
"908.75","E280 6890 0000 5006 F494 B19E","0.23316507975861744","-66.0","Sat Feb 20 16:52:52 CST 2021"
"908.75","E280 1160 6000 0207 A652 5964","4.301282129231338","-63.0","Sat Feb 20 16:52:52 CST 2021"
"908.75","E200 0017 9408 0236 1560 799A","1.1535535524900022","-63.5","Sat Feb 20 16:52:52 CST 2021"
"908.75","E200 0000 0000 0000 0000 1A11","0.4724660826687775","-60.0","Sat Feb 20 16:52:52 CST 2021"
"908.75","E280 1160 6000 0209 5014 ECA0","5.043728830567988","-58.5","Sat Feb 20 16:52:52 CST 2021"
"908.75","3008 33B2 DDD9 0140 0000 0000","4.743068596142402","-51.5","Sat Feb 20 16:52:52 CST 2021"
"908.75","E200 0000 0000 0000 0000 1A21","3.7981364308048478","-63.5","Sat Feb 20 16:52:52 CST 2021"
"908.75","E200 0000 0000 0000 0000 1A10","3.442252888015379","-55.0","Sat Feb 20 16:52:52 CST 2021"
"908.75","E200 0000 0000 0000 0000 1A20","3.6386024288647407","-58.0","Sat Feb 20 16:52:52 CST 2021"
"908.75","E280 1160 6000 0209 5015 02C1","5.307573526084319","-62.5","Sat Feb 20 16:52:52 CST 2021"
"908.75","E200 0000 0000 0000 0000 1A11","0.3190680038802134","-60.0","Sat Feb 20 16:52:52 CST 2021"
"908.75","E200 0000 0000 0000 0000 1A21","3.7981364308048478","-63.5","Sat Feb 20 16:52:52 CST 2021"
"908.75","E280 1160 6000 0209 5014 ECA0","5.049864753719531","-58.5","Sat Feb 20 16:52:52 CST 2021"
"908.75","3008 33B2 DDD9 0140 0000 0000","4.749204519293945","-51.5","Sat Feb 20 16:52:52 CST 2021"
"908.75","E280 6890 0000 5006 F494 B19E","0.2699806186678728","-65.5","Sat Feb 20 16:52:52 CST 2021"
