"CHANNEL","EPC","PHASE","RSSI","TIME"
"921.75","3008 33B2 DDD9 0140 0000 0001","1.5155730184310134","-47.5","Tue Feb 23 10:25:45 CST 2021"
"921.75","E200 0000 0000 0000 0000 AAA2","4.252194744018997","-59.0","Tue Feb 23 10:25:45 CST 2021"
"921.75","E280 1160 6000 0209 5015 02C1","2.1905245651006955","-59.0","Tue Feb 23 10:25:45 CST 2021"
"921.75","3008 33B2 DDD9 0140 0000 0000","1.3314953238847365","-46.5","Tue Feb 23 10:25:45 CST 2021"
"921.75","E200 0000 0000 0000 0000 1A10","2.552544031041707","-54.5","Tue Feb 23 10:25:45 CST 2021"
"921.75","E200 0000 0000 0000 0000 1A11","2.6323110320117604","-59.5","Tue Feb 23 10:25:45 CST 2021"
"921.75","E200 0000 0000 0000 0000 1A20","0.7731263170943632","-70.5","Tue Feb 23 10:25:45 CST 2021"
"921.75","E280 1160 6000 0207 A652 5964","1.5462526341887264","-72.0","Tue Feb 23 10:25:45 CST 2021"
"912.25","E280 1160 6000 0209 5014 ECA0","5.129631754689584","-70.5","Tue Feb 23 10:25:45 CST 2021"
"912.25","E280 1160 6000 0209 5015 02A1","1.5707963267948966","-73.5","Tue Feb 23 10:25:45 CST 2021"
"912.25","3008 33B2 DDD9 0140 0000 0001","3.877903431774901","-46.5","Tue Feb 23 10:25:45 CST 2021"
"912.25","3008 33B2 DDD9 0140 0000 0000","3.718369429834794","-45.5","Tue Feb 23 10:25:45 CST 2021"
"912.25","E200 0000 0000 0000 0000 1A10","6.056156150572511","-54.0","Tue Feb 23 10:25:45 CST 2021"
"912.25","E200 0000 0000 0000 0000 AAA2","3.117048960983623","-56.5","Tue Feb 23 10:25:45 CST 2021"
"912.25","E200 0000 0000 0000 0000 1A11","6.1850105367549055","-59.0","Tue Feb 23 10:25:45 CST 2021"
"912.25","E280 1160 6000 0209 5014 ECA0","5.246214294568893","-71.0","Tue Feb 23 10:25:45 CST 2021"
"912.25","E280 1160 6000 0209 5015 02C1","5.344389064993574","-65.0","Tue Feb 23 10:25:45 CST 2021"
"912.25","E280 1160 6000 0209 5015 02A1","1.705786636128833","-73.5","Tue Feb 23 10:25:45 CST 2021"
"912.25","3008 33B2 DDD9 0140 0000 0000","3.724505352986337","-45.5","Tue Feb 23 10:25:45 CST 2021"
"912.25","E200 0000 0000 0000 0000 1A10","6.019340611663256","-53.5","Tue Feb 23 10:25:45 CST 2021"
"912.25","E280 1160 6000 0209 5015 02C1","1.9757672547967058","-64.0","Tue Feb 23 10:25:45 CST 2021"
"912.25","E200 0000 0000 0000 0000 1A11","5.994796919057086","-59.5","Tue Feb 23 10:25:45 CST 2021"
"912.25","E200 0000 0000 0000 0000 AAA2","3.104777114680538","-57.0","Tue Feb 23 10:25:45 CST 2021"
"912.25","3008 33B2 DDD9 0140 0000 0001","3.9147189706841563","-46.5","Tue Feb 23 10:25:45 CST 2021"
"912.25","E280 1160 6000 0209 5014 ECA0","5.21553467881118","-71.0","Tue Feb 23 10:25:45 CST 2021"
"912.25","E200 0000 0000 0000 0000 AAA2","3.06182565261974","-56.5","Tue Feb 23 10:25:45 CST 2021"
"912.25","E200 0000 0000 0000 0000 1A10","6.013204688511713","-54.0","Tue Feb 23 10:25:45 CST 2021"
"912.25","E200 0000 0000 0000 0000 1A11","6.12365130523948","-59.0","Tue Feb 23 10:25:45 CST 2021"
"912.25","E280 1160 6000 0209 5015 02A1","1.5892040962495242","-73.0","Tue Feb 23 10:25:45 CST 2021"
"912.25","3008 33B2 DDD9 0140 0000 0001","3.8840393549264434","-46.5","Tue Feb 23 10:25:45 CST 2021"
"902.75","E280 1160 6000 0207 A652 5964","5.482447335903282","-68.5","Tue Feb 23 10:25:45 CST 2021"
"902.75","E280 1160 6000 0209 5014 ECA0","4.6878452877785195","-64.5","Tue Feb 23 10:25:45 CST 2021"
