"CHANNEL","EPC","PHASE","RSSI","TIME"
"910.25","3008 33B2 DDD9 0140 0000 0001","0.9756117810952678","-59.5","Tue Feb 23 10:42:17 CST 2021"
"910.25","E200 0000 0000 0000 0000 1A11","6.019340611663256","-60.0","Tue Feb 23 10:42:17 CST 2021"
"910.25","E200 0000 0000 0000 0000 1A10","5.976389149602458","-55.0","Tue Feb 23 10:42:17 CST 2021"
"910.25","E200 0000 0000 0000 0000 AAA2","4.049709280018092","-59.5","Tue Feb 23 10:42:17 CST 2021"
"910.25","E280 1160 6000 0209 5015 02C1","5.939573610693203","-66.5","Tue Feb 23 10:42:17 CST 2021"
"910.25","E280 1160 6000 0209 5014 D8C1","5.356660911296659","-69.5","Tue Feb 23 10:42:17 CST 2021"
"910.25","E200 0000 0000 0000 0000 1A20","0.2945243112740431","-69.5","Tue Feb 23 10:42:17 CST 2021"
"910.25","3008 33B2 DDD9 0140 0000 0000","1.1965050145508","-60.0","Tue Feb 23 10:42:17 CST 2021"
"910.25","E200 0000 0000 0000 0000 AAA2","4.04357335686655","-59.5","Tue Feb 23 10:42:17 CST 2021"
"910.25","E200 0017 9408 0236 1560 799A","5.313709449235861","-62.5","Tue Feb 23 10:42:17 CST 2021"
"910.25","E200 0000 0000 0000 0000 1A10","5.988660995905543","-55.0","Tue Feb 23 10:42:17 CST 2021"
"910.25","3008 33B2 DDD9 0140 0000 0001","1.2210487071569704","-60.0","Tue Feb 23 10:42:17 CST 2021"
"910.25","E280 1160 6000 0209 5015 02C1","2.9636508821950587","-66.5","Tue Feb 23 10:42:17 CST 2021"
"910.25","E200 0000 0000 0000 0000 1A11","6.050020227420969","-60.0","Tue Feb 23 10:42:17 CST 2021"
"910.25","E200 001D 700E 0075 2100 3221","6.2463697682703305","-65.5","Tue Feb 23 10:42:17 CST 2021"
"910.25","E280 1160 6000 0209 5014 D8C1","5.221670601962723","-70.0","Tue Feb 23 10:42:17 CST 2021"
"910.25","E200 0000 0000 0000 0000 AAA2","4.0128937411088375","-59.0","Tue Feb 23 10:42:17 CST 2021"
"910.25","3008 33B2 DDD9 0140 0000 0001","1.141281706186917","-59.5","Tue Feb 23 10:42:17 CST 2021"
"910.25","E280 1160 6000 0209 5014 D8C1","5.117359908386499","-67.0","Tue Feb 23 10:42:17 CST 2021"
"910.25","E200 0000 0000 0000 0000 1A10","5.982525072754001","-55.5","Tue Feb 23 10:42:17 CST 2021"
"910.25","3008 33B2 DDD9 0140 0000 0000","1.2087768608538851","-60.0","Tue Feb 23 10:42:17 CST 2021"
"910.25","E200 0000 0000 0000 0000 1A11","6.129787228391022","-61.5","Tue Feb 23 10:42:17 CST 2021"
"910.25","E200 0017 9408 0236 1560 799A","5.4671075280244255","-62.5","Tue Feb 23 10:42:17 CST 2021"
"910.25","E280 1160 6000 0209 5015 02C1","6.007068765360171","-66.5","Tue Feb 23 10:42:17 CST 2021"
"910.25","3008 33B2 DDD9 0140 0000 0001","1.1535535524900022","-59.5","Tue Feb 23 10:42:17 CST 2021"
"910.25","E200 0000 0000 0000 0000 1A10","6.043884304269426","-55.5","Tue Feb 23 10:42:17 CST 2021"
"910.25","E200 0000 0000 0000 0000 AAA2","4.0558452031696355","-59.5","Tue Feb 23 10:42:17 CST 2021"
"910.25","E200 0000 0000 0000 0000 1A11","6.191146459906448","-61.0","Tue Feb 23 10:42:17 CST 2021"
"910.25","3008 33B2 DDD9 0140 0000 0000","1.2578642460662257","-60.5","Tue Feb 23 10:42:17 CST 2021"
"910.25","E200 0017 9408 0236 1560 799A","5.221670601962723","-63.0","Tue Feb 23 10:42:17 CST 2021"
"910.25","E280 1160 6000 0209 5015 02C1","2.9268353432858034","-65.5","Tue Feb 23 10:42:17 CST 2021"
"910.25","E280 1160 6000 0209 5014 D8C1","5.405748296509","-65.5","Tue Feb 23 10:42:17 CST 2021"
"910.25","E200 001D 700E 0075 2100 3221","6.17273869045182","-65.5","Tue Feb 23 10:42:17 CST 2021"
"903.25","E280 1160 6000 0209 5014 D8C1","2.012582793705961","-65.5","Tue Feb 23 10:42:17 CST 2021"
"903.25","3008 33B2 DDD9 0140 0000 0001","3.018874190558942","-58.5","Tue Feb 23 10:42:17 CST 2021"
"903.25","E200 0017 9408 0236 1560 799A","1.705786636128833","-63.0","Tue Feb 23 10:42:17 CST 2021"
"903.25","E200 0000 0000 0000 0000 AAA2","1.4664856332186729","-57.5","Tue Feb 23 10:42:17 CST 2021"
"903.25","E200 0000 0000 0000 0000 1A10","2.2150682577068657","-54.0","Tue Feb 23 10:42:17 CST 2021"
"903.25","3008 33B2 DDD9 0140 0000 0000","3.1354567304382504","-60.0","Tue Feb 23 10:42:17 CST 2021"
"903.25","E200 0000 0000 0000 0000 1A11","2.2212041808584084","-59.5","Tue Feb 23 10:42:17 CST 2021"
"903.25","E200 001D 700E 0075 2100 3221","1.0062913968529805","-65.5","Tue Feb 23 10:42:17 CST 2021"
"903.25","3008 33B2 DDD9 0140 0000 0000","3.472932503773092","-60.5","Tue Feb 23 10:42:17 CST 2021"
"903.25","E200 0000 0000 0000 0000 1A10","2.12916533358527","-54.5","Tue Feb 23 10:42:17 CST 2021"
"903.25","E280 1160 6000 0209 5014 D8C1","1.902136176978195","-67.0","Tue Feb 23 10:42:17 CST 2021"
"903.25","E200 0000 0000 0000 0000 1A11","2.2641556429192065","-59.5","Tue Feb 23 10:42:17 CST 2021"
"903.25","E200 0000 0000 0000 0000 AAA2","1.4358060174609601","-57.5","Tue Feb 23 10:42:17 CST 2021"
"903.25","3008 33B2 DDD9 0140 0000 0001","3.0127382674073995","-59.5","Tue Feb 23 10:42:17 CST 2021"
"903.25","E200 0017 9408 0236 1560 799A","1.7548740213411735","-62.5","Tue Feb 23 10:42:17 CST 2021"
"903.25","E280 1160 6000 0209 5014 ECA0","1.086058397823034","-69.5","Tue Feb 23 10:42:17 CST 2021"
"903.25","E280 1160 6000 0207 A652 5964","5.209398755659637","-72.0","Tue Feb 23 10:42:17 CST 2021"
"903.25","E280 6890 0000 4006 F494 759E","5.258486140871978","-72.5","Tue Feb 23 10:42:17 CST 2021"
"903.25","E200 0000 0000 0000 0000 1A10","2.2396119503130363","-54.5","Tue Feb 23 10:42:17 CST 2021"
"903.25","E200 0017 9408 0236 1560 799A","1.718058482431918","-62.0","Tue Feb 23 10:42:17 CST 2021"
"903.25","E200 0000 0000 0000 0000 AAA2","1.4358060174609601","-57.0","Tue Feb 23 10:42:17 CST 2021"
"903.25","3008 33B2 DDD9 0140 0000 0001","3.0802334220743677","-59.5","Tue Feb 23 10:42:17 CST 2021"
"903.25","3008 33B2 DDD9 0140 0000 0000","3.1661363461959633","-60.5","Tue Feb 23 10:42:17 CST 2021"
"903.25","E280 1160 6000 0209 5014 ECA0","0.8099418560036186","-68.5","Tue Feb 23 10:42:17 CST 2021"
"903.25","E200 0000 0000 0000 0000 1A11","2.36846633649543","-60.5","Tue Feb 23 10:42:17 CST 2021"
"903.25","E280 1160 6000 0209 5014 D8C1","1.9819031779482483","-67.0","Tue Feb 23 10:42:17 CST 2021"
"903.25","E280 1160 6000 0207 A652 5964","2.227340104009951","-72.5","Tue Feb 23 10:42:17 CST 2021"
"903.25","3008 33B2 DDD9 0140 0000 0001","3.11091303783208","-59.5","Tue Feb 23 10:42:17 CST 2021"
"903.25","3008 33B2 DDD9 0140 0000 0000","3.104777114680538","-61.0","Tue Feb 23 10:42:17 CST 2021"
"903.25","E200 0000 0000 0000 0000 AAA2","1.423534171157875","-57.0","Tue Feb 23 10:42:17 CST 2021"
"903.25","E200 0000 0000 0000 0000 1A11","2.313243028131547","-59.5","Tue Feb 23 10:42:17 CST 2021"
"903.25","E200 0000 0000 0000 0000 1A10","2.2089323345553233","-54.5","Tue Feb 23 10:42:17 CST 2021"
"903.25","E280 1160 6000 0209 5014 D8C1","1.9941750242513334","-66.5","Tue Feb 23 10:42:17 CST 2021"
"903.25","E200 0017 9408 0236 1560 799A","4.988505522204105","-63.0","Tue Feb 23 10:42:17 CST 2021"
"903.25","E200 001D 700E 0075 2100 3221","1.0185632431560658","-65.5","Tue Feb 23 10:42:17 CST 2021"
"903.25","E280 1160 6000 0209 5014 ECA0","4.111068511533518","-69.0","Tue Feb 23 10:42:17 CST 2021"
"906.25","E200 0000 0000 0000 0000 1A10","1.1719613219446299","-55.5","Tue Feb 23 10:42:17 CST 2021"
"906.25","3008 33B2 DDD9 0140 0000 0000","5.408816258084771","-61.0","Tue Feb 23 10:42:17 CST 2021"
"906.25","E200 0000 0000 0000 0000 AAA2","5.979457111178229","-59.0","Tue Feb 23 10:42:17 CST 2021"
"906.25","E280 1160 6000 0209 5014 D8C1","1.043106935762236","-70.0","Tue Feb 23 10:42:17 CST 2021"
"906.25","E200 0000 0000 0000 0000 1A11","4.414796707534875","-61.0","Tue Feb 23 10:42:17 CST 2021"
"906.25","E200 001D 700E 0075 2100 3221","5.473243451175968","-65.5","Tue Feb 23 10:42:17 CST 2021"
"906.25","3008 33B2 DDD9 0140 0000 0001","2.2212041808584084","-60.0","Tue Feb 23 10:42:17 CST 2021"
"906.25","E200 0017 9408 0236 1560 799A","0.7332428166093364","-64.5","Tue Feb 23 10:42:17 CST 2021"
"906.25","E200 0000 0000 0000 0000 1A20","5.626641529964532","-71.0","Tue Feb 23 10:42:17 CST 2021"
"906.25","E200 0000 0000 0000 0000 1A10","1.1474176293384597","-55.0","Tue Feb 23 10:42:17 CST 2021"
"906.25","E280 1160 6000 0209 5014 D8C1","0.6749515466696822","-67.0","Tue Feb 23 10:42:17 CST 2021"
