"CHANNEL","EPC","PHASE","RSSI","TIME"
"925.75","E200 0000 0000 0000 0000 1A11","2.5893595699509624","-65.0","Thu Feb 25 09:51:43 CST 2021"
"925.75","3008 33B2 DDD9 0140 0000 0000","4.129476280988146","-48.5","Thu Feb 25 09:51:43 CST 2021"
"925.75","E200 0000 0000 0000 0000 1A20","0.619728238305799","-65.0","Thu Feb 25 09:51:43 CST 2021"
"925.75","E280 1160 6000 0209 5015 02C1","4.97623367590102","-60.0","Thu Feb 25 09:51:43 CST 2021"
"925.75","E200 0000 0000 0000 0000 1A10","2.5464081078901644","-60.5","Thu Feb 25 09:51:43 CST 2021"
"925.75","E200 0017 3815 0106 1290 95FC","2.3071071049800045","-73.0","Thu Feb 25 09:51:43 CST 2021"
"925.75","E280 1160 6000 0209 5015 02A1","0.16566992509164924","-74.5","Thu Feb 25 09:51:43 CST 2021"
"925.75","E200 0000 0000 0000 0000 AAA1","5.915029918087033","-75.5","Thu Feb 25 09:51:43 CST 2021"
"925.75","E200 0000 0000 0000 0000 1A20","0.5460971604872883","-64.5","Thu Feb 25 09:51:43 CST 2021"
"925.75","E280 1160 6000 0209 5015 02C1","5.0682725231741586","-60.0","Thu Feb 25 09:51:43 CST 2021"
"925.75","E200 0000 0000 0000 0000 1A11","2.60776733940559","-64.5","Thu Feb 25 09:51:43 CST 2021"
"925.75","3008 33B2 DDD9 0140 0000 0000","4.123340357836604","-48.5","Thu Feb 25 09:51:43 CST 2021"
"925.75","E200 0000 0000 0000 0000 1A10","2.5770877236478773","-60.5","Thu Feb 25 09:51:43 CST 2021"
"925.75","E200 0017 3815 0106 1290 95FC","2.2150682577068657","-73.0","Thu Feb 25 09:51:43 CST 2021"
"925.75","E280 1160 6000 0207 A652 5964","0.5522330836388308","-75.0","Thu Feb 25 09:51:43 CST 2021"
"925.75","E280 1160 6000 0209 5015 02A1","0.2945243112740431","-74.5","Thu Feb 25 09:51:43 CST 2021"
"919.25","E200 0000 0000 0000 0000 1A10","4.988505522204105","-61.5","Thu Feb 25 09:51:43 CST 2021"
"919.25","3008 33B2 DDD9 0140 0000 0000","5.816855147662351","-48.5","Thu Feb 25 09:51:43 CST 2021"
"919.25","E280 1160 6000 0209 5014 D8C1","5.994796919057086","-67.0","Thu Feb 25 09:51:43 CST 2021"
"919.25","E280 1160 6000 0209 5015 02C1","2.9329712664373457","-59.5","Thu Feb 25 09:51:43 CST 2021"
"919.25","E200 0000 0000 0000 0000 1A11","5.209398755659637","-66.5","Thu Feb 25 09:51:43 CST 2021"
"919.25","E200 0000 0000 0000 0000 1A20","4.442408361716817","-66.0","Thu Feb 25 09:51:43 CST 2021"
"919.25","E200 0000 0000 0000 0000 AAA1","5.7616318392984684","-77.0","Thu Feb 25 09:51:43 CST 2021"
"919.25","E280 1160 6000 0209 5015 02C1","2.988194574801229","-59.5","Thu Feb 25 09:51:43 CST 2021"
"919.25","3008 33B2 DDD9 0140 0000 0000","5.798447378207723","-48.5","Thu Feb 25 09:51:43 CST 2021"
"919.25","E200 0000 0000 0000 0000 1A11","5.252350217720435","-67.0","Thu Feb 25 09:51:43 CST 2021"
"919.25","E280 1160 6000 0209 5014 D8C1","6.111379458936394","-67.5","Thu Feb 25 09:51:43 CST 2021"
"919.25","E200 0000 0000 0000 0000 1A10","4.896466674930966","-63.0","Thu Feb 25 09:51:43 CST 2021"
"919.25","E200 0000 0000 0000 0000 1A20","4.534447208989955","-65.5","Thu Feb 25 09:51:43 CST 2021"
"919.25","E200 0000 0000 0000 0000 AAA1","5.730952223540755","-77.0","Thu Feb 25 09:51:43 CST 2021"
"919.25","E280 1160 6000 0209 5015 02A1","6.178874613603362","-69.5","Thu Feb 25 09:51:43 CST 2021"
"919.25","3008 33B2 DDD9 0140 0000 0000","5.810719224510809","-48.5","Thu Feb 25 09:51:43 CST 2021"
"919.25","E200 0000 0000 0000 0000 1A10","5.049864753719531","-62.5","Thu Feb 25 09:51:43 CST 2021"
"919.25","E200 0000 0000 0000 0000 1A20","4.491495746929157","-67.0","Thu Feb 25 09:51:43 CST 2021"
"919.25","E280 1160 6000 0209 5015 02A1","6.105243535784852","-69.5","Thu Feb 25 09:51:43 CST 2021"
"919.25","E280 1160 6000 0209 5014 D8C1","6.105243535784852","-68.5","Thu Feb 25 09:51:43 CST 2021"
"919.25","E280 1160 6000 0209 5015 02C1","2.742757648739526","-59.5","Thu Feb 25 09:51:43 CST 2021"
"919.25","E200 0000 0000 0000 0000 1A11","5.246214294568893","-66.5","Thu Feb 25 09:51:43 CST 2021"
"919.25","E280 1160 6000 0209 5014 8021","5.982525072754001","-74.0","Thu Feb 25 09:51:43 CST 2021"
"919.25","E200 0000 0000 0000 0000 AAA1","5.6573211457222445","-77.0","Thu Feb 25 09:51:43 CST 2021"
"919.25","E200 0000 0000 0000 0000 1A10","4.908738521234052","-63.0","Thu Feb 25 09:51:43 CST 2021"
"919.25","E280 1160 6000 0209 5015 02C1","2.773437264497239","-59.5","Thu Feb 25 09:51:43 CST 2021"
"919.25","3008 33B2 DDD9 0140 0000 0000","5.841398840268521","-48.5","Thu Feb 25 09:51:43 CST 2021"
"924.25","E280 1160 6000 0209 5014 D8C1","0.0","-72.5","Thu Feb 25 09:51:44 CST 2021"
"924.25","E200 0000 0000 0000 0000 1A20","4.657165672020807","-66.0","Thu Feb 25 09:51:44 CST 2021"
"924.25","E200 0000 0000 0000 0000 1A11","0.06442719309119693","-66.5","Thu Feb 25 09:51:44 CST 2021"
"924.25","E280 1160 6000 0209 5015 02A1","4.006757817957295","-74.5","Thu Feb 25 09:51:44 CST 2021"
"924.25","E200 0000 0000 0000 0000 AAA1","0.2761165418194154","-76.0","Thu Feb 25 09:51:44 CST 2021"
"924.25","E280 1160 6000 0209 5015 02C1","6.215690152512618","-61.0","Thu Feb 25 09:51:44 CST 2021"
"924.25","3008 33B2 DDD9 0140 0000 0000","4.583534594202296","-48.5","Thu Feb 25 09:51:44 CST 2021"
"924.25","E200 0000 0000 0000 0000 1A20","1.607611865704152","-65.5","Thu Feb 25 09:51:44 CST 2021"
"924.25","E200 0000 0000 0000 0000 1A10","3.11091303783208","-61.5","Thu Feb 25 09:51:44 CST 2021"
"924.25","E200 0000 0000 0000 0000 1A11","3.227495577711389","-65.0","Thu Feb 25 09:51:44 CST 2021"
"924.25","E200 0017 3815 0106 1290 95FC","3.5158839658338894","-73.5","Thu Feb 25 09:51:44 CST 2021"
"924.25","E200 0000 0000 0000 0000 AAA1","0.2761165418194154","-76.0","Thu Feb 25 09:51:44 CST 2021"
"924.25","E280 1160 6000 0209 5015 02C1","6.215690152512618","-61.0","Thu Feb 25 09:51:44 CST 2021"
"924.25","E200 0000 0000 0000 0000 1A10","3.0066023442558567","-62.0","Thu Feb 25 09:51:44 CST 2021"
"924.25","E200 0000 0000 0000 0000 1A20","1.5707963267948966","-65.5","Thu Feb 25 09:51:44 CST 2021"
"924.25","E200 0000 0000 0000 0000 1A11","2.9636508821950587","-65.0","Thu Feb 25 09:51:44 CST 2021"
