"CHANNEL","EPC","PHASE","RSSI","TIME"
"915.75","E280 1160 6000 0207 A652 5964","2.859340188618835","-69.5","Thu Feb 25 10:10:36 CST 2021"
"915.75","E200 0000 0000 0000 0000 1A11","4.853515212870168","-60.5","Thu Feb 25 10:10:36 CST 2021"
"915.75","3008 33B2 DDD9 0140 0000 0000","0.4540583132141498","-48.5","Thu Feb 25 10:10:36 CST 2021"
"915.75","E200 0000 0000 0000 0000 1A10","4.755340442445488","-56.0","Thu Feb 25 10:10:36 CST 2021"
"915.75","E280 1160 6000 0209 5015 02C1","5.534602682691394","-61.0","Thu Feb 25 10:10:36 CST 2021"
"915.75","E280 1160 6000 0209 5014 D8C1","1.6505633277649499","-69.5","Thu Feb 25 10:10:36 CST 2021"
"915.75","E280 1160 6000 0209 5015 02A1","1.9205439464328227","-69.5","Thu Feb 25 10:10:36 CST 2021"
"915.75","0000 0000 0000 0000 01C2 0000","2.356194490192345","-64.5","Thu Feb 25 10:10:36 CST 2021"
"915.75","E280 1160 6000 0209 5014 8021","5.755495916146925","-72.5","Thu Feb 25 10:10:36 CST 2021"
"915.75","E200 0000 0000 0000 0000 AAA2","6.209554229361076","-69.0","Thu Feb 25 10:10:36 CST 2021"
"915.75","E200 0000 0000 0000 0000 1A10","4.669437518323892","-56.0","Thu Feb 25 10:10:36 CST 2021"
"915.75","E280 1160 6000 0209 5015 02A1","1.9082721001297376","-70.5","Thu Feb 25 10:10:36 CST 2021"
"915.75","3008 33B2 DDD9 0140 0000 0000","0.44178646691106466","-48.0","Thu Feb 25 10:10:36 CST 2021"
"915.75","E280 1160 6000 0209 5015 02C1","5.583690067903734","-61.5","Thu Feb 25 10:10:36 CST 2021"
"915.75","E200 0000 0000 0000 0000 1A11","4.81056375080937","-60.5","Thu Feb 25 10:10:36 CST 2021"
"915.75","E200 0000 0000 0000 0000 AAA1","0.8406214717613314","-75.0","Thu Feb 25 10:10:36 CST 2021"
"906.25","E200 0017 9408 0236 1560 799A","3.9760782021995817","-61.0","Thu Feb 25 10:10:36 CST 2021"
"906.25","E280 1160 6000 0207 A652 5964","4.957825906446392","-76.0","Thu Feb 25 10:10:36 CST 2021"
"906.25","E280 1160 6000 0209 5015 02A1","0.22089323345553233","-67.5","Thu Feb 25 10:10:36 CST 2021"
"906.25","E280 1160 6000 0209 5015 02C1","4.509903516383785","-62.5","Thu Feb 25 10:10:36 CST 2021"
"906.25","E200 0000 0000 0000 0000 1A11","2.337786720737717","-59.5","Thu Feb 25 10:10:36 CST 2021"
"906.25","3008 33B2 DDD9 0140 0000 0000","2.9513790358919736","-48.5","Thu Feb 25 10:10:36 CST 2021"
