"CHANNEL","EPC","PHASE","RSSI","TIME"
"912.75","E200 0000 0000 0000 0000 1A10","5.792311455056181","-55.0","Thu Feb 25 10:45:00 CST 2021"
"912.75","E200 0017 9408 0236 1560 799A","0.5890486225480862","-63.0","Thu Feb 25 10:45:00 CST 2021"
"912.75","E200 0000 0000 0000 0000 1A11","5.841398840268521","-60.0","Thu Feb 25 10:45:00 CST 2021"
"912.75","3008 33B2 DDD9 0140 0000 0000","1.761009944492716","-47.0","Thu Feb 25 10:45:00 CST 2021"
"912.75","E280 1160 6000 0209 5015 02C1","0.17794177139473438","-63.5","Thu Feb 25 10:45:00 CST 2021"
"912.75","E280 1160 6000 0207 A652 5964","5.473243451175968","-72.5","Thu Feb 25 10:45:00 CST 2021"
"912.75","E280 1160 6000 0209 5014 D8C1","0.8344855486097889","-72.0","Thu Feb 25 10:45:00 CST 2021"
"915.25","E280 1160 6000 0209 5015 02C1","4.988505522204105","-61.5","Thu Feb 25 10:45:00 CST 2021"
"915.25","E280 1160 6000 0209 5014 D8C1","2.466641106920111","-67.5","Thu Feb 25 10:45:00 CST 2021"
"915.25","3008 33B2 DDD9 0140 0000 0000","1.1474176293384597","-47.0","Thu Feb 25 10:45:00 CST 2021"
"915.25","E200 0000 0000 0000 0000 1A10","4.773748211900116","-56.0","Thu Feb 25 10:45:00 CST 2021"
"915.25","E200 0000 0000 0000 0000 1A20","5.681864838328415","-67.0","Thu Feb 25 10:45:00 CST 2021"
"915.25","E200 0000 0000 0000 0000 1A11","5.049864753719531","-60.5","Thu Feb 25 10:45:00 CST 2021"
"915.25","E280 1160 6000 0209 5015 02A1","1.5830681730979816","-71.5","Thu Feb 25 10:45:00 CST 2021"
"915.25","E280 1160 6000 0207 A652 5964","0.9878836273983529","-73.0","Thu Feb 25 10:45:00 CST 2021"
"915.25","E200 0000 0000 0000 0000 AAA1","0.6135923151542565","-73.0","Thu Feb 25 10:45:00 CST 2021"
"915.25","E200 0000 0000 0000 0000 1A10","4.767612288748572","-56.0","Thu Feb 25 10:45:00 CST 2021"
"915.25","3008 33B2 DDD9 0140 0000 0000","1.1106020904292042","-47.0","Thu Feb 25 10:45:00 CST 2021"
"915.25","E200 0000 0000 0000 0000 1A11","4.9823695990525625","-60.5","Thu Feb 25 10:45:00 CST 2021"
"915.25","E280 1160 6000 0209 5015 02C1","5.0253210611133605","-61.0","Thu Feb 25 10:45:00 CST 2021"
"915.25","E280 1160 6000 0207 A652 5964","1.0676506283684062","-73.0","Thu Feb 25 10:45:00 CST 2021"
"915.25","E280 1160 6000 0209 5014 D8C1","5.534602682691394","-68.5","Thu Feb 25 10:45:00 CST 2021"
"915.25","E200 0000 0000 0000 0000 1A20","5.7616318392984684","-68.5","Thu Feb 25 10:45:00 CST 2021"
"915.25","3008 33B2 DDD9 0140 0000 0000","1.0983302441261191","-47.0","Thu Feb 25 10:45:00 CST 2021"
"915.25","E280 1160 6000 0209 5015 02C1","4.9394181369917645","-62.0","Thu Feb 25 10:45:00 CST 2021"
"915.25","E280 1160 6000 0209 5014 D8C1","2.2457478734645786","-67.0","Thu Feb 25 10:45:00 CST 2021"
"915.25","E200 0000 0000 0000 0000 1A11","5.037592907416445","-60.5","Thu Feb 25 10:45:00 CST 2021"
"915.25","E200 0000 0000 0000 0000 1A10","4.908738521234052","-56.0","Thu Feb 25 10:45:00 CST 2021"
"915.25","E200 0000 0000 0000 0000 AAA1","0.7731263170943632","-72.5","Thu Feb 25 10:45:00 CST 2021"
"915.25","E280 1160 6000 0207 A652 5964","1.1044661672776617","-73.5","Thu Feb 25 10:45:00 CST 2021"
"915.25","3008 33B2 DDD9 0140 0000 0000","1.1228739367322893","-47.0","Thu Feb 25 10:45:01 CST 2021"
"915.25","E280 1160 6000 0209 5015 02C1","5.006913291658733","-61.5","Thu Feb 25 10:45:01 CST 2021"
"915.25","E200 0000 0000 0000 0000 1A10","4.779884135051658","-56.0","Thu Feb 25 10:45:01 CST 2021"
"915.25","E200 0000 0000 0000 0000 1A11","5.013049214810275","-60.5","Thu Feb 25 10:45:01 CST 2021"
"915.25","E200 0000 0000 0000 0000 AAA1","0.8160777791551611","-73.0","Thu Feb 25 10:45:01 CST 2021"
"915.25","E280 1160 6000 0209 5015 02A1","1.6812429435226628","-71.5","Thu Feb 25 10:45:01 CST 2021"
"915.25","E280 1160 6000 0207 A652 5964","1.214912784005428","-73.0","Thu Feb 25 10:45:01 CST 2021"
"905.75","E280 1160 6000 0209 5015 02C1","4.71238898038469","-63.0","Thu Feb 25 10:45:01 CST 2021"
"905.75","E200 0000 0000 0000 0000 AAA2","5.0682725231741586","-60.5","Thu Feb 25 10:45:01 CST 2021"
"905.75","E200 0000 0000 0000 0000 1A10","2.227340104009951","-55.5","Thu Feb 25 10:45:01 CST 2021"
"905.75","E200 0000 0000 0000 0000 1A11","2.325514874434632","-61.0","Thu Feb 25 10:45:01 CST 2021"
"905.75","3008 33B2 DDD9 0140 0000 0000","3.56497135104623","-46.5","Thu Feb 25 10:45:01 CST 2021"
"905.75","E200 0000 0000 0000 0000 AAA1","6.12365130523948","-69.0","Thu Feb 25 10:45:01 CST 2021"
"905.75","E200 0017 9408 0236 1560 799A","1.4173982480063325","-65.0","Thu Feb 25 10:45:01 CST 2021"
"905.75","E280 1160 6000 0209 5015 02A1","0.4970097752749477","-73.5","Thu Feb 25 10:45:01 CST 2021"
"905.75","E200 0000 0000 0000 0000 1A11","2.552544031041707","-61.0","Thu Feb 25 10:45:01 CST 2021"
"905.75","3008 33B2 DDD9 0140 0000 0000","3.56497135104623","-46.5","Thu Feb 25 10:45:01 CST 2021"
"905.75","E280 1160 6000 0209 5015 02C1","4.571262747899211","-63.5","Thu Feb 25 10:45:01 CST 2021"
"905.75","E200 0000 0000 0000 0000 AAA2","5.141903600992669","-61.5","Thu Feb 25 10:45:01 CST 2021"
"905.75","E200 0000 0000 0000 0000 1A10","2.325514874434632","-56.0","Thu Feb 25 10:45:01 CST 2021"
"905.75","E280 1160 6000 0209 5015 02A1","0.5276893910326605","-73.5","Thu Feb 25 10:45:01 CST 2021"
"905.75","E200 0000 0000 0000 0000 AAA1","6.135923151542564","-72.0","Thu Feb 25 10:45:01 CST 2021"
"926.25","E200 0000 0000 0000 0000 1A10","0.9081166264282996","-56.0","Thu Feb 25 10:45:01 CST 2021"
"926.25","E200 0000 0000 0000 0000 1A11","0.9572040116406401","-60.5","Thu Feb 25 10:45:01 CST 2021"
"926.25","E280 1160 6000 0209 5015 02C1","4.23378697456437","-62.5","Thu Feb 25 10:45:01 CST 2021"
"926.25","E200 0000 0000 0000 0000 AAA2","3.749049045592507","-63.0","Thu Feb 25 10:45:01 CST 2021"
"926.25","3008 33B2 DDD9 0140 0000 0000","4.583534594202296","-47.5","Thu Feb 25 10:45:01 CST 2021"
"926.25","E200 0000 0000 0000 0000 AAA1","4.884194828627882","-71.5","Thu Feb 25 10:45:01 CST 2021"
"926.25","E200 0000 0000 0000 0000 1A20","6.025476534814799","-63.0","Thu Feb 25 10:45:01 CST 2021"
"926.25","E200 0000 0000 0000 0000 AAA2","3.8717675086233583","-62.5","Thu Feb 25 10:45:01 CST 2021"
"926.25","E200 0000 0000 0000 0000 1A10","0.8651651643675016","-55.5","Thu Feb 25 10:45:01 CST 2021"
"926.25","E200 0000 0000 0000 0000 1A11","0.9203884727313847","-60.5","Thu Feb 25 10:45:01 CST 2021"
"926.25","3008 33B2 DDD9 0140 0000 0000","4.552854978444583","-47.0","Thu Feb 25 10:45:01 CST 2021"
"926.25","E200 0000 0000 0000 0000 1A21","5.945709533844745","-71.5","Thu Feb 25 10:45:01 CST 2021"
"926.25","E200 0000 0000 0000 0000 AAA1","4.970097752749477","-71.5","Thu Feb 25 10:45:01 CST 2021"
"926.25","E280 1160 6000 0207 A652 5964","5.964117303299373","-71.0","Thu Feb 25 10:45:01 CST 2021"
"926.25","3008 33B2 DDD9 0140 0000 0000","4.589670517353839","-47.0","Thu Feb 25 10:45:01 CST 2021"
"926.25","E200 0000 0000 0000 0000 1A10","0.8528933180644165","-56.0","Thu Feb 25 10:45:01 CST 2021"
"926.25","E200 0000 0000 0000 0000 AAA2","3.9392626632903265","-63.5","Thu Feb 25 10:45:01 CST 2021"
"926.25","E200 0000 0000 0000 0000 1A20","6.086835766330224","-64.0","Thu Feb 25 10:45:01 CST 2021"
"926.25","E200 0000 0000 0000 0000 1A11","0.8283496254582462","-60.5","Thu Feb 25 10:45:01 CST 2021"
"926.25","E200 0000 0000 0000 0000 1A21","5.93343768754166","-71.0","Thu Feb 25 10:45:01 CST 2021"
