"CHANNEL","EPC","PHASE","RSSI","TIME"
"906.25","E280 1160 6000 0209 5015 02A1","0.1902136176978195","-68.5","Thu Feb 25 09:57:48 CST 2021"
"906.25","E200 0000 0000 0000 0000 1A10","1.6996507129772904","-54.5","Thu Feb 25 09:57:48 CST 2021"
"906.25","E280 1160 6000 0209 5015 02C1","4.3933209765044765","-61.0","Thu Feb 25 09:57:48 CST 2021"
"906.25","3008 33B2 DDD9 0140 0000 0000","2.945243112740431","-49.0","Thu Feb 25 09:57:48 CST 2021"
"906.25","E200 0000 0000 0000 0000 1A11","1.9082721001297376","-60.0","Thu Feb 25 09:57:48 CST 2021"
"906.25","E280 1160 6000 0207 A652 5964","5.712544454086128","-74.5","Thu Feb 25 09:57:48 CST 2021"
"906.25","E200 0000 0000 0000 0000 AAA1","0.16566992509164924","-69.5","Thu Feb 25 09:57:48 CST 2021"
"906.25","3008 33B2 DDD9 0140 0000 0000","2.9329712664373457","-49.0","Thu Feb 25 09:57:48 CST 2021"
"906.25","E200 0000 0000 0000 0000 1A11","1.8162332528565992","-59.5","Thu Feb 25 09:57:48 CST 2021"
"906.25","E200 0017 9408 0236 1560 799A","3.9208548938356986","-62.0","Thu Feb 25 09:57:48 CST 2021"
"906.25","E280 1160 6000 0209 5015 02C1","4.491495746929157","-61.5","Thu Feb 25 09:57:48 CST 2021"
"906.25","E280 1160 6000 0209 5015 02A1","0.1349903093339364","-68.5","Thu Feb 25 09:57:48 CST 2021"
"906.25","E200 0000 0000 0000 0000 1A10","1.748738098189631","-55.0","Thu Feb 25 09:57:48 CST 2021"
"906.25","E200 0000 0000 0000 0000 AAA2","4.957825906446392","-59.5","Thu Feb 25 09:57:48 CST 2021"
"906.25","E280 1160 6000 0207 A652 5964","5.540738605842936","-74.5","Thu Feb 25 09:57:48 CST 2021"
"906.25","E200 0000 0000 0000 0000 AAA1","0.2945243112740431","-70.5","Thu Feb 25 09:57:48 CST 2021"
"906.25","3008 33B2 DDD9 0140 0000 0000","2.9636508821950587","-48.5","Thu Feb 25 09:57:48 CST 2021"
"906.25","E280 1160 6000 0207 A652 5964","2.773437264497239","-70.5","Thu Feb 25 09:57:48 CST 2021"
"906.25","E200 0000 0000 0000 0000 1A10","1.7241944055834606","-54.5","Thu Feb 25 09:57:48 CST 2021"
"906.25","E280 1160 6000 0209 5015 02C1","4.454680208019902","-61.5","Thu Feb 25 09:57:48 CST 2021"
"906.25","E280 1160 6000 0209 5015 02A1","0.30066023442558565","-68.0","Thu Feb 25 09:57:48 CST 2021"
"906.25","E200 0000 0000 0000 0000 1A11","1.8837284075235674","-59.5","Thu Feb 25 09:57:48 CST 2021"
"906.25","E200 0000 0000 0000 0000 AAA2","4.95168998329485","-59.5","Thu Feb 25 09:57:48 CST 2021"
"906.25","E200 0000 0000 0000 0000 AAA1","0.4356505437595221","-70.0","Thu Feb 25 09:57:48 CST 2021"
"906.25","E200 0000 0000 0000 0000 1A10","1.736466251886546","-55.0","Thu Feb 25 09:57:48 CST 2021"
"906.25","E200 0000 0000 0000 0000 1A11","1.8653206380689396","-60.0","Thu Feb 25 09:57:48 CST 2021"
"906.25","3008 33B2 DDD9 0140 0000 0000","2.945243112740431","-49.0","Thu Feb 25 09:57:48 CST 2021"
"906.25","E280 1160 6000 0209 5015 02A1","0.34974761963792617","-68.5","Thu Feb 25 09:57:48 CST 2021"
"906.25","E200 0017 9408 0236 1560 799A","3.865631585471816","-61.5","Thu Feb 25 09:57:48 CST 2021"
"906.25","E200 0000 0000 0000 0000 AAA2","4.957825906446392","-60.0","Thu Feb 25 09:57:48 CST 2021"
"906.25","E280 1160 6000 0209 5015 02C1","4.479223900626073","-62.5","Thu Feb 25 09:57:48 CST 2021"
"908.75","E280 1160 6000 0207 A652 5964","1.184233168247715","-70.0","Thu Feb 25 09:57:48 CST 2021"
"908.75","E280 1160 6000 0209 5015 02A1","5.123495831538041","-68.5","Thu Feb 25 09:57:48 CST 2021"
"908.75","E200 0000 0000 0000 0000 1A10","0.760854470791278","-55.0","Thu Feb 25 09:57:48 CST 2021"
"908.75","E200 0000 0000 0000 0000 1A11","0.9694758579437253","-59.5","Thu Feb 25 09:57:48 CST 2021"
"908.75","3008 33B2 DDD9 0140 0000 0000","2.282563412373834","-49.0","Thu Feb 25 09:57:48 CST 2021"
"908.75","E280 1160 6000 0209 5015 02C1","3.0066023442558567","-63.0","Thu Feb 25 09:57:48 CST 2021"
"908.75","E200 0000 0000 0000 0000 AAA2","3.497476196379262","-61.5","Thu Feb 25 09:57:48 CST 2021"
"908.75","E280 1160 6000 0207 A652 5964","1.1780972450961724","-69.0","Thu Feb 25 09:57:48 CST 2021"
"908.75","E200 0017 9408 0236 1560 799A","2.3316507975861747","-61.0","Thu Feb 25 09:57:48 CST 2021"
"908.75","E200 0000 0000 0000 0000 AAA1","5.074408446325701","-73.0","Thu Feb 25 09:57:48 CST 2021"
"908.75","E280 1160 6000 0209 5014 D8C1","5.878214379177777","-76.0","Thu Feb 25 09:57:48 CST 2021"
"908.75","E200 0000 0000 0000 0000 1A11","0.9203884727313847","-60.0","Thu Feb 25 09:57:48 CST 2021"
"908.75","E200 0017 9408 0236 1560 799A","2.5770877236478773","-60.5","Thu Feb 25 09:57:48 CST 2021"
"908.75","E200 0000 0000 0000 0000 1A10","0.7669903939428205","-55.0","Thu Feb 25 09:57:48 CST 2021"
"908.75","E200 0000 0000 0000 0000 AAA2","3.522019888985432","-62.0","Thu Feb 25 09:57:48 CST 2021"
"908.75","E280 1160 6000 0207 A652 5964","1.141281706186917","-68.5","Thu Feb 25 09:57:48 CST 2021"
"908.75","E280 1160 6000 0209 5015 02A1","5.049864753719531","-68.5","Thu Feb 25 09:57:48 CST 2021"
"908.75","E280 1160 6000 0209 5015 02C1","2.9820586516496865","-63.5","Thu Feb 25 09:57:48 CST 2021"
"908.75","3008 33B2 DDD9 0140 0000 0000","2.313243028131547","-49.0","Thu Feb 25 09:57:48 CST 2021"
"908.75","E200 0000 0000 0000 0000 AAA1","5.013049214810275","-73.0","Thu Feb 25 09:57:48 CST 2021"
"908.75","E280 1160 6000 0209 5014 D8C1","6.000932842208628","-76.0","Thu Feb 25 09:57:48 CST 2021"
"908.75","E200 0000 0000 0000 0000 1A11","0.9694758579437253","-60.0","Thu Feb 25 09:57:48 CST 2021"
"908.75","E200 0000 0000 0000 0000 AAA2","3.4913402732277192","-62.0","Thu Feb 25 09:57:48 CST 2021"
"908.75","E200 0000 0000 0000 0000 1A10","0.7915340865489908","-55.0","Thu Feb 25 09:57:48 CST 2021"
"908.75","E280 1160 6000 0209 5015 02C1","3.0066023442558567","-65.0","Thu Feb 25 09:57:48 CST 2021"
"908.75","3008 33B2 DDD9 0140 0000 0000","2.350058567040802","-49.0","Thu Feb 25 09:57:48 CST 2021"
"908.75","E280 1160 6000 0209 5015 02A1","5.4671075280244255","-68.5","Thu Feb 25 09:57:48 CST 2021"
"908.75","E280 1160 6000 0207 A652 5964","1.1351457830353744","-70.5","Thu Feb 25 09:57:48 CST 2021"
"921.25","E280 1160 6000 0209 5014 D8C1","1.4879613642490719","-69.0","Thu Feb 25 09:57:48 CST 2021"
"921.25","E200 0000 0000 0000 0000 1A20","6.07763188160291","-67.5","Thu Feb 25 09:57:48 CST 2021"
"921.25","E200 0017 9408 0236 1560 799A","2.150641064615669","-64.5","Thu Feb 25 09:57:48 CST 2021"
"921.25","E200 0000 0000 0000 0000 AAA1","1.3130875544301088","-75.0","Thu Feb 25 09:57:48 CST 2021"
"921.25","3008 33B2 DDD9 0140 0000 0000","5.166447293598839","-48.0","Thu Feb 25 09:57:48 CST 2021"
"921.25","E200 0000 0000 0000 0000 1A10","2.4605051837685683","-58.0","Thu Feb 25 09:57:48 CST 2021"
"921.25","E200 0000 0000 0000 0000 1A11","2.6139032625571326","-62.0","Thu Feb 25 09:57:48 CST 2021"
"921.25","E280 1160 6000 0209 5015 02C1","1.6014759425526093","-62.0","Thu Feb 25 09:57:48 CST 2021"
"921.25","E280 1160 6000 0209 5015 02A1","4.460816131171445","-70.0","Thu Feb 25 09:57:48 CST 2021"
"921.25","E280 1160 6000 0209 5014 D8C1","4.792155981354743","-69.0","Thu Feb 25 09:57:48 CST 2021"
"921.25","E200 0000 0000 0000 0000 1A20","2.9943304979527716","-66.0","Thu Feb 25 09:57:48 CST 2021"
"921.25","E280 1160 6000 0207 A652 5964","0.8774370106705868","-74.5","Thu Feb 25 09:57:48 CST 2021"
"921.25","E200 0000 0000 0000 0000 AAA1","1.4173982480063325","-75.5","Thu Feb 25 09:57:48 CST 2021"
"921.25","0000 0000 0000 0000 01C2 0000","5.264622064023521","-64.5","Thu Feb 25 09:57:48 CST 2021"
"921.25","E200 0000 0000 0000 0000 1A10","2.4727770300716534","-58.0","Thu Feb 25 09:57:48 CST 2021"
"921.25","E200 0000 0000 0000 0000 1A20","2.8716120349219203","-66.5","Thu Feb 25 09:57:48 CST 2021"
"921.25","E280 1160 6000 0209 5015 02C1","1.3989904785517047","-62.5","Thu Feb 25 09:57:48 CST 2021"
"921.25","3008 33B2 DDD9 0140 0000 0000","5.184855063053467","-48.0","Thu Feb 25 09:57:48 CST 2021"
"921.25","E280 1160 6000 0209 5015 02A1","4.884194828627882","-70.5","Thu Feb 25 09:57:48 CST 2021"
"921.25","E280 1160 6000 0209 5014 D8C1","4.608078286808466","-69.0","Thu Feb 25 09:57:48 CST 2021"
"921.25","E200 0000 0000 0000 0000 1A11","2.816388726558037","-62.5","Thu Feb 25 09:57:48 CST 2021"
"921.25","E280 1160 6000 0207 A652 5964","0.9878836273983529","-73.5","Thu Feb 25 09:57:48 CST 2021"
"921.25","E200 0000 0000 0000 0000 AAA1","1.3008157081270237","-74.5","Thu Feb 25 09:57:48 CST 2021"
"921.25","E200 0000 0000 0000 0000 1A20","2.804116880254952","-66.5","Thu Feb 25 09:57:48 CST 2021"
"921.25","E280 1160 6000 0209 5014 D8C1","4.424000592262189","-68.0","Thu Feb 25 09:57:48 CST 2021"
"921.25","E200 0000 0000 0000 0000 1A10","2.442097414313941","-58.0","Thu Feb 25 09:57:48 CST 2021"
"921.25","3008 33B2 DDD9 0140 0000 0000","5.184855063053467","-48.0","Thu Feb 25 09:57:48 CST 2021"
"921.25","E200 0017 9408 0236 1560 799A","5.1725832167503825","-65.0","Thu Feb 25 09:57:48 CST 2021"
"921.25","E200 0000 0000 0000 0000 1A11","5.8045833013592665","-63.0","Thu Feb 25 09:57:48 CST 2021"
"918.75","E280 1160 6000 0209 5015 02C1","2.9206994201342606","-62.5","Thu Feb 25 09:57:48 CST 2021"
"918.75","E280 1160 6000 0209 5015 02A1","5.957981380147831","-70.0","Thu Feb 25 09:57:48 CST 2021"
"918.75","E200 0000 0000 0000 0000 AAA1","5.5284667595398505","-74.5","Thu Feb 25 09:57:48 CST 2021"
"918.75","E280 1160 6000 0207 A652 5964","5.117359908386499","-72.0","Thu Feb 25 09:57:48 CST 2021"
"918.75","E280 1160 6000 0209 5015 02A1","6.2034183062095325","-70.5","Thu Feb 25 09:57:48 CST 2021"
"918.75","E280 1160 6000 0209 5015 02C1","2.9391071895888885","-63.0","Thu Feb 25 09:57:48 CST 2021"
"918.75","3008 33B2 DDD9 0140 0000 0000","5.872078456026235","-48.0","Thu Feb 25 09:57:48 CST 2021"
"918.75","E280 1160 6000 0209 5014 D8C1","6.050020227420969","-67.5","Thu Feb 25 09:57:48 CST 2021"
"918.75","E280 1160 6000 0207 A652 5964","1.6996507129772904","-69.5","Thu Feb 25 09:57:48 CST 2021"
"918.75","E200 0000 0000 0000 0000 1A10","3.215223731408304","-59.0","Thu Feb 25 09:57:48 CST 2021"
"918.75","E200 0000 0000 0000 0000 1A11","0.30679615757712825","-64.0","Thu Feb 25 09:57:48 CST 2021"
"918.75","E200 0000 0000 0000 0000 1A20","4.509903516383785","-69.0","Thu Feb 25 09:57:48 CST 2021"
"918.75","E280 1160 6000 0209 5014 8021","0.1902136176978195","-73.5","Thu Feb 25 09:57:48 CST 2021"
"918.75","E280 1160 6000 0209 5015 02C1","3.000466421104314","-63.0","Thu Feb 25 09:57:48 CST 2021"
"918.75","E280 1160 6000 0209 5015 02A1","6.191146459906448","-71.0","Thu Feb 25 09:57:48 CST 2021"
"918.75","E280 1160 6000 0207 A652 5964","1.6689710972195777","-70.0","Thu Feb 25 09:57:48 CST 2021"
"918.75","3008 33B2 DDD9 0140 0000 0000","5.878214379177777","-48.0","Thu Feb 25 09:57:48 CST 2021"
"918.75","E200 0000 0000 0000 0000 1A10","3.153864499892878","-59.0","Thu Feb 25 09:57:48 CST 2021"
"918.75","E200 0000 0000 0000 0000 1A20","4.595806440505381","-69.0","Thu Feb 25 09:57:48 CST 2021"
"918.75","E200 0000 0000 0000 0000 1A11","3.411573272257666","-63.5","Thu Feb 25 09:57:48 CST 2021"
"918.75","E200 0000 0000 0000 0000 AAA2","4.215379205109742","-70.0","Thu Feb 25 09:57:48 CST 2021"
"918.75","E280 1160 6000 0209 5014 D8C1","6.000932842208628","-69.0","Thu Feb 25 09:57:48 CST 2021"
"913.75","E200 0000 0000 0000 0000 1A10","4.7307967498393175","-56.0","Thu Feb 25 09:57:48 CST 2021"
"913.75","E200 0000 0000 0000 0000 1A11","5.031456984264903","-60.5","Thu Feb 25 09:57:48 CST 2021"
"913.75","3008 33B2 DDD9 0140 0000 0000","1.0062913968529805","-48.0","Thu Feb 25 09:57:48 CST 2021"
"913.75","E280 1160 6000 0209 5015 02C1","6.209554229361076","-64.5","Thu Feb 25 09:57:48 CST 2021"
"913.75","E280 1160 6000 0209 5014 D8C1","2.60776733940559","-69.0","Thu Feb 25 09:57:48 CST 2021"
"913.75","E280 1160 6000 0209 5015 02A1","5.688000761479957","-70.0","Thu Feb 25 09:57:48 CST 2021"
"913.75","E200 0000 0000 0000 0000 AAA2","0.7301748550335652","-65.5","Thu Feb 25 09:57:48 CST 2021"
"913.75","E280 1160 6000 0209 5014 8021","1.2578642460662257","-73.5","Thu Feb 25 09:57:48 CST 2021"
"913.75","E280 1160 6000 0209 5015 02C1","6.270913460876501","-64.5","Thu Feb 25 09:57:48 CST 2021"
"913.75","E200 0000 0000 0000 0000 1A11","5.098952138931871","-60.5","Thu Feb 25 09:57:48 CST 2021"
