"CHANNEL","EPC","PHASE","RSSI","TIME"
"926.25","E280 1160 6000 0207 A652 5964","5.381204603902829","-67.0","Sat Feb 27 10:22:37 CST 2021"
"926.25","E280 1160 6000 0209 5015 02A1","3.933126740138784","-66.5","Sat Feb 27 10:22:37 CST 2021"
"926.25","3008 33B2 DDD9 0140 0000 0001","2.8654761117703775","-41.0","Sat Feb 27 10:22:37 CST 2021"
"926.25","3008 33B2 DDD9 0140 0000 0000","3.3195344249845276","-41.0","Sat Feb 27 10:22:37 CST 2021"
"926.25","E200 0000 0000 0000 0000 1A10","4.706253057233147","-64.5","Sat Feb 27 10:22:37 CST 2021"
"926.25","E200 0000 0000 0000 0000 AAA1","4.270602513473625","-67.5","Sat Feb 27 10:22:37 CST 2021"
"926.25","E280 1160 6000 0209 5015 02C1","0.9510680884890975","-63.5","Sat Feb 27 10:22:37 CST 2021"
"926.25","E280 1160 6000 0209 5014 D8C1","3.000466421104314","-67.0","Sat Feb 27 10:22:37 CST 2021"
"926.25","E200 0000 0000 0000 0000 AAA2","5.00077736850719","-68.5","Sat Feb 27 10:22:37 CST 2021"
"926.25","E200 0000 0000 0000 0000 1A11","4.841243366567084","-69.5","Sat Feb 27 10:22:37 CST 2021"
"926.25","E200 0000 0000 0000 0000 1A20","0.521553467881118","-68.0","Sat Feb 27 10:22:37 CST 2021"
"926.25","E280 1160 6000 0209 5015 02A1","4.086524818927348","-67.0","Sat Feb 27 10:22:37 CST 2021"
"926.25","3008 33B2 DDD9 0140 0000 0000","3.32567034813607","-41.0","Sat Feb 27 10:22:37 CST 2021"
"926.25","E280 1160 6000 0209 5015 02C1","1.030835089459151","-62.5","Sat Feb 27 10:22:37 CST 2021"
"926.25","E200 0000 0000 0000 0000 1A10","4.878058905476339","-64.0","Sat Feb 27 10:22:37 CST 2021"
"926.25","3008 33B2 DDD9 0140 0000 0001","2.8777479580734626","-41.0","Sat Feb 27 10:22:37 CST 2021"
"926.25","E200 0000 0000 0000 0000 AAA1","4.448544284868359","-68.0","Sat Feb 27 10:22:37 CST 2021"
"926.25","E280 1160 6000 0209 5014 D8C1","3.368621810196868","-67.0","Sat Feb 27 10:22:37 CST 2021"
"926.25","E200 0000 0000 0000 0000 1A11","4.841243366567084","-66.5","Sat Feb 27 10:22:37 CST 2021"
"926.25","E280 1160 6000 0207 A652 5964","5.338253141842031","-67.0","Sat Feb 27 10:22:37 CST 2021"
"926.25","E200 0000 0000 0000 0000 AAA2","4.95168998329485","-69.0","Sat Feb 27 10:22:37 CST 2021"
"926.25","E280 1160 6000 0209 5015 02A1","3.9085830475326135","-67.0","Sat Feb 27 10:22:37 CST 2021"
"926.25","3008 33B2 DDD9 0140 0000 0001","2.8654761117703775","-40.5","Sat Feb 27 10:22:37 CST 2021"
