"CHANNEL","EPC","PHASE","RSSI","TIME"
"915.75","E280 1160 6000 0207 A652 5964","3.479068426924634","-69.0","Sat Feb 27 10:14:51 CST 2021"
"915.75","E280 1160 6000 0209 5014 D8C1","2.1905245651006955","-67.0","Sat Feb 27 10:14:51 CST 2021"
"915.75","3008 33B2 DDD9 0140 0000 0001","6.105243535784852","-42.0","Sat Feb 27 10:14:51 CST 2021"
"915.75","3008 33B2 DDD9 0140 0000 0000","0.2699806186678728","-41.5","Sat Feb 27 10:14:51 CST 2021"
"915.75","3039 6062 C3AD 3FC0 001F 4997","2.834796496012665","-62.5","Sat Feb 27 10:14:51 CST 2021"
"915.75","E200 0000 0000 0000 0000 1A20","0.8528933180644165","-64.0","Sat Feb 27 10:14:51 CST 2021"
"915.75","E280 1160 6000 0209 5015 02C1","0.36815538909255385","-58.5","Sat Feb 27 10:14:51 CST 2021"
"915.75","E200 0000 0000 0000 0000 AAA2","3.2888548092268146","-64.0","Sat Feb 27 10:14:51 CST 2021"
"915.75","E280 1160 6000 0209 5015 02A1","3.816544200259475","-66.5","Sat Feb 27 10:14:51 CST 2021"
"915.75","E200 0000 0000 0000 0000 1A20","0.9203884727313847","-63.0","Sat Feb 27 10:14:51 CST 2021"
"915.75","3008 33B2 DDD9 0140 0000 0001","6.105243535784852","-42.0","Sat Feb 27 10:14:51 CST 2021"
"915.75","E200 0017 9408 0236 1560 799A","3.3072625786814425","-62.5","Sat Feb 27 10:14:51 CST 2021"
"915.75","E280 1160 6000 0209 5015 02A1","3.810408277107933","-67.0","Sat Feb 27 10:14:51 CST 2021"
"915.75","E200 0000 0000 0000 0000 AAA2","3.2090878082567613","-63.5","Sat Feb 27 10:14:51 CST 2021"
"915.75","3008 33B2 DDD9 0140 0000 0000","0.2699806186678728","-41.5","Sat Feb 27 10:14:51 CST 2021"
"915.75","3039 6062 C3AD 3FC0 001F 4997","2.791845033951867","-62.0","Sat Feb 27 10:14:51 CST 2021"
"915.75","E280 1160 6000 0207 A652 5964","3.6754179677739964","-67.5","Sat Feb 27 10:14:51 CST 2021"
"915.75","E280 1160 6000 0209 5015 02C1","0.4111068511533518","-59.0","Sat Feb 27 10:14:51 CST 2021"
"915.75","E280 1160 6000 0209 5014 D8C1","2.3071071049800045","-67.0","Sat Feb 27 10:14:51 CST 2021"
"915.75","3008 33B2 DDD9 0140 0000 0000","0.2638446955163303","-41.5","Sat Feb 27 10:14:51 CST 2021"
"915.75","E280 1160 6000 0209 5015 02C1","0.4111068511533518","-58.5","Sat Feb 27 10:14:51 CST 2021"
"915.75","E200 0000 0000 0000 0000 AAA2","3.1968159619536762","-64.5","Sat Feb 27 10:14:51 CST 2021"
