"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"924.25","24.375","3008 33B2 DDD9 0140 0000 0000","0.8406214717613314","-57.0","2021-03-07 18:14:39.577"
"924.25","1.9375","E200 001D 1910 0116 1310 566E","3.847223816017188","-72.5","2021-03-07 18:14:39.592"
"923.25","4.875","3008 33B2 DDD9 0140 0000 0000","1.227184630308513","-57.0","2021-03-07 18:14:39.658"
"923.25","-9.75","3008 33B2 DDD9 0140 0000 0000","1.2333205534600555","-57.0","2021-03-07 18:14:39.687"
"923.25","19.5","3008 33B2 DDD9 0140 0000 0000","1.2087768608538851","-57.0","2021-03-07 18:14:39.743"
"923.25","40.25","3008 33B2 DDD9 0140 0000 0000","1.1903690913992575","-57.0","2021-03-07 18:14:39.77"
"910.25","-0.5625","3008 33B2 DDD9 0140 0000 0000","5.2768939103266055","-58.0","2021-03-07 18:14:39.828"
"910.25","-2.4375","3008 33B2 DDD9 0140 0000 0000","5.246214294568893","-57.5","2021-03-07 18:14:39.856"
"910.25","31.6875","3008 33B2 DDD9 0140 0000 0000","5.246214294568893","-57.5","2021-03-07 18:14:39.911"
"910.25","12.1875","3008 33B2 DDD9 0140 0000 0000","5.264622064023521","-57.5","2021-03-07 18:14:39.932"
"910.25","9.75","3008 33B2 DDD9 0140 0000 0000","5.264622064023521","-57.5","2021-03-07 18:14:39.986"
"910.25","-14.625","3008 33B2 DDD9 0140 0000 0000","5.246214294568893","-57.0","2021-03-07 18:14:40.009"
"915.25","46.375","3008 33B2 DDD9 0140 0000 0000","3.7122335066832517","-59.0","2021-03-07 18:14:40.081"
"915.25","19.5","3008 33B2 DDD9 0140 0000 0000","3.816544200259475","-59.0","2021-03-07 18:14:40.104"
"915.25","9.75","3008 33B2 DDD9 0140 0000 0000","3.761320891895592","-58.5","2021-03-07 18:14:40.158"
"915.25","-41.5","3008 33B2 DDD9 0140 0000 0000","3.902447124381071","-59.0","2021-03-07 18:14:40.18"
"907.25","12.1875","3008 33B2 DDD9 0140 0000 0000","0.12885438618239387","-57.5","2021-03-07 18:14:40.234"
"907.25","4.875","3008 33B2 DDD9 0140 0000 0000","0.14112623248547898","-57.5","2021-03-07 18:14:40.254"
"907.25","12.1875","3008 33B2 DDD9 0140 0000 0000","0.1227184630308513","-57.5","2021-03-07 18:14:40.308"
"907.25","14.625","3008 33B2 DDD9 0140 0000 0000","0.09203884727313846","-57.5","2021-03-07 18:14:40.331"
"907.25","17.0625","3008 33B2 DDD9 0140 0000 0000","0.07363107781851078","-57.5","2021-03-07 18:14:40.383"
"907.25","17.0625","3008 33B2 DDD9 0140 0000 0000","0.1043106935762236","-57.0","2021-03-07 18:14:40.406"
"919.25","-34.125","3008 33B2 DDD9 0140 0000 0000","2.5832236467994196","-58.0","2021-03-07 18:14:40.465"
"919.25","0.0","3008 33B2 DDD9 0140 0000 0000","2.5341362615870793","-58.5","2021-03-07 18:14:40.488"
"919.25","19.5","3008 33B2 DDD9 0140 0000 0000","2.4605051837685683","-57.5","2021-03-07 18:14:40.541"
"919.25","-28.0625","3008 33B2 DDD9 0140 0000 0000","2.5464081078901644","-58.0","2021-03-07 18:14:40.564"
"919.25","28.0625","3008 33B2 DDD9 0140 0000 0000","2.435961491162398","-58.0","2021-03-07 18:14:40.618"
"912.75","37.8125","3008 33B2 DDD9 0140 0000 0000","4.442408361716817","-58.0","2021-03-07 18:14:40.657"
"912.75","0.0","3008 33B2 DDD9 0140 0000 0000","4.509903516383785","-58.5","2021-03-07 18:14:40.711"
"912.75","-2.4375","3008 33B2 DDD9 0140 0000 0000","4.528311285838413","-58.5","2021-03-07 18:14:40.734"
"912.75","-12.1875","3008 33B2 DDD9 0140 0000 0000","4.558990901596125","-58.5","2021-03-07 18:14:40.785"
"912.75","4.875","3008 33B2 DDD9 0140 0000 0000","4.516039439535327","-58.5","2021-03-07 18:14:40.808"
"927.25","5.1875","3008 33B2 DDD9 0140 0000 0000","5.970253226450915","-57.0","2021-03-07 18:14:40.871"
"927.25","-4.875","3008 33B2 DDD9 0140 0000 0000","6.043884304269426","-56.5","2021-03-07 18:14:40.894"
"927.25","-9.75","3008 33B2 DDD9 0140 0000 0000","6.007068765360171","-57.0","2021-03-07 18:14:40.949"
"927.25","12.1875","3008 33B2 DDD9 0140 0000 0000","6.013204688511713","-57.0","2021-03-07 18:14:40.972"
"927.25","-26.8125","3008 33B2 DDD9 0140 0000 0000","6.086835766330224","-56.5","2021-03-07 18:14:41.024"
"927.25","-32.9375","3008 33B2 DDD9 0140 0000 0000","6.074563920027139","-56.5","2021-03-07 18:14:41.046"
"910.75","2.4375","3008 33B2 DDD9 0140 0000 0000","5.105088062083414","-57.5","2021-03-07 18:14:41.114"
"910.75","39.0625","3008 33B2 DDD9 0140 0000 0000","5.013049214810275","-58.0","2021-03-07 18:14:41.137"
"910.75","40.25","3008 33B2 DDD9 0140 0000 0000","5.019185137961818","-57.5","2021-03-07 18:14:41.191"
"910.75","31.6875","3008 33B2 DDD9 0140 0000 0000","5.056000676871073","-57.5","2021-03-07 18:14:41.213"
"911.75","35.375","3008 33B2 DDD9 0140 0000 0000","4.7307967498393175","-58.5","2021-03-07 18:14:41.266"
"911.75","23.1875","3008 33B2 DDD9 0140 0000 0000","4.767612288748572","-58.0","2021-03-07 18:14:41.288"
"911.75","-24.375","3008 33B2 DDD9 0140 0000 0000","4.853515212870168","-58.0","2021-03-07 18:14:41.34"
"911.75","-25.625","3008 33B2 DDD9 0140 0000 0000","4.871922982324796","-58.0","2021-03-07 18:14:41.363"
"911.75","7.3125","3008 33B2 DDD9 0140 0000 0000","4.816699673960914","-58.0","2021-03-07 18:14:41.417"
"911.75","-19.5","3008 33B2 DDD9 0140 0000 0000","4.81056375080937","-58.5","2021-03-07 18:14:41.439"
"922.25","12.1875","3008 33B2 DDD9 0140 0000 0000","1.533980787885641","-58.0","2021-03-07 18:14:41.519"
"922.25","0.0","3008 33B2 DDD9 0140 0000 0000","1.6014759425526093","-57.5","2021-03-07 18:14:41.542"
"922.25","29.25","3008 33B2 DDD9 0140 0000 0000","1.521708941582556","-57.5","2021-03-07 18:14:41.596"
"922.25","7.3125","3008 33B2 DDD9 0140 0000 0000","1.5462526341887264","-57.5","2021-03-07 18:14:41.618"
"902.75","2.4375","3008 33B2 DDD9 0140 0000 0000","1.7794177139473437","-58.0","2021-03-07 18:14:41.672"
"902.75","40.25","3008 33B2 DDD9 0140 0000 0000","1.6812429435226628","-57.5","2021-03-07 18:14:41.694"
"902.75","-4.875","3008 33B2 DDD9 0140 0000 0000","1.748738098189631","-57.5","2021-03-07 18:14:41.745"
"902.75","12.1875","3008 33B2 DDD9 0140 0000 0000","1.736466251886546","-57.5","2021-03-07 18:14:41.768"
"902.75","0.0","3008 33B2 DDD9 0140 0000 0000","1.7671458676442586","-57.5","2021-03-07 18:14:41.821"
"902.75","7.3125","3008 33B2 DDD9 0140 0000 0000","1.6996507129772904","-58.0","2021-03-07 18:14:41.844"
"913.75","-7.3125","3008 33B2 DDD9 0140 0000 0000","4.3074180523828804","-58.5","2021-03-07 18:14:41.918"
"913.75","9.75","3008 33B2 DDD9 0140 0000 0000","4.23378697456437","-58.0","2021-03-07 18:14:41.929"
"913.75","14.625","3008 33B2 DDD9 0140 0000 0000","4.252194744018997","-58.5","2021-03-07 18:14:41.983"
"913.75","46.375","3008 33B2 DDD9 0140 0000 0000","4.154019973594316","-59.0","2021-03-07 18:14:42.005"
