"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"907.25","36.5625","3008 33B2 DDD9 0140 0000 0000","2.061670178918302","-55.5","2021-03-07 15:55:39.517"
"907.25","17.0625","3008 33B2 DDD9 0140 0000 0000","2.116893487282185","-55.5","2021-03-07 15:55:39.538"
"919.25","4.875","3008 33B2 DDD9 0140 0000 0000","5.043728830567988","-55.0","2021-03-07 15:55:39.6"
"919.25","7.3125","3008 33B2 DDD9 0140 0000 0000","5.013049214810275","-54.5","2021-03-07 15:55:39.622"
"919.25","-1.4375","E200 001D 1910 0116 1310 566E","0.521553467881118","-72.0","2021-03-07 15:55:39.637"
"919.25","0.0","3008 33B2 DDD9 0140 0000 0000","5.031456984264903","-54.5","2021-03-07 15:55:39.684"
"919.25","19.5","3008 33B2 DDD9 0140 0000 0000","5.006913291658733","-54.5","2021-03-07 15:55:39.707"
"919.25","9.75","3008 33B2 DDD9 0140 0000 0000","5.019185137961818","-55.0","2021-03-07 15:55:39.76"
"919.25","-0.0625","E200 001D 1910 0116 1310 566E","0.5154175447295755","-72.0","2021-03-07 15:55:39.778"
"908.75","9.75","3008 33B2 DDD9 0140 0000 0000","1.718058482431918","-55.5","2021-03-07 15:55:39.818"
"908.75","21.9375","3008 33B2 DDD9 0140 0000 0000","1.6751070203711202","-55.5","2021-03-07 15:55:39.871"
"908.75","24.375","3008 33B2 DDD9 0140 0000 0000","1.662835174068035","-55.5","2021-03-07 15:55:39.894"
"908.75","7.3125","3008 33B2 DDD9 0140 0000 0000","1.6996507129772904","-55.5","2021-03-07 15:55:39.945"
"908.75","12.1875","3008 33B2 DDD9 0140 0000 0000","1.6996507129772904","-55.5","2021-03-07 15:55:39.969"
"922.25","3.0","E200 001D 1910 0116 1310 566E","5.080544369477243","-70.5","2021-03-07 15:55:39.998"
"922.25","0.0","3008 33B2 DDD9 0140 0000 0000","4.246058820867455","-55.0","2021-03-07 15:55:40.053"
"922.25","7.3125","3008 33B2 DDD9 0140 0000 0000","4.246058820867455","-54.5","2021-03-07 15:55:40.075"
"922.25","17.0625","3008 33B2 DDD9 0140 0000 0000","4.196971435655114","-54.5","2021-03-07 15:55:40.128"
"922.25","-0.1875","E200 001D 1910 0116 1310 566E","5.123495831538041","-71.0","2021-03-07 15:55:40.151"
"922.25","-2.4375","3008 33B2 DDD9 0140 0000 0000","4.23378697456437","-54.5","2021-03-07 15:55:40.165"
"922.25","2.3125","E200 001D 1910 0116 1310 566E","5.031456984264903","-71.0","2021-03-07 15:55:40.178"
"918.75","12.1875","3008 33B2 DDD9 0140 0000 0000","5.209398755659637","-55.0","2021-03-07 15:55:40.252"
"918.75","-2.4375","3008 33B2 DDD9 0140 0000 0000","5.190990986205009","-55.0","2021-03-07 15:55:40.275"
"918.75","-9.75","3008 33B2 DDD9 0140 0000 0000","5.184855063053467","-55.0","2021-03-07 15:55:40.329"
"918.75","19.5","3008 33B2 DDD9 0140 0000 0000","5.154175447295755","-55.0","2021-03-07 15:55:40.352"
"927.25","12.1875","3008 33B2 DDD9 0140 0000 0000","2.650718801466388","-53.5","2021-03-07 15:55:40.405"
