"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"903.25","4.875","3008 33B2 DDD9 0140 0000 0000","0.4540583132141498","-57.0","2021-03-07 11:30:54.241"
"903.25","24.375","3008 33B2 DDD9 0140 0000 0000","0.3988350048502667","-56.5","2021-03-07 11:30:54.262"
"903.25","17.0625","3008 33B2 DDD9 0140 0000 0000","0.4172427743048944","-57.0","2021-03-07 11:30:54.316"
"903.25","29.25","3008 33B2 DDD9 0140 0000 0000","0.380427235395639","-57.0","2021-03-07 11:30:54.339"
"906.75","14.625","3008 33B2 DDD9 0140 0000 0000","5.755495916146925","-57.5","2021-03-07 11:30:54.397"
"906.75","17.0625","3008 33B2 DDD9 0140 0000 0000","5.749359992995383","-57.5","2021-03-07 11:30:54.42"
"906.75","19.5","3008 33B2 DDD9 0140 0000 0000","5.724816300389213","-57.0","2021-03-07 11:30:54.473"
"906.75","19.5","3008 33B2 DDD9 0140 0000 0000","5.737088146692298","-57.5","2021-03-07 11:30:54.497"
"906.75","-7.3125","3008 33B2 DDD9 0140 0000 0000","5.792311455056181","-57.5","2021-03-07 11:30:54.549"
"906.75","17.0625","3008 33B2 DDD9 0140 0000 0000","5.773903685601553","-58.0","2021-03-07 11:30:54.571"
"919.75","14.625","3008 33B2 DDD9 0140 0000 0000","2.110757564130642","-56.0","2021-03-07 11:30:54.649"
"919.75","-2.4375","3008 33B2 DDD9 0140 0000 0000","2.172116795646068","-56.0","2021-03-07 11:30:54.672"
"919.75","-2.4375","3008 33B2 DDD9 0140 0000 0000","2.1475731030398975","-56.5","2021-03-07 11:30:54.724"
"919.75","19.5","3008 33B2 DDD9 0140 0000 0000","2.1046216409791","-56.0","2021-03-07 11:30:54.748"
"922.75","4.875","3008 33B2 DDD9 0140 0000 0000","1.0615147052168636","-55.0","2021-03-07 11:30:54.807"
"922.75","29.25","3008 33B2 DDD9 0140 0000 0000","1.000155473701438","-54.5","2021-03-07 11:30:54.828"
"922.75","4.875","3008 33B2 DDD9 0140 0000 0000","1.055378782065321","-55.0","2021-03-07 11:30:54.883"
"922.75","31.6875","3008 33B2 DDD9 0140 0000 0000","1.0246991663076084","-54.5","2021-03-07 11:30:54.906"
"922.75","-9.75","3008 33B2 DDD9 0140 0000 0000","1.0676506283684062","-54.5","2021-03-07 11:30:54.96"
