"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"906.75","12.1875","3008 33B2 DDD9 0140 0000 0000","1.6444274046134073","-59.5","2021-03-07 16:55:10.034"
"906.75","-4.875","3008 33B2 DDD9 0140 0000 0000","1.6566992509164924","-59.0","2021-03-07 16:55:10.057"
"906.75","29.25","3008 33B2 DDD9 0140 0000 0000","1.662835174068035","-59.5","2021-03-07 16:55:10.11"
"906.75","-17.0625","3008 33B2 DDD9 0140 0000 0000","1.7303303287350031","-59.5","2021-03-07 16:55:10.132"
"911.25","12.1875","3008 33B2 DDD9 0140 0000 0000","0.28225246497095796","-59.0","2021-03-07 16:55:10.192"
"911.25","19.5","3008 33B2 DDD9 0140 0000 0000","0.2699806186678728","-58.5","2021-03-07 16:55:10.214"
"911.25","17.0625","3008 33B2 DDD9 0140 0000 0000","0.32520392703175593","-59.0","2021-03-07 16:55:10.268"
"911.25","21.9375","3008 33B2 DDD9 0140 0000 0000","0.2945243112740431","-59.0","2021-03-07 16:55:10.291"
"911.25","12.1875","3008 33B2 DDD9 0140 0000 0000","0.30679615757712825","-59.0","2021-03-07 16:55:10.344"
"923.25","22.5625","E200 001D 1910 0116 1310 566E","1.227184630308513","-71.5","2021-03-07 16:55:10.364"
"923.25","19.5","3008 33B2 DDD9 0140 0000 0000","2.1230294104337273","-56.5","2021-03-07 16:55:10.39"
"923.25","0.125","E200 001D 1910 0116 1310 566E","4.509903516383785","-72.0","2021-03-07 16:55:10.404"
"923.25","-2.4375","3008 33B2 DDD9 0140 0000 0000","2.12916533358527","-56.0","2021-03-07 16:55:10.452"
"923.25","0.625","E200 001D 1910 0116 1310 566E","4.411728745959104","-72.0","2021-03-07 16:55:10.476"
"923.25","50.0","3008 33B2 DDD9 0140 0000 0000","2.067806102069844","-56.5","2021-03-07 16:55:10.484"
"923.25","9.75","3008 33B2 DDD9 0140 0000 0000","2.086213871524472","-56.5","2021-03-07 16:55:10.539"
"920.75","-1.8125","3008 33B2 DDD9 0140 0000 0000","6.258641614573416","-57.0","2021-03-07 16:55:10.576"
"920.75","-6.1875","E200 001D 1910 0116 1310 566E","5.9518454569962875","-70.5","2021-03-07 16:55:10.591"
"920.75","19.5","3008 33B2 DDD9 0140 0000 0000","3.141592653589793","-56.5","2021-03-07 16:55:10.631"
"920.75","-0.1875","E200 001D 1910 0116 1310 566E","6.037748381117884","-72.0","2021-03-07 16:55:10.647"
"920.75","30.5","3008 33B2 DDD9 0140 0000 0000","3.067961575771282","-56.5","2021-03-07 16:55:10.663"
"920.75","2.4375","E200 001D 1910 0116 1310 566E","5.773903685601553","-72.0","2021-03-07 16:55:10.668"
"920.75","12.1875","3008 33B2 DDD9 0140 0000 0000","3.129320807286708","-57.5","2021-03-07 16:55:10.706"
"920.75","3.5625","E200 001D 1910 0116 1310 566E","5.638913376267617","-69.0","2021-03-07 16:55:10.725"
"920.75","63.4375","3008 33B2 DDD9 0140 0000 0000","3.0372819600135696","-57.0","2021-03-07 16:55:10.742"
"920.75","0.4375","E200 001D 1910 0116 1310 566E","5.957981380147831","-71.5","2021-03-07 16:55:10.747"
"922.75","14.625","3008 33B2 DDD9 0140 0000 0000","2.3009711818284617","-56.5","2021-03-07 16:55:10.786"
"922.75","2.5625","E200 001D 1910 0116 1310 566E","4.706253057233147","-71.5","2021-03-07 16:55:10.796"
"922.75","9.75","3008 33B2 DDD9 0140 0000 0000","2.325514874434632","-56.5","2021-03-07 16:55:10.818"
"922.75","0.625","E200 001D 1910 0116 1310 566E","4.6878452877785195","-72.0","2021-03-07 16:55:10.833"
"922.75","4.875","3008 33B2 DDD9 0140 0000 0000","2.313243028131547","-57.0","2021-03-07 16:55:10.88"
"922.75","-1.125","E200 001D 1910 0116 1310 566E","4.767612288748572","-72.5","2021-03-07 16:55:10.895"
"922.75","9.75","3008 33B2 DDD9 0140 0000 0000","2.3071071049800045","-56.5","2021-03-07 16:55:10.913"
"922.75","-0.9375","E200 001D 1910 0116 1310 566E","4.798291904506286","-72.0","2021-03-07 16:55:10.929"
"922.75","29.25","3008 33B2 DDD9 0140 0000 0000","2.2641556429192065","-57.0","2021-03-07 16:55:10.975"
"914.25","7.3125","3008 33B2 DDD9 0140 0000 0000","5.577554144752192","-58.0","2021-03-07 16:55:11.006"
"914.25","2.4375","3008 33B2 DDD9 0140 0000 0000","5.6143696836614465","-57.5","2021-03-07 16:55:11.061"
"914.25","23.1875","3008 33B2 DDD9 0140 0000 0000","5.553010452146021","-58.0","2021-03-07 16:55:11.082"
"914.25","9.75","3008 33B2 DDD9 0140 0000 0000","5.559146375297564","-58.5","2021-03-07 16:55:11.136"
"914.25","12.1875","3008 33B2 DDD9 0140 0000 0000","5.620505606812989","-58.0","2021-03-07 16:55:11.158"
"920.25","29.25","3008 33B2 DDD9 0140 0000 0000","3.3440781175906977","-56.5","2021-03-07 16:55:11.218"
"920.25","0.75","E200 001D 1910 0116 1310 566E","6.215690152512618","-72.0","2021-03-07 16:55:11.243"
"920.25","68.3125","3008 33B2 DDD9 0140 0000 0000","3.2643111166206444","-56.0","2021-03-07 16:55:11.25"
"920.25","2.3125","E200 001D 1910 0116 1310 566E","6.227961998815704","-72.5","2021-03-07 16:55:11.266"
"920.25","-34.125","3008 33B2 DDD9 0140 0000 0000","3.436116964863836","-57.0","2021-03-07 16:55:11.313"
"920.25","1.9375","E200 001D 1910 0116 1310 566E","6.2034183062095325","-72.5","2021-03-07 16:55:11.332"
"920.25","47.5625","3008 33B2 DDD9 0140 0000 0000","3.2949907323783574","-57.0","2021-03-07 16:55:11.347"
"920.25","0.8125","E200 001D 1910 0116 1310 566E","0.0","-72.0","2021-03-07 16:55:11.364"
"905.25","32.9375","3008 33B2 DDD9 0140 0000 0000","2.0064468705544187","-60.0","2021-03-07 16:55:11.41"
"905.25","12.1875","3008 33B2 DDD9 0140 0000 0000","2.0493983326152168","-59.5","2021-03-07 16:55:11.433"
"905.25","0.0","3008 33B2 DDD9 0140 0000 0000","2.055534255766759","-59.5","2021-03-07 16:55:11.486"
"905.25","4.875","3008 33B2 DDD9 0140 0000 0000","2.1046216409791","-59.0","2021-03-07 16:55:11.509"
"905.25","48.8125","3008 33B2 DDD9 0140 0000 0000","1.9819031779482483","-59.5","2021-03-07 16:55:11.562"
"905.25","14.625","3008 33B2 DDD9 0140 0000 0000","2.030990563160589","-59.5","2021-03-07 16:55:11.585"
"924.25","2.4375","3008 33B2 DDD9 0140 0000 0000","1.7671458676442586","-56.5","2021-03-07 16:55:11.662"
"924.25","0.625","E200 001D 1910 0116 1310 566E","3.822680123411018","-72.0","2021-03-07 16:55:11.677"
"924.25","19.5","3008 33B2 DDD9 0140 0000 0000","1.748738098189631","-56.5","2021-03-07 16:55:11.692"
"924.25","-0.125","E200 001D 1910 0116 1310 566E","3.9208548938356986","-72.5","2021-03-07 16:55:11.707"
"924.25","4.875","3008 33B2 DDD9 0140 0000 0000","1.6935147898257479","-56.5","2021-03-07 16:55:11.757"
"924.25","0.0625","E200 001D 1910 0116 1310 566E","3.816544200259475","-72.0","2021-03-07 16:55:11.774"
"924.25","9.75","3008 33B2 DDD9 0140 0000 0000","1.7119225592803755","-57.0","2021-03-07 16:55:11.79"
"912.75","-2.4375","3008 33B2 DDD9 0140 0000 0000","6.154330920997192","-58.5","2021-03-07 16:55:11.858"
"912.75","19.5","3008 33B2 DDD9 0140 0000 0000","6.068427996875596","-58.5","2021-03-07 16:55:11.88"
"912.75","4.875","3008 33B2 DDD9 0140 0000 0000","6.129787228391022","-58.5","2021-03-07 16:55:11.933"
"912.75","24.375","3008 33B2 DDD9 0140 0000 0000","6.080699843178682","-59.0","2021-03-07 16:55:11.956"
"908.25","7.3125","3008 33B2 DDD9 0140 0000 0000","1.2946797849754812","-59.0","2021-03-07 16:55:12.008"
"908.25","-19.5","3008 33B2 DDD9 0140 0000 0000","1.3069516312785663","-59.0","2021-03-07 16:55:12.032"
"908.25","17.0625","3008 33B2 DDD9 0140 0000 0000","1.227184630308513","-59.0","2021-03-07 16:55:12.084"
