"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"925.75","-2.1875","E200 001D 1910 0116 1310 566E","5.780039608753096","-73.0","2021-03-07 15:34:12.886"
"924.25","-2.1875","E200 001D 1910 0116 1310 566E","3.792000507653305","-72.5","2021-03-07 15:34:13.704"
"924.25","0.0","E200 001D 1910 0116 1310 566E","3.718369429834794","-72.5","2021-03-07 15:34:13.808"
"924.25","2.1875","E200 001D 1910 0116 1310 566E","3.5711072741977725","-72.5","2021-03-07 15:34:13.834"
"920.25","0.625","E200 001D 1910 0116 1310 566E","6.086835766330224","-73.0","2021-03-07 15:34:15.717"
"924.75","0.25","E200 001D 1910 0116 1310 566E","3.3072625786814425","-73.0","2021-03-07 15:34:16.028"
"924.75","-0.5","E200 001D 1910 0116 1310 566E","3.4606606574700063","-73.0","2021-03-07 15:34:16.08"
"924.75","-1.875","E200 001D 1910 0116 1310 566E","3.472932503773092","-72.5","2021-03-07 15:34:16.111"
"926.25","1.4375","E200 001D 1910 0116 1310 566E","2.2212041808584084","-73.5","2021-03-07 15:34:17.034"
"926.25","-0.1875","E200 001D 1910 0116 1310 566E","5.43029198911517","-73.0","2021-03-07 15:34:17.14"
"927.25","-1.9375","E200 001D 1910 0116 1310 566E","1.7303303287350031","-73.5","2021-03-07 15:34:17.368"
"926.75","1.5625","E200 001D 1910 0116 1310 566E","2.000310947402876","-73.5","2021-03-07 15:34:17.425"
"926.75","-0.875","E200 001D 1910 0116 1310 566E","1.9696313316451632","-73.5","2021-03-07 15:34:17.488"
"926.75","1.25","E200 001D 1910 0116 1310 566E","1.859184714917397","-73.5","2021-03-07 15:34:17.517"
"926.75","1.8125","E200 001D 1910 0116 1310 566E","1.9696313316451632","-74.0","2021-03-07 15:34:17.574"
"925.25","0.5","E200 001D 1910 0116 1310 566E","6.043884304269426","-73.0","2021-03-07 15:34:18.749"
"925.25","1.125","E200 001D 1910 0116 1310 566E","6.1850105367549055","-73.0","2021-03-07 15:34:18.798"
"922.75","-0.125","E200 001D 1910 0116 1310 566E","4.7860200582032","-72.0","2021-03-07 15:34:20.741"
"922.75","-1.3125","E200 001D 1910 0116 1310 566E","4.6878452877785195","-72.5","2021-03-07 15:34:20.796"
"922.75","-1.4375","E200 001D 1910 0116 1310 566E","4.71238898038469","-72.5","2021-03-07 15:34:20.834"
"925.75","-0.1875","E200 001D 1910 0116 1310 566E","5.786175531904639","-73.0","2021-03-07 15:34:23.23"
"925.75","0.5","E200 001D 1910 0116 1310 566E","2.5954954931025047","-73.0","2021-03-07 15:34:23.267"
"925.75","-1.625","E200 001D 1910 0116 1310 566E","2.736621725587984","-73.0","2021-03-07 15:34:23.324"
"925.75","0.25","E200 001D 1910 0116 1310 566E","2.60776733940559","-73.0","2021-03-07 15:34:23.363"
"924.25","-0.0625","E200 001D 1910 0116 1310 566E","3.730641276137879","-73.0","2021-03-07 15:34:24.106"
"924.25","-2.125","E200 001D 1910 0116 1310 566E","3.773592738198677","-72.5","2021-03-07 15:34:24.24"
