"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"917.25","-2.4375","3008 33B2 DDD9 0140 0000 0000","0.7547185476397354","-45.5","2021-03-07 17:29:12.299"
"917.25","2.4375","3008 33B2 DDD9 0140 0000 0000","0.7485826244881929","-45.5","2021-03-07 17:29:12.321"
"917.25","-2.4375","3008 33B2 DDD9 0140 0000 0000","0.7669903939428205","-45.5","2021-03-07 17:29:12.373"
"917.25","-7.3125","3008 33B2 DDD9 0140 0000 0000","0.7669903939428205","-45.5","2021-03-07 17:29:12.396"
"918.25","4.875","3008 33B2 DDD9 0140 0000 0000","0.4479223900626072","-45.5","2021-03-07 17:29:12.474"
"918.25","9.75","3008 33B2 DDD9 0140 0000 0000","0.44178646691106466","-45.5","2021-03-07 17:29:12.495"
"918.25","9.75","3008 33B2 DDD9 0140 0000 0000","0.4172427743048944","-45.5","2021-03-07 17:29:12.55"
"918.25","4.875","3008 33B2 DDD9 0140 0000 0000","0.4295146206079795","-45.5","2021-03-07 17:29:12.572"
"914.75","4.875","3008 33B2 DDD9 0140 0000 0000","1.4971652489763858","-45.0","2021-03-07 17:29:12.627"
"914.75","0.0","3008 33B2 DDD9 0140 0000 0000","1.5033011721279284","-45.0","2021-03-07 17:29:12.649"
"914.75","-2.4375","3008 33B2 DDD9 0140 0000 0000","1.509437095279471","-45.0","2021-03-07 17:29:12.702"
"914.75","4.875","3008 33B2 DDD9 0140 0000 0000","1.4971652489763858","-45.0","2021-03-07 17:29:12.725"
"914.75","4.875","3008 33B2 DDD9 0140 0000 0000","1.4910293258248433","-45.0","2021-03-07 17:29:12.779"
"914.75","7.3125","3008 33B2 DDD9 0140 0000 0000","1.4787574795217582","-45.0","2021-03-07 17:29:12.801"
"921.25","7.3125","3008 33B2 DDD9 0140 0000 0000","5.8475347634200645","-46.0","2021-03-07 17:29:12.88"
"921.25","14.625","3008 33B2 DDD9 0140 0000 0000","5.816855147662351","-46.0","2021-03-07 17:29:12.904"
"921.25","4.875","3008 33B2 DDD9 0140 0000 0000","5.810719224510809","-46.0","2021-03-07 17:29:12.957"
"921.25","12.1875","3008 33B2 DDD9 0140 0000 0000","5.822991070813893","-46.0","2021-03-07 17:29:12.983"
"917.75","12.1875","3008 33B2 DDD9 0140 0000 0000","0.5706408530934585","-45.5","2021-03-07 17:29:13.035"
"917.75","2.4375","3008 33B2 DDD9 0140 0000 0000","0.5829126993965437","-45.5","2021-03-07 17:29:13.058"
"917.75","9.75","3008 33B2 DDD9 0140 0000 0000","0.5706408530934585","-45.5","2021-03-07 17:29:13.112"
"917.75","14.625","3008 33B2 DDD9 0140 0000 0000","0.5645049299419159","-45.5","2021-03-07 17:29:13.136"
"917.75","7.3125","3008 33B2 DDD9 0140 0000 0000","0.5706408530934585","-45.5","2021-03-07 17:29:13.189"
"917.75","9.75","3008 33B2 DDD9 0140 0000 0000","0.5706408530934585","-45.5","2021-03-07 17:29:13.21"
"905.75","-12.1875","3008 33B2 DDD9 0140 0000 0000","4.166291819897402","-43.5","2021-03-07 17:29:13.283"
"905.75","-12.1875","3008 33B2 DDD9 0140 0000 0000","4.172427743048944","-43.5","2021-03-07 17:29:13.307"
"905.75","-4.875","3008 33B2 DDD9 0140 0000 0000","4.1601558967458585","-43.5","2021-03-07 17:29:13.36"
"905.75","-4.875","3008 33B2 DDD9 0140 0000 0000","4.147884050442774","-43.5","2021-03-07 17:29:13.382"
"910.75","14.625","3008 33B2 DDD9 0140 0000 0000","2.6200391857086753","-44.5","2021-03-07 17:29:13.442"
"910.75","12.1875","3008 33B2 DDD9 0140 0000 0000","2.6139032625571326","-44.5","2021-03-07 17:29:13.463"
"910.75","14.625","3008 33B2 DDD9 0140 0000 0000","2.6200391857086753","-44.5","2021-03-07 17:29:13.518"
"910.75","12.1875","3008 33B2 DDD9 0140 0000 0000","2.60776733940559","-44.5","2021-03-07 17:29:13.538"
"910.75","12.1875","3008 33B2 DDD9 0140 0000 0000","2.6200391857086753","-44.5","2021-03-07 17:29:13.592"
"910.75","17.0625","3008 33B2 DDD9 0140 0000 0000","2.6139032625571326","-44.5","2021-03-07 17:29:13.616"
"913.25","9.75","3008 33B2 DDD9 0140 0000 0000","1.9205439464328227","-44.5","2021-03-07 17:29:13.69"
"913.25","7.3125","3008 33B2 DDD9 0140 0000 0000","1.9266798695843652","-44.5","2021-03-07 17:29:13.713"
"913.25","14.625","3008 33B2 DDD9 0140 0000 0000","1.9144080232812801","-44.5","2021-03-07 17:29:13.766"
"913.25","14.625","3008 33B2 DDD9 0140 0000 0000","1.9144080232812801","-44.5","2021-03-07 17:29:13.789"
"904.75","-2.4375","3008 33B2 DDD9 0140 0000 0000","4.442408361716817","-43.5","2021-03-07 17:29:13.843"
"904.75","2.4375","3008 33B2 DDD9 0140 0000 0000","4.430136515413731","-43.5","2021-03-07 17:29:13.865"
"904.75","-4.875","3008 33B2 DDD9 0140 0000 0000","4.4362724385652745","-43.5","2021-03-07 17:29:13.918"
"904.75","0.0","3008 33B2 DDD9 0140 0000 0000","4.4362724385652745","-43.5","2021-03-07 17:29:13.939"
"904.75","0.0","3008 33B2 DDD9 0140 0000 0000","4.4362724385652745","-43.5","2021-03-07 17:29:13.993"
"904.75","-2.4375","3008 33B2 DDD9 0140 0000 0000","4.4362724385652745","-43.5","2021-03-07 17:29:14.016"
"903.25","12.1875","3008 33B2 DDD9 0140 0000 0000","4.865787059173254","-43.5","2021-03-07 17:29:14.092"
"903.25","4.875","3008 33B2 DDD9 0140 0000 0000","4.884194828627882","-43.5","2021-03-07 17:29:14.115"
"903.25","0.0","3008 33B2 DDD9 0140 0000 0000","4.884194828627882","-43.5","2021-03-07 17:29:14.167"
