"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"922.75","4.875","3008 33B2 DDD9 0140 0000 0000","3.54042765844006","-21.5","2021-03-07 09:21:47.599"
"923.75","0.0","3008 33B2 DDD9 0140 0000 0000","3.2459033471660166","-22.0","2021-03-07 09:21:47.628"
"923.75","1.0625","E200 001D 1910 0116 1310 566E","5.45483568172134","-73.0","2021-03-07 09:21:47.64"
"923.75","0.0","3008 33B2 DDD9 0140 0000 0000","3.2397674240144743","-22.0","2021-03-07 09:21:47.691"
"923.75","2.9375","E200 001D 1910 0116 1310 566E","5.418020142812084","-73.0","2021-03-07 09:21:47.712"
"923.75","2.4375","3008 33B2 DDD9 0140 0000 0000","3.2397674240144743","-22.0","2021-03-07 09:21:47.724"
"923.75","2.4375","3008 33B2 DDD9 0140 0000 0000","3.2397674240144743","-22.0","2021-03-07 09:21:47.779"
"923.75","4.875","3008 33B2 DDD9 0140 0000 0000","3.2336315008629315","-22.0","2021-03-07 09:21:47.803"
"923.75","-2.125","E200 001D 1910 0116 1310 566E","5.632777453116074","-73.0","2021-03-07 09:21:47.814"
"914.25","-1.5625","E200 001D 1910 0117 1310 5A02","6.215690152512618","-71.0","2021-03-07 09:21:47.842"
"914.25","-57.3125","E200 001D 1910 0116 1310 566E","3.3747577333484107","-67.5","2021-03-07 09:21:47.891"
"914.25","4.875","3008 33B2 DDD9 0140 0000 0000","6.191146459906448","-22.0","2021-03-07 09:21:47.893"
"914.25","-0.5625","E200 001D 1910 0117 1310 5A02","6.092971689481767","-71.5","2021-03-07 09:21:47.904"
"914.25","4.875","3008 33B2 DDD9 0140 0000 0000","6.191146459906448","-22.0","2021-03-07 09:21:47.926"
"914.25","-0.1875","E200 001D 1910 0116 1310 566E","0.3620194659410113","-71.0","2021-03-07 09:21:47.946"
"914.25","4.875","3008 33B2 DDD9 0140 0000 0000","6.191146459906448","-22.0","2021-03-07 09:21:47.991"
"914.25","23.1875","E200 001D 1910 0116 1310 566E","3.522019888985432","-69.0","2021-03-07 09:21:47.993"
"914.25","-2.4375","3008 33B2 DDD9 0140 0000 0000","6.2034183062095325","-22.0","2021-03-07 09:21:48.014"
"914.25","-2.4375","E200 001D 1910 0116 1310 566E","3.5588354278946874","-70.0","2021-03-07 09:21:48.016"
"904.25","2.4375","3008 33B2 DDD9 0140 0000 0000","2.9022916506796332","-21.0","2021-03-07 09:21:48.079"
"904.25","0.0","3008 33B2 DDD9 0140 0000 0000","2.9022916506796332","-21.0","2021-03-07 09:21:48.101"
"904.25","0.0","3008 33B2 DDD9 0140 0000 0000","2.9084275738311756","-21.0","2021-03-07 09:21:48.156"
"904.25","4.875","3008 33B2 DDD9 0140 0000 0000","2.8961557275280905","-21.0","2021-03-07 09:21:48.179"
"909.25","-2.4375","3008 33B2 DDD9 0140 0000 0000","1.4664856332186729","-21.5","2021-03-07 09:21:48.234"
"909.25","-0.5","E200 001D 1910 0116 1310 566E","5.829126993965437","-71.0","2021-03-07 09:21:48.253"
"909.25","-4.875","3008 33B2 DDD9 0140 0000 0000","1.4664856332186729","-21.5","2021-03-07 09:21:48.269"
"909.25","-2.25","E200 001D 1910 0116 1310 566E","5.8659425328746915","-71.0","2021-03-07 09:21:48.291"
"909.25","2.4375","3008 33B2 DDD9 0140 0000 0000","1.4542137869155878","-21.5","2021-03-07 09:21:48.332"
"909.25","-1.5625","E200 001D 1910 0116 1310 566E","5.8045833013592665","-71.0","2021-03-07 09:21:48.346"
"909.25","-2.4375","3008 33B2 DDD9 0140 0000 0000","1.4664856332186729","-21.5","2021-03-07 09:21:48.363"
"909.25","0.0","3008 33B2 DDD9 0140 0000 0000","1.4603497100671303","-21.5","2021-03-07 09:21:48.419"
"921.25","-4.875","3008 33B2 DDD9 0140 0000 0000","4.01902966426038","-21.5","2021-03-07 09:21:48.457"
"921.25","-0.4375","E200 001D 1910 0116 1310 566E","0.34974761963792617","-71.5","2021-03-07 09:21:48.482"
"921.25","-7.3125","3008 33B2 DDD9 0140 0000 0000","4.037437433715008","-21.5","2021-03-07 09:21:48.52"
"921.25","1.3125","E200 001D 1910 0116 1310 566E","0.37429131224409645","-71.5","2021-03-07 09:21:48.535"
"921.25","-14.625","3008 33B2 DDD9 0140 0000 0000","4.037437433715008","-21.5","2021-03-07 09:21:48.553"
"921.25","0.25","E200 001D 1910 0116 1310 566E","0.3190680038802134","-71.5","2021-03-07 09:21:48.568"
"921.25","-7.3125","3008 33B2 DDD9 0140 0000 0000","4.025165587411922","-21.5","2021-03-07 09:21:48.615"
"921.25","-0.125","E200 001D 1910 0116 1310 566E","0.30679615757712825","-71.5","2021-03-07 09:21:48.626"
"920.75","-7.3125","3008 33B2 DDD9 0140 0000 0000","4.190835512503572","-21.0","2021-03-07 09:21:48.661"
"920.75","-1.0625","E200 001D 1910 0117 1310 5A02","5.565282298449106","-72.0","2021-03-07 09:21:48.672"
"920.75","-1.25","E200 001D 1910 0116 1310 566E","0.6749515466696822","-71.0","2021-03-07 09:21:48.681"
"920.75","-2.4375","3008 33B2 DDD9 0140 0000 0000","4.178563666200486","-21.0","2021-03-07 09:21:48.738"
"920.75","1.4375","E200 001D 1910 0117 1310 5A02","5.375068680751287","-72.0","2021-03-07 09:21:48.753"
"920.75","-0.75","E200 001D 1910 0116 1310 566E","0.619728238305799","-71.0","2021-03-07 09:21:48.772"
"920.75","0.0","3008 33B2 DDD9 0140 0000 0000","4.172427743048944","-21.0","2021-03-07 09:21:48.779"
"920.75","0.4375","E200 001D 1910 0116 1310 566E","0.6135923151542565","-71.5","2021-03-07 09:21:48.801"
"910.75","4.875","3008 33B2 DDD9 0140 0000 0000","1.0062913968529805","-21.0","2021-03-07 09:21:48.844"
"910.75","-0.5625","E200 001D 1910 0116 1310 566E","5.080544369477243","-70.5","2021-03-07 09:21:48.865"
