"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"924.25","-89.0625","E200 001D 700E 0075 2100 3221","4.718524903536232","-47.5","2021-03-09 15:47:10.604"
"924.25","7.3125","3039 6062 C3AD 3FC0 001F 4997","2.9268353432858034","-33.0","2021-03-09 15:47:10.604"
"924.25","117.1875","3008 33B2 DDD9 0140 0000 0000","1.4910293258248433","-48.0","2021-03-09 15:47:10.605"
"924.25","-4.875","3008 33B2 DDD9 0140 0000 0000","1.8100973297050567","-42.5","2021-03-09 15:47:10.607"
"924.25","0.0625","3008 33B2 DDD9 0140 0000 0005","6.050020227420969","-50.0","2021-03-09 15:47:10.617"
"924.25","-1.8125","0014 9043","1.3928545554001621","-55.0","2021-03-09 15:47:10.625"
"924.25","0.9375","3035 15B8 9802 DE90 4000 11E7","5.792311455056181","-55.5","2021-03-09 15:47:10.639"
"924.25","-25.0","E200 001D 700E 0075 2100 3221","4.3074180523828804","-47.5","2021-03-09 15:47:10.674"
"924.25","-3.625","3039 6062 C3AD 3FC0 001F 4997","2.8654761117703775","-33.0","2021-03-09 15:47:10.678"
"924.25","-10.375","3008 33B2 DDD9 0140 0000 0000","1.5892040962495242","-48.0","2021-03-09 15:47:10.68"
"924.25","11.5625","3008 33B2 DDD9 0140 0000 0000","1.6566992509164924","-41.5","2021-03-09 15:47:10.682"
"924.25","0.8125","0014 9043","1.1596894756415448","-54.5","2021-03-09 15:47:10.697"
"924.25","0.625","3008 33B2 DDD9 0140 0000 0005","6.037748381117884","-50.0","2021-03-09 15:47:10.715"
"924.25","0.5","E200 001D 700E 0069 2100 2A9E","4.718524903536232","-52.5","2021-03-09 15:47:10.725"
"924.25","-21.9375","3008 33B2 DDD9 0140 0000 0000","1.7671458676442586","-42.0","2021-03-09 15:47:10.729"
"924.25","17.0625","3039 6062 C3AD 3FC0 001F 4997","2.816388726558037","-33.0","2021-03-09 15:47:10.729"
"923.25","-15.25","3008 33B2 DDD9 0140 0000 0000","1.9389517158874505","-48.0","2021-03-09 15:47:10.742"
"923.25","11.5625","E200 001D 700E 0075 2100 3221","4.767612288748572","-47.0","2021-03-09 15:47:10.746"
"923.25","14.0","3008 33B2 DDD9 0140 0000 0005","0.2270291566070749","-48.5","2021-03-09 15:47:10.769"
"923.25","-1.8125","E200 001D 700E 0086 2100 3443","4.9823695990525625","-56.5","2021-03-09 15:47:10.82"
"923.25","2.1875","0014 9043","1.6382914814618648","-54.5","2021-03-09 15:47:10.831"
"923.25","30.5","3008 33B2 DDD9 0140 0000 0000","1.9573594853420782","-42.5","2021-03-09 15:47:10.884"
"923.25","-17.6875","3008 33B2 DDD9 0140 0000 0000","2.0064468705544187","-48.5","2021-03-09 15:47:10.887"
"923.25","-2.4375","3039 6062 C3AD 3FC0 001F 4997","3.160000423044421","-34.0","2021-03-09 15:47:10.889"
"923.25","-20.125","E200 001D 700E 0075 2100 3221","4.779884135051658","-48.5","2021-03-09 15:47:10.892"
"923.25","29.25","3008 33B2 DDD9 0140 0000 0005","0.1227184630308513","-49.5","2021-03-09 15:47:10.899"
"923.25","0.0","E200 001D 700E 0069 2100 2A9E","1.88986433067511","-52.5","2021-03-09 15:47:10.918"
"923.25","-2.25","E200 001D 700E 0086 2100 3443","5.105088062083414","-56.5","2021-03-09 15:47:10.928"
"920.75","4.0","0014 9043","5.424156065963627","-56.0","2021-03-09 15:47:10.951"
"920.75","-36.5625","E200 001D 700E 0075 2100 3221","5.730952223540755","-47.5","2021-03-09 15:47:10.972"
"920.75","61.0","3008 33B2 DDD9 0140 0000 0000","2.675262494072558","-49.5","2021-03-09 15:47:10.972"
"920.75","-2.4375","3039 6062 C3AD 3FC0 001F 4997","4.006757817957295","-32.5","2021-03-09 15:47:10.974"
"920.75","43.9375","3008 33B2 DDD9 0140 0000 0005","1.012427320004523","-51.0","2021-03-09 15:47:10.975"
"920.75","-17.0625","3008 33B2 DDD9 0140 0000 0000","2.718213956133356","-41.5","2021-03-09 15:47:10.976"
"920.75","2.875","3008 33B2 DDD9 0140 0000 0000","5.522330836388308","-58.0","2021-03-09 15:47:10.989"
"920.75","0.0","E200 001D 700E 0086 2100 3443","5.841398840268521","-56.5","2021-03-09 15:47:11.001"
"920.75","-0.5","0014 9043","5.651185222570702","-56.0","2021-03-09 15:47:11.007"
"920.75","-1.1875","3039 6062 C3AD 3FC0 001F 4997","3.9760782021995817","-32.5","2021-03-09 15:47:11.043"
"920.75","-4.875","3008 33B2 DDD9 0140 0000 0000","2.7120780329818137","-42.5","2021-03-09 15:47:11.045"
"920.75","61.625","E200 001D 700E 0075 2100 3221","5.387340527054372","-46.5","2021-03-09 15:47:11.048"
"920.75","4.875","3008 33B2 DDD9 0140 0000 0005","1.1474176293384597","-49.0","2021-03-09 15:47:11.051"
"920.75","-11.5625","3008 33B2 DDD9 0140 0000 0000","2.890019804376548","-48.5","2021-03-09 15:47:11.055"
"920.75","0.25","E200 001D 700E 0086 2100 3443","5.915029918087033","-56.5","2021-03-09 15:47:11.087"
"920.75","14.625","3008 33B2 DDD9 0140 0000 0000","2.662990647769473","-42.5","2021-03-09 15:47:11.11"
"920.75","2.4375","E200 001D 700E 0075 2100 3221","5.675728915176872","-47.5","2021-03-09 15:47:11.111"
"920.75","-2.4375","3039 6062 C3AD 3FC0 001F 4997","4.000621894805752","-32.0","2021-03-09 15:47:11.112"
"920.75","0.5625","3008 33B2 DDD9 0140 0000 0000","5.988660995905543","-49.5","2021-03-09 15:47:11.122"
"920.75","3.625","E280 6890 0000 5006 F494 B19E","4.4362724385652745","-54.5","2021-03-09 15:47:11.131"
"915.25","-26.1875","3008 33B2 DDD9 0140 0000 0005","2.9697868053466014","-50.5","2021-03-09 15:47:11.142"
"915.25","-1.25","E280 6890 0000 4006 F494 AD9E","4.104932588381976","-57.0","2021-03-09 15:47:11.155"
"915.25","0.0","E280 1160 6000 0207 A637 F0D2","0.944932165337555","-58.0","2021-03-09 15:47:11.165"
"915.25","-6.375","0014 9043","4.086524818927348","-57.0","2021-03-09 15:47:11.175"
"915.25","-31.6875","3008 33B2 DDD9 0140 0000 0005","3.098641191528995","-50.5","2021-03-09 15:47:11.209"
"915.25","14.625","3039 6062 C3AD 3FC0 001F 4997","5.632777453116074","-30.5","2021-03-09 15:47:11.209"
