"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"905.75","-9.75","3008 33B2 DDD9 0140 0000 0000","0.3313398501832985","-45.0","2021-03-09 15:49:52.677"
"905.75","-46.375","E200 001D 700E 0075 2100 3221","4.289010282928253","-49.0","2021-03-09 15:49:52.678"
"905.75","4.875","3039 6062 C3AD 3FC0 001F 4997","2.270291566070749","-30.0","2021-03-09 15:49:52.68"
"905.75","-146.4375","0014 9043","3.6079228131070282","-53.0","2021-03-09 15:49:52.681"
"905.75","0.8125","3008 33B2 DDD9 0140 0000 0005","2.3439226438892597","-55.0","2021-03-09 15:49:52.695"
"905.75","0.5","E200 001D 700E 0069 2100 2A9E","1.3499030933393643","-56.5","2021-03-09 15:49:52.707"
"905.75","0.375","3008 33B2 DDD9 0140 0000 0000","1.4664856332186729","-55.0","2021-03-09 15:49:52.718"
"905.75","-19.5","3008 33B2 DDD9 0140 0000 0000","0.2638446955163303","-44.5","2021-03-09 15:49:52.753"
"905.75","-567.625","0014 9043","4.1172044346850605","-53.5","2021-03-09 15:49:52.753"
"905.75","17.0625","3039 6062 C3AD 3FC0 001F 4997","2.2396119503130363","-30.0","2021-03-09 15:49:52.754"
"905.75","-85.4375","E200 001D 700E 0075 2100 3221","4.301282129231338","-48.5","2021-03-09 15:49:52.755"
"905.75","0.125","3008 33B2 DDD9 0140 0000 0005","2.2948352586769194","-55.5","2021-03-09 15:49:52.797"
"905.75","0.1875","E200 001D 700E 0086 2100 3443","4.577398671050753","-56.5","2021-03-09 15:49:52.807"
"905.75","-1.5625","E280 6890 0000 5006 F494 B19E","0.380427235395639","-57.0","2021-03-09 15:49:52.822"
"905.75","34.125","E200 001D 700E 0075 2100 3221","3.9822141253511245","-50.5","2021-03-09 15:49:52.826"
"905.75","-36.5625","3008 33B2 DDD9 0140 0000 0000","0.3374757733348411","-44.0","2021-03-09 15:49:52.827"
"905.75","19.5","3039 6062 C3AD 3FC0 001F 4997","2.2150682577068657","-30.0","2021-03-09 15:49:52.827"
"905.75","1.125","0014 9043","0.4356505437595221","-53.5","2021-03-09 15:49:52.835"
"905.75","0.0625","3008 33B2 DDD9 0140 0000 0000","1.4971652489763858","-55.0","2021-03-09 15:49:52.845"
"905.75","-0.625","3008 33B2 DDD9 0140 0000 0005","5.50392306693368","-55.5","2021-03-09 15:49:52.855"
"916.75","89.6875","E200 001D 700E 0075 2100 3221","0.3313398501832985","-47.5","2021-03-09 15:49:52.89"
"916.75","4.875","3039 6062 C3AD 3FC0 001F 4997","5.0682725231741586","-31.5","2021-03-09 15:49:52.893"
"916.75","16.4375","3008 33B2 DDD9 0140 0000 0000","3.5711072741977725","-44.0","2021-03-09 15:49:52.896"
"916.75","-0.25","3008 33B2 DDD9 0140 0000 0000","1.1474176293384597","-51.5","2021-03-09 15:49:52.914"
"916.75","-3.8125","E280 6890 0000 5006 F494 B19E","0.09203884727313846","-54.5","2021-03-09 15:49:52.935"
"916.75","2.5625","E200 001D 700E 0069 2100 2A9E","0.8835729338221293","-54.0","2021-03-09 15:49:52.988"
"916.75","141.5625","3008 33B2 DDD9 0140 0000 0000","3.3011266555298997","-43.0","2021-03-09 15:49:52.991"
"916.75","14.625","3039 6062 C3AD 3FC0 001F 4997","5.0682725231741586","-32.0","2021-03-09 15:49:52.993"
"916.75","3.125","E280 6890 0000 5006 F494 B19E","6.117515382087937","-55.0","2021-03-09 15:49:53.005"
"916.75","-0.4375","E200 001D 700E 0075 2100 3221","0.7424467013366504","-50.0","2021-03-09 15:49:53.022"
"916.75","0.0625","3008 33B2 DDD9 0140 0000 0000","4.2031073588066565","-51.0","2021-03-09 15:49:53.049"
"921.25","-45.125","3008 33B2 DDD9 0140 0000 0000","2.5586799541932495","-44.0","2021-03-09 15:49:53.091"
"921.25","9.75","3039 6062 C3AD 3FC0 001F 4997","3.706097583531709","-34.5","2021-03-09 15:49:53.093"
"921.25","0.0625","E200 001D 700E 0075 2100 3221","5.442563835418255","-50.0","2021-03-09 15:49:53.119"
"921.25","-0.125","E280 6890 0000 5006 F494 B19E","4.632621979414636","-55.0","2021-03-09 15:49:53.132"
"921.25","-7.1875","0014 9043","1.846912868614312","-56.0","2021-03-09 15:49:53.144"
"921.25","-65.875","3008 33B2 DDD9 0140 0000 0005","0.9265243958829272","-50.5","2021-03-09 15:49:53.147"
"921.25","17.0625","3039 6062 C3AD 3FC0 001F 4997","3.6999616603801666","-34.0","2021-03-09 15:49:53.147"
"921.25","-58.5625","3008 33B2 DDD9 0140 0000 0000","2.5464081078901644","-42.0","2021-03-09 15:49:53.149"
"921.25","2.0","3035 15B8 9802 DE90 4000 11E7","1.423534171157875","-56.0","2021-03-09 15:49:53.163"
"921.25","0.625","E200 001D 700E 0075 2100 3221","5.387340527054372","-50.5","2021-03-09 15:49:53.172"
"921.25","-0.75","E280 6890 0000 5006 F494 B19E","4.620350133111551","-55.0","2021-03-09 15:49:53.181"
"921.25","-1.1875","3039 6062 C3AD 3FC0 001F 4997","3.706097583531709","-34.5","2021-03-09 15:49:53.221"
"921.25","40.25","3008 33B2 DDD9 0140 0000 0000","2.325514874434632","-42.5","2021-03-09 15:49:53.222"
"921.25","12.8125","E200 001D 700E 0075 2100 3221","5.3627968344482015","-48.5","2021-03-09 15:49:53.225"
"921.25","-65.25","3008 33B2 DDD9 0140 0000 0005","1.1535535524900022","-48.5","2021-03-09 15:49:53.227"
"921.25","-4.1875","E280 6890 0000 4006 F494 AD9E","2.0493983326152168","-57.5","2021-03-09 15:49:53.239"
"921.25","0.5625","3035 15B8 9802 DE90 4000 11E7","1.2517283229146832","-56.0","2021-03-09 15:49:53.249"
"921.25","-3.8125","E200 001D 700E 0069 2100 2A9E","5.688000761479957","-54.5","2021-03-09 15:49:53.259"
"921.25","29.25","3008 33B2 DDD9 0140 0000 0000","2.4175537217077703","-44.0","2021-03-09 15:49:53.262"
"921.25","-4.875","3039 6062 C3AD 3FC0 001F 4997","3.736777199289422","-34.0","2021-03-09 15:49:53.264"
"921.25","-31.6875","3008 33B2 DDD9 0140 0000 0000","2.8777479580734626","-47.0","2021-03-09 15:49:53.268"
"921.25","0.125","3008 33B2 DDD9 0140 0000 0005","4.190835512503572","-51.5","2021-03-09 15:49:53.282"
"910.75","14.0","E200 001D 700E 0075 2100 3221","2.736621725587984","-48.5","2021-03-09 15:49:53.297"
"910.75","-2.6875","E280 6890 0000 5006 F494 B19E","1.9205439464328227","-55.5","2021-03-09 15:49:53.331"
"910.75","9.75","3039 6062 C3AD 3FC0 001F 4997","0.705631162427395","-30.5","2021-03-09 15:49:53.406"
"910.75","-26.8125","3008 33B2 DDD9 0140 0000 0000","5.227806525114265","-44.0","2021-03-09 15:49:53.407"
"910.75","18.25","E200 001D 700E 0075 2100 3221","2.650718801466388","-48.5","2021-03-09 15:49:53.408"
"910.75","0.25","3008 33B2 DDD9 0140 0000 0000","0.04295146206079795","-53.5","2021-03-09 15:49:53.425"
"910.75","-0.9375","0014 9043","4.9823695990525625","-54.0","2021-03-09 15:49:53.431"
"910.75","-0.4375","E200 001D 700E 0069 2100 2A9E","0.0","-55.5","2021-03-09 15:49:53.44"
"910.75","-59.8125","E200 001D 700E 0075 2100 3221","2.8777479580734626","-50.0","2021-03-09 15:49:53.443"
"910.75","-4.875","3008 33B2 DDD9 0140 0000 0000","5.240078371417351","-44.0","2021-03-09 15:49:53.444"
