"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"914.25","0.5","E200 001D 1910 0122 1310 5F19","1.4910293258248433","-74.5","2021-03-11 09:01:50.454"
"914.25","0.25","E200 001D 1910 0121 1310 5A04","5.988660995905543","-72.0","2021-03-11 09:01:50.465"
"914.25","67.125","E200 001D 1910 0116 1310 566E","3.509748042682347","-67.5","2021-03-11 09:01:50.499"
"914.25","90.3125","E200 001D 1910 0117 1310 5A02","1.030835089459151","-68.0","2021-03-11 09:01:50.5"
"914.25","0.0","3008 33B2 DDD9 0140 0000 0040","5.056000676871073","-33.5","2021-03-11 09:01:50.502"
"914.25","-0.0625","E200 001D 1910 0123 1310 62B1","6.1420590746941075","-73.5","2021-03-11 09:01:50.519"
"914.25","0.4375","E200 001D 1910 0122 1310 5F19","1.423534171157875","-74.5","2021-03-11 09:01:50.532"
"914.25","-7.3125","3008 33B2 DDD9 0140 0000 0040","5.043728830567988","-33.5","2021-03-11 09:01:50.542"
"914.25","73.1875","E200 001D 1910 0116 1310 566E","3.5833791205008576","-68.0","2021-03-11 09:01:50.543"
"914.25","57.3125","E200 001D 1910 0117 1310 5A02","1.2333205534600555","-67.5","2021-03-11 09:01:50.546"
"914.25","-0.1875","E200 001D 1910 0122 1310 5F19","1.4787574795217582","-74.5","2021-03-11 09:01:50.556"
"914.25","1.125","E200 001D 1910 0121 1310 5A04","5.93343768754166","-72.0","2021-03-11 09:01:50.567"
"902.75","-4.875","3008 33B2 DDD9 0140 0000 0040","1.7794177139473437","-32.0","2021-03-11 09:01:50.641"
"902.75","19.5","E200 001D 1910 0117 1310 5A02","1.3314953238847365","-66.5","2021-03-11 09:01:50.643"
"902.75","-2.4375","3008 33B2 DDD9 0140 0000 0040","1.7794177139473437","-32.0","2021-03-11 09:01:50.665"
"902.75","97.625","E200 001D 1910 0117 1310 5A02","1.1290098598838318","-66.5","2021-03-11 09:01:50.666"
"902.75","4.875","3008 33B2 DDD9 0140 0000 0040","1.7855536370988863","-32.0","2021-03-11 09:01:50.719"
"902.75","37.8125","E200 001D 1910 0117 1310 5A02","1.227184630308513","-66.5","2021-03-11 09:01:50.721"
"902.75","-4.875","E200 001D 1910 0117 1310 5A02","1.3621749396424494","-66.0","2021-03-11 09:01:50.744"
"902.75","9.75","3008 33B2 DDD9 0140 0000 0040","1.7732817907958012","-32.0","2021-03-11 09:01:50.744"
"912.75","0.0","3008 33B2 DDD9 0140 0000 0040","5.393476450205914","-33.5","2021-03-11 09:01:50.796"
"912.75","-9.75","E200 001D 1910 0117 1310 5A02","2.024854640009046","-67.0","2021-03-11 09:01:50.797"
"912.75","36.5625","E200 001D 1910 0116 1310 566E","4.3503695144436785","-65.5","2021-03-11 09:01:50.799"
"912.75","1.5","E200 001D 1910 0122 1310 5F19","5.301437602932776","-74.0","2021-03-11 09:01:50.818"
"912.75","-14.625","E200 001D 1910 0117 1310 5A02","2.12916533358527","-67.0","2021-03-11 09:01:50.833"
"912.75","-7.3125","3008 33B2 DDD9 0140 0000 0040","5.405748296509","-33.5","2021-03-11 09:01:50.834"
"912.75","13.375","E200 001D 1910 0116 1310 566E","4.448544284868359","-67.0","2021-03-11 09:01:50.835"
"912.75","-0.5","E200 001D 1910 0123 1310 62B1","0.8774370106705868","-74.0","2021-03-11 09:01:50.848"
"912.75","12.1875","3008 33B2 DDD9 0140 0000 0040","5.3627968344482015","-33.5","2021-03-11 09:01:50.896"
"912.75","-20.75","E200 001D 1910 0117 1310 5A02","2.116893487282185","-66.5","2021-03-11 09:01:50.899"
"912.75","0.0","E200 001D 1910 0116 1310 566E","4.4976316700806995","-67.0","2021-03-11 09:01:50.91"
"912.75","-0.375","E200 001D 1910 0122 1310 5F19","2.1782527187976104","-74.0","2021-03-11 09:01:50.923"
"912.75","1.125","E200 001D 1910 0121 1310 5A04","0.6688156235181395","-73.5","2021-03-11 09:01:50.933"
