"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"904.25","9.75","3008 33B2 DDD9 0140 0000 0040","1.1780972450961724","-36.5","2021-03-11 09:26:18.36"
"904.25","9.75","3008 33B2 DDD9 0140 0000 0040","1.184233168247715","-36.5","2021-03-11 09:26:18.412"
"904.25","12.1875","3008 33B2 DDD9 0140 0000 0040","1.1780972450961724","-36.5","2021-03-11 09:26:18.436"
"904.25","0.5625","E200 001D 1910 0117 1310 5A02","0.9203884727313847","-68.5","2021-03-11 09:26:18.458"
"904.25","9.75","3008 33B2 DDD9 0140 0000 0040","1.1903690913992575","-36.5","2021-03-11 09:26:18.499"
"904.25","0.375","E200 001D 1910 0117 1310 5A02","0.9387962421860124","-68.5","2021-03-11 09:26:18.516"
"904.25","4.875","3008 33B2 DDD9 0140 0000 0040","1.184233168247715","-36.5","2021-03-11 09:26:18.532"
"927.25","-4.875","3008 33B2 DDD9 0140 0000 0040","1.533980787885641","-37.5","2021-03-11 09:26:18.587"
"927.25","0.0","3008 33B2 DDD9 0140 0000 0040","1.521708941582556","-37.5","2021-03-11 09:26:18.608"
"927.25","0.0","3008 33B2 DDD9 0140 0000 0040","1.5033011721279284","-37.0","2021-03-11 09:26:18.66"
"927.25","0.0","3008 33B2 DDD9 0140 0000 0040","1.4910293258248433","-37.0","2021-03-11 09:26:18.682"
"927.25","-2.4375","3008 33B2 DDD9 0140 0000 0040","1.4910293258248433","-37.0","2021-03-11 09:26:18.734"
"923.25","7.3125","3008 33B2 DDD9 0140 0000 0040","2.5402721847386216","-37.0","2021-03-11 09:26:18.77"
"923.25","7.3125","3008 33B2 DDD9 0140 0000 0040","2.5341362615870793","-37.0","2021-03-11 09:26:18.824"
"923.25","7.3125","3008 33B2 DDD9 0140 0000 0040","2.5280003384355365","-37.0","2021-03-11 09:26:18.845"
"923.25","0.0","3008 33B2 DDD9 0140 0000 0040","2.552544031041707","-37.0","2021-03-11 09:26:18.9"
"923.25","4.875","3008 33B2 DDD9 0140 0000 0040","2.5341362615870793","-37.0","2021-03-11 09:26:18.922"
"902.75","2.4375","3008 33B2 DDD9 0140 0000 0040","1.5953400194010667","-37.0","2021-03-11 09:26:18.998"
"902.75","2.4375","3008 33B2 DDD9 0140 0000 0040","1.5892040962495242","-37.0","2021-03-11 09:26:19.018"
"902.75","7.3125","3008 33B2 DDD9 0140 0000 0040","1.5830681730979816","-37.0","2021-03-11 09:26:19.071"
"902.75","7.3125","3008 33B2 DDD9 0140 0000 0040","1.5830681730979816","-37.0","2021-03-11 09:26:19.095"
"904.75","9.75","3008 33B2 DDD9 0140 0000 0040","1.043106935762236","-36.5","2021-03-11 09:26:19.153"
"904.75","12.1875","3008 33B2 DDD9 0140 0000 0040","1.0369710126106935","-36.5","2021-03-11 09:26:19.174"
"904.75","50.0","E200 001D 1910 0116 1310 566E","2.8102528034064944","-66.5","2021-03-11 09:26:19.175"
"904.75","-37.8125","E200 001D 1910 0117 1310 5A02","0.8099418560036186","-67.0","2021-03-11 09:26:19.176"
"904.75","34.125","E200 001D 1910 0117 1310 5A02","0.5645049299419159","-67.0","2021-03-11 09:26:19.227"
"904.75","31.6875","E200 001D 1910 0116 1310 566E","2.8286605728611223","-66.5","2021-03-11 09:26:19.229"
"904.75","4.875","3008 33B2 DDD9 0140 0000 0040","1.055378782065321","-36.5","2021-03-11 09:26:19.229"
"904.75","-15.8125","E200 001D 1910 0116 1310 566E","2.9759227284981438","-66.5","2021-03-11 09:26:19.25"
"904.75","28.0625","E200 001D 1910 0117 1310 5A02","0.607456392002714","-67.5","2021-03-11 09:26:19.251"
"904.75","4.875","3008 33B2 DDD9 0140 0000 0040","1.055378782065321","-36.5","2021-03-11 09:26:19.252"
"904.75","18.25","E200 001D 1910 0116 1310 566E","2.767301341345697","-66.5","2021-03-11 09:26:19.303"
