"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"913.25","-4.875","3008 33B2 DDD9 0140 0000 0020","4.706253057233147","-36.0","2021-03-13 09:54:05.293"
"913.25","4.875","3008 33B2 DDD9 0140 0000 0020","4.6878452877785195","-36.0","2021-03-13 09:54:05.316"
"913.25","-7.3125","3008 33B2 DDD9 0140 0000 0020","4.700117134081604","-36.0","2021-03-13 09:54:05.37"
"913.25","7.3125","3008 33B2 DDD9 0140 0000 0020","4.6878452877785195","-36.5","2021-03-13 09:54:05.392"
"913.25","-7.3125","3008 33B2 DDD9 0140 0000 0020","4.700117134081604","-36.0","2021-03-13 09:54:05.445"
"913.25","4.875","3008 33B2 DDD9 0140 0000 0020","4.663301595172349","-36.0","2021-03-13 09:54:05.468"
"904.75","-4.875","3008 33B2 DDD9 0140 0000 0020","0.8713010875190442","-35.5","2021-03-13 09:54:05.545"
"904.75","2.4375","3008 33B2 DDD9 0140 0000 0020","0.8528933180644165","-35.5","2021-03-13 09:54:05.568"
"904.75","0.0","3008 33B2 DDD9 0140 0000 0020","0.859029241215959","-35.5","2021-03-13 09:54:05.621"
"904.75","2.4375","3008 33B2 DDD9 0140 0000 0020","0.8467573949128739","-35.5","2021-03-13 09:54:05.643"
"927.25","-4.875","3008 33B2 DDD9 0140 0000 0020","0.8835729338221293","-35.5","2021-03-13 09:54:05.697"
"927.25","2.4375","3008 33B2 DDD9 0140 0000 0020","0.8713010875190442","-35.5","2021-03-13 09:54:05.719"
"927.25","4.875","3008 33B2 DDD9 0140 0000 0020","0.8774370106705868","-35.5","2021-03-13 09:54:05.774"
"927.25","9.75","3008 33B2 DDD9 0140 0000 0020","0.8713010875190442","-35.5","2021-03-13 09:54:05.796"
"927.25","0.0","3008 33B2 DDD9 0140 0000 0020","0.8713010875190442","-35.5","2021-03-13 09:54:05.851"
"927.25","-2.4375","3008 33B2 DDD9 0140 0000 0020","0.8835729338221293","-35.5","2021-03-13 09:54:05.873"
"926.75","-2.4375","3008 33B2 DDD9 0140 0000 0020","1.0246991663076084","-35.0","2021-03-13 09:54:05.95"
"926.75","7.3125","3008 33B2 DDD9 0140 0000 0020","1.0062913968529805","-35.0","2021-03-13 09:54:05.973"
"926.75","2.4375","3008 33B2 DDD9 0140 0000 0020","1.012427320004523","-35.0","2021-03-13 09:54:06.026"
"926.75","7.3125","3008 33B2 DDD9 0140 0000 0020","1.0062913968529805","-35.0","2021-03-13 09:54:06.049"
"914.25","0.0","3008 33B2 DDD9 0140 0000 0020","4.4362724385652745","-35.5","2021-03-13 09:54:06.102"
"914.25","7.3125","3008 33B2 DDD9 0140 0000 0020","4.411728745959104","-35.5","2021-03-13 09:54:06.125"
"914.25","-2.4375","3008 33B2 DDD9 0140 0000 0020","4.4362724385652745","-35.5","2021-03-13 09:54:06.179"
"914.25","2.4375","3008 33B2 DDD9 0140 0000 0020","4.417864669110647","-35.5","2021-03-13 09:54:06.202"
"914.25","2.4375","3008 33B2 DDD9 0140 0000 0020","4.417864669110647","-36.0","2021-03-13 09:54:06.255"
"914.25","2.4375","3008 33B2 DDD9 0140 0000 0020","4.424000592262189","-36.0","2021-03-13 09:54:06.278"
"915.25","0.0","3008 33B2 DDD9 0140 0000 0020","4.154019973594316","-36.0","2021-03-13 09:54:06.354"
"915.25","2.4375","3008 33B2 DDD9 0140 0000 0020","4.1601558967458585","-36.0","2021-03-13 09:54:06.377"
"915.25","-2.4375","3008 33B2 DDD9 0140 0000 0020","4.1601558967458585","-35.5","2021-03-13 09:54:06.43"
"915.25","2.4375","3008 33B2 DDD9 0140 0000 0020","4.147884050442774","-36.0","2021-03-13 09:54:06.452"
"920.25","7.3125","3008 33B2 DDD9 0140 0000 0020","2.748893571891069","-36.0","2021-03-13 09:54:06.505"
"920.25","9.75","3008 33B2 DDD9 0140 0000 0020","2.748893571891069","-35.5","2021-03-13 09:54:06.529"
"920.25","2.4375","3008 33B2 DDD9 0140 0000 0020","2.761165418194154","-35.5","2021-03-13 09:54:06.583"
"920.25","12.1875","3008 33B2 DDD9 0140 0000 0020","2.742757648739526","-35.5","2021-03-13 09:54:06.607"
"920.25","14.625","3008 33B2 DDD9 0140 0000 0020","2.742757648739526","-35.5","2021-03-13 09:54:06.66"
"920.25","4.875","3008 33B2 DDD9 0140 0000 0020","2.7550294950426117","-35.5","2021-03-13 09:54:06.683"
"905.75","2.4375","3008 33B2 DDD9 0140 0000 0020","0.5338253141842031","-35.5","2021-03-13 09:54:06.759"
"905.75","2.4375","3008 33B2 DDD9 0140 0000 0020","0.5338253141842031","-35.5","2021-03-13 09:54:06.783"
"905.75","7.3125","3008 33B2 DDD9 0140 0000 0020","0.5399612373357456","-35.5","2021-03-13 09:54:06.84"
"905.75","0.0","3008 33B2 DDD9 0140 0000 0020","0.5460971604872883","-35.5","2021-03-13 09:54:06.862"
"913.75","2.4375","3008 33B2 DDD9 0140 0000 0020","4.565126824747668","-36.0","2021-03-13 09:54:06.914"
"913.75","0.0","3008 33B2 DDD9 0140 0000 0020","4.558990901596125","-36.0","2021-03-13 09:54:06.937"
"913.75","-4.875","3008 33B2 DDD9 0140 0000 0020","4.565126824747668","-36.0","2021-03-13 09:54:06.991"
"913.75","-2.4375","3008 33B2 DDD9 0140 0000 0020","4.577398671050753","-36.0","2021-03-13 09:54:07.014"
"913.75","-7.3125","3008 33B2 DDD9 0140 0000 0020","4.583534594202296","-36.0","2021-03-13 09:54:07.066"
"913.75","2.4375","3008 33B2 DDD9 0140 0000 0020","4.565126824747668","-36.0","2021-03-13 09:54:07.09"
"911.75","12.1875","3008 33B2 DDD9 0140 0000 0020","5.080544369477243","-35.5","2021-03-13 09:54:07.166"
"911.75","-4.875","3008 33B2 DDD9 0140 0000 0020","5.092816215780329","-35.5","2021-03-13 09:54:07.188"
"911.75","0.0","3008 33B2 DDD9 0140 0000 0020","5.092816215780329","-35.5","2021-03-13 09:54:07.243"
