"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"917.75","31.6875","3008 33B2 DDD9 0140 0000 0030","1.5278448647340985","-49.0","2021-03-13 17:12:11.692"
"917.75","17.0625","3008 33B2 DDD9 0140 0000 0030","1.533980787885641","-48.5","2021-03-13 17:12:11.715"
"905.75","2.4375","3008 33B2 DDD9 0140 0000 0030","4.871922982324796","-48.5","2021-03-13 17:12:11.817"
"905.75","9.75","3008 33B2 DDD9 0140 0000 0030","4.847379289718626","-48.5","2021-03-13 17:12:11.84"
"905.75","9.75","3008 33B2 DDD9 0140 0000 0030","4.841243366567084","-48.5","2021-03-13 17:12:11.893"
"905.75","2.4375","3008 33B2 DDD9 0140 0000 0030","4.847379289718626","-48.5","2021-03-13 17:12:11.915"
"911.25","0.0","3008 33B2 DDD9 0140 0000 0030","3.2949907323783574","-48.5","2021-03-13 17:12:11.968"
"911.25","2.4375","3008 33B2 DDD9 0140 0000 0030","3.2827188860752723","-48.5","2021-03-13 17:12:11.992"
"911.25","2.4375","3008 33B2 DDD9 0140 0000 0030","3.2888548092268146","-48.5","2021-03-13 17:12:12.044"
"911.25","-2.4375","3008 33B2 DDD9 0140 0000 0030","3.3318062712876126","-48.5","2021-03-13 17:12:12.067"
"911.25","4.875","3008 33B2 DDD9 0140 0000 0030","3.2704470397721868","-48.5","2021-03-13 17:12:12.12"
"911.25","12.1875","3008 33B2 DDD9 0140 0000 0030","3.2765829629237295","-48.5","2021-03-13 17:12:12.143"
"918.75","-2.4375","3008 33B2 DDD9 0140 0000 0030","1.368310862793992","-48.5","2021-03-13 17:12:12.201"
"918.75","2.4375","3008 33B2 DDD9 0140 0000 0030","1.3069516312785663","-48.5","2021-03-13 17:12:12.225"
"918.75","4.875","3008 33B2 DDD9 0140 0000 0030","1.3314953238847365","-48.5","2021-03-13 17:12:12.278"
"918.75","12.1875","3008 33B2 DDD9 0140 0000 0030","1.3130875544301088","-48.5","2021-03-13 17:12:12.302"
"918.75","2.4375","3008 33B2 DDD9 0140 0000 0030","1.3192234775816514","-48.5","2021-03-13 17:12:12.358"
"908.75","14.625","3008 33B2 DDD9 0140 0000 0030","3.9822141253511245","-48.5","2021-03-13 17:12:12.396"
"908.75","19.5","3008 33B2 DDD9 0140 0000 0030","3.9699422790480394","-48.5","2021-03-13 17:12:12.449"
"908.75","-2.4375","3008 33B2 DDD9 0140 0000 0030","4.006757817957295","-48.5","2021-03-13 17:12:12.473"
"908.75","17.0625","3008 33B2 DDD9 0140 0000 0030","3.988350048502667","-48.5","2021-03-13 17:12:12.526"
"908.75","-14.625","3008 33B2 DDD9 0140 0000 0030","4.049709280018092","-48.5","2021-03-13 17:12:12.548"
"910.25","26.8125","3008 33B2 DDD9 0140 0000 0030","3.522019888985432","-48.0","2021-03-13 17:12:12.602"
"910.25","7.3125","3008 33B2 DDD9 0140 0000 0030","3.5711072741977725","-48.5","2021-03-13 17:12:12.624"
"910.25","24.375","3008 33B2 DDD9 0140 0000 0030","3.5158839658338894","-48.5","2021-03-13 17:12:12.676"
"910.25","0.0","3008 33B2 DDD9 0140 0000 0030","3.5833791205008576","-48.5","2021-03-13 17:12:12.699"
"910.25","7.3125","3008 33B2 DDD9 0140 0000 0030","3.56497135104623","-48.0","2021-03-13 17:12:12.754"
