"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"927.25","36.5625","3008 33B2 DDD9 0140 0000 0060","1.2640001692177683","-53.5","2021-03-13 12:43:33.538"
"927.25","19.5","3008 33B2 DDD9 0140 0000 0060","1.3008157081270237","-54.0","2021-03-13 12:43:33.561"
"927.25","29.25","3008 33B2 DDD9 0140 0000 0060","1.282407938672396","-54.0","2021-03-13 12:43:33.614"
"927.25","19.5","3008 33B2 DDD9 0140 0000 0060","1.3192234775816514","-54.0","2021-03-13 12:43:33.636"
"927.25","-12.1875","3008 33B2 DDD9 0140 0000 0060","1.3560390164909069","-54.0","2021-03-13 12:43:33.689"
"927.25","-7.3125","3008 33B2 DDD9 0140 0000 0060","1.337631247036279","-54.0","2021-03-13 12:43:33.712"
"926.75","14.625","3008 33B2 DDD9 0140 0000 0060","1.533980787885641","-54.5","2021-03-13 12:43:33.772"
"926.75","-14.625","3008 33B2 DDD9 0140 0000 0060","1.5401167110371838","-54.0","2021-03-13 12:43:33.793"
"926.75","14.625","3008 33B2 DDD9 0140 0000 0060","1.4971652489763858","-54.5","2021-03-13 12:43:33.85"
"926.75","-4.875","3008 33B2 DDD9 0140 0000 0060","1.5155730184310134","-54.5","2021-03-13 12:43:33.871"
"926.75","17.0625","3008 33B2 DDD9 0140 0000 0060","1.521708941582556","-54.5","2021-03-13 12:43:33.925"
"914.25","0.0","3008 33B2 DDD9 0140 0000 0060","5.8659425328746915","-55.5","2021-03-13 12:43:33.958"
"914.25","19.5","3008 33B2 DDD9 0140 0000 0060","5.810719224510809","-55.5","2021-03-13 12:43:34.011"
"914.25","0.0","3008 33B2 DDD9 0140 0000 0060","5.829126993965437","-55.5","2021-03-13 12:43:34.034"
"914.25","17.0625","3008 33B2 DDD9 0140 0000 0060","5.822991070813893","-55.5","2021-03-13 12:43:34.086"
"914.25","4.875","3008 33B2 DDD9 0140 0000 0060","5.835262917116979","-55.0","2021-03-13 12:43:34.108"
"915.25","-14.625","3008 33B2 DDD9 0140 0000 0060","5.546874528994478","-56.0","2021-03-13 12:43:34.163"
"915.25","-2.4375","3008 33B2 DDD9 0140 0000 0060","5.491651220630596","-55.5","2021-03-13 12:43:34.184"
"915.25","-12.1875","3008 33B2 DDD9 0140 0000 0060","5.50392306693368","-55.5","2021-03-13 12:43:34.237"
"915.25","2.4375","3008 33B2 DDD9 0140 0000 0060","5.497787143782138","-55.5","2021-03-13 12:43:34.26"
"915.25","-24.375","3008 33B2 DDD9 0140 0000 0060","5.522330836388308","-55.5","2021-03-13 12:43:34.312"
"915.25","-7.3125","3008 33B2 DDD9 0140 0000 0060","5.534602682691394","-55.5","2021-03-13 12:43:34.333"
"920.25","4.875","3008 33B2 DDD9 0140 0000 0060","3.6815538909255388","-55.0","2021-03-13 12:43:34.412"
"920.25","36.5625","3008 33B2 DDD9 0140 0000 0060","3.56497135104623","-55.0","2021-03-13 12:43:34.434"
"920.25","14.625","3008 33B2 DDD9 0140 0000 0060","3.6324665057131984","-55.0","2021-03-13 12:43:34.486"
"920.25","24.375","3008 33B2 DDD9 0140 0000 0060","3.6201946594101133","-55.0","2021-03-13 12:43:34.51"
"905.75","9.75","3008 33B2 DDD9 0140 0000 0060","2.3009711818284617","-58.0","2021-03-13 12:43:34.568"
"905.75","-12.1875","3008 33B2 DDD9 0140 0000 0060","2.386874105950058","-58.0","2021-03-13 12:43:34.59"
"905.75","12.1875","3008 33B2 DDD9 0140 0000 0060","2.2886993355253766","-57.5","2021-03-13 12:43:34.644"
"905.75","-14.625","3008 33B2 DDD9 0140 0000 0060","2.399145952253143","-58.0","2021-03-13 12:43:34.667"
"905.75","4.875","3008 33B2 DDD9 0140 0000 0060","2.356194490192345","-58.0","2021-03-13 12:43:34.72"
"905.75","9.75","3008 33B2 DDD9 0140 0000 0060","2.3316507975861747","-58.0","2021-03-13 12:43:34.74"
"913.75","26.8125","3008 33B2 DDD9 0140 0000 0060","5.976389149602458","-56.0","2021-03-13 12:43:34.815"
"913.75","9.75","3008 33B2 DDD9 0140 0000 0060","6.013204688511713","-55.5","2021-03-13 12:43:34.838"
"913.75","21.9375","3008 33B2 DDD9 0140 0000 0060","6.000932842208628","-55.5","2021-03-13 12:43:34.891"
"913.75","9.75","3008 33B2 DDD9 0140 0000 0060","6.019340611663256","-56.0","2021-03-13 12:43:34.914"
"911.75","-19.5","3008 33B2 DDD9 0140 0000 0060","0.5276893910326605","-56.0","2021-03-13 12:43:34.974"
"911.75","48.8125","3008 33B2 DDD9 0140 0000 0060","0.4172427743048944","-56.5","2021-03-13 12:43:34.995"
"911.75","4.875","3008 33B2 DDD9 0140 0000 0060","0.48473792897186263","-56.5","2021-03-13 12:43:35.048"
"911.75","41.5","3008 33B2 DDD9 0140 0000 0060","0.42337869745643697","-56.5","2021-03-13 12:43:35.071"
"911.75","4.875","3008 33B2 DDD9 0140 0000 0060","0.4724660826687775","-56.0","2021-03-13 12:43:35.124"
"911.75","-2.4375","3008 33B2 DDD9 0140 0000 0060","0.47860200582032003","-56.0","2021-03-13 12:43:35.147"
"916.75","24.375","3008 33B2 DDD9 0140 0000 0060","4.878058905476339","-55.0","2021-03-13 12:43:35.223"
"916.75","21.9375","3008 33B2 DDD9 0140 0000 0060","4.921010367537137","-55.0","2021-03-13 12:43:35.247"
"916.75","9.75","3008 33B2 DDD9 0140 0000 0060","4.92714629068868","-55.0","2021-03-13 12:43:35.299"
"916.75","39.0625","3008 33B2 DDD9 0140 0000 0060","4.841243366567084","-55.0","2021-03-13 12:43:35.323"
"908.75","36.5625","3008 33B2 DDD9 0140 0000 0060","1.4296700943094176","-57.0","2021-03-13 12:43:35.376"
"908.75","-17.0625","3008 33B2 DDD9 0140 0000 0060","1.4971652489763858","-57.5","2021-03-13 12:43:35.399"
"908.75","9.75","3008 33B2 DDD9 0140 0000 0060","1.4419419406125027","-57.5","2021-03-13 12:43:35.452"
"908.75","31.6875","3008 33B2 DDD9 0140 0000 0060","1.380582709097077","-57.0","2021-03-13 12:43:35.473"
"908.75","24.375","3008 33B2 DDD9 0140 0000 0060","1.423534171157875","-57.5","2021-03-13 12:43:35.527"
"908.75","39.0625","3008 33B2 DDD9 0140 0000 0060","1.4051264017032472","-57.5","2021-03-13 12:43:35.548"
"906.75","58.5625","3008 33B2 DDD9 0140 0000 0060","1.9941750242513334","-57.5","2021-03-13 12:43:35.626"
