"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"916.75","-7.3125","3008 33B2 DDD9 0140 0000 0020","3.890175278077986","-52.0","2021-03-13 10:34:12.809"
"916.75","-2.4375","3008 33B2 DDD9 0140 0000 0020","3.902447124381071","-52.0","2021-03-13 10:34:12.83"
"916.75","12.1875","3008 33B2 DDD9 0140 0000 0020","3.8533597391687304","-52.0","2021-03-13 10:34:12.882"
"908.75","24.375","3008 33B2 DDD9 0140 0000 0020","0.2270291566070749","-53.5","2021-03-13 10:34:12.918"
"908.75","9.75","3008 33B2 DDD9 0140 0000 0020","0.2270291566070749","-53.5","2021-03-13 10:34:12.969"
"908.75","-2.4375","3008 33B2 DDD9 0140 0000 0020","0.2638446955163303","-53.5","2021-03-13 10:34:12.993"
"908.75","-14.625","3008 33B2 DDD9 0140 0000 0020","0.25770877236478773","-53.5","2021-03-13 10:34:13.046"
"908.75","26.8125","3008 33B2 DDD9 0140 0000 0020","0.19634954084936207","-53.0","2021-03-13 10:34:13.067"
"906.75","-21.9375","3008 33B2 DDD9 0140 0000 0020","0.9510680884890975","-53.5","2021-03-13 10:34:13.12"
"906.75","-20.75","3008 33B2 DDD9 0140 0000 0020","0.9142525495798421","-53.5","2021-03-13 10:34:13.141"
"906.75","4.875","3008 33B2 DDD9 0140 0000 0020","0.9081166264282996","-53.0","2021-03-13 10:34:13.195"
"906.75","2.4375","3008 33B2 DDD9 0140 0000 0020","0.8897088569736719","-53.5","2021-03-13 10:34:13.216"
"906.75","34.125","3008 33B2 DDD9 0140 0000 0020","0.8344855486097889","-53.5","2021-03-13 10:34:13.27"
"906.75","9.75","3008 33B2 DDD9 0140 0000 0020","0.9019807032767571","-53.5","2021-03-13 10:34:13.292"
"915.75","17.0625","3008 33B2 DDD9 0140 0000 0020","4.246058820867455","-51.5","2021-03-13 10:34:13.346"
"915.75","19.5","3008 33B2 DDD9 0140 0000 0020","4.252194744018997","-51.5","2021-03-13 10:34:13.367"
"915.75","14.625","3008 33B2 DDD9 0140 0000 0020","4.227651051412827","-52.0","2021-03-13 10:34:13.42"
"915.75","-7.3125","3008 33B2 DDD9 0140 0000 0020","4.276738436625168","-51.5","2021-03-13 10:34:13.441"
