"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"922.75","7.3125","3008 33B2 DDD9 0140 0000 0020","5.749359992995383","-35.5","2021-03-27 23:10:21.136"
"922.75","59.8125","E200 001D 1910 0117 1310 5A02","5.00077736850719","-67.0","2021-03-27 23:10:21.137"
"922.75","-7.3125","E200 001D 1910 0117 1310 5A02","5.062136600022616","-67.5","2021-03-27 23:10:21.16"
"922.75","12.1875","3008 33B2 DDD9 0140 0000 0020","5.743224069843841","-36.0","2021-03-27 23:10:21.16"
"922.75","14.625","3008 33B2 DDD9 0140 0000 0020","5.730952223540755","-35.5","2021-03-27 23:10:21.214"
"922.75","40.25","E200 001D 1910 0117 1310 5A02","5.056000676871073","-67.0","2021-03-27 23:10:21.215"
"922.75","2.4375","3008 33B2 DDD9 0140 0000 0020","5.743224069843841","-35.5","2021-03-27 23:10:21.237"
"922.75","42.6875","E200 001D 1910 0117 1310 5A02","4.970097752749477","-67.0","2021-03-27 23:10:21.239"
"923.75","17.0625","E200 001D 1910 0117 1310 5A02","4.546719055293041","-66.0","2021-03-27 23:10:21.292"
"923.75","2.4375","3008 33B2 DDD9 0140 0000 0020","5.436427912266712","-35.5","2021-03-27 23:10:21.292"
"923.75","-45.125","E200 001D 1910 0117 1310 5A02","4.583534594202296","-65.5","2021-03-27 23:10:21.315"
"923.75","2.4375","3008 33B2 DDD9 0140 0000 0020","5.448699758569798","-35.5","2021-03-27 23:10:21.316"
"923.75","7.3125","3008 33B2 DDD9 0140 0000 0020","5.448699758569798","-36.0","2021-03-27 23:10:21.369"
"923.75","-90.3125","E200 001D 1910 0117 1310 5A02","4.755340442445488","-65.5","2021-03-27 23:10:21.37"
"923.75","9.75","3008 33B2 DDD9 0140 0000 0020","5.448699758569798","-36.0","2021-03-27 23:10:21.393"
"923.75","-12.1875","E200 001D 1910 0117 1310 5A02","4.473087977474529","-66.0","2021-03-27 23:10:21.394"
"923.75","2.4375","3008 33B2 DDD9 0140 0000 0020","5.45483568172134","-36.0","2021-03-27 23:10:21.446"
"923.75","50.0","E200 001D 1910 0117 1310 5A02","4.344233591292136","-66.5","2021-03-27 23:10:21.447"
"923.75","2.4375","3008 33B2 DDD9 0140 0000 0020","5.4671075280244255","-36.0","2021-03-27 23:10:21.47"
"923.75","-25.625","E200 001D 1910 0117 1310 5A02","4.589670517353839","-66.0","2021-03-27 23:10:21.471"
"921.75","9.75","3008 33B2 DDD9 0140 0000 0020","6.062292073724054","-36.5","2021-03-27 23:10:21.539"
"921.75","-9.75","E200 001D 1910 0117 1310 5A02","5.424156065963627","-67.5","2021-03-27 23:10:21.542"
"921.75","14.625","3008 33B2 DDD9 0140 0000 0020","6.056156150572511","-36.5","2021-03-27 23:10:21.563"
"921.75","-111.0625","E200 001D 1910 0117 1310 5A02","5.6941366846315","-66.0","2021-03-27 23:10:21.565"
"921.75","7.3125","3008 33B2 DDD9 0140 0000 0020","6.062292073724054","-36.5","2021-03-27 23:10:21.616"
"921.75","-59.8125","E200 001D 1910 0117 1310 5A02","5.589825991055276","-67.5","2021-03-27 23:10:21.619"
"921.75","-139.125","E200 001D 1910 0117 1310 5A02","5.878214379177777","-66.0","2021-03-27 23:10:21.64"
"921.75","9.75","3008 33B2 DDD9 0140 0000 0020","6.062292073724054","-36.5","2021-03-27 23:10:21.641"
"917.75","12.1875","3008 33B2 DDD9 0140 0000 0020","0.9940195505498954","-37.5","2021-03-27 23:10:21.696"
"917.75","21.9375","3008 33B2 DDD9 0140 0000 0020","0.9817477042468103","-38.0","2021-03-27 23:10:21.718"
"917.75","14.625","3008 33B2 DDD9 0140 0000 0020","1.0062913968529805","-37.5","2021-03-27 23:10:21.771"
"917.75","17.0625","3008 33B2 DDD9 0140 0000 0020","0.9940195505498954","-37.5","2021-03-27 23:10:21.794"
"917.75","17.0625","3008 33B2 DDD9 0140 0000 0020","0.9878836273983529","-37.5","2021-03-27 23:10:21.846"
"917.75","19.5","3008 33B2 DDD9 0140 0000 0020","0.9878836273983529","-38.0","2021-03-27 23:10:21.87"
"920.25","12.1875","3008 33B2 DDD9 0140 0000 0020","0.2699806186678728","-37.0","2021-03-27 23:10:21.943"
"920.25","-0.375","E200 001D 1910 0117 1310 5A02","0.07976700097005335","-68.5","2021-03-27 23:10:21.956"
"920.25","9.75","3008 33B2 DDD9 0140 0000 0020","0.2699806186678728","-37.0","2021-03-27 23:10:21.976"
"920.25","0.9375","E200 001D 1910 0117 1310 5A02","6.252505691421874","-68.5","2021-03-27 23:10:21.988"
"920.25","17.0625","3008 33B2 DDD9 0140 0000 0020","0.2699806186678728","-36.5","2021-03-27 23:10:22.04"
"920.25","0.125","E200 001D 1910 0117 1310 5A02","0.04295146206079795","-68.5","2021-03-27 23:10:22.059"
