"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"918.25","43.9375","3008 33B2 DDD9 0140 0000 0030","3.9453985864418692","-62.0","2021-03-27 23:09:00.125"
"918.25","0.9375","C200 1001 2001 E054 B451 0004","0.859029241215959","-64.5","2021-03-27 23:09:00.139"
"918.25","14.625","3008 33B2 DDD9 0140 0000 0030","4.147884050442774","-62.5","2021-03-27 23:09:00.159"
"918.25","0.1875","C200 1001 2001 E054 B451 0004","0.8713010875190442","-64.5","2021-03-27 23:09:00.179"
"918.25","-0.125","E200 001D 1910 0119 1310 5A03","0.05522330836388308","-70.0","2021-03-27 23:09:00.19"
"908.25","-0.125","3008 33B2 DDD9 0140 0000 0030","6.12365130523948","-66.5","2021-03-27 23:09:00.242"
"908.25","0.75","3008 33B2 DDD9 0140 0000 0030","6.074563920027139","-66.5","2021-03-27 23:09:00.283"
"908.25","0.75","3008 33B2 DDD9 0140 0000 0030","6.0991076126333095","-66.5","2021-03-27 23:09:00.341"
"914.75","0.75","E200 001D 1910 0119 1310 5A03","1.6566992509164924","-69.5","2021-03-27 23:09:00.443"
"914.75","0.1875","E200 001D 1910 0117 1310 5A02","5.841398840268521","-68.5","2021-03-27 23:09:00.456"
"914.75","-0.375","C200 1001 2001 E054 B451 0004","5.565282298449106","-65.0","2021-03-27 23:09:00.467"
"914.75","-12.1875","3008 33B2 DDD9 0140 0000 0030","4.884194828627882","-65.0","2021-03-27 23:09:00.472"
"914.75","-12.1875","3008 33B2 DDD9 0140 0000 0030","4.853515212870168","-63.5","2021-03-27 23:09:00.525"
"914.75","1.0625","C200 1001 2001 E054 B451 0004","5.5100589900852235","-65.0","2021-03-27 23:09:00.535"
"914.75","0.0","3008 33B2 DDD9 0140 0000 0030","4.896466674930966","-64.0","2021-03-27 23:09:00.557"
"914.75","1.5625","E200 001D 1910 0117 1310 5A02","5.798447378207723","-68.5","2021-03-27 23:09:00.571"
"914.75","1.75","E200 001D 1910 0119 1310 5A03","1.6321555583103222","-69.5","2021-03-27 23:09:00.582"
"914.75","0.1875","C200 1001 2001 E054 B451 0004","5.5100589900852235","-65.0","2021-03-27 23:09:00.593"
"924.75","0.5625","E200 001D 1910 0117 1310 5A02","1.1013982057018903","-68.0","2021-03-27 23:09:00.641"
"924.75","2.125","3008 33B2 DDD9 0140 0000 0030","5.230874486690037","-59.0","2021-03-27 23:09:00.644"
"924.75","58.5625","3008 33B2 DDD9 0140 0000 0030","2.0371264863121317","-59.0","2021-03-27 23:09:00.67"
"924.75","23.1875","E200 001D 1910 0117 1310 5A02","4.28287435977671","-66.5","2021-03-27 23:09:00.672"
"924.75","32.9375","3008 33B2 DDD9 0140 0000 0030","2.110757564130642","-59.0","2021-03-27 23:09:00.724"
"924.75","-50.0","E200 001D 1910 0117 1310 5A02","4.448544284868359","-67.5","2021-03-27 23:09:00.725"
"924.75","-14.625","E200 001D 1910 0117 1310 5A02","4.23378697456437","-67.0","2021-03-27 23:09:00.747"
"924.75","36.5625","3008 33B2 DDD9 0140 0000 0030","2.073942025221387","-58.0","2021-03-27 23:09:00.748"
"924.75","28.0625","3008 33B2 DDD9 0140 0000 0030","2.0800779483729293","-58.0","2021-03-27 23:09:00.803"
"924.75","0.375","E200 001D 1910 0117 1310 5A02","1.1044661672776617","-67.5","2021-03-27 23:09:00.816"
"913.75","129.375","3008 33B2 DDD9 0140 0000 0030","4.890330751779424","-64.0","2021-03-27 23:09:00.859"
"913.75","9.75","3008 33B2 DDD9 0140 0000 0030","5.178719139901925","-64.5","2021-03-27 23:09:00.909"
"913.75","68.3125","3008 33B2 DDD9 0140 0000 0030","4.9823695990525625","-64.5","2021-03-27 23:09:00.933"
"913.75","0.875","E200 001D 1910 0119 1310 5A03","2.227340104009951","-69.5","2021-03-27 23:09:00.999"
"913.75","-0.5","3008 33B2 DDD9 0140 0000 0030","1.9819031779482483","-65.0","2021-03-27 23:09:01.015"
"925.25","0.25","3008 33B2 DDD9 0140 0000 0030","5.086680292628786","-59.0","2021-03-27 23:09:01.041"
"925.25","5.75","E200 001D 1910 0117 1310 5A02","0.8222137023067037","-68.0","2021-03-27 23:09:01.045"
"925.25","15.8125","E200 001D 1910 0117 1310 5A02","4.01902966426038","-68.5","2021-03-27 23:09:01.102"
"925.25","0.0","3008 33B2 DDD9 0140 0000 0030","2.067806102069844","-58.5","2021-03-27 23:09:01.103"
"925.25","-54.875","E200 001D 1910 0117 1310 5A02","4.1601558967458585","-67.5","2021-03-27 23:09:01.125"
"925.25","78.125","3008 33B2 DDD9 0140 0000 0030","1.9634954084936207","-58.0","2021-03-27 23:09:01.125"
"925.25","53.6875","3008 33B2 DDD9 0140 0000 0030","1.8960002538266525","-58.5","2021-03-27 23:09:01.178"
"925.25","32.9375","E200 001D 1910 0117 1310 5A02","3.9085830475326135","-67.0","2021-03-27 23:09:01.18"
"925.25","23.1875","E200 001D 1910 0117 1310 5A02","3.8963112012295285","-67.0","2021-03-27 23:09:01.202"
"925.25","12.1875","3008 33B2 DDD9 0140 0000 0030","1.9696313316451632","-58.0","2021-03-27 23:09:01.203"
"915.25","-63.4375","3008 33B2 DDD9 0140 0000 0030","4.902602598082509","-63.5","2021-03-27 23:09:01.256"
"915.25","80.5625","3008 33B2 DDD9 0140 0000 0030","4.577398671050753","-63.5","2021-03-27 23:09:01.279"
"915.25","-0.75","C200 1001 2001 E054 B451 0004","2.2027964114037806","-64.5","2021-03-27 23:09:01.298"
"915.25","0.125","E200 001D 1910 0119 1310 5A03","1.4542137869155878","-69.5","2021-03-27 23:09:01.309"
"915.25","14.625","3008 33B2 DDD9 0140 0000 0030","4.847379289718626","-63.5","2021-03-27 23:09:01.349"
"915.25","0.5","C200 1001 2001 E054 B451 0004","2.2027964114037806","-65.0","2021-03-27 23:09:01.363"
"915.25","-0.125","E200 001D 1910 0119 1310 5A03","1.4664856332186729","-69.5","2021-03-27 23:09:01.378"
"915.25","107.375","3008 33B2 DDD9 0140 0000 0030","4.6448938257177215","-64.0","2021-03-27 23:09:01.392"
"915.25","0.625","E200 001D 1910 0119 1310 5A03","1.521708941582556","-69.5","2021-03-27 23:09:01.403"
"915.25","-0.1875","C200 1001 2001 E054 B451 0004","2.2518837966161214","-64.5","2021-03-27 23:09:01.412"
"911.75","-78.125","3008 33B2 DDD9 0140 0000 0030","5.712544454086128","-64.5","2021-03-27 23:09:01.471"
"911.75","1.25","E200 001D 1910 0117 1310 5A02","0.9940195505498954","-67.5","2021-03-27 23:09:01.485"
"911.75","-75.625","3008 33B2 DDD9 0140 0000 0030","5.620505606812989","-64.0","2021-03-27 23:09:01.503"
"911.75","1.625","E200 001D 1910 0117 1310 5A02","1.000155473701438","-68.0","2021-03-27 23:09:01.515"
"911.75","51.25","3008 33B2 DDD9 0140 0000 0030","5.516194913236766","-64.0","2021-03-27 23:09:01.565"
"911.75","-0.1875","E200 001D 1910 0117 1310 5A02","1.0921943209745766","-67.5","2021-03-27 23:09:01.58"
"911.75","20.75","3008 33B2 DDD9 0140 0000 0030","5.50392306693368","-65.0","2021-03-27 23:09:01.599"
"911.75","0.125","E200 001D 1910 0117 1310 5A02","1.0062913968529805","-68.0","2021-03-27 23:09:01.618"
"918.75","58.5625","3008 33B2 DDD9 0140 0000 0030","3.822680123411018","-62.0","2021-03-27 23:09:01.67"
"918.75","-0.9375","C200 1001 2001 E054 B451 0004","0.6872233929727672","-64.5","2021-03-27 23:09:01.684"
"918.75","-0.5","E200 001D 1910 0117 1310 5A02","1.239456476611598","-68.0","2021-03-27 23:09:01.695"
"918.75","-1.125","E200 001D 1910 0119 1310 5A03","6.000932842208628","-70.0","2021-03-27 23:09:01.711"
"918.75","65.875","3008 33B2 DDD9 0140 0000 0030","3.767456815047135","-62.5","2021-03-27 23:09:01.714"
"918.75","-0.25","C200 1001 2001 E054 B451 0004","0.6688156235181395","-64.5","2021-03-27 23:09:01.73"
"918.75","0.875","E200 001D 1910 0117 1310 5A02","1.1903690913992575","-68.0","2021-03-27 23:09:01.748"
"918.75","-7.3125","3008 33B2 DDD9 0140 0000 0030","3.9699422790480394","-62.0","2021-03-27 23:09:01.786"
"918.75","0.8125","C200 1001 2001 E054 B451 0004","0.619728238305799","-64.5","2021-03-27 23:09:01.799"
"918.75","1.3125","E200 001D 1910 0117 1310 5A02","1.1228739367322893","-68.0","2021-03-27 23:09:01.814"
"918.75","0.1875","E200 001D 1910 0119 1310 5A03","5.970253226450915","-70.5","2021-03-27 23:09:01.829"
"918.75","24.375","3008 33B2 DDD9 0140 0000 0030","3.9638063558964967","-62.0","2021-03-27 23:09:01.831"
"918.75","3.1875","E200 001D 1910 0117 1310 5A02","1.0676506283684062","-68.0","2021-03-27 23:09:01.846"
"918.75","0.125","C200 1001 2001 E054 B451 0004","0.6565437772150544","-64.5","2021-03-27 23:09:01.86"
"912.75","-46.375","3008 33B2 DDD9 0140 0000 0030","5.424156065963627","-64.5","2021-03-27 23:09:01.921"
"912.75","-53.6875","3008 33B2 DDD9 0140 0000 0030","5.45483568172134","-65.0","2021-03-27 23:09:01.943"
"912.75","61.0","3008 33B2 DDD9 0140 0000 0030","5.1725832167503825","-64.0","2021-03-27 23:09:01.996"
"912.75","0.0","3008 33B2 DDD9 0140 0000 0030","5.350524988145116","-65.0","2021-03-27 23:09:02.02"
"917.25","17.0625","3008 33B2 DDD9 0140 0000 0030","4.2031073588066565","-63.0","2021-03-27 23:09:02.072"
"917.25","0.125","C200 1001 2001 E054 B451 0004","1.3192234775816514","-64.5","2021-03-27 23:09:02.091"
"917.25","80.5625","3008 33B2 DDD9 0140 0000 0030","4.147884050442774","-62.5","2021-03-27 23:09:02.108"
"917.25","0.75","C200 1001 2001 E054 B451 0004","1.3008157081270237","-64.5","2021-03-27 23:09:02.118"
"917.25","56.125","3008 33B2 DDD9 0140 0000 0030","4.227651051412827","-62.5","2021-03-27 23:09:02.17"
"917.25","-0.625","C200 1001 2001 E054 B451 0004","1.3437671701878218","-64.5","2021-03-27 23:09:02.182"
"917.25","0.9375","E200 001D 1910 0117 1310 5A02","4.970097752749477","-69.0","2021-03-27 23:09:02.192"
"917.25","-0.8125","E200 001D 1910 0119 1310 5A03","0.5276893910326605","-70.5","2021-03-27 23:09:02.21"
"917.25","68.3125","3008 33B2 DDD9 0140 0000 0030","4.184699589352029","-63.0","2021-03-27 23:09:02.213"
"917.25","-0.1875","C200 1001 2001 E054 B451 0004","1.3560390164909069","-64.5","2021-03-27 23:09:02.23"
"909.75","0.375","3008 33B2 DDD9 0140 0000 0030","5.829126993965437","-66.0","2021-03-27 23:09:02.374"
"909.75","0.5625","3008 33B2 DDD9 0140 0000 0030","5.835262917116979","-66.0","2021-03-27 23:09:02.393"
"909.75","0.0","E200 001D 1910 0117 1310 5A02","5.307573526084319","-68.5","2021-03-27 23:09:02.408"
"923.25","75.625","3008 33B2 DDD9 0140 0000 0030","2.454369260617026","-60.0","2021-03-27 23:09:02.926"
"923.25","23.1875","E200 001D 1910 0117 1310 5A02","5.0682725231741586","-67.0","2021-03-27 23:09:02.928"
"923.25","0.0","C200 1001 2001 E054 B451 0004","4.798291904506286","-63.5","2021-03-27 23:09:02.948"
"923.25","78.125","E200 001D 1910 0117 1310 5A02","4.933282213840222","-66.5","2021-03-27 23:09:02.961"
"923.25","17.0625","3008 33B2 DDD9 0140 0000 0030","2.5893595699509624","-60.0","2021-03-27 23:09:02.962"
"923.25","-0.375","C200 1001 2001 E054 B451 0004","4.822835597112456","-63.5","2021-03-27 23:09:02.979"
"923.25","-50.0","E200 001D 1910 0117 1310 5A02","5.019185137961818","-65.0","2021-03-27 23:09:03.027"
"923.25","43.9375","3008 33B2 DDD9 0140 0000 0030","2.429825568010856","-59.5","2021-03-27 23:09:03.028"
"923.25","0.125","C200 1001 2001 E054 B451 0004","4.81056375080937","-64.0","2021-03-27 23:09:03.037"
"923.25","2.4375","3008 33B2 DDD9 0140 0000 0030","2.552544031041707","-59.5","2021-03-27 23:09:03.059"
"923.25","4.875","E200 001D 1910 0117 1310 5A02","5.111223985234957","-65.0","2021-03-27 23:09:03.06"
"923.25","1.125","C200 1001 2001 E054 B451 0004","4.743068596142402","-63.5","2021-03-27 23:09:03.072"
"915.75","-58.5625","3008 33B2 DDD9 0140 0000 0030","4.743068596142402","-63.5","2021-03-27 23:09:03.35"
"915.75","-0.25","C200 1001 2001 E054 B451 0004","1.9941750242513334","-64.5","2021-03-27 23:09:03.361"
"915.75","-0.5625","E200 001D 1910 0119 1310 5A03","1.2333205534600555","-69.5","2021-03-27 23:09:03.373"
"915.75","-1.4375","E200 001D 1910 0117 1310 5A02","5.5100589900852235","-68.5","2021-03-27 23:09:03.388"
"915.75","-78.125","3008 33B2 DDD9 0140 0000 0030","4.822835597112456","-63.0","2021-03-27 23:09:03.391"
"915.75","-0.5","C200 1001 2001 E054 B451 0004","1.9634954084936207","-64.5","2021-03-27 23:09:03.412"
"915.75","-0.75","3008 33B2 DDD9 0140 0000 0030","1.533980787885641","-64.0","2021-03-27 23:09:03.471"
"915.75","0.25","C200 1001 2001 E054 B451 0004","5.141903600992669","-64.5","2021-03-27 23:09:03.483"
"915.75","-23.1875","3008 33B2 DDD9 0140 0000 0030","4.6878452877785195","-62.5","2021-03-27 23:09:03.499"
"915.75","-0.375","C200 1001 2001 E054 B451 0004","2.030990563160589","-64.5","2021-03-27 23:09:03.515"
"919.75","34.125","E200 001D 1910 0117 1310 5A02","0.3988350048502667","-67.0","2021-03-27 23:09:03.561"
"919.75","65.875","3008 33B2 DDD9 0140 0000 0030","3.466796580621549","-62.0","2021-03-27 23:09:03.564"
"919.75","0.0","C200 1001 2001 E054 B451 0004","0.1718058482431918","-64.5","2021-03-27 23:09:03.577"
"919.75","-47.5625","3008 33B2 DDD9 0140 0000 0030","3.77972866135022","-61.5","2021-03-27 23:09:03.594"
"919.75","-28.0625","E200 001D 1910 0117 1310 5A02","0.7240389318820226","-65.0","2021-03-27 23:09:03.596"
"919.75","-0.125","C200 1001 2001 E054 B451 0004","0.2086213871524472","-64.5","2021-03-27 23:09:03.62"
"919.75","87.875","E200 001D 1910 0117 1310 5A02","0.5399612373357456","-67.0","2021-03-27 23:09:03.665"
"919.75","14.625","3008 33B2 DDD9 0140 0000 0030","3.6140587362585705","-61.0","2021-03-27 23:09:03.666"
"919.75","-0.1875","C200 1001 2001 E054 B451 0004","0.1902136176978195","-64.5","2021-03-27 23:09:03.676"
"919.75","-7.3125","3008 33B2 DDD9 0140 0000 0030","3.5588354278946874","-61.0","2021-03-27 23:09:03.697"
"919.75","-1.3125","E200 001D 1910 0117 1310 5A02","0.7485826244881929","-68.0","2021-03-27 23:09:03.72"
"919.75","0.1875","C200 1001 2001 E054 B451 0004","0.1349903093339364","-64.5","2021-03-27 23:09:03.729"
"913.25","-21.9375","3008 33B2 DDD9 0140 0000 0030","5.21553467881118","-65.0","2021-03-27 23:09:03.771"
"913.25","9.75","3008 33B2 DDD9 0140 0000 0030","5.2768939103266055","-64.5","2021-03-27 23:09:03.794"
"913.25","-53.6875","3008 33B2 DDD9 0140 0000 0030","5.387340527054372","-63.0","2021-03-27 23:09:03.848"
"913.25","1.1875","E200 001D 1910 0117 1310 5A02","0.23930100291016002","-68.0","2021-03-27 23:09:03.871"
"913.25","25.625","3008 33B2 DDD9 0140 0000 0030","5.178719139901925","-64.5","2021-03-27 23:09:03.879"
"913.25","-2.4375","3008 33B2 DDD9 0140 0000 0030","5.264622064023521","-64.5","2021-03-27 23:09:03.934"
"913.25","70.75","3008 33B2 DDD9 0140 0000 0030","5.148039524144211","-65.0","2021-03-27 23:09:03.956"
"904.75","61.0","E200 001D 1910 0118 1310 566F","4.546719055293041","-65.0","2021-03-27 23:09:03.968"
"904.75","40.25","E200 001D 1910 0118 1310 566F","4.583534594202296","-65.0","2021-03-27 23:09:04.02"
"904.75","-0.5","C200 1001 2001 E054 B451 0004","5.792311455056181","-66.0","2021-03-27 23:09:04.037"
"904.75","20.75","E200 001D 1910 0118 1310 566F","4.540583132141498","-63.5","2021-03-27 23:09:04.051"
"904.75","-0.25","C200 1001 2001 E054 B451 0004","5.786175531904639","-66.5","2021-03-27 23:09:04.072"
"904.75","-7.3125","E200 001D 1910 0118 1310 566F","4.651029748869264","-65.0","2021-03-27 23:09:04.116"
"904.75","-0.8125","C200 1001 2001 E054 B451 0004","5.829126993965437","-66.5","2021-03-27 23:09:04.133"
"904.75","0.1875","3008 33B2 DDD9 0140 0000 0030","0.44178646691106466","-66.0","2021-03-27 23:09:04.142"
"904.75","-2.4375","E200 001D 1910 0118 1310 566F","4.632621979414636","-66.0","2021-03-27 23:09:04.157"
"924.25","2.6875","E200 001D 1910 0117 1310 5A02","1.4051264017032472","-67.5","2021-03-27 23:09:04.172"
"924.25","3.0","3008 33B2 DDD9 0140 0000 0030","5.405748296509","-59.5","2021-03-27 23:09:04.174"
"924.25","0.125","C200 1001 2001 E054 B451 0004","1.141281706186917","-64.5","2021-03-27 23:09:04.198"
"924.25","32.9375","E200 001D 1910 0117 1310 5A02","4.534447208989955","-66.0","2021-03-27 23:09:04.245"
"924.25","41.5","3008 33B2 DDD9 0140 0000 0030","2.2212041808584084","-59.0","2021-03-27 23:09:04.247"
"924.25","4.875","E200 001D 1910 0117 1310 5A02","4.620350133111551","-66.5","2021-03-27 23:09:04.27"
"924.25","7.3125","3008 33B2 DDD9 0140 0000 0030","2.313243028131547","-59.0","2021-03-27 23:09:04.27"
