"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"913.75","34.125","3008 33B2 DDD9 0140 0000 0060","2.5770877236478773","-56.5","2021-03-27 22:50:37.163"
"913.75","14.625","3008 33B2 DDD9 0140 0000 0060","2.5341362615870793","-56.5","2021-03-27 22:50:37.184"
"913.75","29.25","3008 33B2 DDD9 0140 0000 0060","2.564815877344792","-56.5","2021-03-27 22:50:37.241"
"913.75","4.875","3008 33B2 DDD9 0140 0000 0060","2.5709518004963345","-56.5","2021-03-27 22:50:37.263"
"913.75","34.125","3008 33B2 DDD9 0140 0000 0060","2.521864415283994","-57.0","2021-03-27 22:50:37.315"
"913.75","19.5","3008 33B2 DDD9 0140 0000 0060","2.5770877236478773","-57.0","2021-03-27 22:50:37.34"
"925.25","24.375","3008 33B2 DDD9 0140 0000 0060","4.773748211900116","-55.5","2021-03-27 22:50:37.421"
"925.25","0.625","C200 1001 2001 E054 B451 0004","2.1230294104337273","-63.5","2021-03-27 22:50:37.431"
"925.25","-4.875","3008 33B2 DDD9 0140 0000 0060","4.773748211900116","-56.0","2021-03-27 22:50:37.452"
"925.25","-0.9375","C200 1001 2001 E054 B451 0004","2.1230294104337273","-63.5","2021-03-27 22:50:37.474"
"925.25","-9.75","3008 33B2 DDD9 0140 0000 0060","4.798291904506286","-55.5","2021-03-27 22:50:37.52"
"925.25","-0.1875","C200 1001 2001 E054 B451 0004","2.141437179888355","-63.0","2021-03-27 22:50:37.538"
"925.25","-39.0625","3008 33B2 DDD9 0140 0000 0060","4.896466674930966","-55.5","2021-03-27 22:50:37.552"
"915.25","-9.75","3008 33B2 DDD9 0140 0000 0060","2.043262409463674","-56.5","2021-03-27 22:50:37.628"
"915.25","14.625","3008 33B2 DDD9 0140 0000 0060","2.012582793705961","-56.0","2021-03-27 22:50:37.65"
"915.25","17.0625","3008 33B2 DDD9 0140 0000 0060","2.0064468705544187","-56.5","2021-03-27 22:50:37.704"
"915.25","41.5","3008 33B2 DDD9 0140 0000 0060","1.9757672547967058","-56.5","2021-03-27 22:50:37.727"
"911.75","0.0","3008 33B2 DDD9 0140 0000 0060","3.2520392703175593","-57.5","2021-03-27 22:50:37.781"
"911.75","34.125","3008 33B2 DDD9 0140 0000 0060","3.1968159619536762","-57.5","2021-03-27 22:50:37.804"
"911.75","2.4375","3008 33B2 DDD9 0140 0000 0060","3.2827188860752723","-57.0","2021-03-27 22:50:37.858"
"911.75","17.0625","3008 33B2 DDD9 0140 0000 0060","3.2336315008629315","-57.5","2021-03-27 22:50:37.88"
"911.75","-12.1875","3008 33B2 DDD9 0140 0000 0060","3.3072625786814425","-57.5","2021-03-27 22:50:37.935"
"911.75","9.75","3008 33B2 DDD9 0140 0000 0060","3.227495577711389","-57.0","2021-03-27 22:50:37.957"
"918.75","31.6875","3008 33B2 DDD9 0140 0000 0060","0.7485826244881929","-56.0","2021-03-27 22:50:38.036"
"918.75","-4.875","3008 33B2 DDD9 0140 0000 0060","0.803805932852076","-56.0","2021-03-27 22:50:38.06"
"918.75","19.5","3008 33B2 DDD9 0140 0000 0060","0.7301748550335652","-55.5","2021-03-27 22:50:38.115"
"918.75","7.3125","3008 33B2 DDD9 0140 0000 0060","0.803805932852076","-56.0","2021-03-27 22:50:38.137"
