"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"906.25","-14.625","3008 33B2 DDD9 0140 0000 0060","5.111223985234957","-52.0","2021-03-27 22:52:33.629"
"906.25","7.3125","3008 33B2 DDD9 0140 0000 0060","5.049864753719531","-52.0","2021-03-27 22:52:33.651"
"919.25","9.75","3008 33B2 DDD9 0140 0000 0060","0.859029241215959","-52.0","2021-03-27 22:52:33.731"
"919.25","-24.375","3008 33B2 DDD9 0140 0000 0060","0.9019807032767571","-52.0","2021-03-27 22:52:33.756"
"919.25","14.625","3008 33B2 DDD9 0140 0000 0060","0.8160777791551611","-52.5","2021-03-27 22:52:33.81"
"919.25","4.875","3008 33B2 DDD9 0140 0000 0060","0.8344855486097889","-52.0","2021-03-27 22:52:33.833"
"914.25","9.75","3008 33B2 DDD9 0140 0000 0060","2.6016314162540475","-51.5","2021-03-27 22:52:33.887"
"914.25","7.3125","3008 33B2 DDD9 0140 0000 0060","2.6139032625571326","-51.5","2021-03-27 22:52:33.909"
"914.25","0.0","3008 33B2 DDD9 0140 0000 0060","2.6139032625571326","-52.0","2021-03-27 22:52:33.963"
"914.25","31.6875","3008 33B2 DDD9 0140 0000 0060","2.564815877344792","-52.0","2021-03-27 22:52:33.986"
"914.25","19.5","3008 33B2 DDD9 0140 0000 0060","2.5893595699509624","-52.0","2021-03-27 22:52:34.039"
"914.25","19.5","3008 33B2 DDD9 0140 0000 0060","2.564815877344792","-51.5","2021-03-27 22:52:34.061"
"905.25","17.0625","3008 33B2 DDD9 0140 0000 0060","5.350524988145116","-52.5","2021-03-27 22:52:34.134"
"905.25","-2.4375","3008 33B2 DDD9 0140 0000 0060","5.375068680751287","-52.5","2021-03-27 22:52:34.157"
"905.25","19.5","3008 33B2 DDD9 0140 0000 0060","5.3627968344482015","-52.5","2021-03-27 22:52:34.215"
"905.25","-9.75","3008 33B2 DDD9 0140 0000 0060","5.393476450205914","-52.5","2021-03-27 22:52:34.24"
"916.75","9.75","3008 33B2 DDD9 0140 0000 0060","1.7241944055834606","-52.0","2021-03-27 22:52:34.292"
"916.75","7.3125","3008 33B2 DDD9 0140 0000 0060","1.718058482431918","-52.0","2021-03-27 22:52:34.316"
"916.75","17.0625","3008 33B2 DDD9 0140 0000 0060","1.7119225592803755","-51.5","2021-03-27 22:52:34.37"
"916.75","0.0","3008 33B2 DDD9 0140 0000 0060","1.7119225592803755","-52.0","2021-03-27 22:52:34.393"
"916.75","43.9375","3008 33B2 DDD9 0140 0000 0060","1.6566992509164924","-51.5","2021-03-27 22:52:34.447"
"916.75","7.3125","3008 33B2 DDD9 0140 0000 0060","1.7241944055834606","-52.0","2021-03-27 22:52:34.47"
"927.25","4.875","3008 33B2 DDD9 0140 0000 0060","4.362641360746763","-53.0","2021-03-27 22:52:34.544"
"927.25","0.375","C200 1001 2001 E054 B451 0004","1.043106935762236","-61.5","2021-03-27 22:52:34.559"
"927.25","9.75","3008 33B2 DDD9 0140 0000 0060","4.374913207049849","-53.0","2021-03-27 22:52:34.576"
"927.25","-0.0625","C200 1001 2001 E054 B451 0004","1.055378782065321","-61.5","2021-03-27 22:52:34.588"
"927.25","-17.0625","3008 33B2 DDD9 0140 0000 0060","4.399456899656019","-53.5","2021-03-27 22:52:34.641"
"927.25","-0.125","C200 1001 2001 E054 B451 0004","1.055378782065321","-61.0","2021-03-27 22:52:34.652"
"927.25","-7.3125","3008 33B2 DDD9 0140 0000 0060","4.411728745959104","-53.0","2021-03-27 22:52:34.672"
"927.25","-1.1875","C200 1001 2001 E054 B451 0004","1.1290098598838318","-61.0","2021-03-27 22:52:34.684"
"908.75","24.375","3008 33B2 DDD9 0140 0000 0060","4.344233591292136","-52.5","2021-03-27 22:52:34.748"
"908.75","17.0625","3008 33B2 DDD9 0140 0000 0060","4.356505437595221","-52.0","2021-03-27 22:52:34.77"
"908.75","12.1875","3008 33B2 DDD9 0140 0000 0060","4.362641360746763","-52.0","2021-03-27 22:52:34.824"
"908.75","19.5","3008 33B2 DDD9 0140 0000 0060","4.356505437595221","-52.5","2021-03-27 22:52:34.847"
"911.25","7.3125","3008 33B2 DDD9 0140 0000 0060","3.6140587362585705","-52.5","2021-03-27 22:52:34.902"
"911.25","17.0625","3008 33B2 DDD9 0140 0000 0060","3.5772431973493153","-52.0","2021-03-27 22:52:34.925"
"911.25","24.375","3008 33B2 DDD9 0140 0000 0060","3.5588354278946874","-52.5","2021-03-27 22:52:34.977"
"911.25","-2.4375","3008 33B2 DDD9 0140 0000 0060","3.6324665057131984","-52.5","2021-03-27 22:52:35.0"
"911.25","17.0625","3008 33B2 DDD9 0140 0000 0060","3.5342917352885173","-52.5","2021-03-27 22:52:35.054"
"911.25","-4.875","3008 33B2 DDD9 0140 0000 0060","3.650874275167826","-52.0","2021-03-27 22:52:35.078"
"902.75","14.625","3008 33B2 DDD9 0140 0000 0060","6.129787228391022","-52.0","2021-03-27 22:52:35.157"
"902.75","9.75","3008 33B2 DDD9 0140 0000 0060","6.129787228391022","-52.5","2021-03-27 22:52:35.181"
"902.75","4.875","3008 33B2 DDD9 0140 0000 0060","6.129787228391022","-52.0","2021-03-27 22:52:35.236"
"902.75","21.9375","3008 33B2 DDD9 0140 0000 0060","6.086835766330224","-52.0","2021-03-27 22:52:35.259"
"903.75","12.1875","3008 33B2 DDD9 0140 0000 0060","5.810719224510809","-52.0","2021-03-27 22:52:35.315"
"903.75","-12.1875","3008 33B2 DDD9 0140 0000 0060","5.8659425328746915","-52.0","2021-03-27 22:52:35.338"
"903.75","-14.625","3008 33B2 DDD9 0140 0000 0060","5.872078456026235","-52.0","2021-03-27 22:52:35.394"
"903.75","26.8125","3008 33B2 DDD9 0140 0000 0060","5.8045833013592665","-52.0","2021-03-27 22:52:35.418"
"903.75","17.0625","3008 33B2 DDD9 0140 0000 0060","5.829126993965437","-51.5","2021-03-27 22:52:35.471"
"903.75","9.75","3008 33B2 DDD9 0140 0000 0060","5.816855147662351","-52.5","2021-03-27 22:52:35.493"
"926.75","9.75","3008 33B2 DDD9 0140 0000 0060","4.565126824747668","-53.5","2021-03-27 22:52:35.569"
"926.75","-0.375","C200 1001 2001 E054 B451 0004","1.380582709097077","-61.5","2021-03-27 22:52:35.592"
"926.75","9.75","3008 33B2 DDD9 0140 0000 0060","4.558990901596125","-53.5","2021-03-27 22:52:35.602"
"926.75","-0.625","C200 1001 2001 E054 B451 0004","1.368310862793992","-61.5","2021-03-27 22:52:35.621"
"926.75","14.625","3008 33B2 DDD9 0140 0000 0060","4.565126824747668","-53.0","2021-03-27 22:52:35.667"
"926.75","0.1875","C200 1001 2001 E054 B451 0004","1.3192234775816514","-61.5","2021-03-27 22:52:35.677"
"926.75","-9.75","3008 33B2 DDD9 0140 0000 0060","4.583534594202296","-53.5","2021-03-27 22:52:35.699"
"926.75","-0.1875","C200 1001 2001 E054 B451 0004","1.380582709097077","-61.5","2021-03-27 22:52:35.712"
